actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,playerName,playerNameI,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-03-04T00:48:35.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-04T00:48:35Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-03-04T00:48:40.2Z,1,REGULAR,jumpball,recovered,[],0,,,1610612763,0,0,2022-03-04T00:48:40Z,40000,,,0,,Jump Ball S. Adams vs. R. Williams III: Tip to Team (MEM),"[203500, 1629057]",1610612763.0,MEM,startperiod,Team (MEM),Adams,203500.0,Williams III,1629057.0,,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2022-03-04T00:49:03.4Z,1,REGULAR,3pt,Jump Shot,[],1630217,88.38699080157687,5.392156862745098,1610612763,0,0,2022-03-04T00:49:09Z,70000,-223.0,57.0,1,right,MISS D. Bane 3PT,[1630217],1610612763.0,MEM,,,,,,,23.01,Missed,Bane,D. Bane,,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2022-03-04T00:49:06.1Z,1,REGULAR,rebound,offensive,[],203500,,,1610612763,0,0,2022-03-04T00:49:06Z,80000,,,0,,S. Adams REBOUND (Off:1 Def:0),[203500],1610612763.0,MEM,,,,,,,,,Adams,S. Adams,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
9,PT11M42.00S,2022-03-04T00:49:07.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629630,66.17936925098554,39.21568627450981,1610612763,0,0,2022-03-04T00:49:17Z,90000,-54.0,265.0,1,right,MISS J. Morant 27' 3PT,[1629630],1610612763.0,MEM,,,,,,,27.08,Missed,Morant,J. Morant,,,,,,,,,,,,,,,,,,,
10,PT11M40.00S,2022-03-04T00:49:09.7Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,0,0,2022-03-04T00:49:58Z,100000,,,0,,R. Williams III REBOUND (Off:0 Def:1),[1629057],1610612738.0,BOS,,,,,,,,,Williams III,R. Williams III,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
11,PT11M27.00S,2022-03-04T00:49:22.3Z,1,REGULAR,3pt,Jump Shot,[],201143,24.917871222076215,12.5,1610612738,0,0,2022-03-04T00:49:29Z,110000,188.0,182.0,1,left,MISS A. Horford 26' 3PT,[201143],1610612738.0,BOS,,,,,,,26.11,Missed,Horford,A. Horford,,,,,,,,,,,,,,,,,,,
12,PT11M25.00S,2022-03-04T00:49:24.3Z,1,REGULAR,rebound,defensive,[],1630217,,,1610612763,0,0,2022-03-04T00:49:29Z,120000,,,0,,D. Bane REBOUND (Off:0 Def:1),[1630217],1610612763.0,MEM,,,,,,,,,Bane,D. Bane,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
13,PT11M22.00S,2022-03-04T00:49:31.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612763,0,0,2022-03-04T00:49:31Z,130000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,PT11M20.00S,2022-03-04T00:49:46.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629630,92.72339027595268,45.588235294117645,1610612763,0,0,2022-03-04T00:49:51Z,140000,-22.0,16.0,1,right,MISS J. Morant cutting Layup,[1629630],1610612763.0,MEM,cutting,,,,,,2.72,Missed,Morant,J. Morant,,,,,,,,,,,,,,,,,,,
