actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-01-02T23:10:29.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-02T23:10:29Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-01-02T23:10:31.5Z,1,REGULAR,jumpball,recovered,[],1629684,,,1610612738,0,0,2022-01-02T23:10:31Z,40000,,,0,,Jump Ball A. Horford vs. M. Bamba: Tip to G. Williams,"[1629684, 201143, 1628964]",1610612738.0,BOS,startperiod,G. Williams,1629684.0,Williams,G. Williams,Horford,201143.0,Bamba,1628964.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2022-01-02T23:10:46.7Z,1,REGULAR,turnover,out-of-bounds,[],203935,,,1610612738,0,0,2022-01-02T23:11:01Z,70000,,,0,,M. Smart bad pass out-of-bounds TURNOVER (1 TO),[203935],1610612738.0,BOS,bad pass,,,Smart,M. Smart,,,,,1629178.0,1.0,,,,,,,,,,,,,,,,,,,
8,PT11M29.00S,2022-01-02T23:11:09.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203914,93.77463863337714,2.2058823529411766,1610612753,0,0,2022-01-02T23:11:19Z,80000,-239.0,6.0,1,right,MISS G. Harris 3PT - blocked,"[203914, 203935]",1610612753.0,ORL,,,,Harris,G. Harris,,,,,,,23.91,Missed,Smart,203935.0,,,,,,,,,,,,,,,
9,PT11M29.00S,2022-01-02T23:11:09.9Z,1,REGULAR,block,,[],203935,,,1610612753,0,0,2022-01-02T23:11:13Z,90000,,,0,,M. Smart BLOCK (1 BLK),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
10,PT11M26.00S,2022-01-02T23:11:12.9Z,1,REGULAR,rebound,defensive,[],203471,,,1610612738,0,0,2022-01-02T23:11:19Z,100000,,,0,,D. Schroder REBOUND (Off:0 Def:1),[203471],1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,,,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M22.00S,2022-01-02T23:11:16.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203935,10.068988173455978,5.147058823529411,1610612738,3,0,2022-01-02T23:11:24Z,110000,224.0,42.0,1,left,M. Smart 3PT  (3 PTS) (D. Schroder 1 AST),"[203935, 203471]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,22.82,Made,,,,,,,3.0,D. Schroder,203471.0,1.0,,,,,,,
13,PT11M00.00S,2022-01-02T23:11:38.7Z,1,REGULAR,2pt,Jump Shot,[],204025,78.40013140604468,58.82352941176471,1610612753,3,0,2022-01-02T23:11:45Z,130000,44.0,151.0,1,right,MISS T. Frazier 15' pullup Shot,[204025],1610612753.0,ORL,pullup,,,Frazier,T. Frazier,,,,,,,15.68,Missed,,,,,,,,,,,,,,,,,
14,PT10M58.00S,2022-01-02T23:11:42.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,3,0,2022-01-02T23:11:42Z,140000,,,0,,TEAM defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,
15,PT10M58.00S,2022-01-02T23:11:43.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,3,0,2022-01-02T23:11:43Z,150000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
