actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2021-10-22T23:43:34.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-10-22T23:43:34Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M52.00S,2021-10-22T23:43:41.4Z,1,REGULAR,jumpball,recovered,[],203935,,,1610612738,0,0,2021-10-22T23:43:41Z,40000,,,0,,Jump Ball R. Williams III vs. P. Achiuwa: Tip to M. Smart,"[203935, 1629057, 1630173]",1610612738.0,BOS,startperiod,M. Smart,203935.0,Smart,M. Smart,Williams III,1629057.0,Achiuwa,1630173.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2021-10-22T23:43:49.8Z,1,REGULAR,turnover,lost ball,[],201143,,,1610612738,0,0,2021-10-22T23:43:58Z,70000,,,0,,A. Horford lost ball TURNOVER (1 TO),"[201143, 1629018]",1610612738.0,BOS,,,,Horford,A. Horford,,,,,1.0,Trent Jr.,1629018.0,,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2021-10-22T23:43:49.8Z,1,REGULAR,steal,,[],1629018,,,1610612761,0,0,2021-10-23T00:38:38Z,80000,,,0,,G. Trent Jr. STEAL (1 STL),[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M35.00S,2021-10-22T23:43:59.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629018,28.597240473061763,76.22549019607843,1610612761,0,0,2021-10-22T23:44:13Z,90000,-131.0,216.0,1,left,MISS G. Trent Jr. 25' 3PT,[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,,,,25.29,Missed,,,,,,,,,,,,,,,,
10,PT11M30.00S,2021-10-22T23:44:04.2Z,1,REGULAR,rebound,offensive,[],1630567,,,1610612761,0,0,2021-10-22T23:44:04Z,100000,,,0,,S. Barnes REBOUND (Off:1 Def:0),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,,,,
11,PT11M28.00S,2021-10-22T23:44:05.5Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1627832,32.670827858081466,31.862745098039213,1610612761,0,0,2021-10-22T23:44:38Z,110000,91.0,255.0,1,left,MISS F. VanVleet 27' 3PT,[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,27.03,Missed,,,,,,,,,,,,,,,,
12,PT11M27.00S,2021-10-22T23:44:06.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612761,0,0,2021-10-22T23:44:38Z,120000,,,0,,TEAM offensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,
13,PT11M27.00S,2021-10-22T23:44:12.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612761,0,0,2021-10-22T23:44:12Z,130000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,PT11M15.00S,2021-10-22T23:44:33.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1627832,5.469776609724048,55.88235294117647,1610612761,0,0,2021-10-23T00:55:54Z,140000,-29.0,-1.0,1,left,MISS F. VanVleet driving Layup,[1627832],1610612761.0,TOR,driving,,,VanVleet,F. VanVleet,,,,,,,,2.94,Missed,,,,,,,,,,,,,,,,
15,PT11M12.00S,2021-10-22T23:44:36.8Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,0,0,2021-10-23T00:38:16Z,150000,,,0,,A. Horford REBOUND (Off:0 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,
16,PT11M12.00S,2021-10-22T23:44:40.7Z,1,REGULAR,turnover,out-of-bounds,[],1627759,,,1610612738,0,0,2021-10-23T00:09:44Z,160000,,,0,,J. Brown step out-of-bounds TURNOVER (1 TO),[1627759],1610612738.0,BOS,step,,,Brown,J. Brown,,,,,1.0,,,,,,,,,200832.0,,,,,,,,,,,
17,PT10M55.00S,2021-10-22T23:45:08.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628384,10.200394218134035,38.970588235294116,1610612761,0,0,2021-10-22T23:45:31Z,170000,55.0,43.0,1,left,MISS O. Anunoby 7' Layup - blocked,"[1628384, 201143]",1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,7.01,Missed,,,,,,Horford,201143.0,,,,,,,,,
18,PT10M55.00S,2021-10-22T23:45:08.3Z,1,REGULAR,block,,[],201143,,,1610612761,0,0,2021-10-22T23:45:13Z,180000,,,0,,A. Horford BLOCK (1 BLK),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,
19,PT10M55.00S,2021-10-22T23:45:08.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,0,0,2021-10-22T23:45:31Z,190000,,,0,,TEAM defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,
20,PT10M55.00S,2021-10-22T23:45:16.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,0,0,2021-10-22T23:45:31Z,200000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,PT10M32.00S,2021-10-22T23:45:38.0Z,1,REGULAR,3pt,Jump Shot,[],1628369,90.75229960578186,1.4705882352941175,1610612738,0,0,2021-10-22T23:45:48Z,210000,-243.0,34.0,1,right,MISS J. Tatum 24' step back 3PT,[1628369],1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,,,,24.5,Missed,,,,,,,,,,,,,,,,
22,PT10M29.00S,2021-10-22T23:45:41.0Z,1,REGULAR,rebound,defensive,[],1630173,,,1610612761,0,0,2021-10-22T23:45:48Z,220000,,,0,,P. Achiuwa REBOUND (Off:0 Def:1),[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,,,,,,21.0,1.0,1.0,0.0,,,,,,,,,,,,
23,PT10M25.00S,2021-10-22T23:45:46.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",1630173,10.85742444152431,42.64705882352941,1610612761,0,0,2021-10-22T23:46:09Z,230000,37.0,50.0,1,left,MISS P. Achiuwa 6' Jump Shot - blocked,"[1630173, 203935]",1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,,,,6.18,Missed,,,,,,Smart,203935.0,,,,,,,,,
24,PT10M25.00S,2021-10-22T23:45:46.2Z,1,REGULAR,block,,[],203935,,,1610612761,0,0,2021-10-23T00:38:47Z,240000,,,0,,M. Smart BLOCK (1 BLK),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
25,PT10M25.00S,2021-10-22T23:45:46.2Z,1,REGULAR,rebound,offensive,[],1630173,,,1610612761,0,0,2021-10-22T23:46:09Z,250000,,,0,,P. Achiuwa REBOUND (Off:1 Def:1),[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,,,,,,23.0,2.0,1.0,1.0,,,,,,,,,,,,
26,PT10M21.00S,2021-10-22T23:45:49.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630173,8.754927726675426,39.705882352941174,1610612761,0,0,2021-10-22T23:46:18Z,260000,51.0,30.0,1,left,MISS P. Achiuwa running Layup - blocked,"[1630173, 203935]",1610612761.0,TOR,running,,,Achiuwa,P. Achiuwa,,,,,,,,5.95,Missed,,,,,,Smart,203935.0,,,,,,,,,
27,PT10M21.00S,2021-10-22T23:45:49.8Z,1,REGULAR,block,,[],203935,,,1610612761,0,0,2021-10-23T01:49:25Z,270000,,,0,,M. Smart BLOCK (2 BLK),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
28,PT10M18.00S,2021-10-22T23:45:52.8Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,0,0,2021-10-22T23:46:18Z,280000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,26.0,1.0,1.0,0.0,,,,,,,,,,,,
29,PT10M12.00S,2021-10-22T23:45:58.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],201143,92.72339027595268,48.77450980392157,1610612738,2,0,2021-10-23T00:57:17Z,290000,-6.0,16.0,1,right,A. Horford DUNK (2 PTS) (J. Tatum 1 AST),"[201143, 1628369]",1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,1.7,Made,,,,,,,,2.0,J. Tatum,1628369.0,1.0,,,,,
31,PT10M06.00S,2021-10-22T23:46:04.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630567,6.783837056504599,55.14705882352941,1610612761,2,0,2021-10-23T00:58:28Z,310000,-26.0,11.0,1,left,MISS S. Barnes driving Layup,[1630567],1610612761.0,TOR,driving,,,Barnes,S. Barnes,,,,,,,,2.81,Missed,,,,,,,,,,,,,,,,
32,PT10M06.00S,2021-10-22T23:46:04.9Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,2,0,2021-10-22T23:46:35Z,320000,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,31.0,2.0,2.0,0.0,,,,,,,,,,,,
33,PT09M59.00S,2021-10-22T23:46:12.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627759,93.51182654402102,96.56862745098039,1610612738,2,0,2021-10-22T23:46:49Z,330000,233.0,8.0,1,right,MISS J. Brown 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,23.3,Missed,,,,,,,,,,,,,,,,
34,PT09M55.00S,2021-10-22T23:46:15.4Z,1,REGULAR,rebound,offensive,[],1629057,,,1610612738,2,0,2021-10-22T23:46:15Z,340000,,,0,,R. Williams III REBOUND (Off:1 Def:0),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,33.0,1.0,0.0,1.0,,,,,,,,,,,,
35,PT09M51.00S,2021-10-22T23:46:19.6Z,1,REGULAR,turnover,bad pass,[],1629057,,,1610612738,2,0,2021-10-22T23:46:59Z,350000,,,0,,R. Williams III bad pass TURNOVER (1 TO),"[1629057, 1629018]",1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,1.0,Trent Jr.,1629018.0,,,,,,,,,,,,,,,,,,
36,PT09M51.00S,2021-10-22T23:46:19.6Z,1,REGULAR,steal,,[],1629018,,,1610612761,2,0,2021-10-22T23:46:22Z,360000,,,0,,G. Trent Jr. STEAL (2 STL),[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
37,PT09M28.00S,2021-10-22T23:46:42.6Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1629018,21.895532194480946,31.372549019607842,1610612761,2,0,2021-10-22T23:47:10Z,370000,93.0,153.0,1,left,MISS G. Trent Jr. 17' Jump Shot,[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,,,,17.94,Missed,,,,,,,,,,,,,,,,
38,PT09M24.00S,2021-10-22T23:46:46.3Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,2,0,2021-10-22T23:46:46Z,380000,,,0,,R. Williams III REBOUND (Off:1 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,37.0,2.0,1.0,1.0,,,,,,,,,,,,
40,PT09M15.00S,2021-10-22T23:47:05.8Z,1,REGULAR,foul,personal,[],1627832,,,1610612738,2,0,2021-10-22T23:52:38Z,400000,,,0,,F. VanVleet personal FOUL (1 PF),"[1627832, 1629057]",1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,,,,,,,101283.0,,,,,,,1.0,0.0,Williams III,1629057.0,
43,PT09M15.00S,2021-10-22T23:47:29.0Z,1,REGULAR,foul,personal,['1freethrow'],1629018,,,1610612738,2,0,2021-10-23T00:35:41Z,430000,,,0,,G. Trent Jr. away-from-play personal FOUL (1 PF) (Smart 1 FT),"[1629018, 203935]",1610612761.0,TOR,away-from-play,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,,,,,101283.0,,,,,,,1.0,0.0,Smart,203935.0,
45,PT09M15.00S,2021-10-22T23:47:59.4Z,1,REGULAR,freethrow,1 of 1,[],1628369,,,1610612738,2,0,2021-10-22T23:57:00Z,450000,,,0,,MISS J. Tatum away-from-play Free Throw 1 of 1,[1628369],1610612738.0,BOS,away-from-play,,,Tatum,J. Tatum,,,,,,,,,Missed,,,,,,,,,,,,,,,,
46,PT09M13.00S,2021-10-22T23:48:01.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,2,0,2021-10-22T23:48:07Z,460000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,45.0,,,,,,,,,,,,,,,
47,PT09M11.00S,2021-10-22T23:48:04.2Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],201143,94.1688567674113,67.15686274509804,1610612738,4,0,2021-10-22T23:52:38Z,470000,86.0,2.0,1,right,A. Horford 8' Jump Shot (4 PTS),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,8.58,Made,,,,,,,,4.0,,,,,,,,
48,PT09M02.00S,2021-10-22T23:48:12.0Z,1,REGULAR,3pt,Jump Shot,[],1629018,24.392247043363994,11.76470588235294,1610612761,4,3,2021-10-22T23:48:24Z,480000,191.0,177.0,1,left,G. Trent Jr. 26' 3PT  (3 PTS) (F. VanVleet 1 AST),"[1629018, 1627832]",1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,,,,26.04,Made,,,,,,,,3.0,F. VanVleet,1627832.0,1.0,,,,,
49,PT08M45.00S,2021-10-22T23:48:28.9Z,1,REGULAR,3pt,Jump Shot,[],1627759,68.54467805519053,16.176470588235293,1610612738,4,3,2021-10-22T23:48:36Z,490000,-169.0,243.0,1,right,MISS J. Brown 29' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,29.62,Missed,,,,,,,,,,,,,,,,
50,PT08M42.00S,2021-10-22T23:48:31.9Z,1,REGULAR,rebound,defensive,[],1630173,,,1610612761,4,3,2021-10-22T23:48:36Z,500000,,,0,,P. Achiuwa REBOUND (Off:1 Def:2),[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,,,,,,49.0,3.0,2.0,1.0,,,,,,,,,,,,
51,PT08M35.00S,2021-10-22T23:48:39.1Z,1,REGULAR,3pt,Jump Shot,[],1630567,29.77989487516426,21.813725490196077,1610612761,4,6,2021-10-22T23:48:50Z,510000,141.0,227.0,1,left,S. Barnes 26' 3PT  (3 PTS),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,26.75,Made,,,,,,,,3.0,,,,,,,,
53,PT08M11.00S,2021-10-22T23:49:05.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,4,6,2021-10-22T23:49:05Z,530000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT08M07.00S,2021-10-22T23:49:22.0Z,1,REGULAR,3pt,Jump Shot,[],1628369,89.30683311432325,95.09803921568627,1610612738,7,6,2021-10-22T23:49:28Z,540000,225.0,48.0,1,right,J. Tatum 3PT  (3 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,23.06,Made,,,,,,,,3.0,,,,,,,,
55,PT07M53.00S,2021-10-22T23:49:36.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630173,6.1268068331143235,53.67647058823529,1610612761,7,6,2021-10-22T23:49:47Z,550000,-18.0,5.0,1,left,MISS P. Achiuwa DUNK - blocked,"[1630173, 1629057]",1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,,,,1.91,Missed,,,,,,Williams III,1629057.0,,,,,,,,,
56,PT07M53.00S,2021-10-22T23:49:36.6Z,1,REGULAR,block,,[],1629057,,,1610612761,7,6,2021-10-22T23:49:40Z,560000,,,0,,R. Williams III BLOCK (1 BLK),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT07M49.00S,2021-10-22T23:49:40.6Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,7,6,2021-10-22T23:49:47Z,570000,,,0,,A. Horford REBOUND (Off:0 Def:2),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,55.0,2.0,2.0,0.0,,,,,,,,,,,,
58,PT07M47.00S,2021-10-22T23:49:46.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'defensivegoaltending', 'fastbreak']",1628369,92.19776609724047,44.11764705882353,1610612738,9,6,2021-10-23T00:59:35Z,580000,-29.0,21.0,1,right,J. Tatum running Layup (5 PTS) (A. Horford 1 AST),"[1628369, 201143]",1610612738.0,BOS,running,,,Tatum,J. Tatum,,,,,,,,3.6,Made,,,,,,,,5.0,A. Horford,201143.0,1.0,,,,,
59,PT07M47.00S,2021-10-22T23:49:52.2Z,1,REGULAR,violation,defensive goaltending,[],1630173,,,1610612738,9,6,2021-10-22T23:50:40Z,590000,,,0,,P. Achiuwa defensive goaltending VIOLATION,[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,,,,,,,,,,101283.0,,,,,,,,,,,
60,PT07M38.00S,2021-10-22T23:50:02.9Z,1,REGULAR,3pt,Jump Shot,[],1629018,26.363337713534822,17.647058823529413,1610612761,9,6,2021-10-22T23:50:45Z,600000,162.0,195.0,1,left,MISS G. Trent Jr. 25' 3PT,[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,,,,25.36,Missed,,,,,,,,,,,,,,,,
61,PT07M36.00S,2021-10-22T23:50:05.5Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,9,6,2021-10-22T23:50:05Z,610000,,,0,,J. Tatum REBOUND (Off:0 Def:3),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,60.0,3.0,3.0,0.0,,,,,,,,,,,,
62,PT07M27.00S,2021-10-22T23:50:14.0Z,1,REGULAR,3pt,Jump Shot,[],203935,83.78777923784494,94.11764705882352,1610612738,9,6,2021-10-22T23:50:51Z,620000,221.0,100.0,1,right,MISS M. Smart 24' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,24.22,Missed,,,,,,,,,,,,,,,,
63,PT07M22.00S,2021-10-22T23:50:19.0Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,9,6,2021-10-22T23:50:51Z,630000,,,0,,S. Barnes REBOUND (Off:1 Def:1),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,62.0,2.0,1.0,1.0,,,,,,,,,,,,
64,PT07M17.00S,2021-10-22T23:50:24.2Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1630567,17.69053876478318,43.38235294117647,1610612761,9,6,2021-10-23T01:00:10Z,640000,33.0,114.0,1,left,MISS S. Barnes 11' fadeaway Shot,[1630567],1610612761.0,TOR,fadeaway,,,Barnes,S. Barnes,,,,,,,,11.85,Missed,,,,,,,,,,,,,,,,
65,PT07M09.00S,2021-10-22T23:50:32.2Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,9,6,2021-10-22T23:51:01Z,650000,,,0,,A. Horford REBOUND (Off:0 Def:3),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,64.0,3.0,3.0,0.0,,,,,,,,,,,,
66,PT07M00.00S,2021-10-22T23:50:41.4Z,1,REGULAR,turnover,bad pass,[],203935,,,1610612738,9,6,2021-10-23T01:50:28Z,660000,,,0,,M. Smart bad pass TURNOVER (1 TO),"[203935, 1630173]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,1.0,Achiuwa,1630173.0,,,,,,,,,,,,,,,,,,
67,PT07M00.00S,2021-10-22T23:50:41.4Z,1,REGULAR,steal,,[],1630173,,,1610612761,9,6,2021-10-22T23:50:43Z,670000,,,0,,P. Achiuwa STEAL (1 STL),[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M55.00S,2021-10-22T23:50:45.9Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630173,7.5722733245729295,47.30392156862745,1610612761,9,8,2021-10-23T01:00:41Z,680000,13.0,19.0,1,left,P. Achiuwa running DUNK (2 PTS),[1630173],1610612761.0,TOR,running,,,Achiuwa,P. Achiuwa,,,,,,,,2.31,Made,,,,,,,,2.0,,,,,,,,
69,PT06M36.00S,2021-10-22T23:51:04.8Z,1,REGULAR,3pt,Jump Shot,[],1628369,71.82982917214193,82.35294117647058,1610612738,12,8,2021-10-22T23:51:29Z,690000,162.0,212.0,1,right,J. Tatum 26' 3PT  (8 PTS) (M. Smart 1 AST),"[1628369, 203935]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,26.69,Made,,,,,,,,8.0,M. Smart,203935.0,1.0,,,,,
71,PT06M29.00S,2021-10-22T23:51:17.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612761,12,8,2021-10-22T23:51:17Z,710000,,,0,,TOR Timeout,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M29.00S,2021-10-22T23:53:48.3Z,1,REGULAR,substitution,out,[],201143,,,1610612761,12,8,2021-10-22T23:54:15Z,720000,,,0,,SUB out: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M29.00S,2021-10-22T23:53:48.3Z,1,REGULAR,substitution,in,[],1626196,,,1610612761,12,8,2021-10-22T23:54:15Z,730000,,,0,,SUB in: J. Richardson,[1626196],1610612738.0,BOS,,,,Richardson,J. Richardson,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M19.00S,2021-10-22T23:54:22.6Z,1,REGULAR,3pt,Jump Shot,[],1629018,9.198423127463863,96.34650735294117,1610612761,12,8,2021-10-22T23:54:33Z,740000,-232.0,34.0,1,left,MISS G. Trent Jr. 3PT,[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,,,,23.42,Missed,,,,,,,,,,,,,,,,
75,PT06M17.00S,2021-10-22T23:54:24.6Z,1,REGULAR,rebound,offensive,[],1630173,,,1610612761,12,8,2021-10-22T23:54:33Z,750000,,,0,,P. Achiuwa REBOUND (Off:2 Def:2),[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,,,,,,74.0,4.0,2.0,2.0,,,,,,,,,,,,
76,PT06M13.00S,2021-10-22T23:54:29.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630173,7.440867279894875,57.59803921568627,1610612761,12,8,2021-10-22T23:55:00Z,760000,-38.0,17.0,1,left,MISS P. Achiuwa Layup,[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,,,,4.18,Missed,,,,,,,,,,,,,,,,
77,PT06M13.00S,2021-10-22T23:54:29.5Z,1,REGULAR,rebound,offensive,[],1630567,,,1610612761,12,8,2021-10-22T23:55:00Z,770000,,,0,,S. Barnes REBOUND (Off:2 Def:1),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,76.0,3.0,1.0,2.0,,,,,,,,,,,,
