actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,value,blockPlayerName,blockPersonId
2,PT12M00.00S,2021-12-23T00:40:39.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-23T00:40:39Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2021-12-23T00:40:40.9Z,1,REGULAR,jumpball,recovered,[],201937,,,1610612739,0,0,2021-12-23T00:40:40Z,40000,,,0,,Jump Ball T. Fall vs. R. Williams III: Tip to R. Rubio,"[201937, 1629605, 1629057]",1610612739.0,CLE,startperiod,R. Rubio,201937.0,Rubio,R. Rubio,Fall,1629605.0,Williams III,1629057.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2021-12-23T00:40:59.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628374,16.90210249671485,45.34313725490196,1610612739,0,0,2021-12-23T00:41:09Z,70000,23.0,106.0,1,left,MISS L. Markkanen 10' turnaround Shot,[1628374],1610612739.0,CLE,turnaround,,,Markkanen,L. Markkanen,,,,,10.89,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2021-12-23T00:41:01.8Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,0,0,2021-12-23T00:41:09Z,80000,,,0,,R. Williams III REBOUND (Off:0 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M29.00S,2021-12-23T00:41:09.5Z,1,REGULAR,3pt,Jump Shot,[],1627759,67.09921156373193,29.901960784313726,1610612738,3,0,2021-12-23T00:41:34Z,90000,-100.0,257.0,1,right,J. Brown 27' 3PT pullup (3 PTS) (M. Smart 1 AST),"[1627759, 203935]",1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,27.58,Made,,,,,3.0,M. Smart,203935.0,1.0,,,,,,,,,,,
11,PT11M12.00S,2021-12-23T00:41:25.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629636,15.062417871222076,58.08823529411765,1610612739,3,2,2021-12-23T00:41:30Z,110000,-40.0,89.0,1,left,D. Garland 9' driving floating Jump Shot (2 PTS),[1629636],1610612739.0,CLE,driving floating,,,Garland,D. Garland,,,,,9.78,Made,,,,,2.0,,,,,,,,,,,,,,
13,PT10M53.00S,2021-12-23T00:41:45.0Z,1,REGULAR,2pt,Jump Shot,[],203935,77.87450722733246,50.98039215686274,1610612738,3,2,2021-12-23T00:41:56Z,130000,5.0,155.0,1,right,MISS M. Smart 15' fadeaway Shot,[203935],1610612738.0,BOS,fadeaway,,,Smart,M. Smart,,,,,15.56,Missed,,,,,,,,,,,,,,,,,,,
14,PT10M47.00S,2021-12-23T00:41:51.0Z,1,REGULAR,rebound,defensive,[],201937,,,1610612739,3,2,2021-12-23T00:41:56Z,140000,,,0,,R. Rubio REBOUND (Off:0 Def:1),[201937],1610612739.0,CLE,,,,Rubio,R. Rubio,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
17,PT10M42.00S,2021-12-23T00:42:03.3Z,1,REGULAR,turnover,out-of-bounds,[],1629636,,,1610612739,3,2,2021-12-23T00:42:19Z,170000,,,0,,D. Garland bad pass out-of-bounds TURNOVER (1 TO),[1629636],1610612739.0,CLE,bad pass,,,Garland,D. Garland,,,,,,,,,,,,,,,2005.0,1.0,,,,,,,,,
18,PT10M31.00S,2021-12-23T00:42:19.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203935,87.86136662286465,4.166666666666666,1610612738,6,2,2021-12-23T00:42:24Z,180000,-229.0,62.0,1,right,M. Smart 3PT  (3 PTS) (R. Williams III 1 AST),"[203935, 1629057]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,23.73,Made,,,,,3.0,R. Williams III,1629057.0,1.0,,,,,,,,,,,
