actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,value,blockPlayerName,blockPersonId
2,PT12M00.00S,2021-11-20T00:45:44.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-20T00:45:44Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2021-11-20T00:45:46.3Z,1,REGULAR,jumpball,recovered,[],2544,,,1610612747,0,0,2021-11-20T00:45:46Z,40000,,,0,,Jump Ball A. Davis vs. A. Horford: Tip to L. James,"[2544, 203076, 201143]",1610612747.0,LAL,startperiod,L. James,2544.0,James,L. James,Davis,203076.0,Horford,201143.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2021-11-20T00:46:01.2Z,1,REGULAR,foul,personal,['2freethrow'],1628369,,,1610612747,0,0,2021-11-20T00:46:11Z,70000,,,0,,J. Tatum shooting personal FOUL (1 PF) (Davis 2 FT),"[1628369, 203076]",1610612738.0,BOS,shooting,,,Tatum,J. Tatum,,,,,1626300.0,1.0,0.0,Davis,203076.0,,,,,,,,,,,,,,,,
9,PT11M44.00S,2021-11-20T00:46:22.1Z,1,REGULAR,freethrow,1 of 2,[],203076,,,1610612747,0,1,2021-11-20T00:46:22Z,90000,,,0,,A. Davis Free Throw 1 of 2 (1 PTS),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
10,PT11M44.00S,2021-11-20T00:46:35.5Z,1,REGULAR,freethrow,2 of 2,[],203076,,,1610612747,0,2,2021-11-20T00:46:35Z,100000,,,0,,A. Davis Free Throw 2 of 2 (2 PTS),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,,,Made,2.0,,,,,,,,,,,,,,
11,PT11M34.00S,2021-11-20T00:46:46.8Z,1,REGULAR,turnover,bad pass,[],203471,,,1610612738,0,2,2021-11-20T00:46:53Z,110000,,,0,,D. Schroder bad pass TURNOVER (1 TO),"[203471, 202340]",1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,,,,,,,,1.0,Bradley,202340.0,,,,,,,,,,,
12,PT11M34.00S,2021-11-20T00:46:46.8Z,1,REGULAR,steal,,[],202340,,,1610612747,0,2,2021-11-20T00:46:48Z,120000,,,0,,A. Bradley STEAL (1 STL),[202340],1610612747.0,LAL,,,,Bradley,A. Bradley,,,,,,,,,,,,,,,,,,,,,,,,,
13,PT11M30.00S,2021-11-20T00:46:50.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",203076,8.229303547963205,39.950980392156865,1610612747,0,4,2021-11-20T00:47:01Z,130000,50.0,25.0,1,left,A. Davis running Layup (4 PTS) (R. Westbrook 1 AST),"[203076, 201566]",1610612747.0,LAL,running,,,Davis,A. Davis,,,,,,,,,,Made,4.0,,,,5.6,R. Westbrook,201566.0,1.0,,,,,,,
15,PT11M17.00S,2021-11-20T00:47:03.4Z,1,REGULAR,3pt,Jump Shot,[],1628369,71.82982917214193,80.14705882352942,1610612738,3,4,2021-11-20T00:47:30Z,150000,151.0,212.0,1,right,J. Tatum 26' 3PT turnaround (3 PTS) (M. Smart 1 AST),"[1628369, 203935]",1610612738.0,BOS,turnaround,,,Tatum,J. Tatum,,,,,,,,,,Made,3.0,,,,26.03,M. Smart,203935.0,1.0,,,,,,,
16,PT10M58.00S,2021-11-20T00:47:23.5Z,1,REGULAR,3pt,Jump Shot,[],203076,6.915243101182654,96.56862745098039,1610612747,3,4,2021-11-20T00:47:37Z,160000,-233.0,13.0,1,left,MISS A. Davis 3PT,[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,,,Missed,,,,,23.31,,,,,,,,,,
