actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-03-06T18:10:56.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-06T18:10:56Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-03-06T18:10:57.9Z,1,REGULAR,jumpball,recovered,[],201143,,,1610612738,0,0,2022-03-06T18:10:57Z,40000,,,0,,Jump Ball R. Williams III vs. A. Drummond: Tip to A. Horford,"[201143, 1629057, 203083]",1610612738.0,BOS,startperiod,A. Horford,201143.0,Horford,A. Horford,Williams III,1629057.0,Drummond,203083.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2022-03-06T18:11:12.5Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,0,0,2022-03-06T18:11:12Z,70000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2022-03-06T18:11:27.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629057,92.32917214191852,48.77450980392157,1610612738,2,0,2022-03-06T18:11:33Z,80000,-6.0,20.0,1,right,R. Williams III alley-oop DUNK (2 PTS) (J. Tatum 1 AST),"[1629057, 1628369]",1610612738.0,BOS,alley-oop,,,Williams III,R. Williams III,,,,,2.05,Made,2.0,J. Tatum,1628369.0,1.0,,,,,,,,,,,,,,,
10,PT11M21.00S,2022-03-06T18:11:47.2Z,1,REGULAR,turnover,out-of-bounds,[],202681,,,1610612751,2,0,2022-03-06T18:11:53Z,100000,,,0,,K. Irving bad pass out-of-bounds TURNOVER (1 TO),[202681],1610612751.0,BKN,bad pass,,,Irving,K. Irving,,,,,,,,,,,202007.0,1.0,,,,,,,,,,,,,
11,PT11M17.00S,2022-03-06T18:11:57.6Z,1,REGULAR,foul,personal,[],203552,,,1610612738,2,0,2022-03-06T18:12:07Z,110000,,,0,,S. Curry personal FOUL (1 PF),"[203552, 1629057]",1610612751.0,BKN,,,,Curry,S. Curry,,,,,,,,,,,201246.0,,1.0,0.0,Williams III,1629057.0,,,,,,,,,
13,PT11M06.00S,2022-03-06T18:12:31.6Z,1,REGULAR,turnover,bad pass,[],203935,,,1610612738,2,0,2022-03-06T18:12:34Z,130000,,,0,,M. Smart bad pass TURNOVER (1 TO),"[203935, 203552]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,1.0,,,,,Curry,203552.0,,,,,,,
14,PT11M06.00S,2022-03-06T18:12:31.6Z,1,REGULAR,steal,,[],203552,,,1610612751,2,0,2022-03-06T18:12:33Z,140000,,,0,,S. Curry STEAL (1 STL),[203552],1610612751.0,BKN,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,,,,
15,PT10M51.00S,2022-03-06T18:12:45.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203552,7.835085413929041,45.588235294117645,1610612751,2,2,2022-03-06T18:12:50Z,150000,22.0,21.0,1,left,S. Curry driving finger roll Layup (2 PTS),[203552],1610612751.0,BKN,driving finger roll,,,Curry,S. Curry,,,,,3.06,Made,2.0,,,,,,,,,,,,,,,,,,
16,PT10M41.00S,2022-03-06T18:12:56.7Z,1,REGULAR,2pt,Jump Shot,[],1627759,75.3777923784494,31.862745098039213,1610612738,2,2,2022-03-06T18:13:05Z,160000,-91.0,179.0,1,right,MISS J. Brown 20' pullup Shot,[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,20.06,Missed,,,,,,,,,,,,,,,,,,,
17,PT10M39.00S,2022-03-06T18:12:58.7Z,1,REGULAR,rebound,defensive,[],203552,,,1610612751,2,2,2022-03-06T18:13:05Z,170000,,,0,,S. Curry REBOUND (Off:0 Def:1),[203552],1610612751.0,BKN,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,16.0,1.0,1.0,0.0,,,
18,PT10M24.00S,2022-03-06T18:13:12.7Z,1,REGULAR,2pt,Jump Shot,[],201142,20.581471747700395,44.11764705882353,1610612751,2,4,2022-03-06T18:13:18Z,180000,29.0,141.0,1,left,K. Durant 14' pullup Jump Shot (2 PTS),[201142],1610612751.0,BKN,pullup,,,Durant,K. Durant,,,,,14.4,Made,2.0,,,,,,,,,,,,,,,,,,
19,PT10M07.00S,2022-03-06T18:13:29.5Z,1,REGULAR,foul,personal,['3freethrow'],201142,,,1610612738,2,4,2022-03-06T18:13:40Z,190000,,,0,,K. Durant shooting personal FOUL (1 PF) (Tatum 3 FT),"[201142, 1628369]",1610612751.0,BKN,shooting,,,Durant,K. Durant,,,,,,,,,,,202007.0,,1.0,0.0,Tatum,1628369.0,,,,,,,,,
21,PT10M07.00S,2022-03-06T18:14:03.2Z,1,REGULAR,freethrow,1 of 3,[],1628369,,,1610612738,2,4,2022-03-06T18:14:03Z,210000,,,0,,MISS J. Tatum Free Throw 1 of 3,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Missed,,,,,,,,,,,,,,,,,,,
22,PT10M07.00S,2022-03-06T18:14:03.2Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612738,2,4,2022-03-06T18:14:03Z,220000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,
23,PT10M07.00S,2022-03-06T18:14:20.9Z,1,REGULAR,freethrow,2 of 3,[],1628369,,,1610612738,2,4,2022-03-06T18:14:20Z,230000,,,0,,MISS J. Tatum Free Throw 2 of 3,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Missed,,,,,,,,,,,,,,,,,,,
24,PT10M07.00S,2022-03-06T18:14:20.9Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612738,2,4,2022-03-06T18:14:20Z,240000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,
25,PT10M07.00S,2022-03-06T18:14:40.5Z,1,REGULAR,freethrow,3 of 3,[],1628369,,,1610612738,3,4,2022-03-06T18:14:40Z,250000,,,0,,J. Tatum Free Throw 3 of 3 (1 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
26,PT09M57.00S,2022-03-06T18:14:52.6Z,1,REGULAR,3pt,Jump Shot,[],201142,34.641918528252305,36.029411764705884,1610612751,3,7,2022-03-06T18:16:23Z,260000,70.0,273.0,1,left,K. Durant 28' 3PT pullup (5 PTS),[201142],1610612751.0,BKN,pullup,,,Durant,K. Durant,,,,,28.19,Made,5.0,,,,,,,,,,,,,,,,,,
27,PT09M48.00S,2022-03-06T18:15:06.0Z,1,REGULAR,foul,personal,['2freethrow'],203083,,,1610612738,3,7,2022-03-06T18:15:10Z,270000,,,0,,A. Drummond shooting personal FOUL (1 PF) (Smart 2 FT),"[203083, 203935]",1610612751.0,BKN,shooting,,,Drummond,A. Drummond,,,,,,,,,,,201246.0,,1.0,0.0,Smart,203935.0,,,,,,,,,
29,PT09M48.00S,2022-03-06T18:15:24.7Z,1,REGULAR,freethrow,1 of 2,[],203935,,,1610612738,3,7,2022-03-06T18:15:24Z,290000,,,0,,MISS M. Smart Free Throw 1 of 2,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,Missed,,,,,,,,,,,,,,,,,,,
30,PT09M48.00S,2022-03-06T18:15:24.7Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612738,3,7,2022-03-06T18:15:24Z,300000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,29.0,,,,,,
31,PT09M48.00S,2022-03-06T18:15:36.3Z,1,REGULAR,freethrow,2 of 2,[],203935,,,1610612738,4,7,2022-03-06T18:15:36Z,310000,,,0,,M. Smart Free Throw 2 of 2 (1 PTS),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
32,PT09M35.00S,2022-03-06T18:15:53.7Z,1,REGULAR,foul,personal,[],201143,,,1610612751,4,7,2022-03-06T18:16:00Z,320000,,,0,,A. Horford personal FOUL (1 PF),"[201143, 201142]",1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,202007.0,,1.0,0.0,Durant,201142.0,,,,,,,,,
34,PT09M25.00S,2022-03-06T18:16:14.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201142,19.004599211563733,35.049019607843135,1610612751,4,7,2022-03-06T18:16:17Z,340000,75.0,126.0,1,left,MISS K. Durant 14' turnaround fadeaway Shot,[201142],1610612751.0,BKN,turnaround fadeaway,,,Durant,K. Durant,,,,,14.66,Missed,,,,,,,,,,,,,,,,,,,
35,PT09M23.00S,2022-03-06T18:16:16.6Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,4,7,2022-03-06T18:16:17Z,350000,,,0,,R. Williams III REBOUND (Off:0 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,34.0,1.0,1.0,0.0,,,
36,PT09M11.00S,2022-03-06T18:16:28.4Z,1,REGULAR,3pt,Jump Shot,[],1628369,92.06636005256242,3.431372549019608,1610612738,7,7,2022-03-06T18:16:33Z,360000,-233.0,22.0,1,right,J. Tatum 3PT  (4 PTS) (A. Horford 1 AST),"[1628369, 201143]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,23.38,Made,4.0,A. Horford,201143.0,1.0,,,,,,,,,,,,,,,
38,PT08M58.00S,2022-03-06T18:16:47.6Z,1,REGULAR,foul,personal,[],1629057,,,1610612751,7,7,2022-03-06T18:17:00Z,380000,,,0,,R. Williams III personal FOUL (1 PF),"[1629057, 203083]",1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,201246.0,,1.0,0.0,Drummond,203083.0,,,,,,,,,
40,PT08M46.00S,2022-03-06T18:17:13.9Z,1,REGULAR,3pt,Jump Shot,[],201142,31.35676741130092,32.1078431372549,1610612751,7,10,2022-03-06T18:17:18Z,400000,89.0,242.0,1,left,K. Durant 25' 3PT step back (8 PTS) (A. Drummond 1 AST),"[201142, 203083]",1610612751.0,BKN,step back,,,Durant,K. Durant,,,,,25.83,Made,8.0,A. Drummond,203083.0,1.0,,,,,,,,,,,,,,,
42,PT08M33.00S,2022-03-06T18:17:26.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629057,92.32917214191852,50.245098039215684,1610612738,9,10,2022-03-06T18:17:32Z,420000,1.0,20.0,1,right,R. Williams III alley-oop DUNK (4 PTS) (M. Smart 1 AST),"[1629057, 203935]",1610612738.0,BOS,alley-oop,,,Williams III,R. Williams III,,,,,1.96,Made,4.0,M. Smart,203935.0,1.0,,,,,,,,,,,,,,,
44,PT08M25.00S,2022-03-06T18:17:37.6Z,1,REGULAR,violation,kicked ball,[],201143,,,1610612751,9,10,2022-03-06T18:17:55Z,440000,,,0,,A. Horford kicked ball VIOLATION,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,202007.0,,,,,,,,,,,,,,
45,PT08M08.00S,2022-03-06T18:18:07.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628971,7.178055190538765,47.30392156862745,1610612751,9,10,2022-03-06T18:18:17Z,450000,13.0,15.0,1,left,MISS B. Brown driving Layup - blocked,"[1628971, 1629057]",1610612751.0,BKN,driving,,,Brown,B. Brown,,,,,2.02,Missed,,,,,,,,,,,,,,,,,Williams III,1629057.0,
46,PT08M08.00S,2022-03-06T18:18:07.1Z,1,REGULAR,block,,[],1629057,,,1610612751,9,10,2022-03-06T18:18:09Z,460000,,,0,,R. Williams III BLOCK (1 BLK),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
47,PT08M07.00S,2022-03-06T18:18:08.1Z,1,REGULAR,rebound,offensive,[],203083,,,1610612751,9,10,2022-03-06T18:18:42Z,470000,,,0,,A. Drummond REBOUND (Off:1 Def:0),[203083],1610612751.0,BKN,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,,45.0,1.0,0.0,1.0,,,
48,PT08M06.00S,2022-03-06T18:18:11.3Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],203083,16.16294349540079,14.728860294117647,1610612751,9,10,2022-03-06T18:18:35Z,480000,176.0,99.0,1,left,MISS A. Drummond 20' Jump Shot,[203083],1610612751.0,BKN,,,,Drummond,A. Drummond,,,,,20.25,Missed,,,,,,,,,,,,,,,,,,,
