actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,value
24,PT10M01.00S,2021-12-31T18:14:17.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629661,75.64060446780552,92.64705882352942,1610612756,4,7,2021-12-31T18:15:47Z,240000,213.0,176.0,1,right,C. Johnson 27' 3PT running (3 PTS) (D. Booker 1 AST),"[1629661, 1626164]",1610612756.0,PHX,running,,,Johnson,C. Johnson,,,,,27.68,Made,3.0,D. Booker,1626164.0,1.0,,,,,,,,,,,,,,,
26,PT09M43.00S,2021-12-31T18:14:35.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203935,8.623521681997373,52.20588235294118,1610612738,6,7,2021-12-31T18:15:00Z,260000,-11.0,29.0,1,left,M. Smart driving floating Jump Shot (6 PTS),[203935],1610612738.0,BOS,driving floating,,,Smart,M. Smart,,,,,3.06,Made,6.0,,,,,,,,,,,,,,,,,,
27,PT09M14.00S,2021-12-31T18:15:03.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626164,87.59855453350855,37.5,1610612756,6,7,2021-12-31T18:15:19Z,270000,-62.0,64.0,1,right,MISS D. Booker 8' driving floating Shot,[1626164],1610612756.0,PHX,driving floating,,,Booker,D. Booker,,,,,8.95,Missed,,,,,,,,,,,,,,,,,,,
28,PT09M12.00S,2021-12-31T18:15:05.6Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,6,7,2021-12-31T18:15:19Z,280000,,,0,,A. Horford REBOUND (Off:0 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,27.0,,,,,,,,,1.0,1.0,0.0,,,
29,PT09M11.00S,2021-12-31T18:15:09.8Z,1,REGULAR,turnover,out-of-bounds,[],1627759,,,1610612738,6,7,2021-12-31T18:17:52Z,290000,,,0,,J. Brown lost ball out-of-bounds TURNOVER (1 TO),[1627759],1610612738.0,BOS,lost ball,,,Brown,J. Brown,,,,,,,,,,,,,,,,,1.0,,,,,,,,
30,PT08M58.00S,2021-12-31T18:15:37.4Z,1,REGULAR,foul,personal,[],201143,,,1610612756,6,7,2021-12-31T18:15:41Z,300000,,,0,,A. Horford personal FOUL (1 PF),"[201143, 1630188]",1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,202053.0,1.0,0.0,Smith,1630188.0,,,,,,,,,
32,PT08M53.00S,2021-12-31T18:16:01.3Z,1,REGULAR,turnover,5-second-violation,['team'],0,,,1610612756,6,7,2021-12-31T18:16:12Z,320000,,,0,,PHX 5-second-violation Team TURNOVER,[],1610612756.0,PHX,,,,,,,,,,,,,,,,,202053.0,,,,,,,,,,,,,
33,PT08M46.00S,2021-12-31T18:16:18.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627759,23.078186596583443,8.333333333333332,1610612738,6,7,2021-12-31T18:16:26Z,330000,208.0,164.0,1,left,MISS J. Brown 26' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,26.54,Missed,,,,,,,,,,,,,,,,,,,
34,PT08M44.00S,2021-12-31T18:16:20.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,6,7,2021-12-31T18:16:26Z,340000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,33.0,,,,,,,,,,,,,,
35,PT08M44.00S,2021-12-31T18:16:24.8Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,6,7,2021-12-31T18:16:24Z,350000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,PT08M41.00S,2021-12-31T18:16:42.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover', '2ndchance']",1629057,13.87976346911958,43.627450980392155,1610612738,8,7,2021-12-31T18:19:11Z,360000,32.0,78.0,1,left,R. Williams III 8' floating Jump Shot (2 PTS) (J. Brown 1 AST),"[1629057, 1627759]",1610612738.0,BOS,floating,,,Williams III,R. Williams III,,,,,8.43,Made,2.0,J. Brown,1627759.0,1.0,,,,,,,,,,,,,,,
38,PT08M26.00S,2021-12-31T18:16:59.4Z,1,REGULAR,2pt,Jump Shot,[],1626164,76.5604467805519,41.42156862745098,1610612756,8,7,2021-12-31T18:17:11Z,380000,-43.0,168.0,1,right,MISS D. Booker 17' fadeaway Shot,[1626164],1610612756.0,PHX,fadeaway,,,Booker,D. Booker,,,,,17.32,Missed,,,,,,,,,,,,,,,,,,,
39,PT08M23.00S,2021-12-31T18:17:02.4Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,8,7,2021-12-31T18:17:11Z,390000,,,0,,R. Williams III REBOUND (Off:0 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,38.0,,,,,,,,,1.0,1.0,0.0,,,
40,PT08M18.00S,2021-12-31T18:17:16.3Z,1,REGULAR,turnover,lost ball,[],1627759,,,1610612738,8,7,2021-12-31T18:17:40Z,400000,,,0,,J. Brown lost ball TURNOVER (2 TO),"[1627759, 101108]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,2.0,Paul,101108.0,,,,,,
41,PT08M18.00S,2021-12-31T18:17:16.3Z,1,REGULAR,steal,,[],101108,,,1610612756,8,7,2021-12-31T18:17:20Z,410000,,,0,,C. Paul STEAL (1 STL),[101108],1610612756.0,PHX,,,,Paul,C. Paul,,,,,,,,,,,,,,,,,,,,,,,,,
42,PT08M16.00S,2021-12-31T18:17:21.6Z,1,REGULAR,foul,personal,[],1627759,,,1610612756,8,7,2021-12-31T18:20:42Z,420000,,,0,,J. Brown take personal FOUL (1 PF),"[1627759, 101108]",1610612738.0,BOS,take,,,Brown,J. Brown,,,,,,,,,,,,1628482.0,1.0,0.0,Paul,101108.0,,,,,,,,,
44,PT07M56.00S,2021-12-31T18:17:47.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628969,90.48948751642575,95.83333333333334,1610612756,8,10,2021-12-31T18:17:52Z,440000,229.0,37.0,1,right,M. Bridges 3PT  (3 PTS) (C. Paul 1 AST),"[1628969, 101108]",1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,23.22,Made,3.0,C. Paul,101108.0,1.0,,,,,,,,,,,,,,,
46,PT07M42.00S,2021-12-31T18:18:01.5Z,1,REGULAR,3pt,Jump Shot,[],1629684,7.440867279894875,95.58823529411765,1610612738,8,10,2021-12-31T18:18:32Z,460000,-228.0,17.0,1,left,MISS G. Williams 3PT,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,22.86,Missed,,,,,,,,,,,,,,,,,,,
47,PT07M39.00S,2021-12-31T18:18:04.5Z,1,REGULAR,rebound,offensive,[],1629057,,,1610612738,8,10,2021-12-31T18:18:32Z,470000,,,0,,R. Williams III REBOUND (Off:1 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,46.0,,,,,,,,,2.0,1.0,1.0,,,
48,PT07M27.00S,2021-12-31T18:18:16.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1627759,23.603810775295663,86.02941176470588,1610612738,11,10,2021-12-31T18:21:23Z,480000,-180.0,169.0,1,left,J. Brown 24' 3PT pullup (3 PTS),[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,24.72,Made,3.0,,,,,,,,,,,,,,,,,,
49,PT07M13.00S,2021-12-31T18:18:32.3Z,1,REGULAR,3pt,Jump Shot,[],101108,73.14388961892247,87.99019607843137,1610612756,11,10,2021-12-31T18:28:41Z,490000,190.0,200.0,1,right,MISS C. Paul 27' pullup 3PT,[101108],1610612756.0,PHX,pullup,,,Paul,C. Paul,,,,,27.58,Missed,,,,,,,,,,,,,,,,,,,
50,PT07M11.00S,2021-12-31T18:18:34.3Z,1,REGULAR,rebound,offensive,[],1629661,,,1610612756,11,10,2021-12-31T18:19:01Z,500000,,,0,,C. Johnson REBOUND (Off:1 Def:0),[1629661],1610612756.0,PHX,,,,Johnson,C. Johnson,,,,,,,,,,,49.0,,,,,,,,,1.0,0.0,1.0,,,
51,PT07M02.00S,2021-12-31T18:18:42.3Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1626164,91.27792378449409,49.01960784313725,1610612756,11,12,2021-12-31T18:19:07Z,510000,-5.0,29.0,1,right,D. Booker driving DUNK (2 PTS),[1626164],1610612756.0,PHX,driving,,,Booker,D. Booker,,,,,2.99,Made,2.0,,,,,,,,,,,,,,,,,,
52,PT06M51.00S,2021-12-31T18:18:57.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,10.5946123521682,40.68627450980392,1610612738,11,12,2021-12-31T18:19:57Z,520000,47.0,47.0,1,left,MISS J. Brown 6' driving Layup - blocked,"[1627759, 1630188]",1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,6.63,Missed,,,,,,,,,,,,,,,,,Smith,1630188.0,
53,PT06M51.00S,2021-12-31T18:18:57.6Z,1,REGULAR,block,,[],1630188,,,1610612738,11,12,2021-12-31T18:19:33Z,530000,,,0,,J. Smith BLOCK (1 BLK),[1630188],1610612756.0,PHX,,,,Smith,J. Smith,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT06M49.00S,2021-12-31T18:18:59.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,11,12,2021-12-31T18:19:57Z,540000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,52.0,,,,,,,,,,,,,,
