actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,value
76,PT05M06.00S,2021-12-31T18:24:14.1Z,1,REGULAR,rebound,defensive,[],1630188,,,1610612756,13,14,2021-12-31T18:24:28Z,760000,,,0,,J. Smith REBOUND (Off:0 Def:2),[1630188],1610612756.0,PHX,,,,Smith,J. Smith,,,,,,,,,,,75.0,,,,,,,,,2.0,2.0,0.0,,,
77,PT05M00.00S,2021-12-31T18:24:34.4Z,1,REGULAR,foul,technical,['1freethrow'],1626164,,,1610612756,13,14,2021-12-31T18:24:43Z,770000,,,0,,D. Booker technical FOUL (1 Tech),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,,,,,1662.0,0.0,1.0,,,,,,,,,,,
78,PT05M00.00S,2021-12-31T18:24:50.0Z,1,REGULAR,freethrow,1 of 1,[],1626196,,,1610612756,14,14,2021-12-31T18:24:50Z,780000,,,0,,J. Richardson technical Free Throw 1 of 1 (1 PTS),[1626196],1610612738.0,BOS,technical,,,Richardson,J. Richardson,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
79,PT05M00.00S,2021-12-31T18:24:52.4Z,1,REGULAR,substitution,out,[],1628969,,,1610612756,14,14,2021-12-31T18:25:08Z,790000,,,0,,SUB out: M. Bridges,[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M00.00S,2021-12-31T18:24:52.4Z,1,REGULAR,substitution,in,[],1629013,,,1610612756,14,14,2021-12-31T18:25:08Z,800000,,,0,,SUB in: L. Shamet,[1629013],1610612756.0,PHX,,,,Shamet,L. Shamet,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT04M48.00S,2021-12-31T18:25:24.5Z,1,REGULAR,2pt,Jump Shot,[],101108,75.24638633377135,52.69607843137255,1610612756,14,14,2021-12-31T18:25:31Z,810000,13.0,180.0,1,right,MISS C. Paul 18' pullup Shot,[101108],1610612756.0,PHX,pullup,,,Paul,C. Paul,,,,,18.07,Missed,,,,,,,,,,,,,,,,,,,
82,PT04M46.00S,2021-12-31T18:25:26.5Z,1,REGULAR,rebound,offensive,[],1630188,,,1610612756,14,14,2021-12-31T18:25:31Z,820000,,,0,,J. Smith REBOUND (Off:1 Def:2),[1630188],1610612756.0,PHX,,,,Smith,J. Smith,,,,,,,,,,,81.0,,,,,,,,,3.0,2.0,1.0,,,
83,PT04M43.00S,2021-12-31T18:25:29.3Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",1630188,86.94152431011827,41.911764705882355,1610612756,14,16,2021-12-31T18:25:43Z,830000,-40.0,70.0,1,right,J. Smith 8' turnaround Hook (6 PTS),[1630188],1610612756.0,PHX,turnaround,,,Smith,J. Smith,,,,,8.1,Made,6.0,,,,,,,,,,,,,,,,,,
84,PT04M28.00S,2021-12-31T18:25:44.2Z,1,REGULAR,3pt,Jump Shot,[],1626196,27.808804204993432,81.12745098039215,1610612738,17,16,2021-12-31T18:25:50Z,840000,-156.0,209.0,1,left,J. Richardson 26' 3PT  (4 PTS) (M. Smart 1 AST),"[1626196, 203935]",1610612738.0,BOS,,,,Richardson,J. Richardson,,,,,26.05,Made,4.0,M. Smart,203935.0,1.0,,,,,,,,,,,,,,,
86,PT04M10.00S,2021-12-31T18:26:03.9Z,1,REGULAR,2pt,Jump Shot,[],101108,75.3777923784494,58.82352941176471,1610612756,17,16,2021-12-31T18:28:26Z,860000,44.0,179.0,1,right,MISS C. Paul 18' pullup Shot,[101108],1610612756.0,PHX,pullup,,,Paul,C. Paul,,,,,18.43,Missed,,,,,,,,,,,,,,,,,,,
87,PT04M07.00S,2021-12-31T18:26:06.9Z,1,REGULAR,rebound,defensive,[],1629641,,,1610612738,17,16,2021-12-31T18:26:11Z,870000,,,0,,R. Langford REBOUND (Off:0 Def:1),[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,,,,86.0,,,,,,,,,1.0,1.0,0.0,,,
88,PT03M55.00S,2021-12-31T18:26:18.5Z,1,REGULAR,turnover,lost ball,[],1629057,,,1610612738,17,16,2021-12-31T18:26:26Z,880000,,,0,,R. Williams III lost ball TURNOVER (2 TO),"[1629057, 1626164]",1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,2.0,Booker,1626164.0,,,,,,
89,PT03M55.00S,2021-12-31T18:26:18.5Z,1,REGULAR,steal,,[],1626164,,,1610612756,17,16,2021-12-31T18:26:50Z,890000,,,0,,D. Booker STEAL (1 STL),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT03M48.00S,2021-12-31T18:26:26.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626164,88.25558475689881,98.77450980392157,1610612756,17,16,2021-12-31T18:27:59Z,900000,244.0,58.0,1,right,MISS D. Booker 25' pullup 3PT,[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,25.07,Missed,,,,,,,,,,,,,,,,,,,
91,PT03M44.00S,2021-12-31T18:26:30.1Z,1,REGULAR,rebound,defensive,[],1626196,,,1610612738,17,16,2021-12-31T18:26:32Z,910000,,,0,,J. Richardson REBOUND (Off:0 Def:1),[1626196],1610612738.0,BOS,,,,Richardson,J. Richardson,,,,,,,,,,,90.0,,,,,,,,,1.0,1.0,0.0,,,
92,PT03M33.00S,2021-12-31T18:26:40.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629641,7.5722733245729295,46.07843137254902,1610612738,19,16,2021-12-31T18:26:46Z,920000,20.0,19.0,1,left,R. Langford cutting Layup (2 PTS) (R. Williams III 2 AST),"[1629641, 1629057]",1610612738.0,BOS,cutting,,,Langford,R. Langford,,,,,2.71,Made,2.0,R. Williams III,1629057.0,2.0,,,,,,,,,,,,,,,
94,PT03M33.00S,2021-12-31T18:26:48.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612756,19,16,2021-12-31T18:26:48Z,940000,,,0,,PHX Timeout,[],1610612756.0,PHX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,PT03M33.00S,2021-12-31T18:29:18.0Z,1,REGULAR,substitution,out,[],203935,,,1610612756,19,16,2021-12-31T18:29:47Z,950000,,,0,,SUB out: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
96,PT03M33.00S,2021-12-31T18:29:18.0Z,1,REGULAR,substitution,out,[],101108,,,1610612756,19,16,2021-12-31T18:29:47Z,960000,,,0,,SUB out: C. Paul,[101108],1610612756.0,PHX,,,,Paul,C. Paul,,,,,,,,,,,,,,,,,,,,,,,,,
97,PT03M33.00S,2021-12-31T18:29:18.0Z,1,REGULAR,substitution,out,[],1630188,,,1610612756,19,16,2021-12-31T18:29:47Z,970000,,,0,,SUB out: J. Smith,[1630188],1610612756.0,PHX,,,,Smith,J. Smith,,,,,,,,,,,,,,,,,,,,,,,,,
98,PT03M33.00S,2021-12-31T18:29:18.0Z,1,REGULAR,substitution,out,[],1629661,,,1610612756,19,16,2021-12-31T18:29:47Z,980000,,,0,,SUB out: C. Johnson,[1629661],1610612756.0,PHX,,,,Johnson,C. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,
99,PT03M33.00S,2021-12-31T18:29:18.0Z,1,REGULAR,substitution,in,[],1630202,,,1610612756,19,16,2021-12-31T18:29:47Z,990000,,,0,,SUB in: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,
100,PT03M33.00S,2021-12-31T18:29:18.0Z,1,REGULAR,substitution,in,[],1626166,,,1610612756,19,16,2021-12-31T18:29:47Z,1000000,,,0,,SUB in: C. Payne,[1626166],1610612756.0,PHX,,,,Payne,C. Payne,,,,,,,,,,,,,,,,,,,,,,,,,
101,PT03M33.00S,2021-12-31T18:29:18.0Z,1,REGULAR,substitution,in,[],1629150,,,1610612756,19,16,2021-12-31T18:29:47Z,1010000,,,0,,SUB in: E. Terry,[1629150],1610612756.0,PHX,,,,Terry,E. Terry,,,,,,,,,,,,,,,,,,,,,,,,,
102,PT03M33.00S,2021-12-31T18:29:18.0Z,1,REGULAR,substitution,in,[],1630688,,,1610612756,19,16,2021-12-31T18:29:47Z,1020000,,,0,,SUB in: I. Wainright,[1630688],1610612756.0,PHX,,,,Wainright,I. Wainright,,,,,,,,,,,,,,,,,,,,,,,,,
103,PT03M11.00S,2021-12-31T18:30:37.7Z,1,REGULAR,jumpball,recovered,[],1630202,,,1610612756,19,16,2021-12-31T18:30:37Z,1030000,,,0,,Jump Ball G. Williams vs. L. Shamet: Tip to P. Pritchard,"[1630202, 1629684, 1629013]",1610612738.0,BOS,heldball,P. Pritchard,1630202.0,Pritchard,P. Pritchard,Williams,1629684.0,Shamet,1629013.0,,,,,,,,,,,,,,,,,,,,,
106,PT03M11.00S,2021-12-31T18:30:37.7Z,1,REGULAR,turnover,bad pass,[],1629150,,,1610612756,19,16,2021-12-31T18:36:34Z,1060000,,,0,,E. Terry bad pass TURNOVER (1 TO),"[1629150, 1626196]",1610612756.0,PHX,,,,Terry,E. Terry,,,,,,,,,,,,,,,,,1.0,Richardson,1626196.0,,,,,,
107,PT03M11.00S,2021-12-31T18:30:37.7Z,1,REGULAR,steal,,[],1626196,,,1610612738,19,16,2021-12-31T18:31:35Z,1070000,,,0,,J. Richardson STEAL (1 STL),[1626196],1610612738.0,BOS,,,,Richardson,J. Richardson,,,,,,,,,,,,,,,,,,,,,,,,,
108,PT03M04.00S,2021-12-31T18:30:45.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630202,26.231931668856767,82.35294117647058,1610612738,22,16,2021-12-31T18:31:10Z,1080000,-162.0,194.0,1,left,P. Pritchard 25' 3PT  (3 PTS) (R. Williams III 3 AST),"[1630202, 1629057]",1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,25.27,Made,3.0,R. Williams III,1629057.0,3.0,,,,,,,,,,,,,,,
110,PT02M46.00S,2021-12-31T18:31:04.2Z,1,REGULAR,2pt,Jump Shot,[],1626164,78.66294349540078,83.57843137254902,1610612756,22,18,2021-12-31T18:33:56Z,1100000,168.0,148.0,1,right,D. Booker 22' pullup Jump Shot (4 PTS),[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,22.39,Made,4.0,,,,,,,,,,,,,,,,,,
111,PT02M27.00S,2021-12-31T18:31:22.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626196,15.637319316688567,44.39721200980392,1610612738,22,18,2021-12-31T18:31:57Z,1110000,28.0,94.0,1,left,MISS J. Richardson 9' driving Layup,[1626196],1610612738.0,BOS,driving,,,Richardson,J. Richardson,,,,,9.86,Missed,,,,,,,,,,,,,,,,,,,
112,PT02M24.00S,2021-12-31T18:31:25.5Z,1,REGULAR,rebound,defensive,[],1629150,,,1610612756,22,18,2021-12-31T18:32:42Z,1120000,,,0,,E. Terry REBOUND (Off:0 Def:1),[1629150],1610612756.0,PHX,,,,Terry,E. Terry,,,,,,,,,,,111.0,,,,,,,,,1.0,1.0,0.0,,,
115,PT02M21.00S,2021-12-31T18:31:37.7Z,1,REGULAR,foul,offensive,[],1630688,,,1610612756,22,18,2021-12-31T18:34:03Z,1150000,,,0,,I. Wainright offensive FOUL (1 PF),"[1630688, 1629684]",1610612756.0,PHX,,,,Wainright,I. Wainright,,,,,,,,,,,,1662.0,1.0,0.0,Williams,1629684.0,,,,,,,,,
117,PT02M21.00S,2021-12-31T18:31:37.7Z,1,REGULAR,turnover,offensive foul,[],1630688,,,1610612756,22,18,2021-12-31T18:31:37Z,1170000,,,0,,I. Wainright offensive foul TURNOVER (1 TO),[1630688],1610612756.0,PHX,,,,Wainright,I. Wainright,,,,,,,,,,,,1662.0,,,,,1.0,,,,,,,,
118,PT02M21.00S,2021-12-31T18:31:55.2Z,1,REGULAR,substitution,out,[],1629684,,,1610612738,22,18,2021-12-31T18:32:00Z,1180000,,,0,,SUB out: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
119,PT02M21.00S,2021-12-31T18:31:55.2Z,1,REGULAR,substitution,out,[],1629057,,,1610612738,22,18,2021-12-31T18:32:00Z,1190000,,,0,,SUB out: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
120,PT02M21.00S,2021-12-31T18:31:55.2Z,1,REGULAR,substitution,in,[],1627759,,,1610612738,22,18,2021-12-31T18:32:00Z,1200000,,,0,,SUB in: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT02M21.00S,2021-12-31T18:31:55.2Z,1,REGULAR,substitution,in,[],201143,,,1610612738,22,18,2021-12-31T18:32:00Z,1210000,,,0,,SUB in: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,
122,PT02M08.00S,2021-12-31T18:32:06.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1627759,15.982260183968464,54.65686274509803,1610612738,24,18,2021-12-31T18:32:18Z,1220000,-23.0,98.0,1,left,J. Brown 10' pullup Jump Shot (5 PTS),[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,10.04,Made,5.0,,,,,,,,,,,,,,,,,,
123,PT01M56.00S,2021-12-31T18:32:18.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626164,86.94152431011827,64.2156862745098,1610612756,24,18,2021-12-31T18:36:53Z,1230000,71.0,70.0,1,right,MISS D. Booker 9' pullup Shot,[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,9.99,Missed,,,,,,,,,,,,,,,,,,,
124,PT01M53.00S,2021-12-31T18:32:21.1Z,1,REGULAR,rebound,defensive,[],1629641,,,1610612738,24,18,2021-12-31T18:32:27Z,1240000,,,0,,R. Langford REBOUND (Off:0 Def:2),[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,,,,123.0,,,,,,,,,2.0,2.0,0.0,,,
125,PT01M44.00S,2021-12-31T18:32:29.6Z,1,REGULAR,3pt,Jump Shot,[],1627759,25.837713534822605,82.59803921568627,1610612738,27,18,2021-12-31T18:32:34Z,1250000,-163.0,190.0,1,left,J. Brown 25' 3PT  (8 PTS) (P. Pritchard 1 AST),"[1627759, 1630202]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,25.06,Made,8.0,P. Pritchard,1630202.0,1.0,,,,,,,,,,,,,,,
127,PT01M35.00S,2021-12-31T18:32:39.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626166,88.38699080157687,36.029411764705884,1610612756,27,18,2021-12-31T18:32:46Z,1270000,-70.0,57.0,1,right,MISS C. Payne 9' driving floating Shot,[1626166],1610612756.0,PHX,driving floating,,,Payne,C. Payne,,,,,9.0,Missed,,,,,,,,,,,,,,,,,,,
128,PT01M32.00S,2021-12-31T18:32:42.1Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,27,18,2021-12-31T18:32:46Z,1280000,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,127.0,,,,,,,,,1.0,1.0,0.0,,,
129,PT01M25.00S,2021-12-31T18:32:50.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629641,6.521024967148489,46.32352941176471,1610612738,29,18,2021-12-31T18:37:35Z,1290000,18.0,9.0,1,left,R. Langford driving finger roll Layup (4 PTS),[1629641],1610612738.0,BOS,driving finger roll,,,Langford,R. Langford,,,,,2.04,Made,4.0,,,,,,,,,,,,,,,,,,
130,PT01M25.00S,2021-12-31T18:32:57.2Z,1,REGULAR,foul,personal,['1freethrow'],1630688,,,1610612738,29,18,2021-12-31T18:33:04Z,1300000,,,0,,I. Wainright shooting personal FOUL (2 PF) (Langford 1 FT),"[1630688, 1629641]",1610612756.0,PHX,shooting,,,Wainright,I. Wainright,,,,,,,,,,,,202053.0,2.0,0.0,Langford,1629641.0,,,,,,,,,
132,PT01M25.00S,2021-12-31T18:33:06.6Z,1,REGULAR,substitution,out,[],1630688,,,1610612738,29,18,2021-12-31T18:33:19Z,1320000,,,0,,SUB out: I. Wainright,[1630688],1610612756.0,PHX,,,,Wainright,I. Wainright,,,,,,,,,,,,,,,,,,,,,,,,,
133,PT01M25.00S,2021-12-31T18:33:06.6Z,1,REGULAR,substitution,in,[],1628969,,,1610612738,29,18,2021-12-31T18:33:19Z,1330000,,,0,,SUB in: M. Bridges,[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,,
134,PT01M25.00S,2021-12-31T18:33:27.1Z,1,REGULAR,freethrow,1 of 1,[],1629641,,,1610612738,30,18,2021-12-31T18:33:27Z,1340000,,,0,,R. Langford Free Throw 1 of 1 (5 PTS),[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,Made,5.0,,,,,,,,,,,,,,,,,,
135,PT01M06.00S,2021-12-31T18:33:46.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628969,86.15308804204993,55.392156862745104,1610612756,30,20,2021-12-31T18:33:56Z,1350000,27.0,78.0,1,right,M. Bridges 8' turnaround fadeaway Jump Shot (5 PTS) (C. Payne 1 AST),"[1628969, 1626166]",1610612756.0,PHX,turnaround fadeaway,,,Bridges,M. Bridges,,,,,8.23,Made,5.0,C. Payne,1626166.0,1.0,,,,,,,,,,,,,,,
137,PT00M50.10S,2021-12-31T18:34:04.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1627759,7.5722733245729295,46.32352941176471,1610612738,32,20,2021-12-31T18:34:10Z,1370000,18.0,19.0,1,left,J. Brown cutting DUNK (10 PTS) (A. Horford 2 AST),"[1627759, 201143]",1610612738.0,BOS,cutting,,,Brown,J. Brown,,,,,2.62,Made,10.0,A. Horford,201143.0,2.0,,,,,,,,,,,,,,,
139,PT00M32.90S,2021-12-31T18:34:23.7Z,1,REGULAR,3pt,Jump Shot,[],1626164,72.09264126149803,84.80392156862744,1610612756,32,20,2021-12-31T18:34:32Z,1390000,174.0,210.0,1,right,MISS D. Booker 27' 3PT,[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,27.26,Missed,,,,,,,,,,,,,,,,,,,
140,PT00M30.70S,2021-12-31T18:34:25.9Z,1,REGULAR,rebound,defensive,[],1630202,,,1610612738,32,20,2021-12-31T18:34:32Z,1400000,,,0,,P. Pritchard REBOUND (Off:0 Def:1),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,139.0,,,,,,,,,1.0,1.0,0.0,,,
141,PT00M10.80S,2021-12-31T18:34:45.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626196,19.793035479632064,43.13725490196079,1610612738,32,20,2021-12-31T18:35:01Z,1410000,34.0,134.0,1,left,MISS J. Richardson 13' pullup Shot,[1626196],1610612738.0,BOS,pullup,,,Richardson,J. Richardson,,,,,13.79,Missed,,,,,,,,,,,,,,,,,,,
142,PT00M06.80S,2021-12-31T18:34:49.6Z,1,REGULAR,rebound,offensive,[],201143,,,1610612738,32,20,2021-12-31T18:34:49Z,1420000,,,0,,A. Horford REBOUND (Off:1 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,141.0,,,,,,,,,2.0,1.0,1.0,,,
143,PT00M03.00S,2021-12-31T18:34:54.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1626196,32.933639947437584,48.28431372549019,1610612738,32,20,2021-12-31T18:35:31Z,1430000,9.0,257.0,1,left,MISS J. Richardson 25' 3PT,[1626196],1610612738.0,BOS,,,,Richardson,J. Richardson,,,,,25.72,Missed,,,,,,,,,,,,,,,,,,,
144,PT00M01.00S,2021-12-31T18:34:56.4Z,1,REGULAR,rebound,offensive,[],1626196,,,1610612738,32,20,2021-12-31T18:35:31Z,1440000,,,0,,J. Richardson REBOUND (Off:1 Def:1),[1626196],1610612738.0,BOS,,,,Richardson,J. Richardson,,,,,,,,,,,143.0,,,,,,,,,2.0,1.0,1.0,,,
675,PT00M00.00S,2021-12-31T18:34:59.4Z,1,REGULAR,instantreplay,request,[],0,,,1610612738,32,20,2021-12-31T20:30:32Z,1445000,,,0,,,[],,,support,,,,,,,,,,,,,,,,1662.0,,,,,,,,,,,,,
145,PT00M00.00S,2021-12-31T18:35:04.4Z,1,REGULAR,period,end,[],0,,,1610612738,32,20,2021-12-31T18:35:04Z,1450000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,PT12M00.00S,2021-12-31T18:37:29.1Z,2,REGULAR,substitution,out,['startperiod'],1630202,,,1610612738,32,20,2021-12-31T18:37:45Z,1460000,,,0,,SUB out: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,
147,PT12M00.00S,2021-12-31T18:37:29.1Z,2,REGULAR,substitution,out,['startperiod'],1626164,,,1610612738,32,20,2021-12-31T18:37:45Z,1470000,,,0,,SUB out: D. Booker,[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,,,,,,,,,,,,,,,,,,
148,PT12M00.00S,2021-12-31T18:37:29.1Z,2,REGULAR,substitution,out,['startperiod'],1629150,,,1610612738,32,20,2021-12-31T18:37:45Z,1480000,,,0,,SUB out: E. Terry,[1629150],1610612756.0,PHX,,,,Terry,E. Terry,,,,,,,,,,,,,,,,,,,,,,,,,
149,PT12M00.00S,2021-12-31T18:37:29.1Z,2,REGULAR,substitution,in,['startperiod'],203935,,,1610612738,32,20,2021-12-31T18:37:45Z,1490000,,,0,,SUB in: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
150,PT12M00.00S,2021-12-31T18:37:29.1Z,2,REGULAR,substitution,in,['startperiod'],101108,,,1610612738,32,20,2021-12-31T18:37:45Z,1500000,,,0,,SUB in: C. Paul,[101108],1610612756.0,PHX,,,,Paul,C. Paul,,,,,,,,,,,,,,,,,,,,,,,,,
151,PT12M00.00S,2021-12-31T18:37:29.1Z,2,REGULAR,substitution,in,['startperiod'],1630188,,,1610612738,32,20,2021-12-31T18:37:45Z,1510000,,,0,,SUB in: J. Smith,[1630188],1610612756.0,PHX,,,,Smith,J. Smith,,,,,,,,,,,,,,,,,,,,,,,,,
152,PT12M00.00S,2021-12-31T18:37:46.4Z,2,REGULAR,period,start,[],0,,,1610612756,32,20,2021-12-31T18:37:46Z,1520000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,PT11M43.00S,2021-12-31T18:38:02.7Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628969,81.553876478318,49.754901960784316,1610612756,32,20,2021-12-31T18:38:14Z,1530000,-1.0,121.0,1,right,MISS M. Bridges 12' pullup Shot,[1628969],1610612756.0,PHX,pullup,,,Bridges,M. Bridges,,,,,12.09,Missed,,,,,,,,,,,,,,,,,,,
154,PT11M40.00S,2021-12-31T18:38:05.7Z,2,REGULAR,rebound,defensive,[],1626196,,,1610612738,32,20,2021-12-31T18:38:57Z,1540000,,,0,,J. Richardson REBOUND (Off:1 Def:2),[1626196],1610612738.0,BOS,,,,Richardson,J. Richardson,,,,,,,,,,,153.0,,,,,,,,,3.0,2.0,1.0,,,
155,PT11M23.00S,2021-12-31T18:38:21.9Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],201143,7.703679369250986,52.69607843137255,1610612738,32,20,2021-12-31T18:38:50Z,1550000,-13.0,20.0,1,left,MISS A. Horford cutting Layup - blocked,"[201143, 1628969]",1610612738.0,BOS,cutting,,,Horford,A. Horford,,,,,2.4,Missed,,,,,,,,,,,,,,,,,Bridges,1628969.0,
156,PT11M23.00S,2021-12-31T18:38:21.9Z,2,REGULAR,block,,[],1628969,,,1610612738,32,20,2021-12-31T18:38:50Z,1560000,,,0,,M. Bridges BLOCK (1 BLK),[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,,
157,PT11M22.00S,2021-12-31T18:38:22.9Z,2,REGULAR,rebound,offensive,[],201143,,,1610612738,32,20,2021-12-31T18:38:50Z,1570000,,,0,,A. Horford REBOUND (Off:2 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,155.0,,,,,,,,,3.0,1.0,2.0,,,
158,PT11M22.00S,2021-12-31T18:38:33.5Z,2,REGULAR,foul,personal,['2freethrow'],1628969,,,1610612738,32,20,2021-12-31T18:38:41Z,1580000,,,0,,M. Bridges shooting personal FOUL (1 PF) (Horford 2 FT),"[1628969, 201143]",1610612756.0,PHX,shooting,,,Bridges,M. Bridges,,,,,,,,,,,,1662.0,1.0,0.0,Horford,201143.0,,,,,,,,,
160,PT11M22.00S,2021-12-31T18:38:51.7Z,2,REGULAR,freethrow,1 of 2,['2ndchance'],201143,,,1610612738,33,20,2021-12-31T18:38:51Z,1600000,,,0,,A. Horford Free Throw 1 of 2 (1 PTS),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
161,PT11M22.00S,2021-12-31T18:39:10.6Z,2,REGULAR,freethrow,2 of 2,['2ndchance'],201143,,,1610612738,34,20,2021-12-31T18:39:10Z,1610000,,,0,,A. Horford Free Throw 2 of 2 (2 PTS),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,Made,2.0,,,,,,,,,,,,,,,,,,
162,PT11M05.00S,2021-12-31T18:39:29.2Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630188,91.5407358738502,45.09803921568628,1610612756,34,22,2021-12-31T18:39:34Z,1620000,-25.0,27.0,1,right,J. Smith Layup (8 PTS) (L. Shamet 1 AST),"[1630188, 1629013]",1610612756.0,PHX,,,,Smith,J. Smith,,,,,3.65,Made,8.0,L. Shamet,1629013.0,1.0,,,,,,,,,,,,,,,
164,PT10M45.00S,2021-12-31T18:39:49.2Z,2,REGULAR,3pt,Jump Shot,[],1629641,9.543363994743759,2.941176470588235,1610612738,37,22,2021-12-31T18:39:54Z,1640000,235.0,37.0,1,left,R. Langford 3PT  (8 PTS) (J. Richardson 1 AST),"[1629641, 1626196]",1610612738.0,BOS,,,,Langford,R. Langford,,,,,23.82,Made,8.0,J. Richardson,1626196.0,1.0,,,,,,,,,,,,,,,
166,PT10M27.00S,2021-12-31T18:40:07.1Z,2,REGULAR,3pt,Jump Shot,[],1626166,80.6340341655716,94.6078431372549,1610612756,37,22,2021-12-31T18:40:11Z,1660000,223.0,130.0,1,right,MISS C. Payne 25' 3PT,[1626166],1610612756.0,PHX,,,,Payne,C. Payne,,,,,25.79,Missed,,,,,,,,,,,,,,,,,,,
