actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2021-12-19T00:10:34.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-19T00:10:34Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-12-19T00:10:36.6Z,1,REGULAR,jumpball,recovered,[],203935,,,1610612738,0,0,2021-12-19T00:10:36Z,40000,,,0,,Jump Ball R. Williams III vs. N. Noel: Tip to M. Smart,"[203935, 1629057, 203457]",1610612738.0,BOS,startperiod,M. Smart,203935.0,Smart,M. Smart,Williams III,1629057.0,Noel,203457.0,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2021-12-19T00:10:53.0Z,1,REGULAR,3pt,Jump Shot,[],1628369,71.30420499342969,17.892156862745097,1610612738,3,0,2021-12-19T00:11:01Z,70000,-161.0,217.0,1,right,J. Tatum 27' 3PT  (3 PTS) (M. Smart 1 AST),"[1628369, 203935]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,27.01,Made,3.0,M. Smart,203935.0,1.0,,,,,,,,,,,,,,
9,PT11M20.00S,2021-12-19T00:11:20.5Z,1,REGULAR,foul,technical,['1freethrow'],1630174,,,1610612752,3,0,2021-12-19T00:11:29Z,90000,,,0,,A. Nesmith defensive-3-second technical FOUL (1 Tech),[1630174],1610612738.0,BOS,defensive-3-second,,,Nesmith,A. Nesmith,,,,,,,,,,,201245.0,0.0,1.0,,,,,,,,,,,
10,PT11M20.00S,2021-12-19T00:11:35.7Z,1,REGULAR,freethrow,1 of 1,[],202689,,,1610612752,3,0,2021-12-19T00:11:35Z,100000,,,0,,MISS K. Walker technical Free Throw 1 of 1,[202689],1610612752.0,NYK,technical,,,Walker,K. Walker,,,,,,Missed,,,,,,,,,,,,,,,,,,
11,PT11M20.00S,2021-12-19T00:11:35.7Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612752,3,0,2021-12-19T00:11:35Z,110000,,,0,,TEAM offensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,
12,PT11M10.00S,2021-12-19T00:11:57.9Z,1,REGULAR,3pt,Jump Shot,[],203944,33.327858081471746,32.1078431372549,1610612752,3,0,2021-12-19T00:12:23Z,120000,89.0,261.0,1,left,MISS J. Randle 27' pullup 3PT,[203944],1610612752.0,NYK,pullup,,,Randle,J. Randle,,,,,27.57,Missed,,,,,,,,,,,,,,,,,,
13,PT11M09.00S,2021-12-19T00:11:58.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,3,0,2021-12-19T00:12:06Z,130000,,,0,,TEAM defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,
14,PT11M09.00S,2021-12-19T00:12:02.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,3,0,2021-12-19T00:12:02Z,140000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,PT10M59.00S,2021-12-19T00:12:15.4Z,1,REGULAR,3pt,Jump Shot,[],1627759,66.70499342969777,27.941176470588236,1610612738,6,0,2021-12-19T00:12:56Z,150000,-110.0,260.0,1,right,J. Brown 28' 3PT pullup (3 PTS) (J. Tatum 1 AST),"[1627759, 1628369]",1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,28.29,Made,3.0,J. Tatum,1628369.0,1.0,,,,,,,,,,,,,,
