actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-11-25T00:45:34.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-25T00:45:34Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2021-11-25T00:45:36.3Z,1,REGULAR,jumpball,recovered,[],1629684,,,1610612738,0,0,2021-11-25T00:45:36Z,40000,,,0,,Jump Ball A. Horford vs. L. Aldridge: Tip to G. Williams,"[1629684, 201143, 200746]",1610612738.0,BOS,startperiod,G. Williams,1629684.0,Williams,G. Williams,Horford,201143.0,Aldridge,200746.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2021-11-25T00:45:49.9Z,1,REGULAR,3pt,Jump Shot,[],1627759,71.96123521681997,18.627450980392158,1610612738,0,0,2021-11-25T00:45:55Z,70000,-157.0,211.0,1,right,MISS J. Brown 26' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,26.3,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2021-11-25T00:45:51.9Z,1,REGULAR,rebound,defensive,[],1627761,,,1610612751,0,0,2021-11-25T00:45:55Z,80000,,,0,,D. Bembry REBOUND (Off:0 Def:1),[1627761],1610612751.0,BKN,,,,Bembry,D. Bembry,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M31.00S,2021-11-25T00:46:01.9Z,1,REGULAR,2pt,Jump Shot,[],200746,23.73521681997372,72.79411764705883,1610612751,0,0,2021-11-25T00:46:07Z,90000,-114.0,171.0,1,left,MISS L. Aldridge 20' Jump Shot,[200746],1610612751.0,BKN,,,,Aldridge,L. Aldridge,,,,,20.52,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M28.00S,2021-11-25T00:46:04.9Z,1,REGULAR,rebound,defensive,[],1629684,,,1610612738,0,0,2021-11-25T00:46:07Z,100000,,,0,,G. Williams REBOUND (Off:0 Def:1),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
11,PT11M19.00S,2021-11-25T00:46:13.9Z,1,REGULAR,3pt,Jump Shot,[],1627759,70.51576872536137,77.20588235294117,1610612738,0,0,2021-11-25T00:46:20Z,110000,136.0,225.0,1,right,MISS J. Brown 26' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,26.27,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M17.00S,2021-11-25T00:46:15.9Z,1,REGULAR,rebound,defensive,[],1627761,,,1610612751,0,0,2021-11-25T00:46:32Z,120000,,,0,,D. Bembry REBOUND (Off:0 Def:2),[1627761],1610612751.0,BKN,,,,Bembry,D. Bembry,,,,,,,11.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
13,PT10M56.00S,2021-11-25T00:46:37.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201935,20.318659658344284,45.588235294117645,1610612751,0,0,2021-11-25T00:46:42Z,130000,22.0,138.0,1,left,MISS J. Harden 14' pullup Shot,[201935],1610612751.0,BKN,pullup,,,Harden,J. Harden,,,,,14.03,Missed,,,,,,,,,,,,,,,,,,,
14,PT10M54.00S,2021-11-25T00:46:39.8Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,0,0,2021-11-25T00:46:42Z,140000,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
15,PT10M46.00S,2021-11-25T00:46:47.3Z,1,REGULAR,turnover,lost ball,[],1627759,,,1610612738,0,0,2021-11-25T00:46:51Z,150000,,,0,,J. Brown lost ball TURNOVER (1 TO),"[1627759, 200746]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,1.0,Aldridge,200746.0,,,,,,,,,,,,
16,PT10M46.00S,2021-11-25T00:46:47.3Z,1,REGULAR,steal,,[],200746,,,1610612751,0,0,2021-11-25T00:46:48Z,160000,,,0,,L. Aldridge STEAL (1 STL),[200746],1610612751.0,BKN,,,,Aldridge,L. Aldridge,,,,,,,,,,,,,,,,,,,,,,,,,
17,PT10M39.00S,2021-11-25T00:46:55.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201988,28.465834428383708,21.568627450980394,1610612751,0,3,2021-11-25T00:47:39Z,170000,142.0,215.0,1,left,P. Mills 25' 3PT  (3 PTS) (D. Bembry 1 AST),"[201988, 1627761]",1610612751.0,BKN,,,,Mills,P. Mills,,,,,25.79,Made,,,,,,,,3.0,D. Bembry,1627761.0,1.0,,,,,,,,
