actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2021-11-01T23:41:37.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-01T23:41:37Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-11-01T23:41:39.9Z,1,REGULAR,jumpball,recovered,[],203935,,,1610612738,0,0,2021-11-01T23:41:39Z,40000,,,0,,Jump Ball R. Williams III vs. N. Vucevic: Tip to M. Smart,"[203935, 1629057, 202696]",1610612738.0,BOS,startperiod,M. Smart,203935.0,Smart,M. Smart,Williams III,1629057.0,Vucevic,202696.0,,,,,,,,,,,,,,,,,,,,
9,PT11M37.00S,2021-11-01T23:41:59.6Z,1,REGULAR,2pt,Jump Shot,[],1628369,15.325229960578188,72.05882352941177,1610612738,0,0,2021-11-01T23:47:13Z,90000,-110.0,92.0,1,left,MISS J. Tatum 14' Jump Shot,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,14.34,Missed,,,,,,,,,,,,,,,,,,
10,PT11M34.00S,2021-11-01T23:42:03.0Z,1,REGULAR,rebound,defensive,[],201942,,,1610612741,0,0,2021-11-01T23:42:03Z,100000,,,0,,D. DeRozan REBOUND (Off:0 Def:1),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M33.00S,2021-11-01T23:42:04.8Z,1,REGULAR,turnover,lost ball,[],201942,,,1610612741,0,0,2021-11-01T23:42:15Z,110000,,,0,,D. DeRozan lost ball TURNOVER (1 TO),"[201942, 1628369]",1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,,,,1.0,Tatum,1628369.0,,,,,,,,,,,
12,PT11M33.00S,2021-11-01T23:42:04.8Z,1,REGULAR,steal,,[],1628369,,,1610612738,0,0,2021-11-01T23:42:06Z,120000,,,0,,J. Tatum STEAL (1 STL),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,
14,PT11M23.00S,2021-11-01T23:42:13.9Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],203935,20.71287779237845,34.80392156862745,1610612738,0,0,2021-11-01T23:48:17Z,130000,76.0,142.0,1,left,MISS M. Smart 16' pullup Shot,[203935],1610612738.0,BOS,pullup,,,Smart,M. Smart,,,,,16.12,Missed,,,,,,,,,,,,,,,,,,
15,PT11M19.00S,2021-11-01T23:42:17.9Z,1,REGULAR,rebound,defensive,[],1629750,,,1610612741,0,0,2021-11-01T23:42:25Z,140000,,,0,,J. Green REBOUND (Off:0 Def:1),[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,
16,PT11M00.00S,2021-11-01T23:42:36.3Z,1,REGULAR,3pt,Jump Shot,[],201942,68.01905387647832,71.32352941176471,1610612741,0,3,2021-11-01T23:42:43Z,150000,107.0,248.0,1,right,D. DeRozan 27' 3PT  (3 PTS) (N. Vucevic 1 AST),"[201942, 202696]",1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,27.0,Made,,,,,,,,3.0,N. Vucevic,202696.0,1.0,,,,,,,
18,PT10M42.00S,2021-11-01T23:42:54.8Z,1,REGULAR,3pt,Jump Shot,[],201143,23.078186596583443,87.74509803921569,1610612738,3,3,2021-11-01T23:43:00Z,170000,-189.0,164.0,1,left,A. Horford 25' 3PT  (3 PTS) (J. Tatum 1 AST),"[201143, 1628369]",1610612738.0,BOS,,,,Horford,A. Horford,,,,,25.03,Made,,,,,,,,3.0,J. Tatum,1628369.0,1.0,,,,,,,
