actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2022-02-13T19:10:42.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-13T19:10:42Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-02-13T19:10:44.0Z,1,REGULAR,jumpball,recovered,[],201143,,,1610612738,0,0,2022-02-13T19:10:44Z,40000,,,0,,Jump Ball R. Williams III vs. C. Capela: Tip to A. Horford,"[201143, 1629057, 203991]",1610612738.0,BOS,startperiod,A. Horford,201143.0,Horford,A. Horford,Williams III,1629057.0,Capela,203991.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2022-02-13T19:10:58.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,92.50985545335085,45.5078125,1610612738,0,0,2022-02-13T19:11:14Z,70000,-22.0,18.0,1,right,MISS J. Brown driving Layup,[1627759],1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,2.88,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2022-02-13T19:11:00.2Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,0,0,2022-02-13T19:11:14Z,80000,,,0,,C. Capela REBOUND (Off:0 Def:1),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M26.00S,2022-02-13T19:11:16.4Z,1,REGULAR,3pt,Jump Shot,[],1629631,8.754927726675426,3.6764705882352944,1610612737,0,3,2022-02-13T19:11:22Z,90000,232.0,30.0,1,left,D. Hunter 3PT  (3 PTS) (T. Young 1 AST),"[1629631, 1629027]",1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,23.35,Made,,,,,3.0,T. Young,1629027.0,1.0,,,,,,,,,,,
11,PT11M02.00S,2022-02-13T19:11:39.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,89.96386333771353,45.588235294117645,1610612738,0,3,2022-02-13T19:12:27Z,110000,-22.0,42.0,1,right,MISS J. Brown driving floating Shot,[1627759],1610612738.0,BOS,driving floating,,,Brown,J. Brown,,,,,4.73,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M00.00S,2022-02-13T19:11:41.0Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,0,3,2022-02-13T19:11:45Z,120000,,,0,,C. Capela REBOUND (Off:0 Def:2),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,11.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
13,PT10M54.00S,2022-02-13T19:11:49.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612737,0,3,2022-02-13T19:11:49Z,130000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,PT10M41.00S,2022-02-13T19:12:16.5Z,1,REGULAR,3pt,Jump Shot,[],1629027,37.77307818659658,40.709252450980394,1610612737,0,6,2022-02-13T19:13:06Z,140000,46.0,303.0,1,left,T. Young 30' 3PT step back (3 PTS),[1629027],1610612737.0,ATL,step back,,,Young,T. Young,,,,,30.62,Made,,,,,3.0,,,,,,,,,,,,,,
15,PT10M28.00S,2022-02-13T19:12:29.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,92.46057818659659,50.49019607843137,1610612738,2,6,2022-02-13T19:12:51Z,150000,2.0,18.0,1,right,J. Tatum cutting Layup (2 PTS) (M. Smart 1 AST),"[1628369, 203935]",1610612738.0,BOS,cutting,,,Tatum,J. Tatum,,,,,1.86,Made,,,,,2.0,M. Smart,203935.0,1.0,,,,,,,,,,,
