actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2021-12-14T00:40:39.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-14T00:40:39Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-12-14T00:40:41.7Z,1,REGULAR,jumpball,recovered,[],203935,,,1610612738,0,0,2021-12-14T00:40:41Z,40000,,,0,,Jump Ball R. Williams III vs. B. Portis: Tip to M. Smart,"[203935, 1629057, 1626171]",1610612738.0,BOS,startperiod,M. Smart,203935.0,Smart,M. Smart,Williams III,1629057.0,Portis,1626171.0,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2021-12-14T00:40:51.8Z,1,REGULAR,3pt,Jump Shot,[],1627759,8.754927726675426,3.9215686274509802,1610612738,3,0,2021-12-14T00:40:58Z,70000,230.0,30.0,1,left,J. Brown 3PT  (3 PTS) (M. Smart 1 AST),"[1627759, 203935]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,23.23,Made,3.0,M. Smart,203935.0,1.0,,,,,,,,,,,,,,
9,PT11M25.00S,2021-12-14T00:41:13.5Z,1,REGULAR,2pt,Jump Shot,[],201950,81.99737187910644,86.54258578431373,1610612749,3,2,2021-12-14T00:41:23Z,90000,183.0,117.0,1,right,J. Holiday 21' step back Jump Shot (2 PTS),[201950],1610612749.0,MIL,step back,,,Holiday,J. Holiday,,,,,21.68,Made,2.0,,,,,,,,,,,,,,,,,
10,PT11M13.00S,2021-12-14T00:41:26.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,14.799605781865965,48.28431372549019,1610612738,3,2,2021-12-14T00:41:34Z,100000,9.0,87.0,1,left,MISS J. Brown 8' driving floating Shot,[1627759],1610612738.0,BOS,driving floating,,,Brown,J. Brown,,,,,8.7,Missed,,,,,,,,,,,,,,,,,,
11,PT11M09.00S,2021-12-14T00:41:29.1Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,3,2,2021-12-14T00:41:29Z,110000,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:1),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,
12,PT11M02.00S,2021-12-14T00:41:36.4Z,1,REGULAR,2pt,Jump Shot,[],203114,84.1819973718791,23.03921568627451,1610612749,3,4,2021-12-14T00:41:42Z,120000,-135.0,96.0,1,right,K. Middleton 16' pullup Jump Shot (2 PTS),[203114],1610612749.0,MIL,pullup,,,Middleton,K. Middleton,,,,,16.56,Made,2.0,,,,,,,,,,,,,,,,,
13,PT10M43.00S,2021-12-14T00:41:55.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629057,9.149145860709593,52.94117647058824,1610612738,5,4,2021-12-14T00:42:06Z,130000,-15.0,34.0,1,left,R. Williams III turnaround Hook (2 PTS) (J. Brown 1 AST),"[1629057, 1627759]",1610612738.0,BOS,turnaround,,,Williams III,R. Williams III,,,,,3.66,Made,2.0,J. Brown,1627759.0,1.0,,,,,,,,,,,,,,
15,PT10M32.00S,2021-12-14T00:42:06.5Z,1,REGULAR,3pt,Jump Shot,[],1626171,68.01905387647832,73.77450980392157,1610612749,5,4,2021-12-14T00:42:15Z,150000,119.0,248.0,1,right,MISS B. Portis 27' 3PT,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,27.51,Missed,,,,,,,,,,,,,,,,,,
16,PT10M28.00S,2021-12-14T00:42:10.5Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,5,4,2021-12-14T00:42:15Z,160000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,
