actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-01-09T00:40:33.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-09T00:40:33Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-01-09T00:40:35.6Z,1,REGULAR,jumpball,recovered,[],203935,,,1610612738,0,0,2022-01-09T00:40:35Z,40000,,,0,,Jump Ball R. Williams III vs. M. Robinson: Tip to M. Smart,"[203935, 1629057, 1629011]",1610612738.0,BOS,startperiod,M. Smart,203935.0,Smart,M. Smart,Williams III,1629057.0,Robinson,1629011.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2022-01-09T00:40:49.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,87.99277266754271,38.23529411764706,1610612738,2,0,2022-01-09T00:41:00Z,70000,-59.0,60.0,1,right,J. Tatum 8' driving Layup (2 PTS) (J. Brown 1 AST),"[1628369, 1627759]",1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,8.43,Made,2.0,J. Brown,1627759.0,1.0,,,,,,,,,,,,,,,
9,PT11M27.00S,2022-01-09T00:41:04.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629011,5.863994743758213,48.529411764705884,1610612752,2,2,2022-01-09T00:41:11Z,90000,7.0,3.0,1,left,M. Robinson DUNK (2 PTS) (I. Quickley 1 AST),"[1629011, 1630193]",1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,0.78,Made,2.0,I. Quickley,1630193.0,1.0,,,,,,,,,,,,,,,
11,PT11M13.00S,2022-01-09T00:41:19.5Z,1,REGULAR,2pt,Jump Shot,[],201143,72.88107752956637,44.6078431372549,1610612738,2,2,2022-01-09T00:41:26Z,110000,-27.0,202.0,1,right,MISS A. Horford 20' Jump Shot,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,20.42,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M10.00S,2022-01-09T00:41:22.5Z,1,REGULAR,rebound,defensive,[],1629011,,,1610612752,2,2,2022-01-09T00:41:26Z,120000,,,0,,M. Robinson REBOUND (Off:0 Def:1),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,
13,PT11M03.00S,2022-01-09T00:41:29.5Z,1,REGULAR,3pt,Jump Shot,[],202692,32.013797634691194,46.568627450980394,1610612752,2,2,2022-01-09T00:41:36Z,130000,17.0,248.0,1,left,MISS A. Burks 24' 3PT,[202692],1610612752.0,NYK,,,,Burks,A. Burks,,,,,24.9,Missed,,,,,,,,,,,,,,,,,,,
14,PT11M00.00S,2022-01-09T00:41:32.5Z,1,REGULAR,rebound,offensive,[],1629011,,,1610612752,2,2,2022-01-09T00:41:36Z,140000,,,0,,M. Robinson REBOUND (Off:1 Def:1),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,13.0,2.0,1.0,1.0,,,,,,,,,,,
15,PT10M54.00S,2022-01-09T00:41:38.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630193,31.09395532194481,24.019607843137255,1610612752,2,5,2022-01-09T00:42:22Z,150000,130.0,240.0,1,left,I. Quickley 27' 3PT pullup (3 PTS) (J. Randle 1 AST),"[1630193, 203944]",1610612752.0,NYK,pullup,,,Quickley,I. Quickley,,,,,27.27,Made,3.0,J. Randle,203944.0,1.0,,,,,,,,,,,,,,,
17,PT10M32.00S,2022-01-09T00:42:00.6Z,1,REGULAR,2pt,Jump Shot,[],1628369,77.4802890932983,67.15686274509804,1610612738,4,5,2022-01-09T00:42:06Z,170000,86.0,159.0,1,right,J. Tatum 18' pullup Jump Shot (4 PTS) (A. Horford 1 AST),"[1628369, 201143]",1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,18.08,Made,4.0,A. Horford,201143.0,1.0,,,,,,,,,,,,,,,
19,PT10M02.00S,2022-01-09T00:42:33.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203944,8.360709592641262,60.78431372549019,1610612752,4,5,2022-01-09T00:43:14Z,190000,-54.0,26.0,1,left,MISS J. Randle driving Layup - blocked,"[203944, 1629057]",1610612752.0,NYK,driving,,,Randle,J. Randle,,,,,5.99,Missed,,,,,,,,,Williams III,1629057.0,,,,,,,,,
20,PT10M02.00S,2022-01-09T00:42:33.5Z,1,REGULAR,block,,[],1629057,,,1610612752,4,5,2022-01-09T00:42:35Z,200000,,,0,,R. Williams III BLOCK (1 BLK),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
21,PT09M59.00S,2022-01-09T00:42:36.5Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,4,5,2022-01-09T00:43:14Z,210000,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,19.0,1.0,1.0,0.0,,,,,,,,,,,
22,PT09M42.00S,2022-01-09T00:42:50.6Z,1,REGULAR,3pt,Jump Shot,[],203935,94.30026281208936,1.9607843137254901,1610612738,4,5,2022-01-09T00:43:00Z,220000,-240.0,1.0,1,right,MISS M. Smart 24' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,24.02,Missed,,,,,,,,,,,,,,,,,,,
23,PT09M39.00S,2022-01-09T00:42:53.6Z,1,REGULAR,rebound,defensive,[],1629628,,,1610612752,4,5,2022-01-09T00:43:00Z,230000,,,0,,R. Barrett REBOUND (Off:0 Def:1),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,,,,22.0,1.0,1.0,0.0,,,,,,,,,,,
24,PT09M28.00S,2022-01-09T00:43:04.0Z,1,REGULAR,3pt,Jump Shot,[],1629628,31.09395532194481,34.31372549019608,1610612752,4,5,2022-01-09T00:43:09Z,240000,78.0,240.0,1,left,MISS R. Barrett 25' 3PT,[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,25.23,Missed,,,,,,,,,,,,,,,,,,,
25,PT09M26.00S,2022-01-09T00:43:06.0Z,1,REGULAR,rebound,offensive,[],1629628,,,1610612752,4,5,2022-01-09T00:43:09Z,250000,,,0,,R. Barrett REBOUND (Off:1 Def:1),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,,,,24.0,2.0,1.0,1.0,,,,,,,,,,,
