actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-01-06T00:40:40.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-06T00:40:40Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-01-06T00:40:42.5Z,1,REGULAR,jumpball,recovered,[],1629640,,,1610612759,0,0,2022-01-06T00:40:42Z,40000,,,0,,Jump Ball J. Poeltl vs. R. Williams III: Tip to K. Johnson,"[1629640, 1627751, 1629057]",1610612759.0,SAS,startperiod,K. Johnson,1629640.0,Johnson,K. Johnson,Poeltl,1627751.0,Williams III,1629057.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2022-01-06T00:40:58.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612759,0,0,2022-01-06T00:40:58Z,70000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2022-01-06T00:41:11.4Z,1,REGULAR,3pt,Jump Shot,[],1628401,28.07161629434954,77.69607843137256,1610612759,0,0,2022-01-06T00:41:17Z,80000,-138.0,211.0,1,left,MISS D. White 25' 3PT,[1628401],1610612759.0,SAS,,,,White,D. White,,,,,25.27,Missed,,,,,,,,,,,,,,,,,,,
9,PT11M36.00S,2022-01-06T00:41:15.4Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,0,0,2022-01-06T00:41:17Z,90000,,,0,,A. Horford REBOUND (Off:0 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
10,PT11M22.00S,2022-01-06T00:41:31.5Z,1,REGULAR,foul,personal,[],1630170,,,1610612738,0,0,2022-01-06T00:41:51Z,100000,,,0,,D. Vassell personal FOUL (1 PF),"[1630170, 1628369]",1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,,,,,,,202049.0,1.0,0.0,Tatum,1628369.0,,,,,,,,,,
12,PT11M13.00S,2022-01-06T00:42:04.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,91.45860709592641,57.866115196078425,1610612738,2,0,2022-01-06T00:42:13Z,120000,39.0,28.0,1,right,J. Brown driving finger roll Layup (2 PTS) (M. Smart 1 AST),"[1627759, 203935]",1610612738.0,BOS,driving finger roll,,,Brown,J. Brown,,,,,4.81,Made,,,,,,,,,,2.0,M. Smart,203935.0,1.0,,,,,,
13,PT11M07.00S,2022-01-06T00:42:18.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612759,2,0,2022-01-06T00:42:18Z,130000,,,0,,SAS Timeout,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,PT11M05.00S,2022-01-06T00:45:14.6Z,1,REGULAR,turnover,bad pass,[],1630170,,,1610612759,2,0,2022-01-06T00:45:19Z,140000,,,0,,D. Vassell bad pass TURNOVER (1 TO),"[1630170, 1627759]",1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,,,,,,,,,,,,,,,,1.0,Brown,1627759.0,,,
16,PT11M05.00S,2022-01-06T00:45:14.6Z,1,REGULAR,steal,,[],1627759,,,1610612738,2,0,2022-01-06T00:45:16Z,150000,,,0,,J. Brown STEAL (1 STL),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
