actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2021-11-13T00:45:34.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-13T00:45:34Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2021-11-13T00:45:36.9Z,1,REGULAR,jumpball,recovered,[],1628369,,,1610612738,0,0,2021-11-13T00:45:36Z,40000,,,0,,Jump Ball R. Williams III vs. B. Portis: Tip to J. Tatum,"[1628369, 1629057, 1626171]",1610612738.0,BOS,startperiod,J. Tatum,1628369.0,Tatum,J. Tatum,Williams III,1629057.0,Portis,1626171.0,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2021-11-13T00:45:52.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629057,6.1268068331143235,46.568627450980394,1610612738,2,0,2021-11-13T00:45:59Z,70000,17.0,5.0,1,left,R. Williams III cutting DUNK (2 PTS) (A. Horford 1 AST),"[1629057, 201143]",1610612738.0,BOS,cutting,,,Williams III,R. Williams III,,,,,1.79,Made,2.0,A. Horford,201143.0,1.0,,,,,,,,,,,,,,
9,PT11M21.00S,2021-11-13T00:46:12.7Z,1,REGULAR,3pt,Jump Shot,[],201588,65.25952693823915,46.07843137254902,1610612749,2,0,2021-11-13T00:46:20Z,90000,-20.0,274.0,1,right,MISS G. Hill 27' 3PT,[201588],1610612749.0,MIL,,,,Hill,G. Hill,,,,,27.48,Missed,,,,,,,,,,,,,,,,,,
10,PT11M17.00S,2021-11-13T00:46:16.7Z,1,REGULAR,rebound,offensive,[],201950,,,1610612749,2,0,2021-11-13T00:46:20Z,100000,,,0,,J. Holiday REBOUND (Off:1 Def:0),[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,,
11,PT11M17.00S,2021-11-13T00:46:18.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],201950,73.01248357424441,17.15686274509804,1610612749,2,0,2021-11-13T00:46:28Z,110000,-164.0,201.0,1,right,MISS J. Holiday 25' step back 3PT,[201950],1610612749.0,MIL,step back,,,Holiday,J. Holiday,,,,,25.97,Missed,,,,,,,,,,,,,,,,,,
12,PT11M16.00S,2021-11-13T00:46:19.0Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,2,0,2021-11-13T00:46:28Z,120000,,,0,,R. Williams III REBOUND (Off:0 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,
13,PT11M06.00S,2021-11-13T00:46:27.7Z,1,REGULAR,2pt,Jump Shot,[],201143,10.200394218134035,71.56862745098039,1610612738,2,0,2021-11-13T00:46:40Z,130000,-108.0,43.0,1,left,MISS A. Horford 11' Jump Shot,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,11.62,Missed,,,,,,,,,,,,,,,,,,
14,PT11M03.00S,2021-11-13T00:46:30.7Z,1,REGULAR,rebound,defensive,[],201588,,,1610612749,2,0,2021-11-13T00:46:40Z,140000,,,0,,G. Hill REBOUND (Off:0 Def:1),[201588],1610612749.0,MIL,,,,Hill,G. Hill,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,
15,PT10M55.00S,2021-11-13T00:46:41.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612749,2,0,2021-11-13T00:46:41Z,150000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,PT10M51.00S,2021-11-13T00:47:00.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1626171,87.99277266754271,63.48039215686274,1610612749,2,2,2021-11-13T00:47:09Z,160000,67.0,60.0,1,right,B. Portis 9' bank Hook (2 PTS) (G. Hill 1 AST),"[1626171, 201588]",1610612749.0,MIL,bank,,,Portis,B. Portis,,,,,9.05,Made,2.0,G. Hill,201588.0,1.0,,,,,,,,,,,,,,
18,PT10M39.00S,2021-11-13T00:47:14.5Z,1,REGULAR,foul,personal,[],1626192,,,1610612738,2,2,2021-11-13T00:47:25Z,180000,,,0,,P. Connaughton personal FOUL (1 PF),"[1626192, 201143]",1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,,,,,,,,,,,1627524.0,1.0,0.0,Horford,201143.0,,,,,
20,PT10M26.00S,2021-11-13T00:47:44.9Z,1,REGULAR,3pt,Jump Shot,[],203471,30.17411300919842,71.32352941176471,1610612738,2,2,2021-11-13T00:48:16Z,200000,-107.0,231.0,1,left,MISS D. Schroder 25' 3PT,[203471],1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,25.45,Missed,,,,,,,,,,,,,,,,,,
21,PT10M24.00S,2021-11-13T00:47:46.9Z,1,REGULAR,rebound,offensive,[],201143,,,1610612738,2,2,2021-11-13T00:49:08Z,210000,,,0,,A. Horford REBOUND (Off:1 Def:0),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,20.0,1.0,0.0,1.0,,,,,,,,,,
