actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,officialId,playerName,playerNameI,descriptor,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-01-26T00:40:38.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-26T00:40:38Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2022-01-26T00:40:51.3Z,1,REGULAR,violation,jumpball,[],1629057,,,0,0,0,2022-01-26T00:41:49Z,40000,,,0,,R. Williams III jumpball VIOLATION,[1629057],1610612738.0,BOS,202056.0,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,
5,PT11M41.00S,2022-01-26T00:41:18.5Z,1,REGULAR,2pt,Jump Shot,[],1626158,21.23850197109067,39.21568627450981,1610612758,0,0,2022-01-26T00:41:51Z,50000,54.0,147.0,1,left,MISS R. Holmes 15' floating Shot,[1626158],1610612758.0,SAC,,Holmes,R. Holmes,floating,15.67,Missed,,,,,,,,,,,,,,,,,
6,PT11M38.00S,2022-01-26T00:41:21.5Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,0,0,2022-01-26T00:41:30Z,60000,,,0,,R. Williams III REBOUND (Off:0 Def:1),[1629057],1610612738.0,BOS,,Williams III,R. Williams III,,,,5.0,1.0,1.0,0.0,,,,,,,,,,,,,
7,PT11M22.00S,2022-01-26T00:41:36.7Z,1,REGULAR,3pt,Jump Shot,[],1628369,69.33311432325887,74.75490196078431,1610612738,3,0,2022-01-26T00:41:41Z,70000,124.0,236.0,1,right,J. Tatum 26' 3PT  (3 PTS) (M. Smart 1 AST),"[1628369, 203935]",1610612738.0,BOS,,Tatum,J. Tatum,,26.63,Made,,,,,3.0,M. Smart,203935.0,1.0,,,,,,,,,
9,PT11M08.00S,2022-01-26T00:41:50.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203084,7.046649145860711,54.166666666666664,1610612758,3,0,2022-01-26T00:42:01Z,90000,-21.0,14.0,1,left,MISS H. Barnes driving Layup - blocked,"[203084, 201143]",1610612758.0,SAC,,Barnes,H. Barnes,driving,2.49,Missed,,,,,,,,,Horford,201143.0,,,,,,,
10,PT11M08.00S,2022-01-26T00:41:50.9Z,1,REGULAR,block,,[],201143,,,1610612758,3,0,2022-01-26T00:41:54Z,100000,,,0,,A. Horford BLOCK (1 BLK),[201143],1610612738.0,BOS,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,
11,PT11M06.00S,2022-01-26T00:41:52.9Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,3,0,2022-01-26T00:42:01Z,110000,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,Brown,J. Brown,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,
12,PT11M02.00S,2022-01-26T00:41:57.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628369,73.14388961892247,83.82352941176471,1610612738,3,0,2022-01-26T00:42:54Z,120000,169.0,200.0,1,right,MISS J. Tatum 26' pullup 3PT,[1628369],1610612738.0,BOS,,Tatum,J. Tatum,pullup,26.18,Missed,,,,,,,,,,,,,,,,,
13,PT11M00.00S,2022-01-26T00:41:59.4Z,1,REGULAR,rebound,defensive,[],1626158,,,1610612758,3,0,2022-01-26T00:42:14Z,130000,,,0,,R. Holmes REBOUND (Off:0 Def:1),[1626158],1610612758.0,SAC,,Holmes,R. Holmes,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,
14,PT10M48.00S,2022-01-26T00:42:10.1Z,1,REGULAR,2pt,Jump Shot,[],1628963,8.492115637319317,70.09803921568627,1610612758,3,2,2022-01-26T00:43:37Z,140000,-100.0,27.0,1,left,M. Bagley III 10' floating Jump Shot (2 PTS) (T. Haliburton 1 AST),"[1628963, 1630169]",1610612758.0,SAC,,Bagley III,M. Bagley III,floating,10.41,Made,,,,,2.0,T. Haliburton,1630169.0,1.0,,,,,,,,,
16,PT10M23.00S,2022-01-26T00:42:34.9Z,1,REGULAR,3pt,Jump Shot,[],1627759,93.24901445466492,96.07843137254902,1610612738,6,2,2022-01-26T00:42:39Z,160000,230.0,11.0,1,right,J. Brown 3PT  (3 PTS) (J. Tatum 1 AST),"[1627759, 1628369]",1610612738.0,BOS,,Brown,J. Brown,,23.07,Made,,,,,3.0,J. Tatum,1628369.0,1.0,,,,,,,,,
18,PT10M06.00S,2022-01-26T00:42:52.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203084,20.318659658344284,35.53921568627451,1610612758,6,4,2022-01-26T00:42:58Z,180000,72.0,138.0,1,left,H. Barnes 15' turnaround fadeaway Jump Shot (2 PTS),[203084],1610612758.0,SAC,,Barnes,H. Barnes,turnaround fadeaway,15.62,Made,,,,,2.0,,,,,,,,,,,,
19,PT09M54.00S,2022-01-26T00:43:04.6Z,1,REGULAR,2pt,Jump Shot,[],1628369,73.9323258869908,43.38235294117647,1610612738,6,4,2022-01-26T00:43:12Z,190000,-33.0,193.0,1,right,MISS J. Tatum 19' pullup Shot,[1628369],1610612738.0,BOS,,Tatum,J. Tatum,pullup,19.53,Missed,,,,,,,,,,,,,,,,,
20,PT09M51.00S,2022-01-26T00:43:07.6Z,1,REGULAR,rebound,defensive,[],1628963,,,1610612758,6,4,2022-01-26T00:43:12Z,200000,,,0,,M. Bagley III REBOUND (Off:0 Def:1),[1628963],1610612758.0,SAC,,Bagley III,M. Bagley III,,,,19.0,1.0,1.0,0.0,,,,,,,,,,,,,
21,PT09M39.00S,2022-01-26T00:43:19.2Z,1,REGULAR,3pt,Jump Shot,[],1630169,31.225361366622867,20.34313725490196,1610612758,6,4,2022-01-26T00:43:25Z,210000,148.0,241.0,1,left,MISS T. Haliburton 28' step back 3PT,[1630169],1610612758.0,SAC,,Haliburton,T. Haliburton,step back,28.3,Missed,,,,,,,,,,,,,,,,,
22,PT09M37.00S,2022-01-26T00:43:21.2Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,6,4,2022-01-26T00:43:30Z,220000,,,0,,M. Smart REBOUND (Off:0 Def:1),[203935],1610612738.0,BOS,,Smart,M. Smart,,,,21.0,1.0,1.0,0.0,,,,,,,,,,,,,
23,PT09M36.00S,2022-01-26T00:43:25.1Z,1,REGULAR,turnover,out-of-bounds,[],203935,,,1610612738,6,4,2022-01-26T00:43:35Z,230000,,,0,,M. Smart bad pass out-of-bounds TURNOVER (1 TO),[203935],1610612738.0,BOS,1148.0,Smart,M. Smart,bad pass,,,,,,,,,,,,,1.0,,,,,,
24,PT09M27.00S,2022-01-26T00:43:48.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629056,9.017739816031538,60.29411764705882,1610612758,6,4,2022-01-26T00:43:54Z,240000,-51.0,32.0,1,left,MISS T. Davis 6' driving Layup,[1629056],1610612758.0,SAC,,Davis,T. Davis,driving,6.08,Missed,,,,,,,,,,,,,,,,,
