actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,blockPlayerName,blockPersonId,value,stealPlayerName,stealPersonId
2,PT12M00.00S,2021-12-21T00:47:18.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-21T00:47:18Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2021-12-21T00:47:20.5Z,1,REGULAR,jumpball,recovered,[],202699,,,1610612755,0,0,2021-12-21T00:47:20Z,40000,,,0,,Jump Ball J. Embiid vs. E. Freedom: Tip to T. Harris,"[202699, 203954, 202683]",1610612755.0,PHI,startperiod,T. Harris,202699.0,Harris,T. Harris,Embiid,203954.0,Freedom,202683.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2021-12-21T00:47:32.1Z,1,REGULAR,3pt,Jump Shot,[],202699,22.552562417871222,90.19607843137256,1610612755,0,3,2021-12-21T00:47:36Z,70000,-201.0,159.0,1,left,T. Harris 25' 3PT  (3 PTS) (D. Green 1 AST),"[202699, 201980]",1610612755.0,PHI,,,,Harris,T. Harris,,,,,25.66,Made,3.0,D. Green,201980.0,1.0,,,,,,,,,,,,,,,
9,PT11M29.00S,2021-12-21T00:47:50.6Z,1,REGULAR,foul,personal,[],203954,,,1610612738,0,3,2021-12-21T00:48:01Z,90000,,,0,,J. Embiid personal FOUL (1 PF),"[203954, 203935]",1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,201245.0,1.0,0.0,Smart,203935.0,,,,,,,,,,
11,PT11M20.00S,2021-12-21T00:48:18.6Z,1,REGULAR,2pt,Jump Shot,[],203471,78.66294349540078,31.372549019607842,1610612738,0,3,2021-12-21T00:48:55Z,110000,-93.0,148.0,1,right,MISS D. Schroder 17' pullup Shot,[203471],1610612738.0,BOS,pullup,,,Schroder,D. Schroder,,,,,17.49,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M17.00S,2021-12-21T00:48:21.6Z,1,REGULAR,rebound,defensive,[],202699,,,1610612755,0,3,2021-12-21T00:48:26Z,120000,,,0,,T. Harris REBOUND (Off:0 Def:1),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,
13,PT11M13.00S,2021-12-21T00:48:25.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",202699,6.258212877792378,55.14705882352941,1610612755,0,5,2021-12-21T00:48:32Z,130000,-26.0,6.0,1,left,T. Harris running Layup (5 PTS),[202699],1610612755.0,PHI,running,,,Harris,T. Harris,,,,,2.65,Made,5.0,,,,,,,,,,,,,,,,,,
14,PT10M59.00S,2021-12-21T00:48:40.5Z,1,REGULAR,foul,personal,[],1629680,,,1610612738,0,5,2021-12-21T00:48:49Z,140000,,,0,,M. Thybulle personal FOUL (1 PF),"[1629680, 1628369]",1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,,,,,,,201245.0,1.0,0.0,Tatum,1628369.0,,,,,,,,,,
16,PT10M48.00S,2021-12-21T00:49:14.5Z,1,REGULAR,2pt,Jump Shot,[],1627759,93.51182654402102,23.774509803921568,1610612738,0,5,2021-12-21T00:49:24Z,160000,-131.0,8.0,1,right,MISS J. Brown 13' step back Shot,[1627759],1610612738.0,BOS,step back,,,Brown,J. Brown,,,,,13.14,Missed,,,,,,,,,,,,,,,,,,,
17,PT10M45.00S,2021-12-21T00:49:17.5Z,1,REGULAR,rebound,offensive,[],202683,,,1610612738,0,5,2021-12-21T00:49:33Z,170000,,,0,,E. Freedom REBOUND (Off:1 Def:0),[202683],1610612738.0,BOS,,,,Freedom,E. Freedom,,,,,,,,,,,,,,,,16.0,1.0,0.0,1.0,,,,,,
