actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-02-03T00:40:29.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-03T00:40:29Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-02-03T00:40:31.5Z,1,REGULAR,jumpball,recovered,[],201143,,,1610612738,0,0,2022-02-03T00:40:31Z,40000,,,0,,Jump Ball R. Williams III vs. M. Plumlee: Tip to A. Horford,"[201143, 1629057, 203486]",1610612738.0,BOS,startperiod,A. Horford,201143.0,Horford,A. Horford,Williams III,1629057.0,Plumlee,203486.0,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2022-02-03T00:40:50.8Z,1,REGULAR,3pt,Jump Shot,[],203935,67.7562417871222,41.17647058823529,1610612738,0,0,2022-02-03T00:40:56Z,70000,-44.0,251.0,1,right,MISS M. Smart 25' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,25.45,Missed,,,,,,,,,,,,,,,,,,
8,PT11M36.00S,2022-02-03T00:40:52.8Z,1,REGULAR,rebound,defensive,[],203486,,,1610612766,0,0,2022-02-03T00:40:56Z,80000,,,0,,M. Plumlee REBOUND (Off:0 Def:1),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M20.00S,2022-02-03T00:41:09.3Z,1,REGULAR,2pt,Jump Shot,[],1628970,6.652431011826544,20.588235294117645,1610612766,0,0,2022-02-03T00:41:21Z,90000,147.0,10.0,1,left,MISS M. Bridges 14' pullup Shot,[1628970],1610612766.0,CHA,pullup,,,Bridges,M. Bridges,,,,,14.74,Missed,,,,,,,,,,,,,,,,,,
10,PT11M17.00S,2022-02-03T00:41:12.3Z,1,REGULAR,rebound,offensive,[],203486,,,1610612766,0,0,2022-02-03T00:41:21Z,100000,,,0,,M. Plumlee REBOUND (Off:1 Def:1),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,9.0,2.0,1.0,1.0,,,,,,,,,,,,,,
11,PT11M15.00S,2022-02-03T00:41:15.3Z,1,REGULAR,turnover,bad pass,[],203486,,,1610612766,0,0,2022-02-03T00:41:27Z,110000,,,0,,M. Plumlee bad pass TURNOVER (1 TO),"[203486, 1629057]",1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,,,1.0,Williams III,1629057.0,,,,,,,,,,,
12,PT11M15.00S,2022-02-03T00:41:15.3Z,1,REGULAR,steal,,[],1629057,,,1610612738,0,0,2022-02-03T00:41:16Z,120000,,,0,,R. Williams III STEAL (1 STL),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,
13,PT11M10.00S,2022-02-03T00:41:18.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1627759,91.80354796320631,48.03921568627451,1610612738,0,0,2022-02-03T00:41:38Z,130000,-10.0,25.0,1,right,MISS J. Brown running reverse Layup,[1627759],1610612738.0,BOS,running reverse,,,Brown,J. Brown,,,,,2.64,Missed,,,,,,,,,,,,,,,,,,
14,PT11M09.00S,2022-02-03T00:41:19.6Z,1,REGULAR,rebound,offensive,[],1629057,,,1610612738,0,0,2022-02-03T00:42:00Z,140000,,,0,,R. Williams III REBOUND (Off:1 Def:0),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,13.0,1.0,0.0,1.0,,,,,,,,,,,,,,
