actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-03-23T23:40:46.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-23T23:40:46Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2022-03-23T23:40:50.8Z,1,REGULAR,jumpball,recovered,[],1628378,,,1610612762,0,0,2022-03-23T23:40:50Z,40000,,,0,,Jump Ball R. Gobert vs. R. Williams III: Tip to D. Mitchell,"[1628378, 203497, 1629057]",1610612762.0,UTA,startperiod,D. Mitchell,1628378.0,Mitchell,D. Mitchell,Gobert,203497.0,Williams III,1629057.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2022-03-23T23:41:05.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629672,86.94152431011827,58.08823529411765,1610612762,0,2,2022-03-23T23:42:14Z,70000,40.0,70.0,1,right,E. Paschall 8' driving floating Jump Shot (2 PTS) (M. Conley 1 AST),"[1629672, 201144]",1610612762.0,UTA,driving floating,,,Paschall,E. Paschall,,,,,8.1,Made,2.0,M. Conley,201144.0,1.0,,,,,,,,,,,,,,,
9,PT11M22.00S,2022-03-23T23:41:25.2Z,1,REGULAR,3pt,Jump Shot,[],1628369,27.020367936925098,81.86274509803921,1610612738,3,2,2022-03-23T23:42:01Z,90000,-159.0,201.0,1,left,J. Tatum 25' 3PT  (3 PTS) (M. Smart 1 AST),"[1628369, 203935]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,25.69,Made,3.0,M. Smart,203935.0,1.0,,,,,,,,,,,,,,,
11,PT10M59.00S,2022-03-23T23:41:47.9Z,1,REGULAR,3pt,Jump Shot,[],201144,70.77858081471747,19.11764705882353,1610612762,3,5,2022-03-23T23:41:56Z,110000,-154.0,222.0,1,right,M. Conley 27' 3PT  (3 PTS) (R. O'Neale 1 AST),"[201144, 1626220]",1610612762.0,UTA,,,,Conley,M. Conley,,,,,27.06,Made,3.0,R. O'Neale,1626220.0,1.0,,,,,,,,,,,,,,,
13,PT10M42.00S,2022-03-23T23:42:04.1Z,1,REGULAR,3pt,Jump Shot,[],203935,27.677398160315374,15.686274509803921,1610612738,6,5,2022-03-23T23:42:12Z,130000,172.0,208.0,1,left,M. Smart 26' 3PT  (3 PTS) (J. Tatum 1 AST),"[203935, 1628369]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,26.94,Made,3.0,J. Tatum,1628369.0,1.0,,,,,,,,,,,,,,,
15,PT10M25.00S,2022-03-23T23:42:22.3Z,1,REGULAR,turnover,bad pass,[],201144,,,1610612762,6,5,2022-03-23T23:42:28Z,150000,,,0,,M. Conley bad pass TURNOVER (1 TO),"[201144, 203935]",1610612762.0,UTA,,,,Conley,M. Conley,,,,,,,,,,,1.0,Smart,203935.0,,,,,,,,,,,,
16,PT10M25.00S,2022-03-23T23:42:22.3Z,1,REGULAR,steal,,[],203935,,,1610612738,6,5,2022-03-23T23:46:47Z,160000,,,0,,M. Smart STEAL (1 STL),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
17,PT10M21.00S,2022-03-23T23:42:25.4Z,1,REGULAR,turnover,bad pass,[],1629057,,,1610612738,6,5,2022-03-23T23:42:32Z,170000,,,0,,R. Williams III bad pass TURNOVER (1 TO),"[1629057, 1628378]",1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,1.0,Mitchell,1628378.0,,,,,,,,,,,,
18,PT10M21.00S,2022-03-23T23:42:25.4Z,1,REGULAR,steal,,[],1628378,,,1610612762,6,5,2022-03-23T23:42:27Z,180000,,,0,,D. Mitchell STEAL (1 STL),[1628378],1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,
