actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,shotDistance,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2022-02-01T00:40:54.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-01T00:40:54Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-02-01T00:40:55.8Z,1,REGULAR,jumpball,recovered,[],201143,,,1610612738,0,0,2022-02-01T00:40:55Z,40000,,,0,,Jump Ball R. Williams III vs. B. Adebayo: Tip to A. Horford,"[201143, 1629057, 1628389]",1610612738.0,BOS,startperiod,A. Horford,201143.0,Horford,A. Horford,Williams III,1629057.0,Adebayo,1628389.0,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2022-02-01T00:41:15.6Z,1,REGULAR,foul,personal,['2freethrow'],1629130,,,1610612738,0,0,2022-02-01T00:41:35Z,70000,,,0,,D. Robinson shooting personal FOUL (1 PF) (Williams III 2 FT),"[1629130, 1629057]",1610612748.0,MIA,shooting,,,Robinson,D. Robinson,,,,,1626302.0,1.0,0.0,Williams III,1629057.0,,,,,,,,,,,,,,,
9,PT11M39.00S,2022-02-01T00:41:48.5Z,1,REGULAR,freethrow,1 of 2,[],1629057,,,1610612738,0,0,2022-02-01T00:41:48Z,90000,,,0,,MISS R. Williams III Free Throw 1 of 2,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,Missed,,,,,,,,,,,,,,
10,PT11M39.00S,2022-02-01T00:41:48.5Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612738,0,0,2022-02-01T00:41:48Z,100000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,
11,PT11M39.00S,2022-02-01T00:41:48.5Z,1,REGULAR,freethrow,2 of 2,[],1629057,,,1610612738,0,0,2022-02-01T00:42:17Z,110000,,,0,,MISS R. Williams III Free Throw 2 of 2,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,Missed,,,,,,,,,,,,,,
12,PT11M35.00S,2022-02-01T00:41:52.5Z,1,REGULAR,rebound,offensive,[],1629057,,,1610612738,0,0,2022-02-01T00:42:17Z,120000,,,0,,R. Williams III REBOUND (Off:1 Def:0),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,11.0,1.0,0.0,1.0,,,,,,,,,,
13,PT11M31.00S,2022-02-01T00:42:12.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628369,92.59198423127464,39.950980392156865,1610612738,0,0,2022-02-01T00:42:22Z,130000,-50.0,17.0,1,right,MISS J. Tatum driving Layup - blocked,"[1628369, 1628389]",1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,,,,,,Missed,,,,,5.3,Adebayo,1628389.0,,,,,,,
14,PT11M31.00S,2022-02-01T00:42:12.7Z,1,REGULAR,block,,[],1628389,,,1610612738,0,0,2022-02-01T00:44:18Z,140000,,,0,,B. Adebayo BLOCK (1 BLK),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,
15,PT11M29.00S,2022-02-01T00:42:14.7Z,1,REGULAR,rebound,defensive,[],1629622,,,1610612748,0,0,2022-02-01T00:43:08Z,150000,,,0,,M. Strus REBOUND (Off:0 Def:1),[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,
16,PT11M24.00S,2022-02-01T00:42:20.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629622,29.77989487516426,67.64705882352942,1610612748,0,0,2022-02-01T00:42:32Z,160000,-88.0,227.0,1,left,MISS M. Strus 24' 3PT,[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,,,,,,Missed,,,,,24.39,,,,,,,,,
17,PT11M23.00S,2022-02-01T00:42:21.1Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,0,0,2022-02-01T00:42:32Z,170000,,,0,,M. Smart REBOUND (Off:0 Def:1),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,
18,PT11M01.00S,2022-02-01T00:42:42.7Z,1,REGULAR,turnover,bad pass,[],203935,,,1610612738,0,0,2022-02-01T00:44:32Z,180000,,,0,,M. Smart bad pass TURNOVER (1 TO),"[203935, 1629130]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,1.0,Robinson,1629130.0,,,,
19,PT11M01.00S,2022-02-01T00:42:42.7Z,1,REGULAR,steal,,[],1629130,,,1610612748,0,0,2022-02-01T00:46:37Z,190000,,,0,,D. Robinson STEAL (1 STL),[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,,,,,,,,
20,PT10M55.00S,2022-02-01T00:42:51.2Z,1,REGULAR,turnover,out-of-bounds,[],1628389,,,1610612748,0,0,2022-02-01T00:43:05Z,200000,,,0,,B. Adebayo bad pass out-of-bounds TURNOVER (1 TO),[1628389],1610612748.0,MIA,bad pass,,,Adebayo,B. Adebayo,,,,,1626302.0,,,,,,,,,,,,,1.0,,,,,,
21,PT10M42.00S,2022-02-01T00:43:07.2Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1629057,93.38042049934296,51.470588235294116,1610612738,2,0,2022-02-01T00:43:15Z,210000,7.0,10.0,1,right,R. Williams III cutting DUNK (2 PTS) (M. Smart 1 AST),"[1629057, 203935]",1610612738.0,BOS,cutting,,,Williams III,R. Williams III,,,,,,,,,,Made,,,,,1.22,,,,,,2.0,M. Smart,203935.0,1.0
60,PT10M23.00S,2022-02-01T00:43:17.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629622,8.672798948751643,53.209252450980394,1610612748,2,0,2022-02-01T00:49:40Z,225000,-16.0,29.0,1,left,MISS M. Strus driving Layup - blocked,"[1629622, 201143]",1610612748.0,MIA,driving,,,Strus,M. Strus,,,,,,,,,,Missed,,,,,3.31,Horford,201143.0,,,,,,,
398,PT10M23.00S,2022-02-01T00:43:17.1Z,1,REGULAR,block,,[],201143,,,1610612748,2,0,2022-02-01T02:06:56Z,226250,,,0,,A. Horford BLOCK (1 BLK),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,
61,PT10M22.00S,2022-02-01T00:43:18.1Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,2,0,2022-02-01T00:49:40Z,227500,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,60.0,1.0,1.0,0.0,,,,,,,,,,
25,PT10M15.00S,2022-02-01T00:43:34.2Z,1,REGULAR,turnover,bad pass,[],201143,,,1610612738,2,0,2022-02-01T00:43:38Z,250000,,,0,,A. Horford bad pass TURNOVER (1 TO),"[201143, 1628389]",1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,1.0,Adebayo,1628389.0,,,,
26,PT10M15.00S,2022-02-01T00:43:34.2Z,1,REGULAR,steal,,[],1628389,,,1610612748,2,0,2022-02-01T00:43:35Z,260000,,,0,,B. Adebayo STEAL (1 STL),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,
27,PT09M57.00S,2022-02-01T00:43:51.6Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628389,18.478975032851512,73.52941176470588,1610612748,2,0,2022-02-01T00:44:00Z,270000,-118.0,121.0,1,left,MISS B. Adebayo 16' Jump Shot,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,Missed,,,,,16.89,,,,,,,,,
28,PT09M55.00S,2022-02-01T00:43:53.6Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,2,0,2022-02-01T00:44:00Z,280000,,,0,,R. Williams III REBOUND (Off:1 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,27.0,2.0,1.0,1.0,,,,,,,,,,
29,PT09M44.00S,2022-02-01T00:44:07.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,2,0,2022-02-01T00:44:07Z,290000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,PT09M36.00S,2022-02-01T00:44:29.3Z,1,REGULAR,3pt,Jump Shot,[],1628369,67.23061760840999,25.245098039215684,1610612738,5,0,2022-02-01T00:44:36Z,300000,-124.0,256.0,1,right,J. Tatum 28' 3PT  (3 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,Made,,,,,28.39,,,,,,3.0,,,
31,PT09M24.00S,2022-02-01T00:44:41.7Z,1,REGULAR,3pt,Jump Shot,[],1629130,32.40801576872536,43.872549019607845,1610612748,5,0,2022-02-01T00:44:47Z,310000,31.0,252.0,1,left,MISS D. Robinson 25' 3PT,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,Missed,,,,,25.4,,,,,,,,,
