actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-02-12T00:41:31.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-12T00:41:31Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M59.00S,2022-02-12T00:41:33.2Z,1,REGULAR,jumpball,recovered,[],1630538,,,1610612743,0,0,2022-02-12T00:41:33Z,40000,,,0,,Jump Ball N. Jokic vs. R. Williams III: Tip to B. Hyland,"[1630538, 203999, 1629057]",1610612743.0,DEN,startperiod,B. Hyland,1630538.0,Hyland,B. Hyland,Jokic,203999.0,Williams III,1629057.0,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2022-02-12T00:41:44.2Z,1,REGULAR,turnover,out-of-bounds,[],203999,,,1610612743,0,0,2022-02-12T00:42:00Z,70000,,,0,,N. Jokic bad pass out-of-bounds TURNOVER (1 TO),[203999],1610612743.0,DEN,bad pass,,,Jokic,N. Jokic,,,,,2534.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2022-02-12T00:42:04.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201143,71.56701708278581,18.627450980392158,1610612738,3,0,2022-02-12T00:42:15Z,80000,-157.0,215.0,1,right,A. Horford 26' 3PT  (3 PTS) (M. Smart 1 AST),"[201143, 203935]",1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,26.6,Made,3.0,M. Smart,203935.0,1.0,,,,,,,,,,,,
10,PT11M19.00S,2022-02-12T00:42:31.7Z,1,REGULAR,foul,personal,['2freethrow'],203935,,,1610612743,3,0,2022-02-12T00:42:44Z,100000,,,0,,M. Smart shooting personal FOUL (1 PF) (Green 2 FT),"[203935, 201145]",1610612738.0,BOS,shooting,,,Smart,M. Smart,,,,,1204.0,,,,,,,,1.0,0.0,Green,201145.0,,,,,,,,
12,PT11M19.00S,2022-02-12T00:42:58.2Z,1,REGULAR,freethrow,1 of 2,[],201145,,,1610612743,3,1,2022-02-12T00:42:58Z,120000,,,0,,J. Green Free Throw 1 of 2 (1 PTS),[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,,,,Made,1.0,,,,,,,,,,,,,,,
13,PT11M19.00S,2022-02-12T00:43:15.6Z,1,REGULAR,freethrow,2 of 2,[],201145,,,1610612743,3,2,2022-02-12T00:43:15Z,130000,,,0,,J. Green Free Throw 2 of 2 (2 PTS),[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,,,,Made,2.0,,,,,,,,,,,,,,,
14,PT11M09.00S,2022-02-12T00:43:28.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629057,91.5407358738502,50.0,1610612738,3,2,2022-02-12T00:43:51Z,140000,0.0,27.0,1,right,MISS R. Williams III cutting Layup,[1629057],1610612738.0,BOS,cutting,,,Williams III,R. Williams III,,,,,,,2.7,Missed,,,,,,,,,,,,,,,,
15,PT11M08.00S,2022-02-12T00:43:29.2Z,1,REGULAR,rebound,offensive,[],1629057,,,1610612738,3,2,2022-02-12T00:44:05Z,150000,,,0,,R. Williams III REBOUND (Off:1 Def:0),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,14.0,1.0,0.0,1.0,,,,
16,PT11M06.00S,2022-02-12T00:43:33.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629057,92.9862023653088,50.245098039215684,1610612738,3,2,2022-02-12T00:44:28Z,160000,1.0,13.0,1,right,MISS R. Williams III putback Layup,[1629057],1610612738.0,BOS,putback,,,Williams III,R. Williams III,,,,,,,1.35,Missed,,,,,,,,,,,,,,,,
