actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-12-30T00:40:36.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-30T00:40:36Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-12-30T00:40:40.1Z,1,REGULAR,jumpball,recovered,[],1629611,,,1610612746,0,0,2021-12-30T00:40:40Z,40000,,,0,,Jump Ball I. Zubac vs. R. Williams III: Tip to T. Mann,"[1629611, 1627826, 1629057]",1610612746.0,LAC,startperiod,T. Mann,1629611.0,Mann,T. Mann,Zubac,1627826.0,Williams III,1629057.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2021-12-30T00:40:49.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202339,93.24901445466492,44.36274509803921,1610612746,0,0,2021-12-30T00:41:04Z,70000,-28.0,11.0,1,right,MISS E. Bledsoe driving reverse Layup,[202339],1610612746.0,LAC,driving reverse,,,Bledsoe,E. Bledsoe,,,,,3.03,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2021-12-30T00:40:52.8Z,1,REGULAR,rebound,offensive,[],1627826,,,1610612746,0,0,2021-12-30T00:41:20Z,80000,,,0,,I. Zubac REBOUND (Off:1 Def:0),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
9,PT11M43.00S,2021-12-30T00:40:54.0Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1627826,94.40999984741211,50.0,1610612746,0,0,2021-12-30T01:15:50Z,90000,0.0,0.0,1,right,MISS I. Zubac tip Layup,[1627826],1610612746.0,LAC,tip,,,Zubac,I. Zubac,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M41.00S,2021-12-30T00:40:56.0Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,0,0,2021-12-30T00:41:36Z,100000,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
11,PT11M36.00S,2021-12-30T00:41:00.3Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],1627759,9.674770039421814,74.50980392156863,1610612738,2,0,2021-12-30T00:41:16Z,110000,-123.0,38.0,1,left,J. Brown 12' turnaround fadeaway Jump Shot (2 PTS),[1627759],1610612738.0,BOS,turnaround fadeaway,,,Brown,J. Brown,,,,,12.84,Made,,,,,2.0,,,,,,,,,,,,,,
12,PT11M17.00S,2021-12-30T00:41:20.7Z,1,REGULAR,3pt,Jump Shot,[],1629611,86.94152431011827,2.2058823529411766,1610612746,2,3,2021-12-30T00:41:27Z,120000,-239.0,70.0,1,right,T. Mann 24' 3PT  (3 PTS) (E. Bledsoe 1 AST),"[1629611, 202339]",1610612746.0,LAC,,,,Mann,T. Mann,,,,,24.91,Made,,,,,3.0,E. Bledsoe,202339.0,1.0,,,,,,,,,,,
14,PT10M50.00S,2021-12-30T00:41:46.3Z,1,REGULAR,3pt,Jump Shot,[],1630202,29.122864651773984,18.627450980392158,1610612738,2,3,2021-12-30T00:41:51Z,140000,157.0,221.0,1,left,MISS P. Pritchard 27' 3PT,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,27.13,Missed,,,,,,,,,,,,,,,,,,,
15,PT10M47.00S,2021-12-30T00:41:49.3Z,1,REGULAR,rebound,defensive,[],202694,,,1610612746,2,3,2021-12-30T00:41:51Z,150000,,,0,,M. Morris Sr. REBOUND (Off:0 Def:1),[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
