actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-03-27T22:10:45.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-27T22:10:45Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-03-27T22:10:47.9Z,1,REGULAR,jumpball,recovered,[],1629020,,,1610612750,0,0,2022-03-27T22:10:47Z,40000,,,0,,Jump Ball K. Towns vs. R. Williams III: Tip to J. Vanderbilt,"[1629020, 1626157, 1629057]",1610612750.0,MIN,startperiod,J. Vanderbilt,1629020.0,Vanderbilt,J. Vanderbilt,Towns,1626157.0,Williams III,1629057.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2022-03-27T22:10:58.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626157,19.530223390275953,51.225490196078425,1610612750,0,0,2022-03-27T22:11:27Z,70000,-6.0,131.0,1,left,MISS K. Towns 13' turnaround fadeaway Shot,[1626157],1610612750.0,MIN,turnaround fadeaway,,,Towns,K. Towns,,,,,13.12,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2022-03-27T22:11:00.5Z,1,REGULAR,rebound,offensive,[],1629020,,,1610612750,0,0,2022-03-27T22:11:27Z,80000,,,0,,J. Vanderbilt REBOUND (Off:1 Def:0),[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
9,PT11M36.00S,2022-03-27T22:11:09.0Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1626156,24.917871222076215,36.51960784313725,1610612750,0,0,2022-03-27T22:12:13Z,90000,67.0,182.0,1,left,MISS D. Russell 19' pullup Shot,[1626156],1610612750.0,MIN,pullup,,,Russell,D. Russell,,,,,19.38,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M32.00S,2022-03-27T22:11:13.0Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,0,0,2022-03-27T22:11:31Z,100000,,,0,,M. Smart REBOUND (Off:0 Def:1),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
11,PT11M30.00S,2022-03-27T22:11:17.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,0,0,2022-03-27T22:11:17Z,110000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,PT11M16.00S,2022-03-27T22:11:40.8Z,1,REGULAR,3pt,Jump Shot,[],203935,82.34231274638634,93.13725490196079,1610612738,0,0,2022-03-27T22:11:46Z,120000,216.0,113.0,1,right,MISS M. Smart 24' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,24.37,Missed,,,,,,,,,,,,,,,,,,,
13,PT11M13.00S,2022-03-27T22:11:43.8Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612750,0,0,2022-03-27T22:11:46Z,130000,,,0,,K. Towns REBOUND (Off:0 Def:1),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
14,PT11M07.00S,2022-03-27T22:11:50.1Z,1,REGULAR,3pt,Jump Shot,[],1630162,29.517082785808146,29.411764705882355,1610612750,0,0,2022-03-27T22:11:56Z,140000,103.0,225.0,1,left,MISS A. Edwards 24' pullup 3PT,[1630162],1610612750.0,MIN,pullup,,,Edwards,A. Edwards,,,,,24.74,Missed,,,,,,,,,,,,,,,,,,,
