actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-02-17T00:40:54.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-17T00:40:54Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-02-17T00:40:56.8Z,1,REGULAR,jumpball,recovered,[],202709,,,1610612765,0,0,2022-02-17T00:40:56Z,40000,,,0,,Jump Ball I. Stewart vs. A. Horford: Tip to C. Joseph,"[202709, 1630191, 201143]",1610612765.0,DET,startperiod,C. Joseph,202709.0,Joseph,C. Joseph,Stewart,1630191.0,Horford,201143.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2022-02-17T00:41:07.2Z,1,REGULAR,3pt,Jump Shot,[],1630595,29.6484888304862,74.01960784313727,1610612765,0,0,2022-02-17T00:41:46Z,70000,-120.0,226.0,1,left,MISS C. Cunningham 25' 3PT,[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,25.61,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2022-02-17T00:41:10.2Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,0,0,2022-02-17T00:41:46Z,80000,,,0,,A. Horford REBOUND (Off:0 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M35.00S,2022-02-17T00:41:19.1Z,1,REGULAR,turnover,bad pass,[],1628369,,,1610612738,0,0,2022-02-17T00:41:23Z,90000,,,0,,J. Tatum bad pass TURNOVER (1 TO),"[1628369, 1630180]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,1.0,Bey,1630180.0,,,,,,,,,,,,
10,PT11M35.00S,2022-02-17T00:41:19.1Z,1,REGULAR,steal,,[],1630180,,,1610612765,0,0,2022-02-17T00:41:20Z,100000,,,0,,S. Bey STEAL (1 STL),[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M29.00S,2022-02-17T00:41:27.2Z,1,REGULAR,turnover,out-of-bounds,[],202709,,,1610612765,0,0,2022-02-17T00:41:40Z,110000,,,0,,C. Joseph step out-of-bounds TURNOVER (1 TO),[202709],1610612765.0,DET,step,,,Joseph,C. Joseph,,,,,,,,,,,1.0,,,1199.0,,,,,,,,,,,
12,PT11M20.00S,2022-02-17T00:41:50.9Z,1,REGULAR,foul,personal,[],1630595,,,1610612738,0,0,2022-02-17T00:42:12Z,120000,,,0,,C. Cunningham personal FOUL (1 PF),"[1630595, 1628369]",1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,,,,,,,,,,1199.0,1.0,0.0,Tatum,1628369.0,,,,,,,
14,PT11M15.00S,2022-02-17T00:42:13.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627759,68.64117936925098,64.15441176470588,1610612738,3,0,2022-02-17T00:42:19Z,140000,71.0,242.0,1,right,J. Brown 25' 3PT  (3 PTS) (D. White 1 AST),"[1627759, 1628401]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,25.24,Made,,,,,,,,,,,,,3.0,D. White,1628401.0,1.0,,,
16,PT11M05.00S,2022-02-17T00:42:25.7Z,1,REGULAR,turnover,out-of-bounds,[],1630595,,,1610612765,3,0,2022-02-17T00:42:30Z,160000,,,0,,C. Cunningham lost ball out-of-bounds TURNOVER (1 TO),[1630595],1610612765.0,DET,lost ball,,,Cunningham,C. Cunningham,,,,,,,,,,,1.0,,,1199.0,,,,,,,,,,,
17,PT11M00.00S,2022-02-17T00:42:37.1Z,1,REGULAR,foul,personal,['2freethrow'],1630595,,,1610612738,3,0,2022-02-17T00:42:45Z,170000,,,0,,C. Cunningham shooting personal FOUL (2 PF) (Horford 2 FT),"[1630595, 201143]",1610612765.0,DET,shooting,,,Cunningham,C. Cunningham,,,,,,,,,,,,,,101284.0,2.0,0.0,Horford,201143.0,,,,,,,
19,PT11M00.00S,2022-02-17T00:43:03.9Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],201143,,,1610612738,3,0,2022-02-17T00:43:03Z,190000,,,0,,MISS A. Horford Free Throw 1 of 2,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,Missed,,,,,,,,,,,,,,,,,,,
20,PT11M00.00S,2022-02-17T00:43:03.9Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612738,3,0,2022-02-17T00:43:03Z,200000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,
21,PT11M00.00S,2022-02-17T00:43:21.2Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],201143,,,1610612738,4,0,2022-02-17T00:43:21Z,210000,,,0,,A. Horford Free Throw 2 of 2 (1 PTS),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,Made,,,,,,,,,,,,,1.0,,,,,,
22,PT10M46.00S,2022-02-17T00:43:36.2Z,1,REGULAR,2pt,Jump Shot,[],203924,13.61695137976347,21.568627450980394,1610612765,4,0,2022-02-17T00:44:17Z,220000,142.0,75.0,1,left,MISS J. Grant 16' pullup Shot,[203924],1610612765.0,DET,pullup,,,Grant,J. Grant,,,,,16.1,Missed,,,,,,,,,,,,,,,,,,,
23,PT10M44.00S,2022-02-17T00:43:38.2Z,1,REGULAR,rebound,offensive,[],1630595,,,1610612765,4,0,2022-02-17T00:43:47Z,230000,,,0,,C. Cunningham REBOUND (Off:1 Def:0),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,,,22.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
24,PT10M42.00S,2022-02-17T00:43:40.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630595,5.469776609724048,54.166666666666664,1610612765,4,0,2022-02-17T00:43:56Z,240000,-21.0,-1.0,1,left,MISS C. Cunningham putback Layup,[1630595],1610612765.0,DET,putback,,,Cunningham,C. Cunningham,,,,,2.08,Missed,,,,,,,,,,,,,,,,,,,
25,PT10M40.00S,2022-02-17T00:43:41.8Z,1,REGULAR,rebound,offensive,[],1630595,,,1610612765,4,0,2022-02-17T00:43:41Z,250000,,,0,,C. Cunningham REBOUND (Off:2 Def:0),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,,,24.0,2.0,0.0,2.0,,,,,,,,,,,,,,,
