actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2022-03-13T19:46:04.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-13T19:46:04Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-03-13T19:46:06.2Z,1,REGULAR,jumpball,recovered,[],203935,,,1610612738,0,0,2022-03-13T19:46:06Z,40000,,,0,,Jump Ball R. Williams III vs. D. Powell: Tip to M. Smart,"[203935, 1629057, 203939]",1610612738.0,BOS,startperiod,M. Smart,203935.0,Smart,M. Smart,Williams III,1629057.0,Powell,203939.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2022-03-13T19:46:16.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],201143,88.25558475689881,52.94117647058824,1610612738,2,0,2022-03-13T19:46:23Z,70000,15.0,58.0,1,right,A. Horford turnaround Hook (2 PTS) (R. Williams III 1 AST),"[201143, 1629057]",1610612738.0,BOS,turnaround,,,Horford,A. Horford,,,,,5.97,Made,2.0,R. Williams III,1629057.0,1.0,,,,,,,,,,,,,,,
9,PT11M25.00S,2022-03-13T19:46:39.7Z,1,REGULAR,3pt,Jump Shot,[],1629029,33.327858081471746,24.019607843137255,1610612742,2,3,2022-03-13T19:46:56Z,90000,130.0,261.0,1,left,L. Doncic 29' 3PT step back (3 PTS),[1629029],1610612742.0,DAL,step back,,,Doncic,L. Doncic,,,,,29.14,Made,3.0,,,,,,,,,,,,,,,,,,
10,PT11M04.00S,2022-03-13T19:47:00.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],201143,90.09526938239159,43.13725490196079,1610612738,4,3,2022-03-13T19:47:12Z,100000,-34.0,41.0,1,right,A. Horford driving Hook (4 PTS),[201143],1610612738.0,BOS,driving,,,Horford,A. Horford,,,,,5.31,Made,4.0,,,,,,,,,,,,,,,,,,
12,PT10M42.00S,2022-03-13T19:47:21.2Z,1,REGULAR,2pt,Jump Shot,[],1628973,20.367936925098554,34.1030943627451,1610612742,4,5,2022-03-13T19:47:29Z,120000,79.0,139.0,1,left,J. Brunson 16' pullup Jump Shot (2 PTS) (D. Powell 1 AST),"[1628973, 203939]",1610612742.0,DAL,pullup,,,Brunson,J. Brunson,,,,,16.01,Made,2.0,D. Powell,203939.0,1.0,,,,,,,,,,,,,,,
14,PT10M24.00S,2022-03-13T19:47:39.1Z,1,REGULAR,3pt,Jump Shot,[],1628369,72.09264126149803,14.460784313725492,1610612738,7,5,2022-03-13T19:47:54Z,140000,-178.0,210.0,1,right,J. Tatum 27' 3PT step back (3 PTS) (J. Brown 1 AST),"[1628369, 1627759]",1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,27.49,Made,3.0,J. Brown,1627759.0,1.0,,,,,,,,,,,,,,,
16,PT10M07.00S,2022-03-13T19:47:58.7Z,1,REGULAR,turnover,out-of-bounds,[],1629029,,,1610612742,7,5,2022-03-13T19:48:10Z,160000,,,0,,L. Doncic bad pass out-of-bounds TURNOVER (1 TO),[1629029],1610612742.0,DAL,bad pass,,,Doncic,L. Doncic,,,,,,,,,,,101284.0,1.0,,,,,,,,,,,,,
17,PT09M57.00S,2022-03-13T19:48:14.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627759,91.67214191852825,55.392156862745104,1610612738,7,5,2022-03-13T19:48:28Z,170000,27.0,26.0,1,right,MISS J. Brown driving Layup - blocked,"[1627759, 203939]",1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,3.73,Missed,,,,,,,Powell,203939.0,,,,,,,,,,,
18,PT09M57.00S,2022-03-13T19:48:14.8Z,1,REGULAR,block,,[],203939,,,1610612738,7,5,2022-03-13T19:48:16Z,180000,,,0,,D. Powell BLOCK (1 BLK),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,,,,,,,,,,,,,,
19,PT09M54.00S,2022-03-13T19:48:17.8Z,1,REGULAR,rebound,offensive,[],1627759,,,1610612738,7,5,2022-03-13T19:48:28Z,190000,,,0,,J. Brown REBOUND (Off:1 Def:0),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,17.0,1.0,0.0,1.0,,,,,,,
20,PT09M50.00S,2022-03-13T19:48:18.9Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",203935,65.78515111695138,37.99019607843137,1610612738,7,5,2022-03-13T19:48:45Z,200000,-60.0,269.0,1,right,MISS M. Smart 27' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,27.57,Missed,,,,,,,,,,,,,,,,,,,
21,PT09M48.00S,2022-03-13T19:48:20.9Z,1,REGULAR,rebound,offensive,[],1629057,,,1610612738,7,5,2022-03-13T19:48:45Z,210000,,,0,,R. Williams III REBOUND (Off:1 Def:0),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,20.0,1.0,0.0,1.0,,,,,,,
22,PT09M40.00S,2022-03-13T19:48:28.5Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1627759,83.919185282523,2.2058823529411766,1610612738,10,5,2022-03-13T19:48:48Z,220000,-239.0,99.0,1,right,J. Brown 25' 3PT  (3 PTS) (M. Smart 1 AST),"[1627759, 203935]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,25.86,Made,3.0,M. Smart,203935.0,1.0,,,,,,,,,,,,,,,
24,PT09M23.00S,2022-03-13T19:48:47.8Z,1,REGULAR,2pt,Jump Shot,[],1628973,20.05584756898817,65.93137254901961,1610612742,10,5,2022-03-13T19:49:08Z,240000,-80.0,136.0,1,left,MISS J. Brunson 15' step back Shot,[1628973],1610612742.0,DAL,step back,,,Brunson,J. Brunson,,,,,15.76,Missed,,,,,,,,,,,,,,,,,,,
25,PT09M21.00S,2022-03-13T19:48:49.8Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,10,5,2022-03-13T19:49:08Z,250000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,24.0,1.0,1.0,0.0,,,,,,,
26,PT09M07.00S,2022-03-13T19:49:04.3Z,1,REGULAR,2pt,Jump Shot,[],203935,87.25361366622865,65.95435049019608,1610612738,10,5,2022-03-13T19:49:25Z,260000,80.0,67.0,1,right,MISS M. Smart 10' fadeaway Shot,[203935],1610612738.0,BOS,fadeaway,,,Smart,M. Smart,,,,,10.44,Missed,,,,,,,,,,,,,,,,,,,
27,PT09M05.00S,2022-03-13T19:49:06.3Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,10,5,2022-03-13T19:49:25Z,270000,,,0,,L. Doncic REBOUND (Off:0 Def:1),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,,,,,26.0,1.0,1.0,0.0,,,,,,,
28,PT08M47.00S,2022-03-13T19:49:22.9Z,1,REGULAR,3pt,Jump Shot,[],203939,27.54599211563732,15.686274509803921,1610612742,10,5,2022-03-13T19:49:43Z,280000,172.0,206.0,1,left,MISS D. Powell 26' 3PT,[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,26.84,Missed,,,,,,,,,,,,,,,,,,,
29,PT08M45.00S,2022-03-13T19:49:24.9Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,10,5,2022-03-13T19:49:43Z,290000,,,0,,A. Horford REBOUND (Off:0 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,28.0,1.0,1.0,0.0,,,,,,,
30,PT08M37.00S,2022-03-13T19:49:33.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,92.32917214191852,54.166666666666664,1610612738,10,5,2022-03-13T19:50:50Z,300000,21.0,20.0,1,right,MISS J. Tatum driving Layup,[1628369],1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,2.86,Missed,,,,,,,,,,,,,,,,,,,
31,PT08M35.00S,2022-03-13T19:49:35.5Z,1,REGULAR,rebound,offensive,[],201143,,,1610612738,10,5,2022-03-13T19:50:50Z,310000,,,0,,A. Horford REBOUND (Off:1 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,30.0,2.0,1.0,1.0,,,,,,,
32,PT08M35.00S,2022-03-13T19:49:37.7Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",201143,94.40999984741211,50.0,1610612738,12,5,2022-03-13T19:51:07Z,320000,0.0,0.0,1,right,A. Horford tip Layup (6 PTS),[201143],1610612738.0,BOS,tip,,,Horford,A. Horford,,,,,0.0,Made,6.0,,,,,,,,,,,,,,,,,,
33,PT08M11.00S,2022-03-13T19:49:58.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203939,9.411957950065702,38.970588235294116,1610612742,12,7,2022-03-13T19:50:16Z,330000,55.0,36.0,1,left,D. Powell 6' driving Layup (2 PTS) (L. Doncic 1 AST),"[203939, 1629029]",1610612742.0,DAL,driving,,,Powell,D. Powell,,,,,6.58,Made,2.0,L. Doncic,1629029.0,1.0,,,,,,,,,,,,,,,
35,PT07M45.00S,2022-03-13T19:50:23.4Z,1,REGULAR,3pt,Jump Shot,[],1628369,85.10183968462549,1.9607843137254901,1610612738,12,7,2022-03-13T19:50:28Z,350000,-240.0,88.0,1,right,MISS J. Tatum 25' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,25.56,Missed,,,,,,,,,,,,,,,,,,,
36,PT07M43.00S,2022-03-13T19:50:25.4Z,1,REGULAR,rebound,defensive,[],203915,,,1610612742,12,7,2022-03-13T19:50:28Z,360000,,,0,,S. Dinwiddie REBOUND (Off:0 Def:1),[203915],1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,,,,,,,,,,,35.0,1.0,1.0,0.0,,,,,,,
37,PT07M39.00S,2022-03-13T19:50:30.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203915,6.1268068331143235,49.01960784313725,1610612742,12,9,2022-03-13T19:50:40Z,370000,5.0,5.0,1,left,S. Dinwiddie running Layup (2 PTS),[203915],1610612742.0,DAL,running,,,Dinwiddie,S. Dinwiddie,,,,,0.71,Made,2.0,,,,,,,,,,,,,,,,,,
38,PT07M19.00S,2022-03-13T19:50:50.2Z,1,REGULAR,turnover,bad pass,[],1627759,,,1610612738,12,9,2022-03-13T19:50:54Z,380000,,,0,,J. Brown bad pass TURNOVER (1 TO),"[1627759, 1627827]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,1.0,,,,,,,Finney-Smith,1627827.0,,,,,
39,PT07M19.00S,2022-03-13T19:50:50.2Z,1,REGULAR,steal,,[],1627827,,,1610612742,12,9,2022-03-13T19:50:51Z,390000,,,0,,D. Finney-Smith STEAL (1 STL),[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,,,,,,,,,,,,,,,
