actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-01-22T00:41:03.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-22T00:41:03Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-01-22T00:41:05.8Z,1,REGULAR,jumpball,recovered,[],1629014,,,1610612757,0,0,2022-01-22T00:41:05Z,40000,,,0,,Jump Ball J. Nurkic vs. R. Williams III: Tip to A. Simons,"[1629014, 203994, 1629057]",1610612757.0,POR,startperiod,A. Simons,1629014.0,Simons,A. Simons,Nurkic,203994.0,Williams III,1629057.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2022-01-22T00:41:21.6Z,1,REGULAR,3pt,Jump Shot,[],203468,33.196452036793694,31.127450980392158,1610612757,0,0,2022-01-22T00:41:28Z,70000,94.0,260.0,1,left,MISS C. McCollum 27' 3PT,[203468],1610612757.0,POR,,,,McCollum,C. McCollum,,,,,27.61,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2022-01-22T00:41:24.6Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,0,0,2022-01-22T00:41:28Z,80000,,,0,,R. Williams III REBOUND (Off:0 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M21.00S,2022-01-22T00:41:41.5Z,1,REGULAR,3pt,Jump Shot,[],201143,76.03482260183968,10.049019607843137,1610612738,0,0,2022-01-22T00:41:48Z,90000,-200.0,173.0,1,right,MISS A. Horford 26' 3PT,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,26.42,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M18.00S,2022-01-22T00:41:44.5Z,1,REGULAR,rebound,defensive,[],1629642,,,1610612757,0,0,2022-01-22T00:41:48Z,100000,,,0,,N. Little REBOUND (Off:0 Def:1),[1629642],1610612757.0,POR,,,,Little,N. Little,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
11,PT11M01.00S,2022-01-22T00:42:02.2Z,1,REGULAR,foul,personal,['2freethrow'],1629057,,,1610612757,0,0,2022-01-22T00:42:10Z,110000,,,0,,R. Williams III shooting personal FOUL (1 PF) (Nurkic 2 FT),"[1629057, 203994]",1610612738.0,BOS,shooting,,,Williams III,R. Williams III,,,,,,,,,,,1662.0,1.0,0.0,Nurkic,203994.0,,,,,,,,,,
13,PT11M01.00S,2022-01-22T00:42:26.9Z,1,REGULAR,freethrow,1 of 2,[],203994,,,1610612757,0,0,2022-01-22T00:42:26Z,130000,,,0,,MISS J. Nurkic Free Throw 1 of 2,[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,Missed,,,,,,,,,,,,,,,,,,,
14,PT11M01.00S,2022-01-22T00:42:26.9Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612757,0,0,2022-01-22T00:42:26Z,140000,,,0,,TEAM offensive REBOUND,[],1610612757.0,POR,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,
15,PT11M01.00S,2022-01-22T00:42:41.5Z,1,REGULAR,freethrow,2 of 2,[],203994,,,1610612757,0,1,2022-01-22T00:42:41Z,150000,,,0,,J. Nurkic Free Throw 2 of 2 (1 PTS),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,Made,,,,,,,,,,1.0,,,,,,,,,
16,PT10M42.00S,2022-01-22T00:43:04.9Z,1,REGULAR,turnover,out-of-bounds,[],1628369,,,1610612738,0,1,2022-01-22T00:43:15Z,160000,,,0,,J. Tatum bad pass out-of-bounds TURNOVER (1 TO),[1628369],1610612738.0,BOS,bad pass,,,Tatum,J. Tatum,,,,,,,,,,,1627962.0,,,,,,1.0,,,,,,,,
17,PT10M27.00S,2022-01-22T00:43:32.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629642,28.07161629434954,77.69607843137256,1610612757,0,4,2022-01-22T00:43:37Z,170000,-138.0,211.0,1,left,N. Little 25' 3PT  (3 PTS) (A. Simons 1 AST),"[1629642, 1629014]",1610612757.0,POR,,,,Little,N. Little,,,,,25.27,Made,,,,,,,,,,3.0,,A. Simons,1629014.0,1.0,,,,,
19,PT10M20.00S,2022-01-22T00:43:41.8Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,0,4,2022-01-22T00:43:41Z,190000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,PT10M08.00S,2022-01-22T00:44:08.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201143,90.3580814717477,37.254901960784316,1610612738,2,4,2022-01-22T00:44:13Z,200000,-64.0,38.0,1,right,A. Horford 7' driving floating bank Jump Shot (2 PTS) (J. Tatum 1 AST),"[201143, 1628369]",1610612738.0,BOS,driving floating bank,,,Horford,A. Horford,,,,,7.42,Made,,,,,,,,,,2.0,,J. Tatum,1628369.0,1.0,,,,,
