actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2021-10-27T23:40:34.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-10-27T23:40:34Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-10-27T23:40:36.7Z,1,REGULAR,jumpball,recovered,[],201143,,,1610612738,0,0,2021-10-27T23:40:36Z,40000,,,0,,Jump Ball R. Williams III vs. D. Gafford: Tip to A. Horford,"[201143, 1629057, 1629655]",1610612738.0,BOS,startperiod,A. Horford,201143.0,Horford,A. Horford,Williams III,1629057.0,Gafford,1629655.0,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2021-10-27T23:40:45.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629057,92.06636005256242,54.90196078431373,1610612738,2,0,2021-10-27T23:40:52Z,70000,25.0,22.0,1,right,R. Williams III alley-oop DUNK (2 PTS) (M. Smart 1 AST),"[1629057, 203935]",1610612738.0,BOS,alley-oop,,,Williams III,R. Williams III,,,,,3.3,Made,2.0,M. Smart,203935.0,1.0,,,,,,,,,,,,,,
9,PT11M25.00S,2021-10-27T23:41:08.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628398,6.521024967148489,35.78431372549019,1610612764,2,2,2021-10-27T23:41:18Z,90000,71.0,9.0,1,left,K. Kuzma 7' cutting Layup (2 PTS) (S. Dinwiddie 1 AST),"[1628398, 203915]",1610612764.0,WAS,cutting,,,Kuzma,K. Kuzma,,,,,7.16,Made,2.0,S. Dinwiddie,203915.0,1.0,,,,,,,,,,,,,,
11,PT11M10.00S,2021-10-27T23:41:22.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],201143,87.86136662286465,48.77450980392157,1610612738,2,2,2021-10-27T23:41:27Z,110000,-6.0,62.0,1,right,MISS A. Horford 6' Hook,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,6.19,Missed,,,,,,,,,,,,,,,,,,
12,PT11M07.00S,2021-10-27T23:41:25.3Z,1,REGULAR,rebound,defensive,[],1629655,,,1610612764,2,2,2021-10-27T23:41:27Z,120000,,,0,,D. Gafford REBOUND (Off:0 Def:1),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,
13,PT11M02.00S,2021-10-27T23:41:31.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203078,13.485545335085414,43.13725490196079,1610612764,2,4,2021-10-27T23:41:59Z,130000,34.0,74.0,1,left,B. Beal 8' floating Jump Shot (2 PTS),[203078],1610612764.0,WAS,floating,,,Beal,B. Beal,,,,,8.18,Made,2.0,,,,,,,,,,,,,,,,,
14,PT10M50.00S,2021-10-27T23:41:43.7Z,1,REGULAR,2pt,Jump Shot,[],1627759,86.94152431011827,24.264705882352942,1610612738,2,4,2021-10-27T23:42:08Z,140000,-129.0,70.0,1,right,MISS J. Brown 14' fadeaway Shot,[1627759],1610612738.0,BOS,fadeaway,,,Brown,J. Brown,,,,,14.66,Missed,,,,,,,,,,,,,,,,,,
15,PT10M49.00S,2021-10-27T23:41:44.7Z,1,REGULAR,rebound,defensive,[],1629655,,,1610612764,2,4,2021-10-27T23:42:08Z,150000,,,0,,D. Gafford REBOUND (Off:0 Def:2),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,,,,14.0,2.0,2.0,0.0,,,,,,,,,,
16,PT10M38.00S,2021-10-27T23:41:55.8Z,1,REGULAR,3pt,Jump Shot,[],1628398,24.78646517739816,88.48039215686273,1610612764,2,4,2021-10-27T23:42:00Z,160000,-192.0,180.0,1,left,MISS K. Kuzma 26' 3PT,[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,26.38,Missed,,,,,,,,,,,,,,,,,,
