actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-12-18T00:45:24.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-18T00:45:24Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-12-18T00:45:26.5Z,1,REGULAR,jumpball,recovered,[],203110,,,1610612744,0,0,2021-12-18T00:45:26Z,40000,,,0,,Jump Ball K. Looney vs. R. Williams III: Tip to D. Green,"[203110, 1626172, 1629057]",1610612744.0,GSW,startperiod,D. Green,203110.0,Green,D. Green,Looney,1626172.0,Williams III,1629057.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2021-12-18T00:45:40.3Z,1,REGULAR,3pt,Jump Shot,[],203952,29.38567674113009,76.7156862745098,1610612744,0,0,2021-12-18T00:45:57Z,70000,-134.0,224.0,1,left,MISS A. Wiggins 26' 3PT,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,26.06,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2021-12-18T00:45:42.3Z,1,REGULAR,rebound,offensive,[],1626172,,,1610612744,0,0,2021-12-18T00:45:57Z,80000,,,0,,K. Looney REBOUND (Off:1 Def:0),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
9,PT11M38.00S,2021-12-18T00:45:45.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630541,27.808804204993432,20.833333333333336,1610612744,0,0,2021-12-18T00:46:01Z,90000,146.0,209.0,1,left,MISS M. Moody 25' 3PT,[1630541],1610612744.0,GSW,,,,Moody,M. Moody,,,,,25.47,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M37.00S,2021-12-18T00:45:46.3Z,1,REGULAR,rebound,offensive,[],203952,,,1610612744,0,0,2021-12-18T00:46:35Z,100000,,,0,,A. Wiggins REBOUND (Off:1 Def:0),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
11,PT11M37.00S,2021-12-18T00:45:49.2Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",203952,5.590000152587891,50.0,1610612744,0,0,2021-12-18T00:46:43Z,110000,0.0,0.0,1,left,MISS A. Wiggins tip Layup,[203952],1610612744.0,GSW,tip,,,Wiggins,A. Wiggins,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M34.00S,2021-12-18T00:45:52.2Z,1,REGULAR,rebound,offensive,[],203952,,,1610612744,0,0,2021-12-18T00:56:18Z,120000,,,0,,A. Wiggins REBOUND (Off:2 Def:0),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,11.0,2.0,0.0,2.0,,,,,,,,,,,,,,,
15,PT11M33.00S,2021-12-18T00:45:54.0Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",203952,5.590000152587891,50.0,1610612744,0,2,2021-12-18T00:47:06Z,150000,0.0,0.0,1,left,A. Wiggins tip Layup (2 PTS),[203952],1610612744.0,GSW,tip,,,Wiggins,A. Wiggins,,,,,0.0,Made,,,,,2.0,,,,,,,,,,,,,,
16,PT11M20.00S,2021-12-18T00:46:04.8Z,1,REGULAR,turnover,out-of-bounds,[],203935,,,1610612738,0,2,2021-12-18T00:46:15Z,160000,,,0,,M. Smart bad pass out-of-bounds TURNOVER (1 TO),[203935],1610612738.0,BOS,bad pass,,,Smart,M. Smart,,,,,,,,,,,,204059.0,1.0,,,,,,,,,,,,
17,PT11M10.00S,2021-12-18T00:46:22.8Z,1,REGULAR,turnover,out-of-bounds,[],1630541,,,1610612744,0,2,2021-12-18T00:46:28Z,170000,,,0,,M. Moody bad pass out-of-bounds TURNOVER (1 TO),[1630541],1610612744.0,GSW,bad pass,,,Moody,M. Moody,,,,,,,,,,,,204058.0,1.0,,,,,,,,,,,,
18,PT10M57.00S,2021-12-18T00:46:39.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627759,68.28186596583443,74.01960784313727,1610612738,3,2,2021-12-18T00:46:45Z,180000,120.0,246.0,1,right,J. Brown 27' 3PT  (3 PTS) (J. Tatum 1 AST),"[1627759, 1628369]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,27.35,Made,,,,,3.0,,,J. Tatum,1628369.0,1.0,,,,,,,,,
20,PT10M33.00S,2021-12-18T00:47:03.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203952,10.200394218134035,39.21568627450981,1610612744,3,4,2021-12-18T00:48:09Z,200000,54.0,43.0,1,left,A. Wiggins 6' driving Layup (4 PTS) (D. Green 1 AST),"[203952, 203110]",1610612744.0,GSW,driving,,,Wiggins,A. Wiggins,,,,,6.92,Made,,,,,4.0,,,D. Green,203110.0,1.0,,,,,,,,,
22,PT10M32.00S,2021-12-18T00:47:09.6Z,1,REGULAR,turnover,bad pass,[],1629057,,,1610612738,3,4,2021-12-18T00:50:33Z,220000,,,0,,R. Williams III bad pass TURNOVER (1 TO),"[1629057, 1630541]",1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,1.0,,,,Moody,1630541.0,,,,,,,
23,PT10M32.00S,2021-12-18T00:47:09.6Z,1,REGULAR,steal,,[],1630541,,,1610612744,3,4,2021-12-18T00:47:12Z,230000,,,0,,M. Moody STEAL (1 STL),[1630541],1610612744.0,GSW,,,,Moody,M. Moody,,,,,,,,,,,,,,,,,,,,,,,,,
24,PT10M30.00S,2021-12-18T00:47:13.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630541,7.440867279894875,48.77450980392157,1610612744,3,4,2021-12-18T00:48:30Z,240000,6.0,17.0,1,left,MISS M. Moody Layup,[1630541],1610612744.0,GSW,,,,Moody,M. Moody,,,,,1.84,Missed,,,,,,,,,,,,,,,,,,,
25,PT10M29.00S,2021-12-18T00:47:14.2Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,3,4,2021-12-18T00:48:30Z,250000,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,24.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
26,PT10M20.00S,2021-12-18T00:47:23.7Z,1,REGULAR,turnover,out-of-bounds,[],1627759,,,1610612738,3,4,2021-12-18T00:47:43Z,260000,,,0,,J. Brown bad pass out-of-bounds TURNOVER (1 TO),[1627759],1610612738.0,BOS,bad pass,,,Brown,J. Brown,,,,,,,,,,,,,1.0,,,,,,,,,,,,
27,PT10M08.00S,2021-12-18T00:47:45.8Z,1,REGULAR,foul,personal,['2freethrow'],1629641,,,1610612744,3,4,2021-12-18T00:47:56Z,270000,,,0,,R. Langford shooting personal FOUL (1 PF) (Looney 2 FT),"[1629641, 1626172]",1610612738.0,BOS,shooting,,,Langford,R. Langford,,,,,,,,,,,,1148.0,,,,,,,1.0,0.0,Looney,1626172.0,,,
29,PT10M08.00S,2021-12-18T00:48:08.7Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1626172,,,1610612744,3,4,2021-12-18T00:48:08Z,290000,,,0,,MISS K. Looney Free Throw 1 of 2,[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,Missed,,,,,,,,,,,,,,,,,,,
