actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-01-11T00:40:36.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-11T00:40:36Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-01-11T00:40:38.7Z,1,REGULAR,jumpball,recovered,[],203935,,,1610612738,0,0,2022-01-11T00:40:38Z,40000,,,0,,Jump Ball R. Williams III vs. M. Turner: Tip to M. Smart,"[203935, 1629057, 1626167]",1610612738.0,BOS,startperiod,M. Smart,203935.0,Smart,M. Smart,Williams III,1629057.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2022-01-11T00:40:53.9Z,1,REGULAR,2pt,Jump Shot,[],1627759,78.9257555847569,27.205882352941174,1610612738,2,0,2022-01-11T00:41:04Z,70000,-114.0,146.0,1,right,J. Brown 18' pullup bank Jump Shot (2 PTS),[1627759],1610612738.0,BOS,pullup bank,,,Brown,J. Brown,,,,,18.49,Made,2.0,,,,,,,,,,,,,,,,,,
8,PT11M20.00S,2022-01-11T00:41:20.0Z,1,REGULAR,foul,technical,['1freethrow'],1629057,,,1610612754,2,0,2022-01-11T00:41:30Z,80000,,,0,,R. Williams III defensive-3-second technical FOUL (1 Tech),[1629057],1610612738.0,BOS,defensive-3-second,,,Williams III,R. Williams III,,,,,,,,202007.0,0.0,1.0,,,,,,,,,,,,,,,
9,PT11M20.00S,2022-01-11T00:41:37.5Z,1,REGULAR,freethrow,1 of 1,[],203200,,,1610612754,2,1,2022-01-11T00:41:37Z,90000,,,0,,J. Holiday technical Free Throw 1 of 1 (1 PTS),[203200],1610612754.0,IND,technical,,,Holiday,J. Holiday,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
10,PT11M16.00S,2022-01-11T00:41:56.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627734,7.703679369250986,60.049019607843135,1610612754,2,1,2022-01-11T00:42:11Z,100000,-50.0,20.0,1,left,MISS D. Sabonis cutting Layup,[1627734],1610612754.0,IND,cutting,,,Sabonis,D. Sabonis,,,,,5.4,Missed,,,,,,,,,,,,,,,,,,,
11,PT11M13.00S,2022-01-11T00:41:59.4Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,2,1,2022-01-11T00:42:11Z,110000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,
12,PT11M07.00S,2022-01-11T00:42:03.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628369,65.78515111695138,48.03921568627451,1610612738,2,1,2022-01-11T00:42:26Z,120000,-10.0,269.0,1,right,MISS J. Tatum 26' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,26.93,Missed,,,,,,,,,,,,,,,,,,,
13,PT11M04.00S,2022-01-11T00:42:06.7Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612754,2,1,2022-01-11T00:42:26Z,130000,,,0,,D. Sabonis REBOUND (Off:0 Def:1),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,
14,PT10M55.00S,2022-01-11T00:42:14.6Z,1,REGULAR,3pt,Jump Shot,[],1626167,23.340998685939553,11.029411764705882,1610612754,2,1,2022-01-11T00:42:30Z,140000,195.0,167.0,1,left,MISS M. Turner 25' 3PT,[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,25.66,Missed,,,,,,,,,,,,,,,,,,,
15,PT10M53.00S,2022-01-11T00:42:16.6Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,2,1,2022-01-11T00:42:30Z,150000,,,0,,A. Horford REBOUND (Off:0 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,
