actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
17,PT10M41.00S,2022-01-11T00:42:41.7Z,1,REGULAR,foul,personal,['2freethrow'],1630613,,,1610612738,2,1,2022-01-11T00:42:49Z,170000,,,0,,D. Washington Jr. shooting personal FOUL (1 PF) (Tatum 2 FT),"[1630613, 1628369]",1610612754.0,IND,shooting,,,Washington Jr.,D. Washington Jr.,,,,,,,,202058.0,1.0,0.0,,,,,Tatum,1628369.0,,,,,,,,,
19,PT10M41.00S,2022-01-11T00:42:55.4Z,1,REGULAR,freethrow,1 of 2,[],1628369,,,1610612738,3,1,2022-01-11T00:42:55Z,190000,,,0,,J. Tatum Free Throw 1 of 2 (1 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
20,PT10M41.00S,2022-01-11T00:43:08.4Z,1,REGULAR,freethrow,2 of 2,[],1628369,,,1610612738,4,1,2022-01-11T00:43:08Z,200000,,,0,,J. Tatum Free Throw 2 of 2 (2 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,2.0,,,,,,,,,,,,,,,,,,
21,PT10M27.00S,2022-01-11T00:43:23.8Z,1,REGULAR,3pt,Jump Shot,[],1626208,25.312089356110377,85.7843137254902,1610612754,4,1,2022-01-11T00:43:31Z,210000,-179.0,185.0,1,left,MISS K. Sykes 25' 3PT,[1626208],1610612754.0,IND,,,,Sykes,K. Sykes,,,,,25.76,Missed,,,,,,,,,,,,,,,,,,,
22,PT10M25.00S,2022-01-11T00:43:25.8Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,4,1,2022-01-11T00:43:31Z,220000,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,21.0,2.0,2.0,0.0,,,,,,,,,,,
23,PT10M17.00S,2022-01-11T00:43:37.3Z,1,REGULAR,turnover,out-of-bounds,[],1628369,,,1610612738,4,1,2022-01-11T00:43:55Z,230000,,,0,,J. Tatum bad pass out-of-bounds TURNOVER (1 TO),[1628369],1610612738.0,BOS,bad pass,,,Tatum,J. Tatum,,,,,,,,202007.0,,,,,,,,,1.0,,,,,,,,
24,PT10M03.00S,2022-01-11T00:44:00.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626208,31.882391590013142,62.254901960784316,1610612754,4,1,2022-01-11T00:44:46Z,240000,-61.0,247.0,1,left,MISS K. Sykes 25' pullup 3PT,[1626208],1610612754.0,IND,pullup,,,Sykes,K. Sykes,,,,,25.47,Missed,,,,,,,,,,,,,,,,,,,
25,PT10M01.00S,2022-01-11T00:44:02.8Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,4,1,2022-01-11T00:44:12Z,250000,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,24.0,1.0,1.0,0.0,,,,,,,,,,,
26,PT09M51.00S,2022-01-11T00:44:12.9Z,1,REGULAR,3pt,Jump Shot,[],1627759,66.17936925098554,64.2156862745098,1610612738,4,1,2022-01-11T00:44:20Z,260000,71.0,265.0,1,right,MISS J. Brown 27' step back 3PT,[1627759],1610612738.0,BOS,step back,,,Brown,J. Brown,,,,,27.48,Missed,,,,,,,,,,,,,,,,,,,
27,PT09M49.00S,2022-01-11T00:44:14.9Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612754,4,1,2022-01-11T00:44:20Z,270000,,,0,,D. Sabonis REBOUND (Off:0 Def:2),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,,,,26.0,2.0,2.0,0.0,,,,,,,,,,,
28,PT09M40.00S,2022-01-11T00:44:24.3Z,1,REGULAR,2pt,Jump Shot,[],1630613,8.360709592641262,28.921568627450984,1610612754,4,3,2022-01-11T00:44:33Z,280000,105.0,26.0,1,left,D. Washington Jr. 10' driving floating Jump Shot (2 PTS),[1630613],1610612754.0,IND,driving floating,,,Washington Jr.,D. Washington Jr.,,,,,10.86,Made,2.0,,,,,,,,,,,,,,,,,,
29,PT09M24.00S,2022-01-11T00:44:40.4Z,1,REGULAR,2pt,Jump Shot,[],1628369,77.4802890932983,44.36274509803921,1610612738,4,3,2022-01-11T00:44:48Z,290000,-28.0,159.0,1,right,MISS J. Tatum 16' pullup Shot,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,16.17,Missed,,,,,,,,,,,,,,,,,,,
30,PT09M22.00S,2022-01-11T00:44:42.4Z,1,REGULAR,rebound,defensive,[],203200,,,1610612754,4,3,2022-01-11T00:44:48Z,300000,,,0,,J. Holiday REBOUND (Off:0 Def:1),[203200],1610612754.0,IND,,,,Holiday,J. Holiday,,,,,,,,,,,29.0,1.0,1.0,0.0,,,,,,,,,,,
31,PT09M12.00S,2022-01-11T00:44:52.0Z,1,REGULAR,2pt,Jump Shot,[],1627734,21.50131406044678,27.450980392156865,1610612754,4,3,2022-01-11T00:45:01Z,310000,113.0,150.0,1,left,MISS D. Sabonis 18' Jump Shot,[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,18.73,Missed,,,,,,,,,,,,,,,,,,,
32,PT09M09.00S,2022-01-11T00:44:55.0Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,4,3,2022-01-11T00:45:01Z,320000,,,0,,A. Horford REBOUND (Off:0 Def:2),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,31.0,2.0,2.0,0.0,,,,,,,,,,,
33,PT08M57.00S,2022-01-11T00:45:09.6Z,1,REGULAR,turnover,out-of-bounds,[],1629057,,,1610612738,4,3,2022-01-11T00:45:33Z,330000,,,0,,R. Williams III bad pass out-of-bounds TURNOVER (1 TO),[1629057],1610612738.0,BOS,bad pass,,,Williams III,R. Williams III,,,,,,,,202007.0,,,,,,,,,1.0,,,,,,,,
34,PT08M47.00S,2022-01-11T00:45:28.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203200,33.327858081471746,50.98039215686274,1610612754,4,6,2022-01-11T00:45:39Z,340000,-5.0,261.0,1,left,J. Holiday 26' 3PT  (4 PTS) (K. Sykes 1 AST),"[203200, 1626208]",1610612754.0,IND,,,,Holiday,J. Holiday,,,,,26.08,Made,4.0,,,,,,,,,,,K. Sykes,1626208.0,1.0,,,,,
36,PT08M29.00S,2022-01-11T00:45:45.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629057,92.46057818659659,48.529411764705884,1610612738,6,6,2022-01-11T00:45:55Z,360000,-7.0,18.0,1,right,R. Williams III alley-oop DUNK (2 PTS) (J. Brown 1 AST),"[1629057, 1627759]",1610612738.0,BOS,alley-oop,,,Williams III,R. Williams III,,,,,1.98,Made,2.0,,,,,,,,,,,J. Brown,1627759.0,1.0,,,,,
38,PT08M09.00S,2022-01-11T00:46:06.3Z,1,REGULAR,2pt,Jump Shot,[],1630613,19.793035479632064,26.96078431372549,1610612754,6,6,2022-01-11T00:46:15Z,380000,115.0,134.0,1,left,MISS D. Washington Jr. 17' pullup Shot,[1630613],1610612754.0,IND,pullup,,,Washington Jr.,D. Washington Jr.,,,,,17.64,Missed,,,,,,,,,,,,,,,,,,,
39,PT08M06.00S,2022-01-11T00:46:09.3Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,6,6,2022-01-11T00:46:15Z,390000,,,0,,M. Smart REBOUND (Off:0 Def:1),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,38.0,1.0,1.0,0.0,,,,,,,,,,,
40,PT07M59.00S,2022-01-11T00:46:15.8Z,1,REGULAR,turnover,lost ball,[],203935,,,1610612738,6,6,2022-01-11T00:46:22Z,400000,,,0,,M. Smart lost ball TURNOVER (1 TO),"[203935, 1626208]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,1.0,,,,Sykes,1626208.0,,,
41,PT07M59.00S,2022-01-11T00:46:15.8Z,1,REGULAR,steal,,[],1626208,,,1610612754,6,6,2022-01-11T00:46:17Z,410000,,,0,,K. Sykes STEAL (1 STL),[1626208],1610612754.0,IND,,,,Sykes,K. Sykes,,,,,,,,,,,,,,,,,,,,,,,,,
42,PT07M55.00S,2022-01-11T00:46:20.2Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",203200,26.10052562417871,12.5,1610612754,6,6,2022-01-11T00:46:31Z,420000,188.0,193.0,1,left,MISS J. Holiday 26' 3PT,[203200],1610612754.0,IND,,,,Holiday,J. Holiday,,,,,26.89,Missed,,,,,,,,,,,,,,,,,,,
43,PT07M53.00S,2022-01-11T00:46:22.2Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,6,6,2022-01-11T00:46:31Z,430000,,,0,,J. Brown REBOUND (Off:0 Def:2),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,42.0,2.0,2.0,0.0,,,,,,,,,,,
44,PT07M42.00S,2022-01-11T00:46:33.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,80.23981603153744,50.245098039215684,1610612738,8,6,2022-01-11T00:46:39Z,440000,1.0,133.0,1,right,J. Brown 13' pullup Jump Shot (4 PTS),[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,13.32,Made,4.0,,,,,,,,,,,,,,,,,,
45,PT07M32.00S,2022-01-11T00:46:46.8Z,1,REGULAR,turnover,out-of-bounds,[],1626208,,,1610612754,8,6,2022-01-11T00:46:56Z,450000,,,0,,K. Sykes step out-of-bounds TURNOVER (1 TO),[1626208],1610612754.0,IND,step,,,Sykes,K. Sykes,,,,,,,,202007.0,,,,,,,,,1.0,,,,,,,,
46,PT07M15.00S,2022-01-11T00:47:09.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,8,6,2022-01-11T00:47:09Z,460000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,PT07M07.00S,2022-01-11T00:47:31.4Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1629057,91.01511169513797,49.01960784313725,1610612738,10,6,2022-01-11T00:49:23Z,470000,-5.0,32.0,1,right,R. Williams III cutting DUNK (4 PTS) (M. Smart 1 AST),"[1629057, 203935]",1610612738.0,BOS,cutting,,,Williams III,R. Williams III,,,,,3.24,Made,4.0,,,,,,,,,,,M. Smart,203935.0,1.0,,,,,
49,PT06M56.00S,2022-01-11T00:47:42.3Z,1,REGULAR,3pt,Jump Shot,[],203200,29.962631406044675,71.59160539215686,1610612754,10,6,2022-01-11T00:47:50Z,490000,-108.0,229.0,1,left,MISS J. Holiday 25' 3PT,[203200],1610612754.0,IND,,,,Holiday,J. Holiday,,,,,25.33,Missed,,,,,,,,,,,,,,,,,,,
50,PT06M54.00S,2022-01-11T00:47:44.3Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,10,6,2022-01-11T00:47:50Z,500000,,,0,,A. Horford REBOUND (Off:0 Def:3),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,49.0,3.0,3.0,0.0,,,,,,,,,,,
51,PT06M48.00S,2022-01-11T00:47:50.2Z,1,REGULAR,turnover,bad pass,[],203935,,,1610612738,10,6,2022-01-11T00:48:25Z,510000,,,0,,M. Smart bad pass TURNOVER (2 TO),"[203935, 203200]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,2.0,,,,Holiday,203200.0,,,
52,PT06M48.00S,2022-01-11T00:47:50.2Z,1,REGULAR,steal,,[],203200,,,1610612754,10,6,2022-01-11T00:47:51Z,520000,,,0,,J. Holiday STEAL (1 STL),[203200],1610612754.0,IND,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT06M34.00S,2022-01-11T00:48:05.7Z,1,REGULAR,turnover,bad pass,[],1627734,,,1610612754,10,6,2022-01-11T00:48:57Z,530000,,,0,,D. Sabonis bad pass TURNOVER (1 TO),"[1627734, 1629057]",1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,,,1.0,,,,Williams III,1629057.0,,,
54,PT06M34.00S,2022-01-11T00:48:05.7Z,1,REGULAR,steal,,[],1629057,,,1610612738,10,6,2022-01-11T00:48:08Z,540000,,,0,,R. Williams III STEAL (1 STL),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT06M34.00S,2022-01-11T00:48:10.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,10,6,2022-01-11T00:48:10Z,550000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT06M34.00S,2022-01-11T00:48:19.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,10,6,2022-01-11T00:48:19Z,560000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT06M34.00S,2022-01-11T00:50:31.3Z,1,REGULAR,substitution,out,[],203200,,,1610612738,10,6,2022-01-11T00:51:00Z,570000,,,0,,SUB out: J. Holiday,[203200],1610612754.0,IND,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT06M34.00S,2022-01-11T00:50:31.3Z,1,REGULAR,substitution,out,[],1627734,,,1610612738,10,6,2022-01-11T00:51:00Z,580000,,,0,,SUB out: D. Sabonis,[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT06M34.00S,2022-01-11T00:50:31.3Z,1,REGULAR,substitution,out,[],1626208,,,1610612738,10,6,2022-01-11T00:51:00Z,590000,,,0,,SUB out: K. Sykes,[1626208],1610612754.0,IND,,,,Sykes,K. Sykes,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT06M34.00S,2022-01-11T00:50:31.3Z,1,REGULAR,substitution,in,[],202362,,,1610612738,10,6,2022-01-11T00:51:00Z,600000,,,0,,SUB in: L. Stephenson,[202362],1610612754.0,IND,,,,Stephenson,L. Stephenson,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M34.00S,2022-01-11T00:50:31.3Z,1,REGULAR,substitution,in,[],1629052,,,1610612738,10,6,2022-01-11T00:51:00Z,610000,,,0,,SUB in: O. Brissett,[1629052],1610612754.0,IND,,,,Brissett,O. Brissett,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M34.00S,2022-01-11T00:50:31.3Z,1,REGULAR,substitution,in,[],1628470,,,1610612738,10,6,2022-01-11T00:51:00Z,620000,,,0,,SUB in: T. Craig,[1628470],1610612754.0,IND,,,,Craig,T. Craig,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M15.00S,2022-01-11T00:51:32.5Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],203935,93.16688567674113,31.31893382352941,1610612738,10,6,2022-01-11T00:51:43Z,630000,-93.0,12.0,1,right,MISS M. Smart 9' turnaround fadeaway Shot,[203935],1610612738.0,BOS,turnaround fadeaway,,,Smart,M. Smart,,,,,9.41,Missed,,,,,,,,,,,,,,,,,,,
64,PT06M11.00S,2022-01-11T00:51:36.5Z,1,REGULAR,rebound,defensive,[],1630613,,,1610612754,10,6,2022-01-11T00:51:43Z,640000,,,0,,D. Washington Jr. REBOUND (Off:0 Def:1),[1630613],1610612754.0,IND,,,,Washington Jr.,D. Washington Jr.,,,,,,,,,,,63.0,1.0,1.0,0.0,,,,,,,,,,,
65,PT06M08.00S,2022-01-11T00:51:40.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630613,6.652431011826544,39.21568627450981,1610612754,10,6,2022-01-11T00:51:53Z,650000,54.0,10.0,1,left,MISS D. Washington Jr. running Layup,[1630613],1610612754.0,IND,running,,,Washington Jr.,D. Washington Jr.,,,,,5.48,Missed,,,,,,,,,,,,,,,,,,,
66,PT06M05.00S,2022-01-11T00:51:43.2Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,10,6,2022-01-11T00:51:53Z,660000,,,0,,A. Horford REBOUND (Off:0 Def:4),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,65.0,4.0,4.0,0.0,,,,,,,,,,,
67,PT05M57.00S,2022-01-11T00:51:50.9Z,1,REGULAR,3pt,Jump Shot,[],201143,67.88764783180025,25.98039215686275,1610612738,10,6,2022-01-11T00:52:01Z,670000,-120.0,249.0,1,right,MISS A. Horford 27' 3PT,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,27.68,Missed,,,,,,,,,,,,,,,,,,,
68,PT05M55.00S,2022-01-11T00:51:52.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612754,10,6,2022-01-11T00:52:01Z,680000,,,0,,TEAM defensive REBOUND,[],1610612754.0,IND,,,,,,,,,,,,,,,,67.0,,,,,,,,,,,,,,
69,PT05M55.00S,2022-01-11T00:51:58.5Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612754,10,6,2022-01-11T00:51:58Z,690000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT05M55.00S,2022-01-11T00:51:59.4Z,1,REGULAR,substitution,out,[],1628369,,,1610612754,10,6,2022-01-11T00:52:08Z,700000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M55.00S,2022-01-11T00:51:59.4Z,1,REGULAR,substitution,in,[],1626196,,,1610612754,10,6,2022-01-11T00:52:08Z,710000,,,0,,SUB in: J. Richardson,[1626196],1610612738.0,BOS,,,,Richardson,J. Richardson,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M46.00S,2022-01-11T00:52:28.0Z,1,REGULAR,3pt,Jump Shot,[],1626167,31.61957950065703,57.35294117647059,1610612754,10,6,2022-01-11T00:52:36Z,720000,-37.0,245.0,1,left,MISS M. Turner 24' 3PT,[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,24.75,Missed,,,,,,,,,,,,,,,,,,,
73,PT05M41.00S,2022-01-11T00:52:33.0Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,10,6,2022-01-11T00:52:36Z,730000,,,0,,M. Smart REBOUND (Off:0 Def:2),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,72.0,2.0,2.0,0.0,,,,,,,,,,,
74,PT05M36.00S,2022-01-11T00:52:37.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",201143,92.85479632063075,55.392156862745104,1610612738,10,6,2022-01-11T00:52:48Z,740000,27.0,15.0,1,right,MISS A. Horford running finger roll Layup - blocked,"[201143, 1626167]",1610612738.0,BOS,running finger roll,,,Horford,A. Horford,,,,,3.07,Missed,,,,,,,,,,,,,,,,,Turner,1626167.0,
75,PT05M36.00S,2022-01-11T00:52:37.2Z,1,REGULAR,block,,[],1626167,,,1610612738,10,6,2022-01-11T00:52:39Z,750000,,,0,,M. Turner BLOCK (1 BLK),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M33.00S,2022-01-11T00:52:40.2Z,1,REGULAR,rebound,offensive,[],1629057,,,1610612738,10,6,2022-01-11T00:52:48Z,760000,,,0,,R. Williams III REBOUND (Off:1 Def:0),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,74.0,1.0,0.0,1.0,,,,,,,,,,,
77,PT05M23.00S,2022-01-11T00:52:50.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627759,92.06636005256242,58.57843137254902,1610612738,10,6,2022-01-11T00:52:56Z,770000,43.0,22.0,1,right,MISS J. Brown Layup,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,4.83,Missed,,,,,,,,,,,,,,,,,,,
78,PT05M20.00S,2022-01-11T00:52:53.1Z,1,REGULAR,rebound,defensive,[],1629052,,,1610612754,10,6,2022-01-11T00:52:53Z,780000,,,0,,O. Brissett REBOUND (Off:0 Def:1),[1629052],1610612754.0,IND,,,,Brissett,O. Brissett,,,,,,,,,,,77.0,1.0,1.0,0.0,,,,,,,,,,,
79,PT05M17.00S,2022-01-11T00:52:59.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629052,8.09789750328515,53.67647058823529,1610612754,10,6,2022-01-11T00:53:31Z,790000,-18.0,24.0,1,left,MISS O. Brissett Layup,[1629052],1610612754.0,IND,,,,Brissett,O. Brissett,,,,,2.99,Missed,,,,,,,,,,,,,,,,,,,
80,PT05M16.00S,2022-01-11T00:53:00.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,10,6,2022-01-11T00:53:31Z,800000,,,0,,TEAM defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,79.0,,,,,,,,,,,,,,
81,PT05M16.00S,2022-01-11T00:53:04.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,10,6,2022-01-11T00:53:04Z,810000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M16.00S,2022-01-11T00:53:05.6Z,1,REGULAR,substitution,out,[],1630613,,,1610612738,10,6,2022-01-11T00:53:16Z,830000,,,0,,SUB out: D. Washington Jr.,[1630613],1610612754.0,IND,,,,Washington Jr.,D. Washington Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M16.00S,2022-01-11T00:53:05.6Z,1,REGULAR,substitution,in,[],1629684,,,1610612738,10,6,2022-01-11T00:53:16Z,840000,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT05M16.00S,2022-01-11T00:53:05.6Z,1,REGULAR,substitution,in,[],203087,,,1610612738,10,6,2022-01-11T00:53:16Z,850000,,,0,,SUB in: J. Lamb,[203087],1610612754.0,IND,,,,Lamb,J. Lamb,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT05M16.00S,2022-01-11T00:53:05.6Z,1,REGULAR,substitution,out,[],201143,,,1610612738,10,6,2022-01-11T00:53:57Z,855000,,,0,,SUB out: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,
