actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-03-22T02:40:33.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-22T02:40:33Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-03-22T02:40:36.0Z,1,REGULAR,jumpball,recovered,[],1630583,,,1610612763,0,0,2025-03-22T02:40:36Z,40000,False,,,0,,Jump Ball J. Jackson Jr. vs. I. Zubac: Tip to S. Aldama,"[1630583, 1628991, 1627826]",1610612763.0,MEM,startperiod,S. Aldama,1630583.0,Aldama,S. Aldama,Jackson Jr.,1628991.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2025-03-22T02:40:50.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628991,84.05059132720105,49.26470588235294,1610612763,0,0,2025-03-22T02:41:01Z,70000,False,-4.0,97.0,1,right,MISS J. Jackson Jr. 9' driving floating Shot,[1628991],1610612763.0,MEM,driving floating,,,Jackson Jr.,J. Jackson Jr.,,,,,In The Paint (Non-RA),8-16 Center,9.75,Missed,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2025-03-22T02:40:52.0Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,0,0,2025-03-22T02:40:57Z,80000,False,,,0,,I. Zubac REBOUND (Off:0 Def:1),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,In The Paint (Non-RA),8-16 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
10,PT11M34.00S,2025-03-22T02:41:15.9Z,1,REGULAR,3pt,Jump Shot,[],1627739,11.514454664914586,3.431372549019608,1610612746,0,0,2025-03-22T02:41:20Z,100000,False,233.0,56.0,1,left,MISS K. Dunn 3PT,[1627739],1610612746.0,LAC,,,,Dunn,K. Dunn,,,,,Right Corner 3,24+ Right,23.94,Missed,,,,,,,,,,,,,,,,,,
11,PT11M31.00S,2025-03-22T02:41:18.9Z,1,REGULAR,rebound,defensive,[],1642377,,,1610612763,0,0,2025-03-22T02:41:20Z,110000,False,,,0,,J. Wells REBOUND (Off:0 Def:1),[1642377],1610612763.0,MEM,,,,Wells,J. Wells,,,,,Right Corner 3,24+ Right,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M26.00S,2025-03-22T02:41:24.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628991,68.01905387647832,79.90196078431373,1610612763,0,0,2025-03-22T02:41:34Z,120000,False,150.0,248.0,1,right,MISS J. Jackson Jr. 28' running 3PT,[1628991],1610612763.0,MEM,running,,,Jackson Jr.,J. Jackson Jr.,,,,,Above the Break 3,24+ Right Center,28.97,Missed,,,,,,,,,,,,,,,,,,
13,PT11M23.00S,2025-03-22T02:41:27.0Z,1,REGULAR,rebound,defensive,[],1627739,,,1610612746,0,0,2025-03-22T02:41:34Z,130000,False,,,0,,K. Dunn REBOUND (Off:0 Def:1),[1627739],1610612746.0,LAC,,,,Dunn,K. Dunn,,,,,Above the Break 3,24+ Right Center,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
15,PT11M14.00S,2025-03-22T02:41:46.8Z,1,REGULAR,foul,personal,[],1630590,,,1610612746,0,0,2025-03-22T02:41:54Z,150000,False,,,0,,S. Pippen Jr. personal FOUL (1 PF),"[1630590, 201935]",1610612763.0,MEM,,,,Pippen Jr.,S. Pippen Jr.,,,,,Mid-Range,16-24 Left Center,,,,,,,202041.0,1.0,0.0,Harden,201935.0,,,,,,,,,
17,PT11M07.00S,2025-03-22T02:42:02.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626181,15.193823915900131,41.911764705882355,1610612746,0,0,2025-03-22T02:42:09Z,170000,False,40.0,90.0,1,left,MISS N. Powell 9' driving floating Shot,[1626181],1610612746.0,LAC,driving floating,,,Powell,N. Powell,,,,,In The Paint (Non-RA),8-16 Center,9.89,Missed,,,,,,,,,,,,,,,,,,
18,PT11M07.00S,2025-03-22T02:42:03.8Z,1,REGULAR,rebound,offensive,[],1626181,,,1610612746,0,0,2025-03-22T02:42:03Z,180000,False,,,0,,N. Powell REBOUND (Off:1 Def:0),[1626181],1610612746.0,LAC,,,,Powell,N. Powell,,,,,In The Paint (Non-RA),8-16 Center,,,17.0,1.0,0.0,1.0,,,,,,,,,,,,,,
19,PT11M07.00S,2025-03-22T02:42:06.9Z,1,REGULAR,foul,personal,['2freethrow'],1628991,,,1610612746,0,0,2025-03-22T02:42:14Z,190000,False,,,0,,J. Jackson Jr. shooting personal FOUL (1 PF) (Powell 2 FT),"[1628991, 1626181]",1610612763.0,MEM,shooting,,,Jackson Jr.,J. Jackson Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1627524.0,1.0,0.0,Powell,1626181.0,,,,,,,,,
21,PT11M07.00S,2025-03-22T02:42:31.8Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1626181,,,1610612746,1,0,2025-03-22T02:42:31Z,210000,False,,,0,,N. Powell Free Throw 1 of 2 (1 PTS),[1626181],1610612746.0,LAC,,,,Powell,N. Powell,,,,,,,,Made,,,,,,,,,,1.0,,,,,,,,
22,PT11M07.00S,2025-03-22T02:42:51.7Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1626181,,,1610612746,2,0,2025-03-22T02:42:51Z,220000,False,,,0,,N. Powell Free Throw 2 of 2 (2 PTS),[1626181],1610612746.0,LAC,,,,Powell,N. Powell,,,,,,,,Made,,,,,,,,,,2.0,,,,,,,,
23,PT10M59.00S,2025-03-22T02:42:58.9Z,1,REGULAR,3pt,Jump Shot,[],1630583,73.66951379763469,90.44117647058823,1610612763,2,0,2025-03-22T02:43:03Z,230000,False,202.0,195.0,1,right,MISS S. Aldama 28' 3PT,[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,Above the Break 3,24+ Right Center,28.09,Missed,,,,,,,,,,,,,,,,,,
24,PT10M55.00S,2025-03-22T02:43:02.9Z,1,REGULAR,rebound,defensive,[],1626181,,,1610612746,2,0,2025-03-22T02:43:03Z,240000,False,,,0,,N. Powell REBOUND (Off:1 Def:1),[1626181],1610612746.0,LAC,,,,Powell,N. Powell,,,,,Above the Break 3,24+ Right Center,,,23.0,2.0,1.0,1.0,,,,,,,,,,,,,,
25,PT10M44.00S,2025-03-22T02:43:13.7Z,1,REGULAR,3pt,Jump Shot,[],1627739,8.754927726675426,97.05882352941177,1610612746,2,0,2025-03-22T02:43:18Z,250000,False,-235.0,30.0,1,left,MISS K. Dunn 3PT,[1627739],1610612746.0,LAC,,,,Dunn,K. Dunn,,,,,Left Corner 3,24+ Left,23.72,Missed,,,,,,,,,,,,,,,,,,
26,PT10M41.00S,2025-03-22T02:43:16.7Z,1,REGULAR,rebound,defensive,[],1642377,,,1610612763,2,0,2025-03-22T02:43:18Z,260000,False,,,0,,J. Wells REBOUND (Off:0 Def:2),[1642377],1610612763.0,MEM,,,,Wells,J. Wells,,,,,Left Corner 3,24+ Left,,,25.0,2.0,2.0,0.0,,,,,,,,,,,,,,
