actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-11-03T02:40:30.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-11-03T02:40:30Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-11-03T02:40:33.9Z,1,REGULAR,jumpball,recovered,[],1630598,,,1610612760,0,0,2024-11-03T02:40:33Z,40000,False,,,0,,Jump Ball C. Holmgren vs. I. Zubac: Tip to A. Wiggins,"[1630598, 1631096, 1627826]",1610612760.0,OKC,startperiod,A. Wiggins,1630598.0,Wiggins,A. Wiggins,Holmgren,1631096.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2024-11-03T02:40:52.6Z,1,REGULAR,2pt,Jump Shot,[],1630598,14.273981603153747,26.715686274509803,1610612760,0,0,2024-11-03T02:41:01Z,70000,False,116.0,82.0,1,left,MISS A. Wiggins 14' turnaround fadeaway Shot,[1630598],1610612760.0,OKC,turnaround fadeaway,,,Wiggins,A. Wiggins,,,,,Mid-Range,8-16 Right,14.22,Missed,,,,,,,,,,,,,,,,,,
8,PT11M34.00S,2024-11-03T02:40:55.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612746,0,0,2024-11-03T02:41:01Z,80000,False,,,0,,TEAM defensive REBOUND,[],1610612746.0,LAC,,,,,,,,,,Mid-Range,8-16 Right,,,7.0,,,,,,,,,,,,,,,,,
10,PT11M23.00S,2024-11-03T02:41:23.1Z,1,REGULAR,3pt,Jump Shot,[],1629611,88.38699080157687,97.54901960784314,1610612746,3,0,2024-11-03T02:41:28Z,100000,False,238.0,57.0,1,right,T. Mann 24' 3PT  (3 PTS) (N. Powell 1 AST),"[1629611, 1626181]",1610612746.0,LAC,,,,Mann,T. Mann,,,,,Right Corner 3,24+ Right,24.44,Made,,3.0,N. Powell,1626181.0,1.0,,,,,,,,,,,,,
12,PT11M05.00S,2024-11-03T02:41:41.2Z,1,REGULAR,3pt,Jump Shot,[],1631096,33.98488830486202,51.470588235294116,1610612760,3,3,2024-11-03T02:41:45Z,120000,False,-7.0,267.0,1,left,C. Holmgren 26' 3PT  (3 PTS) (A. Wiggins 1 AST),"[1631096, 1630598]",1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Above the Break 3,24+ Center,26.71,Made,,3.0,A. Wiggins,1630598.0,1.0,,,,,,,,,,,,,
14,PT10M36.00S,2024-11-03T02:42:11.3Z,1,REGULAR,3pt,Jump Shot,[],201935,67.23061760840999,76.47058823529412,1610612746,3,3,2024-11-03T02:44:08Z,140000,False,132.0,256.0,1,right,MISS J. Harden 28' pullup 3PT,[201935],1610612746.0,LAC,pullup,,,Harden,J. Harden,,,,,Above the Break 3,24+ Right Center,28.78,Missed,,,,,,,,,,,,,,,,,,
15,PT10M34.00S,2024-11-03T02:42:13.3Z,1,REGULAR,rebound,offensive,[],1627826,,,1610612746,3,3,2024-11-03T02:44:08Z,150000,False,,,0,,I. Zubac REBOUND (Off:1 Def:0),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Above the Break 3,24+ Right Center,,,14.0,,,,,1.0,0.0,1.0,,,,,,,,,,
16,PT10M29.00S,2024-11-03T02:42:16.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],201935,69.46452036793693,72.30392156862744,1610612746,3,3,2024-11-03T02:42:20Z,160000,False,112.0,235.0,1,right,MISS J. Harden 25' 3PT,[201935],1610612746.0,LAC,,,,Harden,J. Harden,,,,,Above the Break 3,24+ Right Center,25.97,Missed,,,,,,,,,,,,,,,,,,
17,PT10M27.00S,2024-11-03T02:42:18.4Z,1,REGULAR,rebound,defensive,[],1629652,,,1610612760,3,3,2024-11-03T02:42:20Z,170000,False,,,0,,L. Dort REBOUND (Off:0 Def:1),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Above the Break 3,24+ Right Center,,,16.0,,,,,1.0,1.0,0.0,,,,,,,,,,
18,PT10M21.00S,2024-11-03T02:42:24.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629652,30.699737187910642,30.14705882352941,1610612760,3,3,2024-11-03T02:42:31Z,180000,False,99.0,236.0,1,left,MISS L. Dort 25' running pullup 3PT,[1629652],1610612760.0,OKC,running pullup,,,Dort,L. Dort,,,,,Above the Break 3,24+ Right Center,25.61,Missed,,,,,,,,,,,,,,,,,,
19,PT10M18.00S,2024-11-03T02:42:27.6Z,1,REGULAR,rebound,defensive,[],1627884,,,1610612746,3,3,2024-11-03T02:42:31Z,190000,False,,,0,,D. Jones Jr. REBOUND (Off:0 Def:1),[1627884],1610612746.0,LAC,,,,Jones Jr.,D. Jones Jr.,,,,,Above the Break 3,24+ Right Center,,,18.0,,,,,1.0,1.0,0.0,,,,,,,,,,
20,PT10M09.00S,2024-11-03T02:42:37.0Z,1,REGULAR,2pt,Jump Shot,[],1629611,78.79434954007884,54.90196078431373,1610612746,5,3,2024-11-03T02:42:41Z,200000,False,25.0,147.0,1,right,T. Mann 14' step back Jump Shot (5 PTS),[1629611],1610612746.0,LAC,step back,,,Mann,T. Mann,,,,,Mid-Range,8-16 Center,14.88,Made,,5.0,,,,,,,,,,,,,,,,
21,PT09M49.00S,2024-11-03T02:42:57.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631096,5.863994743758213,55.14705882352941,1610612760,5,3,2024-11-03T02:43:15Z,210000,False,-26.0,3.0,1,left,MISS C. Holmgren cutting Layup,[1631096],1610612760.0,OKC,cutting,,,Holmgren,C. Holmgren,,,,,Restricted Area,0-8 Center,2.58,Missed,,,,,,,,,,,,,,,,,,
