actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-01-26T03:40:28.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-26T03:40:28Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-01-26T03:40:30.7Z,1,REGULAR,jumpball,recovered,[],203507,,,1610612749,0,0,2025-01-26T03:40:30Z,40000,False,,,0,,Jump Ball B. Lopez vs. I. Zubac: Tip to G. Antetokounmpo,"[203507, 201572, 1627826]",1610612749.0,MIL,startperiod,G. Antetokounmpo,203507.0,Antetokounmpo,G. Antetokounmpo,Lopez,201572.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2025-01-26T03:40:48.2Z,1,REGULAR,3pt,Jump Shot,[],203507,9.280551905387648,97.54901960784314,1610612749,0,0,2025-01-26T03:40:53Z,70000,False,-238.0,35.0,1,left,MISS G. Antetokounmpo 24' 3PT,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Left Corner 3,24+ Left,24.02,Missed,,,,,,,,,,,,,,,,,,
8,PT11M36.00S,2025-01-26T03:40:52.2Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,0,0,2025-01-26T03:40:53Z,80000,False,,,0,,I. Zubac REBOUND (Off:0 Def:1),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Left Corner 3,24+ Left,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M30.00S,2025-01-26T03:40:57.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1627884,92.9862023653088,49.26470588235294,1610612746,2,0,2025-01-26T03:41:02Z,90000,False,-4.0,13.0,1,right,D. Jones Jr. alley-oop DUNK (2 PTS) (J. Harden 1 AST),"[1627884, 201935]",1610612746.0,LAC,alley-oop,,,Jones Jr.,D. Jones Jr.,,,,,Restricted Area,0-8 Center,1.39,Made,,,,,2.0,J. Harden,201935.0,1.0,,,,,,,,,,
11,PT11M21.00S,2025-01-26T03:41:08.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203507,10.5946123521682,44.85294117647059,1610612749,2,0,2025-01-26T03:41:15Z,110000,False,26.0,47.0,1,left,MISS G. Antetokounmpo driving Layup - blocked,"[203507, 1626181]",1610612749.0,MIL,driving,,,Antetokounmpo,G. Antetokounmpo,,,,,In The Paint (Non-RA),0-8 Center,5.37,Missed,,,,,,,,,Powell,1626181.0,,,,,,,,
12,PT11M21.00S,2025-01-26T03:41:08.6Z,1,REGULAR,block,,[],1626181,,,1610612749,2,0,2025-01-26T03:41:12Z,120000,False,,,0,,N. Powell BLOCK (1 BLK),[1626181],1610612746.0,LAC,,,,Powell,N. Powell,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
13,PT11M21.00S,2025-01-26T03:41:08.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612746,2,0,2025-01-26T03:41:15Z,130000,False,,,0,,TEAM defensive REBOUND,[],1610612746.0,LAC,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,11.0,,,,,,,,,,,,,,,,,
15,PT11M03.00S,2025-01-26T03:41:36.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627826,92.46057818659659,57.59803921568627,1610612746,2,0,2025-01-26T03:43:09Z,150000,False,38.0,18.0,1,right,MISS I. Zubac turnaround Hook,[1627826],1610612746.0,LAC,turnaround,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,4.22,Missed,,,,,,,,,,,,,,,,,,
16,PT11M00.00S,2025-01-26T03:41:39.7Z,1,REGULAR,rebound,offensive,[],1627884,,,1610612746,2,0,2025-01-26T03:41:41Z,160000,False,,,0,,D. Jones Jr. REBOUND (Off:1 Def:0),[1627884],1610612746.0,LAC,,,,Jones Jr.,D. Jones Jr.,,,,,Restricted Area,0-8 Center,,,15.0,1.0,0.0,1.0,,,,,,,,,,,,,,
