actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,playerName,playerNameI,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-11-10T03:42:09.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-11-10T03:42:09Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2024-11-10T03:42:51.9Z,1,REGULAR,jumpball,recovered,[],0,,,1610612746,0,0,2024-11-10T03:42:51Z,40000,False,,,0,,Jump Ball I. Zubac vs. J. Pöltl: Tip to Team (LAC),"[1627826, 1627751]",1610612746.0,LAC,startperiod,Team (LAC),Zubac,1627826.0,Pöltl,1627751.0,,,,,,,,,,,,,,,,,,,,,,,,
7,PT11M51.00S,2024-11-10T03:43:38.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201935,15.982260183968464,59.80392156862745,1610612746,0,0,2024-11-10T03:44:17Z,70000,False,-49.0,98.0,1,left,MISS J. Harden 10' step back Shot,[201935],1610612746.0,LAC,step back,,,,,,In The Paint (Non-RA),8-16 Center,10.93,Missed,Harden,J. Harden,,,,,,,,,,,,,,,,,,
8,PT11M49.00S,2024-11-10T03:43:40.2Z,1,REGULAR,rebound,defensive,[],1629628,,,1610612761,0,0,2024-11-10T03:44:17Z,80000,False,,,0,,R. Barrett REBOUND (Off:0 Def:1),[1629628],1610612761.0,TOR,,,,,,,In The Paint (Non-RA),8-16 Center,,,Barrett,R. Barrett,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M30.00S,2024-11-10T03:43:57.4Z,1,REGULAR,foul,personal,['2freethrow'],1626181,,,1610612761,0,0,2024-11-10T03:44:09Z,90000,False,,,0,,N. Powell shooting personal FOUL (1 PF) (Dick 2 FT),"[1626181, 1641711]",1610612746.0,LAC,shooting,,,,,,In The Paint (Non-RA),8-16 Center,,,Powell,N. Powell,,,,,2534.0,1.0,0.0,Dick,1641711.0,,,,,,,,,
11,PT11M30.00S,2024-11-10T03:44:30.8Z,1,REGULAR,freethrow,1 of 2,[],1641711,,,1610612761,0,1,2024-11-10T03:44:47Z,110000,False,,,0,,G. Dick Free Throw 1 of 2 (1 PTS),[1641711],1610612761.0,TOR,,,,,,,,,,Made,Dick,G. Dick,,,,,,,,,,1.0,,,,,,,,
12,PT11M30.00S,2024-11-10T03:44:30.8Z,1,REGULAR,freethrow,2 of 2,[],1641711,,,1610612761,0,1,2024-11-10T03:44:47Z,120000,False,,,0,,MISS G. Dick Free Throw 2 of 2,[1641711],1610612761.0,TOR,,,,,,,,,,Missed,Dick,G. Dick,,,,,,,,,,,,,,,,,,
13,PT11M28.00S,2024-11-10T03:44:32.8Z,1,REGULAR,rebound,defensive,[],201935,,,1610612746,0,1,2024-11-10T03:44:47Z,130000,False,,,0,,J. Harden REBOUND (Off:0 Def:1),[201935],1610612746.0,LAC,,,,,,,,,,,Harden,J. Harden,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
74,PT11M21.00S,2024-11-10T03:44:44.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627826,7.013797634691201,48.529411764705884,1610612746,0,1,2024-11-10T03:55:17Z,135000,False,7.0,13.0,1,left,MISS I. Zubac cutting Layup - blocked,"[1627826, 1629628]",1610612746.0,LAC,cutting,,,,,,Restricted Area,0-8 Center,1.53,Missed,Zubac,I. Zubac,,,,,,,,,,,Barrett,1629628.0,,,,,,
75,PT11M21.00S,2024-11-10T03:44:44.6Z,1,REGULAR,block,,[],1629628,,,1610612746,0,1,2024-11-10T03:55:17Z,137500,False,,,0,,R. Barrett BLOCK (1 BLK),[1629628],1610612761.0,TOR,,,,,,,Restricted Area,0-8 Center,,,Barrett,R. Barrett,,,,,,,,,,,,,,,,,,
