actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-03-16T23:10:16.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-16T23:10:16Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-03-16T23:10:19.2Z,1,REGULAR,jumpball,recovered,[],1627884,,,1610612746,0,0,2025-03-16T23:10:19Z,40000,False,,,0,,Jump Ball I. Zubac vs. M. Williams: Tip to D. Jones Jr.,"[1627884, 1627826, 1631109]",1610612746.0,LAC,startperiod,D. Jones Jr.,1627884.0,Jones Jr.,D. Jones Jr.,Zubac,1627826.0,Williams,1631109.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2025-03-16T23:10:34.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627826,16.376478318002626,42.40196078431372,1610612746,0,0,2025-03-16T23:10:40Z,70000,False,38.0,101.0,1,left,MISS I. Zubac 10' Hook,[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,In The Paint (Non-RA),8-16 Center,10.83,Missed,,,,,,,,,,,,,,,,,,
8,PT11M36.00S,2025-03-16T23:10:40.3Z,1,REGULAR,rebound,offensive,[],1627884,,,1610612746,0,0,2025-03-16T23:10:40Z,80000,False,,,0,,D. Jones Jr. REBOUND (Off:1 Def:0),[1627884],1610612746.0,LAC,,,,Jones Jr.,D. Jones Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M36.00S,2025-03-16T23:10:39.3Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint']",1627884,5.590000152587891,50.0,1610612746,2,0,2025-03-16T23:10:45Z,90000,False,0.0,0.0,1,left,D. Jones Jr. tip DUNK (2 PTS),[1627884],1610612746.0,LAC,tip,,,Jones Jr.,D. Jones Jr.,,,,,Restricted Area,0-8 Center,0.0,Made,,,,,2.0,,,,,,,,,,,,,
10,PT11M29.00S,2025-03-16T23:10:46.8Z,1,REGULAR,turnover,bad pass,[],1631109,,,1610612766,2,0,2025-03-16T23:10:51Z,100000,False,,,0,,M. Williams bad pass TURNOVER (1 TO),"[1631109, 202695]",1610612766.0,CHA,,,,Williams,M. Williams,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,1.0,Leonard,202695.0,,,,,,,,,,
11,PT11M29.00S,2025-03-16T23:10:46.8Z,1,REGULAR,steal,,[],202695,,,1610612746,2,0,2025-03-16T23:10:48Z,110000,False,,,0,,K. Leonard STEAL (1 STL),[202695],1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
12,PT11M22.00S,2025-03-16T23:10:53.3Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1626181,14.536793692509855,50.245098039215684,1610612746,2,0,2025-03-16T23:11:02Z,120000,False,-1.0,84.0,1,left,MISS N. Powell 8' driving floating Shot,[1626181],1610612746.0,LAC,driving floating,,,Powell,N. Powell,,,,,In The Paint (Non-RA),8-16 Center,8.41,Missed,,,,,,,,,,,,,,,,,,
13,PT11M19.00S,2025-03-16T23:10:56.3Z,1,REGULAR,rebound,defensive,[],1628970,,,1610612766,2,0,2025-03-16T23:10:58Z,130000,False,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),8-16 Center,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT11M10.00S,2025-03-16T23:11:06.1Z,1,REGULAR,3pt,Jump Shot,[],1628970,66.17936925098554,50.49019607843137,1610612766,2,0,2025-03-16T23:11:41Z,140000,False,2.0,265.0,1,right,MISS M. Bridges 26' pullup 3PT,[1628970],1610612766.0,CHA,pullup,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Center,26.54,Missed,,,,,,,,,,,,,,,,,,
15,PT11M08.00S,2025-03-16T23:11:19.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612746,2,0,2025-03-16T23:11:19Z,150000,False,,,0,,TEAM defensive REBOUND,[],1610612746.0,LAC,,,,,,,,,,Above the Break 3,24+ Center,,,14.0,,,,,,,,,,,,,,,,,
17,PT10M54.00S,2025-03-16T23:11:39.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626181,14.668199737187912,39.950980392156865,1610612746,2,0,2025-03-16T23:11:44Z,170000,False,50.0,85.0,1,left,MISS N. Powell 9' driving floating Shot,[1626181],1610612746.0,LAC,driving floating,,,Powell,N. Powell,,,,,In The Paint (Non-RA),8-16 Center,9.91,Missed,,,,,,,,,,,,,,,,,,
18,PT10M50.00S,2025-03-16T23:11:43.5Z,1,REGULAR,rebound,defensive,[],1629610,,,1610612766,2,0,2025-03-16T23:11:44Z,180000,False,,,0,,D. Jeffries REBOUND (Off:0 Def:1),[1629610],1610612766.0,CHA,,,,Jeffries,D. Jeffries,,,,,In The Paint (Non-RA),8-16 Center,,,17.0,1.0,1.0,0.0,,,,,,,,,,,,,,
19,PT10M38.00S,2025-03-16T23:11:54.9Z,1,REGULAR,3pt,Jump Shot,[],1630163,72.48685939553219,85.5392156862745,1610612766,2,0,2025-03-16T23:12:00Z,190000,False,178.0,206.0,1,right,MISS L. Ball 27' 3PT,[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,Above the Break 3,24+ Right Center,27.21,Missed,,,,,,,,,,,,,,,,,,
20,PT10M34.00S,2025-03-16T23:11:58.9Z,1,REGULAR,rebound,defensive,[],201935,,,1610612746,2,0,2025-03-16T23:12:00Z,200000,False,,,0,,J. Harden REBOUND (Off:0 Def:1),[201935],1610612746.0,LAC,,,,Harden,J. Harden,,,,,Above the Break 3,24+ Right Center,,,19.0,1.0,1.0,0.0,,,,,,,,,,,,,,
