actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-11-07T03:13:32.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-11-07T03:13:32Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-11-07T03:13:35.8Z,1,REGULAR,jumpball,recovered,[],202331,,,1610612755,0,0,2024-11-07T03:13:35Z,40000,False,,,0,,Jump Ball A. Drummond vs. I. Zubac: Tip to P. George,"[202331, 203083, 1627826]",1610612755.0,PHI,startperiod,P. George,202331.0,George,P. George,Drummond,203083.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2024-11-07T03:13:47.2Z,1,REGULAR,turnover,out-of-bounds,[],202331,,,1610612755,0,0,2024-11-07T03:13:54Z,70000,False,,,0,,P. George bad pass out-of-bounds TURNOVER (1 TO),[202331],1610612755.0,PHI,bad pass,,,George,P. George,,,,,Above the Break 3,24+ Left Center,202058.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2024-11-07T03:14:18.6Z,1,REGULAR,foul,personal,[],1626162,,,1610612746,0,0,2024-11-07T03:14:35Z,80000,False,,,0,,K. Oubre Jr. personal FOUL (1 PF),"[1626162, 1627826]",1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,In The Paint (Non-RA),0-8 Center,202058.0,,1.0,0.0,Zubac,1627826.0,,,,,,,,,,,,,,
25,PT11M30.00S,2024-11-07T03:15:05.5Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",201935,81.68528252299606,39.46078431372549,1610612746,2,0,2024-11-07T03:40:47Z,95000,False,-53.0,120.0,1,right,J. Harden 13' step back Jump Shot (2 PTS) (I. Zubac 1 AST),"[201935, 1627826]",1610612746.0,LAC,step back,,,Harden,J. Harden,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,13.08,Made,2.0,I. Zubac,1627826.0,1.0,,,,,,,,
10,PT11M01.00S,2024-11-07T03:15:23.3Z,1,REGULAR,3pt,Jump Shot,[],1628997,8.229303547963205,4.6568627450980395,1610612755,2,0,2024-11-07T03:40:06Z,100000,False,227.0,25.0,1,left,MISS C. Martin 3PT,[1628997],1610612755.0,PHI,,,,Martin,C. Martin,,,,,Right Corner 3,24+ Right,,,,,,,22.81,Missed,,,,,,,,,,,,
12,PT10M58.00S,2024-11-07T03:15:26.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612746,2,0,2024-11-07T03:40:06Z,120000,False,,,0,,TEAM defensive REBOUND,[],1610612746.0,LAC,,,,,,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,,10.0,,,,,,,
13,PT10M41.00S,2024-11-07T03:15:32.1Z,1,REGULAR,3pt,Jump Shot,[],1629611,80.3712220762155,98.0392156862745,1610612746,2,0,2024-11-07T03:39:19Z,130000,False,240.0,132.0,1,right,MISS T. Mann 27' 3PT,[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,Above the Break 3,24+ Right Center,,,,,,,27.41,Missed,,,,,,,,,,,,
14,PT10M39.00S,2024-11-07T03:15:34.1Z,1,REGULAR,rebound,defensive,[],1626162,,,1610612755,2,0,2024-11-07T03:39:19Z,140000,False,,,0,,K. Oubre Jr. REBOUND (Off:0 Def:1),[1626162],1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,
15,PT10M37.00S,2024-11-07T03:15:51.1Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1626162,10.85742444152431,50.49019607843137,1610612755,2,0,2024-11-07T03:39:26Z,150000,False,-2.0,50.0,1,left,MISS K. Oubre Jr. running Layup - blocked,"[1626162, 201935]",1610612755.0,PHI,running,,,Oubre Jr.,K. Oubre Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,4.97,Missed,,,,,,,,,Harden,201935.0,,
16,PT10M37.00S,2024-11-07T03:15:51.1Z,1,REGULAR,block,,[],201935,,,1610612755,2,0,2024-11-07T03:15:53Z,160000,False,,,0,,J. Harden BLOCK (1 BLK),[201935],1610612746.0,LAC,,,,Harden,J. Harden,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
17,PT10M37.00S,2024-11-07T03:15:51.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612746,2,0,2024-11-07T03:39:26Z,170000,False,,,0,,TEAM defensive REBOUND,[],1610612746.0,LAC,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,15.0,,,,,,,
19,PT10M18.00S,2024-11-07T03:16:14.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627826,91.40932982917214,47.549019607843135,1610612746,4,0,2024-11-07T03:20:57Z,190000,False,-12.0,28.0,1,right,I. Zubac driving Hook (2 PTS) (T. Mann 1 AST),"[1627826, 1629611]",1610612746.0,LAC,driving,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,,,,,,,3.09,Made,2.0,T. Mann,1629611.0,1.0,,,,,,,,
21,PT09M53.00S,2024-11-07T03:16:41.4Z,1,REGULAR,foul,personal,['3freethrow'],1626181,,,1610612755,4,0,2024-11-07T03:17:05Z,210000,False,,,0,,N. Powell shooting personal FOUL (1 PF) (Martin 3 FT),"[1626181, 1628997]",1610612746.0,LAC,shooting,,,Powell,N. Powell,,,,,Above the Break 3,24+ Left Center,203593.0,,1.0,0.0,Martin,1628997.0,,,,,,,,,,,,,,
23,PT09M53.00S,2024-11-07T03:17:21.7Z,1,REGULAR,freethrow,1 of 3,[],1628997,,,1610612755,4,1,2024-11-07T03:18:05Z,230000,False,,,0,,C. Martin Free Throw 1 of 3 (1 PTS),[1628997],1610612755.0,PHI,,,,Martin,C. Martin,,,,,,,,,,,,,,Made,1.0,,,,,,,,,,,
24,PT09M53.00S,2024-11-07T03:17:21.7Z,1,REGULAR,freethrow,2 of 3,[],1628997,,,1610612755,4,2,2024-11-07T03:18:05Z,240000,False,,,0,,C. Martin Free Throw 2 of 3 (2 PTS),[1628997],1610612755.0,PHI,,,,Martin,C. Martin,,,,,,,,,,,,,,Made,2.0,,,,,,,,,,,
26,PT09M53.00S,2024-11-07T03:17:21.7Z,1,REGULAR,freethrow,3 of 3,[],1628997,,,1610612755,4,2,2024-11-07T03:18:05Z,250000,False,,,0,,MISS C. Martin Free Throw 3 of 3,[1628997],1610612755.0,PHI,,,,Martin,C. Martin,,,,,,,,,,,,,,Missed,,,,,,,,,,,,
27,PT09M50.00S,2024-11-07T03:17:24.7Z,1,REGULAR,rebound,offensive,[],202331,,,1610612755,4,2,2024-11-07T03:18:05Z,260000,False,,,0,,P. George REBOUND (Off:1 Def:0),[202331],1610612755.0,PHI,,,,George,P. George,,,,,,,,,,,,,,,,,,,26.0,1.0,0.0,1.0,,,,
28,PT09M46.00S,2024-11-07T03:18:07.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],202331,30.56833114323259,75.24509803921569,1610612755,4,5,2024-11-07T03:21:39Z,270000,False,-126.0,235.0,1,left,P. George 26' 3PT step back (3 PTS),[202331],1610612755.0,PHI,step back,,,George,P. George,,,,,Above the Break 3,24+ Left Center,,,,,,,26.66,Made,3.0,,,,,,,,,,,
29,PT09M36.00S,2024-11-07T03:18:18.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1627826,90.62089356110381,50.98039215686274,1610612746,6,5,2024-11-07T03:18:29Z,280000,False,5.0,36.0,1,right,I. Zubac alley-oop DUNK (4 PTS) (J. Harden 1 AST),"[1627826, 201935]",1610612746.0,LAC,alley-oop,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,,,,,,,3.6,Made,4.0,J. Harden,201935.0,1.0,,,,,,,,
32,PT09M22.00S,2024-11-07T03:18:35.2Z,1,REGULAR,turnover,out-of-bounds,[],1628997,,,1610612755,6,5,2024-11-07T03:18:41Z,300000,False,,,0,,C. Martin step out-of-bounds TURNOVER (1 TO),[1628997],1610612755.0,PHI,step,,,Martin,C. Martin,,,,,Right Corner 3,24+ Right,202901.0,1.0,,,,,,,,,,,,,,,,,,
34,PT09M03.00S,2024-11-07T03:19:09.4Z,1,REGULAR,foul,personal,[],1628997,,,1610612746,6,5,2024-11-07T03:19:18Z,310000,False,,,0,,C. Martin personal FOUL (1 PF),"[1628997, 201935]",1610612755.0,PHI,,,,Martin,C. Martin,,,,,Above the Break 3,24+ Right Center,203593.0,,1.0,0.0,Harden,201935.0,,,,,,,,,,,,,,
36,PT08M54.00S,2024-11-07T03:19:35.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1626181,88.38699080157687,54.166666666666664,1610612746,8,5,2024-11-07T03:19:41Z,330000,False,21.0,57.0,1,right,N. Powell 6' driving floating bank Jump Shot (2 PTS) (I. Zubac 2 AST),"[1626181, 1627826]",1610612746.0,LAC,driving floating bank,,,Powell,N. Powell,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,6.04,Made,2.0,I. Zubac,1627826.0,2.0,,,,,,,,
38,PT08M29.00S,2024-11-07T03:20:01.7Z,1,REGULAR,3pt,Jump Shot,[],202331,30.042706964520367,18.627450980392158,1610612755,8,8,2024-11-07T03:22:51Z,350000,False,157.0,230.0,1,left,P. George 27' 3PT pullup (6 PTS),[202331],1610612755.0,PHI,pullup,,,George,P. George,,,,,Above the Break 3,24+ Right Center,,,,,,,27.83,Made,6.0,,,,,,,,,,,
41,PT08M07.00S,2024-11-07T03:20:35.5Z,1,REGULAR,violation,kicked ball,[],202331,,,1610612746,8,8,2024-11-07T03:20:46Z,380000,False,,,0,,P. George kicked ball VIOLATION,[202331],1610612755.0,PHI,,,,George,P. George,,,,,,,203593.0,,,,,,,,,,,,,,,,,,,
42,PT08M02.00S,2024-11-07T03:20:49.3Z,1,REGULAR,3pt,Jump Shot,[],1626181,70.25295663600527,19.607843137254903,1610612746,8,8,2024-11-07T03:20:54Z,390000,False,-152.0,227.0,1,right,MISS N. Powell 27' 3PT,[1626181],1610612746.0,LAC,,,,Powell,N. Powell,,,,,Above the Break 3,24+ Left Center,,,,,,,27.33,Missed,,,,,,,,,,,,
43,PT07M59.00S,2024-11-07T03:20:52.3Z,1,REGULAR,rebound,defensive,[],202331,,,1610612755,8,8,2024-11-07T03:20:54Z,400000,False,,,0,,P. George REBOUND (Off:1 Def:1),[202331],1610612755.0,PHI,,,,George,P. George,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,42.0,2.0,1.0,1.0,,,,
44,PT07M54.00S,2024-11-07T03:20:58.1Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1628997,7.30946123521682,48.529411764705884,1610612755,8,10,2024-11-07T03:21:04Z,410000,False,7.0,16.0,1,left,C. Martin running Layup (4 PTS),[1628997],1610612755.0,PHI,running,,,Martin,C. Martin,,,,,Restricted Area,0-8 Center,,,,,,,1.78,Made,4.0,,,,,,,,,,,
45,PT07M43.00S,2024-11-07T03:21:08.5Z,1,REGULAR,3pt,Jump Shot,[],201935,67.62483574244416,74.26470588235294,1610612746,8,10,2024-11-07T03:21:16Z,420000,False,121.0,252.0,1,right,MISS J. Harden 27' pullup 3PT,[201935],1610612746.0,LAC,pullup,,,Harden,J. Harden,,,,,Above the Break 3,24+ Right Center,,,,,,,27.95,Missed,,,,,,,,,,,,
46,PT07M41.00S,2024-11-07T03:21:10.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612746,8,10,2024-11-07T03:21:16Z,430000,False,,,0,,TEAM offensive REBOUND,[],1610612746.0,LAC,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,45.0,,,,,,,
47,PT07M41.00S,2024-11-07T03:21:16.6Z,1,REGULAR,foul,personal,[],202331,,,1610612746,8,10,2024-11-07T03:21:24Z,440000,False,,,0,,P. George loose ball personal FOUL (1 PF),"[202331, 1629611]",1610612755.0,PHI,loose ball,,,George,P. George,,,,,Restricted Area,0-8 Center,202058.0,,1.0,0.0,Mann,1629611.0,,,,,,,,,,,,,,
49,PT07M25.00S,2024-11-07T03:22:02.1Z,1,REGULAR,turnover,bad pass,[],1626181,,,1610612746,8,10,2024-11-07T03:22:06Z,460000,False,,,0,,N. Powell bad pass TURNOVER (1 TO),"[1626181, 202331]",1610612746.0,LAC,,,,Powell,N. Powell,,,,,Above the Break 3,24+ Left Center,,1.0,,,,,,,,,,,,,,,,,George,202331.0
50,PT07M25.00S,2024-11-07T03:22:02.1Z,1,REGULAR,steal,,[],202331,,,1610612755,8,10,2024-11-07T03:22:04Z,470000,False,,,0,,P. George STEAL (1 STL),[202331],1610612755.0,PHI,,,,George,P. George,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
51,PT07M18.00S,2024-11-07T03:22:10.0Z,1,REGULAR,turnover,bad pass,[],202331,,,1610612755,8,10,2024-11-07T03:22:14Z,480000,False,,,0,,P. George bad pass TURNOVER (2 TO),"[202331, 1629611]",1610612755.0,PHI,,,,George,P. George,,,,,Above the Break 3,24+ Center,,2.0,,,,,,,,,,,,,,,,,Mann,1629611.0
52,PT07M18.00S,2024-11-07T03:22:10.0Z,1,REGULAR,steal,,[],1629611,,,1610612746,8,10,2024-11-07T03:22:11Z,490000,False,,,0,,T. Mann STEAL (1 STL),[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
53,PT07M15.00S,2024-11-07T03:22:12.5Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1627884,94.1688567674113,49.26470588235294,1610612746,10,10,2024-11-07T03:27:48Z,500000,False,-4.0,2.0,1,right,D. Jones Jr. alley-oop DUNK (2 PTS) (T. Mann 2 AST),"[1627884, 1629611]",1610612746.0,LAC,alley-oop,,,Jones Jr.,D. Jones Jr.,,,,,Restricted Area,0-8 Center,,,,,,,0.44,Made,2.0,T. Mann,1629611.0,2.0,,,,,,,,
55,PT06M57.00S,2024-11-07T03:22:29.9Z,1,REGULAR,3pt,Jump Shot,[],1626162,9.411957950065702,1.715686274509804,1610612755,10,13,2024-11-07T03:22:34Z,520000,False,241.0,36.0,1,left,K. Oubre Jr. 24' 3PT  (3 PTS) (P. George 1 AST),"[1626162, 202331]",1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,Right Corner 3,24+ Right,,,,,,,24.41,Made,3.0,P. George,202331.0,1.0,,,,,,,,
57,PT06M44.00S,2024-11-07T03:22:43.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627826,91.40932982917214,51.71568627450981,1610612746,12,13,2024-11-07T03:22:46Z,540000,False,9.0,28.0,1,right,I. Zubac cutting Layup (6 PTS) (J. Harden 2 AST),"[1627826, 201935]",1610612746.0,LAC,cutting,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,,,,,,,2.96,Made,6.0,J. Harden,201935.0,2.0,,,,,,,,
59,PT06M37.00S,2024-11-07T03:22:56.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612755,12,13,2024-11-07T03:22:56Z,560000,False,,,0,,PHI Timeout,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT06M37.00S,2024-11-07T03:26:11.0Z,1,REGULAR,substitution,out,[],202331,,,1610612755,12,13,2024-11-07T03:26:20Z,570000,False,,,0,,SUB out: P. George,[202331],1610612755.0,PHI,,,,George,P. George,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M37.00S,2024-11-07T03:26:11.0Z,1,REGULAR,substitution,in,[],200768,,,1610612755,12,13,2024-11-07T03:26:20Z,580000,False,,,0,,SUB in: K. Lowry,[200768],1610612755.0,PHI,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M29.00S,2024-11-07T03:26:42.8Z,1,REGULAR,3pt,Jump Shot,[],200768,31.750985545335087,62.99019607843137,1610612755,12,13,2024-11-07T03:26:48Z,590000,False,-65.0,246.0,1,left,MISS K. Lowry 25' 3PT,[200768],1610612755.0,PHI,,,,Lowry,K. Lowry,,,,,Above the Break 3,24+ Center,,,,,,,25.44,Missed,,,,,,,,,,,,
63,PT06M25.00S,2024-11-07T03:26:46.8Z,1,REGULAR,rebound,defensive,[],1627884,,,1610612746,12,13,2024-11-07T03:26:48Z,600000,False,,,0,,D. Jones Jr. REBOUND (Off:0 Def:1),[1627884],1610612746.0,LAC,,,,Jones Jr.,D. Jones Jr.,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,62.0,1.0,1.0,0.0,,,,
64,PT06M19.00S,2024-11-07T03:26:51.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201935,65.39093298291722,48.28431372549019,1610612746,12,13,2024-11-07T03:27:04Z,610000,False,-9.0,273.0,1,right,MISS J. Harden 27' running pullup 3PT,[201935],1610612746.0,LAC,running pullup,,,Harden,J. Harden,,,,,Above the Break 3,24+ Center,,,,,,,27.29,Missed,,,,,,,,,,,,
65,PT06M18.00S,2024-11-07T03:26:52.7Z,1,REGULAR,rebound,offensive,[],1629611,,,1610612746,12,13,2024-11-07T03:26:58Z,620000,False,,,0,,T. Mann REBOUND (Off:1 Def:0),[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,64.0,1.0,0.0,1.0,,,,
67,PT06M06.00S,2024-11-07T03:27:07.6Z,1,REGULAR,foul,personal,[],200768,,,1610612746,12,13,2024-11-07T03:27:12Z,640000,False,,,0,,K. Lowry personal FOUL (1 PF),"[200768, 1626181]",1610612755.0,PHI,,,,Lowry,K. Lowry,,,,,Restricted Area,0-8 Center,202901.0,,1.0,0.0,Powell,1626181.0,,,,,,,,,,,,,,
