actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-01-20T02:10:31.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-20T02:10:31Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-01-20T02:10:34.0Z,1,REGULAR,jumpball,recovered,[],1631108,,,1610612747,0,0,2025-01-20T02:10:34Z,40000,False,,,0,,Jump Ball A. Davis vs. I. Zubac: Tip to M. Christie,"[1631108, 203076, 1627826]",1610612747.0,LAL,startperiod,M. Christie,1631108.0,Christie,M. Christie,Davis,203076.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2025-01-20T02:10:45.9Z,1,REGULAR,turnover,bad pass,[],2544,,,1610612747,0,0,2025-01-20T02:10:52Z,70000,False,,,0,,L. James bad pass TURNOVER (1 TO),"[2544, 202695]",1610612747.0,LAL,,,,James,L. James,,,,,In The Paint (Non-RA),8-16 Right,1.0,Leonard,202695.0,,,,,,,,,,,,,,,,,
8,PT11M45.00S,2025-01-20T02:10:45.9Z,1,REGULAR,steal,,[],202695,,,1610612746,0,0,2025-01-20T02:10:48Z,80000,False,,,0,,K. Leonard STEAL (1 STL),[202695],1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,,
9,PT11M40.00S,2025-01-20T02:10:51.1Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",202695,69.99014454664915,80.88235294117648,1610612746,0,0,2025-01-20T02:11:28Z,90000,False,154.0,230.0,1,right,MISS K. Leonard 27' running pullup 3PT,[202695],1610612746.0,LAC,running pullup,,,Leonard,K. Leonard,,,,,Above the Break 3,24+ Right Center,,,,27.67,Missed,,,,,,,,,,,,,,,
10,PT11M37.00S,2025-01-20T02:10:54.1Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,0,0,2025-01-20T02:10:57Z,100000,False,,,0,,A. Davis REBOUND (Off:0 Def:1),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Above the Break 3,24+ Right Center,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M24.00S,2025-01-20T02:11:07.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629060,5.601182654402102,49.26470588235294,1610612747,0,2,2025-01-20T02:11:58Z,110000,False,4.0,0.0,1,left,R. Hachimura cutting DUNK (2 PTS) (L. James 1 AST),"[1629060, 2544]",1610612747.0,LAL,cutting,,,Hachimura,R. Hachimura,,,,,Restricted Area,0-8 Center,,,,0.37,Made,,,,,2.0,L. James,2544.0,1.0,,,,,,,
13,PT11M10.00S,2025-01-20T02:11:20.8Z,1,REGULAR,turnover,bad pass,[],201935,,,1610612746,0,2,2025-01-20T02:11:24Z,130000,False,,,0,,J. Harden bad pass TURNOVER (1 TO),"[201935, 2544]",1610612746.0,LAC,,,,Harden,J. Harden,,,,,Above the Break 3,24+ Left Center,1.0,James,2544.0,,,,,,,,,,,,,,,,,
14,PT11M10.00S,2025-01-20T02:11:20.8Z,1,REGULAR,steal,,[],2544,,,1610612747,0,2,2025-01-20T02:11:22Z,140000,False,,,0,,L. James STEAL (1 STL),[2544],1610612747.0,LAL,,,,James,L. James,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
15,PT11M05.00S,2025-01-20T02:11:26.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629060,7.966491458607096,52.69607843137255,1610612747,0,2,2025-01-20T02:11:32Z,150000,False,-13.0,22.0,1,left,MISS R. Hachimura running Layup - blocked,"[1629060, 1627826]",1610612747.0,LAL,running,,,Hachimura,R. Hachimura,,,,,Restricted Area,0-8 Center,,,,2.62,Missed,,,,,,,,,Zubac,1627826.0,,,,,
16,PT11M05.00S,2025-01-20T02:11:26.0Z,1,REGULAR,block,,[],1627826,,,1610612747,0,2,2025-01-20T02:11:28Z,160000,False,,,0,,I. Zubac BLOCK (1 BLK),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
17,PT11M01.00S,2025-01-20T02:11:30.0Z,1,REGULAR,rebound,defensive,[],1626181,,,1610612746,0,2,2025-01-20T02:11:32Z,170000,False,,,0,,N. Powell REBOUND (Off:0 Def:1),[1626181],1610612746.0,LAC,,,,Powell,N. Powell,,,,,Restricted Area,0-8 Center,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,,
18,PT10M59.00S,2025-01-20T02:11:31.4Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1626181,92.59198423127464,50.73529411764706,1610612746,2,2,2025-01-20T02:13:16Z,180000,False,4.0,17.0,1,right,N. Powell running finger roll Layup (2 PTS),[1626181],1610612746.0,LAC,running finger roll,,,Powell,N. Powell,,,,,Restricted Area,0-8 Center,,,,1.75,Made,,,,,2.0,,,,,,,,,,
19,PT10M44.00S,2025-01-20T02:11:46.4Z,1,REGULAR,2pt,Jump Shot,[],203076,22.207621550591327,31.977634803921568,1610612747,2,4,2025-01-20T02:11:52Z,190000,False,90.0,156.0,1,left,A. Davis 18' Jump Shot (2 PTS) (L. James 2 AST),"[203076, 2544]",1610612747.0,LAL,,,,Davis,A. Davis,,,,,Mid-Range,16-24 Right Center,,,,18.04,Made,,,,,2.0,L. James,2544.0,2.0,,,,,,,
21,PT10M20.00S,2025-01-20T02:12:09.9Z,1,REGULAR,3pt,Jump Shot,[],1626181,66.3107752956636,56.86274509803921,1610612746,5,4,2025-01-20T02:12:15Z,210000,False,34.0,264.0,1,right,N. Powell 26' 3PT  (5 PTS) (K. Leonard 1 AST),"[1626181, 202695]",1610612746.0,LAC,,,,Powell,N. Powell,,,,,Above the Break 3,24+ Center,,,,26.64,Made,,,,,5.0,K. Leonard,202695.0,1.0,,,,,,,
23,PT10M07.00S,2025-01-20T02:12:23.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630559,17.73981603153745,52.76118259803921,1610612747,5,6,2025-01-20T02:12:28Z,230000,False,-14.0,114.0,1,left,A. Reaves 11' driving floating Jump Shot (2 PTS),[1630559],1610612747.0,LAL,driving floating,,,Reaves,A. Reaves,,,,,In The Paint (Non-RA),8-16 Center,,,,11.51,Made,,,,,2.0,,,,,,,,,,
24,PT09M41.00S,2025-01-20T02:12:49.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1626181,92.77266754270697,47.65242034313725,1610612746,7,6,2025-01-20T02:12:54Z,240000,False,-12.0,15.0,1,right,N. Powell cutting DUNK (7 PTS) (K. Leonard 2 AST),"[1626181, 202695]",1610612746.0,LAC,cutting,,,Powell,N. Powell,,,,,Restricted Area,0-8 Center,,,,1.93,Made,,,,,7.0,K. Leonard,202695.0,2.0,,,,,,,
26,PT09M26.00S,2025-01-20T02:13:04.9Z,1,REGULAR,3pt,Jump Shot,[],1631108,5.338370565045992,95.34313725490196,1610612747,7,6,2025-01-20T02:13:09Z,260000,False,-227.0,-2.0,1,left,MISS M. Christie 3PT,[1631108],1610612747.0,LAL,,,,Christie,M. Christie,,,,,Left Corner 3,24+ Left,,,,22.67,Missed,,,,,,,,,,,,,,,
