actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,shotActionNumber,pointsTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-01-23T03:40:18.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-23T03:40:18Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-01-23T03:40:20.6Z,1,REGULAR,jumpball,recovered,[],1629599,,,1610612746,0,0,2025-01-23T03:40:20Z,40000,False,,,0,,Jump Ball M. Bamba vs. L. Kornet: Tip to A. Coffey,"[1629599, 1628964, 1628436]",1610612746.0,LAC,startperiod,A. Coffey,1629599.0,Coffey,A. Coffey,Bamba,1628964.0,Kornet,1628436.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2025-01-23T03:40:38.4Z,1,REGULAR,foul,personal,['2freethrow'],1628369,,,1610612746,0,0,2025-01-23T03:40:51Z,80000,False,,,0,,J. Tatum shooting personal FOUL (1 PF) (Mann 2 FT),"[1628369, 1629611]",1610612738.0,BOS,shooting,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),8-16 Center,202053.0,1.0,0.0,Mann,1629611.0,,,,,,,,,,,,,,,
10,PT11M40.00S,2025-01-23T03:41:10.9Z,1,REGULAR,freethrow,1 of 2,[],1629611,,,1610612746,0,0,2025-01-23T03:41:10Z,100000,False,,,0,,MISS T. Mann Free Throw 1 of 2,[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
11,PT11M40.00S,2025-01-23T03:41:10.9Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612746,0,0,2025-01-23T03:41:10Z,110000,False,,,0,,TEAM offensive REBOUND,[],1610612746.0,LAC,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,
12,PT11M40.00S,2025-01-23T03:41:23.4Z,1,REGULAR,freethrow,2 of 2,[],1629611,,,1610612746,1,0,2025-01-23T03:41:23Z,120000,False,,,0,,T. Mann Free Throw 2 of 2 (1 PTS),[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,,,,,,,,Made,,1.0,,,,,,,,,,,,
13,PT11M24.00S,2025-01-23T03:41:42.7Z,1,REGULAR,3pt,Jump Shot,[],1628369,32.013797634691194,66.42156862745098,1610612738,1,3,2025-01-23T03:41:48Z,130000,False,-82.0,248.0,1,left,J. Tatum 26' 3PT pullup (3 PTS) (D. White 1 AST),"[1628369, 1628401]",1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,,,,,,Made,,3.0,26.16,D. White,1628401.0,1.0,,,,,,,,
15,PT11M13.00S,2025-01-23T03:41:53.8Z,1,REGULAR,3pt,Jump Shot,[],1629599,74.98357424441524,8.57843137254902,1610612746,1,3,2025-01-23T03:42:04Z,150000,False,-207.0,183.0,1,right,MISS A. Coffey 27' 3PT,[1629599],1610612746.0,LAC,,,,Coffey,A. Coffey,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,,27.62,,,,,,,,,,,
16,PT11M10.00S,2025-01-23T03:42:01.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612746,1,3,2025-01-23T03:42:01Z,160000,False,,,0,,TEAM offensive REBOUND,[],1610612746.0,LAC,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,15.0,,,,,,,,,,,,,
18,PT11M06.00S,2025-01-23T03:42:19.6Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1627884,77.34888304862024,32.84313725490196,1610612746,3,3,2025-01-23T03:42:24Z,180000,False,-86.0,160.0,1,right,D. Jones Jr. 18' pullup Jump Shot (2 PTS) (A. Coffey 1 AST),"[1627884, 1629599]",1610612746.0,LAC,pullup,,,Jones Jr.,D. Jones Jr.,,,,,Mid-Range,16-24 Left Center,,,,,,Made,,2.0,18.19,A. Coffey,1629599.0,1.0,,,,,,,,
20,PT10M42.00S,2025-01-23T03:42:43.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,18.873193166885677,55.14705882352941,1610612738,3,5,2025-01-23T03:42:50Z,200000,False,-26.0,125.0,1,left,J. Brown 12' turnaround fadeaway Jump Shot (2 PTS),[1627759],1610612738.0,BOS,turnaround fadeaway,,,Brown,J. Brown,,,,,In The Paint (Non-RA),8-16 Center,,,,,,Made,,2.0,12.75,,,,,,,,,,,
21,PT10M33.00S,2025-01-23T03:42:52.4Z,1,REGULAR,2pt,Jump Shot,[],1629611,77.92378449408672,46.6030943627451,1610612746,5,5,2025-01-23T03:44:09Z,210000,False,-17.0,155.0,1,right,T. Mann 15' step back Jump Shot (3 PTS),[1629611],1610612746.0,LAC,step back,,,Mann,T. Mann,,,,,Mid-Range,8-16 Center,,,,,,Made,,3.0,15.59,,,,,,,,,,,
22,PT10M17.00S,2025-01-23T03:43:07.6Z,1,REGULAR,3pt,Jump Shot,[],1627759,25.706307490144546,13.23529411764706,1610612738,5,8,2025-01-23T03:43:12Z,220000,False,184.0,189.0,1,left,J. Brown 26' 3PT  (5 PTS) (J. Tatum 1 AST),"[1627759, 1628369]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Right Center,,,,,,Made,,5.0,26.37,J. Tatum,1628369.0,1.0,,,,,,,,
24,PT10M05.00S,2025-01-23T03:43:20.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629599,81.42247043363994,42.15686274509804,1610612746,5,8,2025-01-23T04:47:55Z,240000,False,-39.0,122.0,1,right,MISS A. Coffey 12' fadeaway Shot,[1629599],1610612746.0,LAC,fadeaway,,,Coffey,A. Coffey,,,,,In The Paint (Non-RA),8-16 Center,,,,,,Missed,,,12.82,,,,,,,,,,,
25,PT10M05.00S,2025-01-23T03:43:20.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,5,8,2025-01-23T03:43:26Z,250000,False,,,0,,TEAM defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,24.0,,,,,,,,,,,,,
