actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-01-24T03:40:21.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-24T03:40:21Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2025-01-24T03:40:26.6Z,1,REGULAR,jumpball,recovered,[],1642267,,,1610612764,0,0,2025-01-24T03:40:26Z,40000,False,,,0,,Jump Ball A. Sarr vs. I. Zubac: Tip to B. Carrington,"[1642267, 1642259, 1627826]",1610612764.0,WAS,startperiod,B. Carrington,1642267.0,Carrington,B. Carrington,Sarr,1642259.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2025-01-24T03:40:38.0Z,1,REGULAR,turnover,bad pass,[],1641731,,,1610612764,0,0,2025-01-24T03:40:42Z,70000,False,,,0,,B. Coulibaly bad pass TURNOVER (1 TO),"[1641731, 1626181]",1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,Mid-Range,16-24 Left Center,1.0,Powell,1626181.0,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2025-01-24T03:40:38.0Z,1,REGULAR,steal,,[],1626181,,,1610612746,0,0,2025-01-24T03:40:39Z,80000,False,,,0,,N. Powell STEAL (1 STL),[1626181],1610612746.0,LAC,,,,Powell,N. Powell,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
9,PT11M40.00S,2025-01-24T03:40:40.9Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1626181,94.03745072273325,49.754901960784316,1610612746,2,0,2025-01-24T03:40:46Z,90000,False,-1.0,4.0,1,right,N. Powell running Layup (2 PTS),[1626181],1610612746.0,LAC,running,,,Powell,N. Powell,,,,,Restricted Area,0-8 Center,,,,0.37,Made,2.0,,,,,,,,,,,,,,
10,PT11M21.00S,2025-01-24T03:40:59.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641731,8.623521681997373,56.372549019607845,1610612764,2,0,2025-01-24T03:41:05Z,100000,False,-32.0,29.0,1,left,MISS B. Coulibaly cutting Layup - blocked,"[1641731, 201935]",1610612764.0,WAS,cutting,,,Coulibaly,B. Coulibaly,,,,,Restricted Area,0-8 Center,,,,4.28,Missed,,Harden,201935.0,,,,,,,,,,,,
11,PT11M21.00S,2025-01-24T03:40:59.8Z,1,REGULAR,block,,[],201935,,,1610612764,2,0,2025-01-24T03:41:01Z,110000,False,,,0,,J. Harden BLOCK (1 BLK),[201935],1610612746.0,LAC,,,,Harden,J. Harden,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
12,PT11M18.00S,2025-01-24T03:41:02.8Z,1,REGULAR,rebound,defensive,[],202695,,,1610612746,2,0,2025-01-24T03:41:05Z,120000,False,,,0,,K. Leonard REBOUND (Off:0 Def:1),[202695],1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,Restricted Area,0-8 Center,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,
13,PT11M16.00S,2025-01-24T03:41:04.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201935,71.56701708278581,19.362745098039216,1610612746,2,0,2025-01-24T03:42:19Z,130000,False,-153.0,215.0,1,right,MISS J. Harden 26' running 3PT,[201935],1610612746.0,LAC,running,,,Harden,J. Harden,,,,,Above the Break 3,24+ Left Center,,,,26.38,Missed,,,,,,,,,,,,,,,
14,PT11M12.00S,2025-01-24T03:41:08.8Z,1,REGULAR,rebound,offensive,[],201935,,,1610612746,2,0,2025-01-24T03:41:13Z,140000,False,,,0,,J. Harden REBOUND (Off:1 Def:0),[201935],1610612746.0,LAC,,,,Harden,J. Harden,,,,,Above the Break 3,24+ Left Center,,,,,,,,,13.0,1.0,0.0,1.0,,,,,,,,
