actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-12-04T03:40:25.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-12-04T03:40:25Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2024-12-04T03:40:29.0Z,1,REGULAR,jumpball,recovered,[],201935,,,1610612746,0,0,2024-12-04T03:40:29Z,40000,False,,,0,,Jump Ball I. Zubac vs. D. Ayton: Tip to J. Harden,"[201935, 1627826, 1629028]",1610612746.0,LAC,startperiod,J. Harden,201935.0,Harden,J. Harden,Zubac,1627826.0,Ayton,1629028.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2024-12-04T03:40:42.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626181,91.14651773981603,50.0,1610612746,2,0,2024-12-04T03:40:47Z,70000,False,0.0,31.0,1,right,N. Powell Layup (2 PTS) (J. Harden 1 AST),"[1626181, 201935]",1610612746.0,LAC,,,,Powell,N. Powell,,,,,Restricted Area,0-8 Center,3.07,Made,2.0,J. Harden,201935.0,1.0,,,,,,,,,,,,,,
9,PT11M15.00S,2024-12-04T03:41:11.7Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612757,2,0,2024-12-04T03:41:16Z,90000,False,,,0,,POR shot clock Team TURNOVER,[],1610612757.0,POR,,,,,,,,,,Mid-Range,8-16 Right,,,,,,,1146.0,,,,,,,,,,,,,
10,PT11M01.00S,2024-12-04T03:41:37.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626181,64.73390275952694,54.166666666666664,1610612746,5,0,2024-12-04T03:41:41Z,100000,False,21.0,279.0,1,right,N. Powell 27' 3PT pullup (5 PTS) (J. Harden 2 AST),"[1626181, 201935]",1610612746.0,LAC,pullup,,,Powell,N. Powell,,,,,Above the Break 3,24+ Center,27.98,Made,5.0,J. Harden,201935.0,2.0,,,,,,,,,,,,,,
12,PT10M37.00S,2024-12-04T03:42:01.6Z,1,REGULAR,3pt,Jump Shot,[],1641739,31.225361366622867,76.47058823529412,1610612757,5,0,2024-12-04T03:42:05Z,120000,False,-132.0,241.0,1,left,MISS T. Camara 27' 3PT,[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,Above the Break 3,24+ Left Center,27.5,Missed,,,,,,,,,,,,,,,,,,
13,PT10M35.00S,2024-12-04T03:42:03.6Z,1,REGULAR,rebound,defensive,[],1626181,,,1610612746,5,0,2024-12-04T03:42:05Z,130000,False,,,0,,N. Powell REBOUND (Off:0 Def:1),[1626181],1610612746.0,LAC,,,,Powell,N. Powell,,,,,Above the Break 3,24+ Left Center,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,
14,PT10M27.00S,2024-12-04T03:42:11.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201935,89.83245729303549,46.81372549019608,1610612746,5,0,2024-12-04T03:42:14Z,140000,False,-16.0,43.0,1,right,MISS J. Harden driving Layup - blocked,"[201935, 1629028]",1610612746.0,LAC,driving,,,Harden,J. Harden,,,,,In The Paint (Non-RA),0-8 Center,4.59,Missed,,,,,,,,,,Ayton,1629028.0,,,,,,,
15,PT10M27.00S,2024-12-04T03:42:11.5Z,1,REGULAR,block,,[],1629028,,,1610612746,5,0,2024-12-04T03:42:13Z,150000,False,,,0,,D. Ayton BLOCK (1 BLK),[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
16,PT10M24.00S,2024-12-04T03:42:14.5Z,1,REGULAR,rebound,defensive,[],1631101,,,1610612757,5,0,2024-12-04T03:42:14Z,160000,False,,,0,,S. Sharpe REBOUND (Off:0 Def:1),[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,
17,PT10M24.00S,2024-12-04T03:42:16.9Z,1,REGULAR,foul,personal,['2freethrow'],1626181,,,1610612757,5,0,2024-12-04T03:42:33Z,170000,False,,,0,,N. Powell shooting personal FOUL (1 PF) (Sharpe 2 FT),"[1626181, 1631101]",1610612746.0,LAC,shooting,,,Powell,N. Powell,,,,,Restricted Area,0-8 Center,,,,,,,1146.0,,,,,,,1.0,0.0,Sharpe,1631101.0,,,
19,PT10M24.00S,2024-12-04T03:42:48.8Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1631101,,,1610612757,5,1,2024-12-04T03:42:48Z,190000,False,,,0,,S. Sharpe Free Throw 1 of 2 (1 PTS),[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
20,PT10M24.00S,2024-12-04T03:43:08.7Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1631101,,,1610612757,5,2,2024-12-04T03:43:08Z,200000,False,,,0,,S. Sharpe Free Throw 2 of 2 (2 PTS),[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
21,PT10M04.00S,2024-12-04T03:43:28.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627826,85.3646517739816,59.55882352941176,1610612746,7,2,2024-12-04T03:43:34Z,210000,False,48.0,85.0,1,right,I. Zubac 9' turnaround Hook (2 PTS),[1627826],1610612746.0,LAC,turnaround,,,Zubac,I. Zubac,,,,,In The Paint (Non-RA),8-16 Center,9.76,Made,2.0,,,,,,,,,,,,,,,,,
22,PT09M41.00S,2024-12-04T03:43:54.2Z,1,REGULAR,turnover,out-of-bounds,[],1631101,,,1610612757,7,2,2024-12-04T03:43:59Z,220000,False,,,0,,S. Sharpe bad pass out-of-bounds TURNOVER (1 TO),[1631101],1610612757.0,POR,bad pass,,,Sharpe,S. Sharpe,,,,,Mid-Range,8-16 Right,,,,,,,1146.0,,,,,,,,,,,1.0,,
23,PT09M25.00S,2024-12-04T03:44:17.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201935,74.45795006570303,89.2156862745098,1610612746,7,2,2024-12-04T03:44:22Z,230000,False,196.0,188.0,1,right,MISS J. Harden 27' pullup 3PT,[201935],1610612746.0,LAC,pullup,,,Harden,J. Harden,,,,,Above the Break 3,24+ Right Center,27.14,Missed,,,,,,,,,,,,,,,,,,
24,PT09M23.00S,2024-12-04T03:44:19.0Z,1,REGULAR,rebound,defensive,[],1631101,,,1610612757,7,2,2024-12-04T03:44:22Z,240000,False,,,0,,S. Sharpe REBOUND (Off:0 Def:2),[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,Above the Break 3,24+ Right Center,,,,,,,,23.0,2.0,2.0,0.0,,,,,,,,,
25,PT09M12.00S,2024-12-04T03:44:29.0Z,1,REGULAR,2pt,Jump Shot,[],1631101,22.552562417871222,29.65686274509804,1610612757,7,2,2024-12-04T03:44:33Z,250000,False,102.0,159.0,1,left,MISS S. Sharpe 18' turnaround fadeaway Shot,[1631101],1610612757.0,POR,turnaround fadeaway,,,Sharpe,S. Sharpe,,,,,Mid-Range,16-24 Right Center,18.92,Missed,,,,,,,,,,,,,,,,,,
