actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-04-03T02:42:21.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-04-03T02:42:21Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2025-04-03T02:42:29.1Z,1,REGULAR,jumpball,recovered,[],1628971,,,1610612740,0,0,2025-04-03T02:42:29Z,40000,False,,,0,,Jump Ball Y. Missi vs. I. Zubac: Tip to B. Brown,"[1628971, 1642274, 1627826]",1610612740.0,NOP,startperiod,B. Brown,1628971.0,Brown,B. Brown,Missi,1642274.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,,,
13,PT11M46.00S,2025-04-03T02:42:50.7Z,1,REGULAR,2pt,Jump Shot,[],203482,12.795663600525614,75.49019607843138,1610612740,0,0,2025-04-03T02:43:54Z,75000,False,-127.0,68.0,1,left,MISS K. Olynyk 14' Jump Shot,[203482],1610612740.0,NOP,,,,Olynyk,K. Olynyk,,,,,Mid-Range,8-16 Left,14.44,Missed,,,,,,,,,,,,,,,,,,
14,PT11M46.00S,2025-04-03T02:42:50.7Z,1,REGULAR,rebound,defensive,[],1627739,,,1610612746,0,0,2025-04-03T02:43:54Z,82500,False,,,0,,K. Dunn REBOUND (Off:0 Def:1),[1627739],1610612746.0,LAC,,,,Dunn,K. Dunn,,,,,Mid-Range,8-16 Left,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
20,PT11M34.00S,2025-04-03T02:43:01.5Z,1,REGULAR,3pt,Jump Shot,[],1627739,68.51182654402103,77.69607843137254,1610612746,0,0,2025-04-03T02:44:28Z,86250,False,138.0,243.0,1,right,MISS K. Dunn 28' 3PT,[1627739],1610612746.0,LAC,,,,Dunn,K. Dunn,,,,,Above the Break 3,24+ Right Center,28.01,Missed,,,,,,,,,,,,,,,,,,
21,PT11M31.00S,2025-04-03T02:43:04.5Z,1,REGULAR,rebound,defensive,[],203482,,,1610612740,0,0,2025-04-03T02:44:28Z,88125,False,,,0,,K. Olynyk REBOUND (Off:0 Def:1),[203482],1610612740.0,NOP,,,,Olynyk,K. Olynyk,,,,,Above the Break 3,24+ Right Center,,,20.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M08.00S,2025-04-03T02:43:12.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628971,11.48160315374507,51.96078431372549,1610612740,0,0,2025-04-03T02:45:37Z,90000,False,-10.0,55.0,1,left,MISS B. Brown cutting Layup,[1628971],1610612740.0,NOP,cutting,,,Brown,B. Brown,,,,,In The Paint (Non-RA),0-8 Center,5.63,Missed,,,,,,,,,,,,,,,,,,
10,PT11M08.00S,2025-04-03T02:43:12.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612746,0,0,2025-04-03T02:45:37Z,100000,False,,,0,,TEAM defensive REBOUND,[],1610612746.0,LAC,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,9.0,,,,,,,,,,,,,,,,,
11,PT10M47.00S,2025-04-03T02:43:41.6Z,1,REGULAR,3pt,Jump Shot,[],201935,73.242444152431,22.549019607843135,1610612746,0,0,2025-04-03T02:45:25Z,110000,False,-137.0,199.0,1,right,MISS J. Harden 24' pullup 3PT,[201935],1610612746.0,LAC,pullup,,,Harden,J. Harden,,,,,Above the Break 3,24+ Left Center,24.18,Missed,,,,,,,,,,,,,,,,,,
12,PT10M47.00S,2025-04-03T02:43:41.6Z,1,REGULAR,rebound,defensive,[],1642274,,,1610612740,0,0,2025-04-03T02:45:25Z,120000,False,,,0,,Y. Missi REBOUND (Off:0 Def:1),[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,Above the Break 3,24+ Left Center,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
