actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,officialId,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-04-06T02:40:31.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-04-06T02:40:31Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2025-04-06T02:40:35.7Z,1,REGULAR,jumpball,recovered,[],202691,,,1610612742,0,0,2025-04-06T02:40:35Z,40000,False,,,0,,Jump Ball D. Lively II vs. I. Zubac: Tip to K. Thompson,"[202691, 1641726, 1627826]",1610612742.0,DAL,startperiod,K. Thompson,202691.0,Thompson,K. Thompson,Lively II,1641726.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2025-04-06T02:40:46.3Z,1,REGULAR,turnover,bad pass,[],203076,,,1610612742,0,0,2025-04-06T02:40:49Z,70000,False,,,0,,A. Davis bad pass TURNOVER (1 TO),"[203076, 1627739]",1610612742.0,DAL,,,,Davis,A. Davis,,,,,In The Paint (Non-RA),8-16 Left,1.0,Dunn,1627739.0,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2025-04-06T02:40:46.3Z,1,REGULAR,steal,,[],1627739,,,1610612746,0,0,2025-04-06T02:40:48Z,80000,False,,,0,,K. Dunn STEAL (1 STL),[1627739],1610612746.0,LAC,,,,Dunn,K. Dunn,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,,,,,,
9,PT11M24.00S,2025-04-06T02:41:06.5Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover', 'defensivegoaltending']",201935,91.01511169513797,56.372549019607845,1610612746,2,0,2025-04-06T02:41:54Z,90000,False,32.0,32.0,1,right,J. Harden driving floating Jump Shot (2 PTS),[201935],1610612746.0,LAC,driving floating,,,Harden,J. Harden,,,,,In The Paint (Non-RA),0-8 Center,,,,4.52,Made,2.0,,,,,,,,,,,,,,
12,PT11M24.00S,2025-04-06T02:41:28.5Z,1,REGULAR,violation,defensive goaltending,[],1641726,,,1610612746,2,0,2025-04-06T02:42:00Z,120000,False,,,0,,D. Lively II defensive goaltending VIOLATION,[1641726],1610612742.0,DAL,,,,Lively II,D. Lively II,,,,,,,,,,,,,201245.0,,,,,,,,,,,,,
13,PT11M13.00S,2025-04-06T02:41:34.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203076,8.229303547963205,49.01960784313725,1610612742,2,2,2025-04-06T02:41:39Z,130000,False,5.0,25.0,1,left,A. Davis driving Layup (2 PTS) (S. Dinwiddie 1 AST),"[203076, 203915]",1610612742.0,DAL,driving,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,,,,2.54,Made,2.0,,S. Dinwiddie,203915.0,1.0,,,,,,,,,,
15,PT10M59.00S,2025-04-06T02:41:48.9Z,1,REGULAR,3pt,Jump Shot,[],1626181,67.62483574244416,75.98039215686273,1610612746,2,2,2025-04-06T02:42:36Z,150000,False,130.0,252.0,1,right,MISS N. Powell 28' step back 3PT,[1626181],1610612746.0,LAC,step back,,,Powell,N. Powell,,,,,Above the Break 3,24+ Right Center,,,,28.33,Missed,,,,,,,,,,,,,,,
16,PT10M55.00S,2025-04-06T02:41:52.9Z,1,REGULAR,rebound,defensive,[],1629023,,,1610612742,2,2,2025-04-06T02:41:53Z,160000,False,,,0,,P. Washington REBOUND (Off:0 Def:1),[1629023],1610612742.0,DAL,,,,Washington,P. Washington,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,
17,PT10M37.00S,2025-04-06T02:42:10.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641726,13.485545335085414,40.19607843137255,1610612742,2,2,2025-04-06T02:42:17Z,170000,False,49.0,74.0,1,left,MISS D. Lively II 8' Jump Shot - blocked,"[1641726, 202695]",1610612742.0,DAL,,,,Lively II,D. Lively II,,,,,In The Paint (Non-RA),8-16 Right,,,,8.9,Missed,,,,,,,,,,Leonard,202695.0,,,,
18,PT10M37.00S,2025-04-06T02:42:10.8Z,1,REGULAR,block,,[],202695,,,1610612742,2,2,2025-04-06T02:42:13Z,180000,False,,,0,,K. Leonard BLOCK (1 BLK),[202695],1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,,
19,PT10M37.00S,2025-04-06T02:42:10.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612742,2,2,2025-04-06T02:42:17Z,190000,False,,,0,,TEAM offensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,17.0,,,,,,,,,
20,PT10M32.00S,2025-04-06T02:42:32.0Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],203076,8.754927726675426,20.34313725490196,1610612742,2,2,2025-04-06T02:42:35Z,200000,False,148.0,30.0,1,left,MISS A. Davis 15' fadeaway Shot,[203076],1610612742.0,DAL,fadeaway,,,Davis,A. Davis,,,,,Mid-Range,8-16 Right,,,,15.13,Missed,,,,,,,,,,,,,,,
21,PT10M30.00S,2025-04-06T02:42:34.2Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,2,2,2025-04-06T02:42:34Z,210000,False,,,0,,I. Zubac REBOUND (Off:0 Def:1),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Mid-Range,8-16 Right,,,,,,,,,,,20.0,1.0,1.0,0.0,,,,,,
22,PT10M19.00S,2025-04-06T02:42:44.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627826,90.3580814717477,51.470588235294116,1610612746,4,2,2025-04-06T02:42:49Z,220000,False,7.0,38.0,1,right,I. Zubac cutting Layup (2 PTS) (J. Harden 1 AST),"[1627826, 201935]",1610612746.0,LAC,cutting,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,,,,3.88,Made,2.0,,J. Harden,201935.0,1.0,,,,,,,,,,
24,PT10M12.00S,2025-04-06T02:42:53.7Z,1,REGULAR,turnover,out-of-bounds,[],1629023,,,1610612742,4,2,2025-04-06T02:42:59Z,240000,False,,,0,,P. Washington lost ball out-of-bounds TURNOVER (1 TO),[1629023],1610612742.0,DAL,lost ball,,,Washington,P. Washington,,,,,Above the Break 3,24+ Right Center,1.0,,,,,,202035.0,,,,,,,,,,,,,
25,PT10M02.00S,2025-04-06T02:43:18.2Z,1,REGULAR,turnover,bad pass,[],201935,,,1610612746,4,2,2025-04-06T02:43:21Z,250000,False,,,0,,J. Harden bad pass TURNOVER (1 TO),"[201935, 1641726]",1610612746.0,LAC,,,,Harden,J. Harden,,,,,Mid-Range,16-24 Left,1.0,Lively II,1641726.0,,,,,,,,,,,,,,,,,
26,PT10M02.00S,2025-04-06T02:43:18.2Z,1,REGULAR,steal,,[],1641726,,,1610612742,4,2,2025-04-06T02:43:19Z,260000,False,,,0,,D. Lively II STEAL (1 STL),[1641726],1610612742.0,DAL,,,,Lively II,D. Lively II,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,,,,,,,,,
27,PT09M49.00S,2025-04-06T02:43:31.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],202691,26.231931668856767,87.25490196078431,1610612742,4,2,2025-04-06T02:43:34Z,270000,False,-186.0,194.0,1,left,MISS K. Thompson 26' 3PT,[202691],1610612742.0,DAL,,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Left Center,,,,26.9,Missed,,,,,,,,,,,,,,,
28,PT09M47.00S,2025-04-06T02:43:33.1Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,4,2,2025-04-06T02:43:34Z,280000,False,,,0,,I. Zubac REBOUND (Off:0 Def:2),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,27.0,2.0,2.0,0.0,,,,,,
29,PT09M42.00S,2025-04-06T02:43:38.8Z,1,REGULAR,2pt,Layup,[],1626181,84.97043363994744,33.088235294117645,1610612746,4,2,2025-04-06T02:43:47Z,290000,False,-85.0,89.0,1,right,MISS N. Powell 12' driving Layup - blocked,"[1626181, 1641726]",1610612746.0,LAC,driving,,,Powell,N. Powell,,,,,Mid-Range,8-16 Left,,,,12.26,Missed,,,,,,,,,,Lively II,1641726.0,,,,
30,PT09M42.00S,2025-04-06T02:43:38.8Z,1,REGULAR,block,,[],1641726,,,1610612746,4,2,2025-04-06T02:43:42Z,300000,False,,,0,,D. Lively II BLOCK (1 BLK),[1641726],1610612742.0,DAL,,,,Lively II,D. Lively II,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
31,PT09M42.00S,2025-04-06T02:43:38.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612746,4,2,2025-04-06T02:43:47Z,310000,False,,,0,,TEAM offensive REBOUND,[],1610612746.0,LAC,,,,,,,,,,Mid-Range,8-16 Left,,,,,,,,,,,29.0,,,,,,,,,
32,PT09M33.00S,2025-04-06T02:44:03.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1627826,92.85479632063075,63.48039215686274,1610612746,6,2,2025-04-06T02:44:06Z,320000,False,67.0,15.0,1,right,I. Zubac 6' Jump Shot (4 PTS) (K. Leonard 1 AST),"[1627826, 202695]",1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,In The Paint (Non-RA),0-8 Center,,,,6.9,Made,4.0,,K. Leonard,202695.0,1.0,,,,,,,,,,
34,PT09M17.00S,2025-04-06T02:44:24.3Z,1,REGULAR,turnover,bad pass,[],203076,,,1610612742,6,2,2025-04-06T02:44:30Z,340000,False,,,0,,A. Davis bad pass TURNOVER (2 TO),[203076],1610612742.0,DAL,,,,Davis,A. Davis,,,,,Mid-Range,8-16 Left,2.0,,,,,,,,,,,,,,,,,,,
35,PT09M17.00S,2025-04-06T02:44:27.9Z,1,REGULAR,foul,personal,[],1641726,,,1610612746,6,2,2025-04-06T02:44:33Z,350000,False,,,0,,D. Lively II loose ball personal FOUL (1 PF),"[1641726, 202695]",1610612742.0,DAL,loose ball,,,Lively II,D. Lively II,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,2882.0,,,,,,,,,,1.0,0.0,Leonard,202695.0
37,PT08M57.00S,2025-04-06T02:44:58.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",201935,88.38699080157687,54.166666666666664,1610612746,8,2,2025-04-06T02:45:01Z,370000,False,21.0,57.0,1,right,J. Harden 6' driving floating Jump Shot (4 PTS) (K. Leonard 2 AST),"[201935, 202695]",1610612746.0,LAC,driving floating,,,Harden,J. Harden,,,,,In The Paint (Non-RA),0-8 Center,,,,6.04,Made,4.0,,K. Leonard,202695.0,2.0,,,,,,,,,,
