actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-12-02T03:10:26.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-12-02T03:10:26Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-12-02T03:10:30.8Z,1,REGULAR,jumpball,recovered,[],1627826,,,1610612746,0,0,2024-12-02T03:10:30Z,40000,False,,,0,,Jump Ball I. Zubac vs. N. Jokić: Tip to I. Zubac,"[1627826, 1627826, 203999]",1610612746.0,LAC,startperiod,I. Zubac,1627826.0,Zubac,I. Zubac,Zubac,1627826.0,Jokić,203999.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M57.00S,2024-12-02T03:10:45.3Z,1,REGULAR,turnover,backcourt,[],1627826,,,1610612746,0,0,2024-12-02T03:10:55Z,70000,False,,,0,,I. Zubac backcourt TURNOVER (1 TO),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Mid-Range,16-24 Left,1.0,,,,,,,,,,,,,,,,,,,
8,PT11M34.00S,2024-12-02T03:11:10.1Z,1,REGULAR,turnover,bad pass,[],1627750,,,1610612743,0,0,2024-12-02T03:11:16Z,80000,False,,,0,,J. Murray bad pass TURNOVER (1 TO),"[1627750, 1627739]",1610612743.0,DEN,,,,Murray,J. Murray,,,,,Mid-Range,16-24 Right Center,1.0,Dunn,1627739.0,,,,,,,,,,,,,,,,,
9,PT11M34.00S,2024-12-02T03:11:10.1Z,1,REGULAR,steal,,[],1627739,,,1610612746,0,0,2024-12-02T03:11:12Z,90000,False,,,0,,K. Dunn STEAL (1 STL),[1627739],1610612746.0,LAC,,,,Dunn,K. Dunn,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
10,PT11M30.00S,2024-12-02T03:11:14.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1627884,91.93495400788436,46.32352941176471,1610612746,0,0,2024-12-02T03:11:19Z,100000,False,-18.0,23.0,1,right,MISS D. Jones Jr. running Layup,[1627884],1610612746.0,LAC,running,,,Jones Jr.,D. Jones Jr.,,,,,Restricted Area,0-8 Center,,,,2.97,Missed,,,,,,,,,,,,,,,
11,PT11M27.00S,2024-12-02T03:11:17.1Z,1,REGULAR,rebound,defensive,[],1631212,,,1610612743,0,0,2024-12-02T03:11:17Z,110000,False,,,0,,P. Watson REBOUND (Off:0 Def:1),[1631212],1610612743.0,DEN,,,,Watson,P. Watson,,,,,Restricted Area,0-8 Center,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,
12,PT11M23.00S,2024-12-02T03:11:22.2Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1631212,8.754927726675426,55.88235294117647,1610612743,0,0,2024-12-02T03:14:27Z,120000,False,-29.0,30.0,1,left,MISS P. Watson driving floating Shot,[1631212],1610612743.0,DEN,driving floating,,,Watson,P. Watson,,,,,Restricted Area,0-8 Center,,,,4.19,Missed,,,,,,,,,,,,,,,
13,PT11M21.00S,2024-12-02T03:11:24.2Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,0,0,2024-12-02T03:11:29Z,130000,False,,,0,,I. Zubac REBOUND (Off:0 Def:1),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,
14,PT11M17.00S,2024-12-02T03:11:27.6Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1627884,92.06636005256242,46.568627450980394,1610612746,0,0,2024-12-02T03:11:35Z,140000,False,-17.0,22.0,1,right,MISS D. Jones Jr. running Layup - blocked,"[1627884, 203999]",1610612746.0,LAC,running,,,Jones Jr.,D. Jones Jr.,,,,,Restricted Area,0-8 Center,,,,2.8,Missed,,,,,Jokić,203999.0,,,,,,,,,
