actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-03-24T01:10:38.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-24T01:10:38Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-03-24T01:10:40.9Z,1,REGULAR,jumpball,recovered,[],1641717,,,1610612760,0,0,2025-03-24T01:10:40Z,40000,False,,,0,,Jump Ball I. Hartenstein vs. I. Zubac: Tip to C. Wallace,"[1641717, 1628392, 1627826]",1610612760.0,OKC,startperiod,C. Wallace,1641717.0,Wallace,C. Wallace,Hartenstein,1628392.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2025-03-24T01:10:54.6Z,1,REGULAR,3pt,Jump Shot,[],1627936,14.273981603153747,3.431372549019608,1610612760,0,0,2025-03-24T01:11:00Z,70000,False,233.0,82.0,1,left,MISS A. Caruso 24' 3PT,[1627936],1610612760.0,OKC,,,,Caruso,A. Caruso,,,,,Right Corner 3,24+ Right,24.67,Missed,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2025-03-24T01:10:58.6Z,1,REGULAR,rebound,defensive,[],1627739,,,1610612746,0,0,2025-03-24T01:11:00Z,80000,False,,,0,,K. Dunn REBOUND (Off:0 Def:1),[1627739],1610612746.0,LAC,,,,Dunn,K. Dunn,,,,,Right Corner 3,24+ Right,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M23.00S,2025-03-24T01:11:14.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626181,92.59198423127464,43.872549019607845,1610612746,0,0,2025-03-24T01:11:19Z,90000,False,-31.0,17.0,1,right,MISS N. Powell driving Layup - blocked,"[1626181, 1628392]",1610612746.0,LAC,driving,,,Powell,N. Powell,,,,,Restricted Area,0-8 Center,3.51,Missed,,,,,Hartenstein,1628392.0,,,,,,,,,,,,
10,PT11M23.00S,2025-03-24T01:11:14.5Z,1,REGULAR,block,,[],1628392,,,1610612746,0,0,2025-03-24T01:11:16Z,100000,False,,,0,,I. Hartenstein BLOCK (1 BLK),[1628392],1610612760.0,OKC,,,,Hartenstein,I. Hartenstein,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M18.00S,2025-03-24T01:11:19.5Z,1,REGULAR,rebound,offensive,[],1626181,,,1610612746,0,0,2025-03-24T01:11:19Z,110000,False,,,0,,N. Powell REBOUND (Off:1 Def:0),[1626181],1610612746.0,LAC,,,,Powell,N. Powell,,,,,Restricted Area,0-8 Center,,,9.0,1.0,0.0,1.0,,,,,,,,,,,,,,
12,PT11M17.00S,2025-03-24T01:11:20.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],202695,67.36202365308804,62.745098039215684,1610612746,0,0,2025-03-24T01:11:48Z,120000,False,64.0,254.0,1,right,MISS K. Leonard 26' pullup 3PT,[202695],1610612746.0,LAC,pullup,,,Leonard,K. Leonard,,,,,Above the Break 3,24+ Center,26.22,Missed,,,,,,,,,,,,,,,,,,
13,PT11M14.00S,2025-03-24T01:11:23.4Z,1,REGULAR,rebound,defensive,[],1628983,,,1610612760,0,0,2025-03-24T01:11:25Z,130000,False,,,0,,S. Gilgeous-Alexander REBOUND (Off:0 Def:1),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Above the Break 3,24+ Center,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT11M10.00S,2025-03-24T01:11:27.3Z,1,REGULAR,3pt,Jump Shot,[],1627936,5.338370565045992,95.83333333333334,1610612760,0,0,2025-03-24T01:11:37Z,140000,False,-229.0,-2.0,1,left,MISS A. Caruso 3PT,[1627936],1610612760.0,OKC,,,,Caruso,A. Caruso,,,,,Left Corner 3,24+ Left,22.92,Missed,,,,,,,,,,,,,,,,,,
15,PT11M08.00S,2025-03-24T01:11:29.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612746,0,0,2025-03-24T01:11:37Z,150000,False,,,0,,TEAM defensive REBOUND,[],1610612746.0,LAC,,,,,,,,,,Left Corner 3,24+ Left,,,14.0,,,,,,,,,,,,,,,,,
16,PT11M08.00S,2025-03-24T01:11:36.7Z,1,REGULAR,foul,personal,[],1641717,,,1610612746,0,0,2025-03-24T01:11:42Z,160000,False,,,0,,C. Wallace loose ball personal FOUL (1 PF),"[1641717, 1627739]",1610612760.0,OKC,loose ball,,,Wallace,C. Wallace,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,1628172.0,1.0,0.0,Dunn,1627739.0,,,,,,,
18,PT10M55.00S,2025-03-24T01:12:18.0Z,1,REGULAR,3pt,Jump Shot,[],1626181,66.96780551905388,52.20588235294118,1610612746,0,0,2025-03-24T01:12:52Z,180000,False,11.0,258.0,1,right,MISS N. Powell 25' 3PT,[1626181],1610612746.0,LAC,,,,Powell,N. Powell,,,,,Above the Break 3,24+ Center,25.82,Missed,,,,,,,,,,,,,,,,,,
19,PT10M52.00S,2025-03-24T01:12:21.0Z,1,REGULAR,rebound,defensive,[],1629652,,,1610612760,0,0,2025-03-24T01:12:23Z,190000,False,,,0,,L. Dort REBOUND (Off:0 Def:1),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Above the Break 3,24+ Center,,,18.0,1.0,1.0,0.0,,,,,,,,,,,,,,
20,PT10M45.00S,2025-03-24T01:12:30.0Z,1,REGULAR,foul,personal,[],1627739,,,1610612760,0,0,2025-03-24T01:12:47Z,200000,False,,,0,,K. Dunn personal FOUL (1 PF),"[1627739, 1628983]",1610612746.0,LAC,,,,Dunn,K. Dunn,,,,,Mid-Range,16-24 Left Center,,,,,,,,,202007.0,1.0,0.0,Gilgeous-Alexander,1628983.0,,,,,,,
22,PT10M37.00S,2025-03-24T01:13:00.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628392,6.258212877792378,50.49019607843137,1610612760,0,2,2025-03-24T01:13:03Z,220000,False,-2.0,6.0,1,left,I. Hartenstein cutting DUNK (2 PTS) (S. Gilgeous-Alexander 1 AST),"[1628392, 1628983]",1610612760.0,OKC,cutting,,,Hartenstein,I. Hartenstein,,,,,Restricted Area,0-8 Center,0.68,Made,,,,,,,,,,,,2.0,S. Gilgeous-Alexander,1628983.0,1.0,,,
24,PT10M19.00S,2025-03-24T01:13:17.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627826,87.86136662286465,42.40196078431372,1610612746,0,2,2025-03-24T01:13:21Z,240000,False,-38.0,62.0,1,right,MISS I. Zubac 7' turnaround Hook,[1627826],1610612746.0,LAC,turnaround,,,Zubac,I. Zubac,,,,,In The Paint (Non-RA),0-8 Center,7.24,Missed,,,,,,,,,,,,,,,,,,
25,PT10M18.00S,2025-03-24T01:13:18.5Z,1,REGULAR,rebound,defensive,[],1628392,,,1610612760,0,2,2025-03-24T01:13:21Z,250000,False,,,0,,I. Hartenstein REBOUND (Off:0 Def:1),[1628392],1610612760.0,OKC,,,,Hartenstein,I. Hartenstein,,,,,In The Paint (Non-RA),0-8 Center,,,24.0,1.0,1.0,0.0,,,,,,,,,,,,,,
26,PT10M11.00S,2025-03-24T01:13:26.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627936,6.521024967148489,45.83333333333333,1610612760,0,2,2025-03-24T01:13:30Z,260000,False,21.0,9.0,1,left,MISS A. Caruso reverse Layup,[1627936],1610612760.0,OKC,reverse,,,Caruso,A. Caruso,,,,,Restricted Area,0-8 Center,2.26,Missed,,,,,,,,,,,,,,,,,,
27,PT10M09.00S,2025-03-24T01:13:28.4Z,1,REGULAR,rebound,defensive,[],1626181,,,1610612746,0,2,2025-03-24T01:13:30Z,270000,False,,,0,,N. Powell REBOUND (Off:1 Def:1),[1626181],1610612746.0,LAC,,,,Powell,N. Powell,,,,,Restricted Area,0-8 Center,,,26.0,2.0,1.0,1.0,,,,,,,,,,,,,,
28,PT10M03.00S,2025-03-24T01:13:34.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201935,92.19776609724047,44.36274509803921,1610612746,0,2,2025-03-24T01:13:40Z,280000,False,-28.0,21.0,1,right,MISS J. Harden driving Layup,[201935],1610612746.0,LAC,driving,,,Harden,J. Harden,,,,,Restricted Area,0-8 Center,3.5,Missed,,,,,,,,,,,,,,,,,,
29,PT09M58.00S,2025-03-24T01:13:39.8Z,1,REGULAR,rebound,offensive,[],1627826,,,1610612746,0,2,2025-03-24T01:13:40Z,290000,False,,,0,,I. Zubac REBOUND (Off:1 Def:0),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,,,28.0,1.0,0.0,1.0,,,,,,,,,,,,,,
30,PT09M58.00S,2025-03-24T01:13:39.9Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1627826,94.40999984741211,50.0,1610612746,2,2,2025-03-24T01:13:39Z,300000,False,0.0,0.0,1,right,I. Zubac putback DUNK (2 PTS),[1627826],1610612746.0,LAC,putback,,,Zubac,I. Zubac,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,,,,,,,,2.0,,,,,,
31,PT09M50.00S,2025-03-24T01:13:48.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628392,7.046649145860711,46.81372549019608,1610612760,2,4,2025-03-24T01:13:51Z,310000,False,16.0,14.0,1,left,I. Hartenstein cutting Layup (4 PTS) (S. Gilgeous-Alexander 2 AST),"[1628392, 1628983]",1610612760.0,OKC,cutting,,,Hartenstein,I. Hartenstein,,,,,Restricted Area,0-8 Center,2.1,Made,,,,,,,,,,,,4.0,S. Gilgeous-Alexander,1628983.0,2.0,,,
33,PT09M30.00S,2025-03-24T01:14:07.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627826,92.46057818659659,46.07843137254902,1610612746,4,4,2025-03-24T02:13:44Z,330000,False,-20.0,18.0,1,right,I. Zubac driving reverse Layup (4 PTS),[1627826],1610612746.0,LAC,driving reverse,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,2.69,Made,,,,,,,,,,,,4.0,,,,,,
34,PT09M17.00S,2025-03-24T01:14:21.7Z,1,REGULAR,2pt,Jump Shot,[],1641717,16.770696452036795,33.82352941176471,1610612760,4,4,2025-03-24T01:27:01Z,340000,False,81.0,105.0,1,left,MISS C. Wallace 13' driving floating Shot,[1641717],1610612760.0,OKC,driving floating,,,Wallace,C. Wallace,,,,,Mid-Range,8-16 Right,13.26,Missed,,,,,,,,,,,,,,,,,,
35,PT09M15.00S,2025-03-24T01:14:23.7Z,1,REGULAR,rebound,defensive,[],201935,,,1610612746,4,4,2025-03-24T01:27:01Z,350000,False,,,0,,J. Harden REBOUND (Off:0 Def:1),[201935],1610612746.0,LAC,,,,Harden,J. Harden,,,,,Mid-Range,8-16 Right,,,34.0,1.0,1.0,0.0,,,,,,,,,,,,,,
37,PT08M56.00S,2025-03-24T01:14:53.0Z,1,REGULAR,3pt,Jump Shot,[],1626181,71.17279894875165,75.24509803921569,1610612746,4,4,2025-03-24T01:14:58Z,370000,False,126.0,218.0,1,right,MISS N. Powell 25' 3PT,[1626181],1610612746.0,LAC,,,,Powell,N. Powell,,,,,Above the Break 3,24+ Right Center,25.23,Missed,,,,,,,,,,,,,,,,,,
38,PT08M51.00S,2025-03-24T01:14:58.0Z,1,REGULAR,rebound,offensive,[],1627826,,,1610612746,4,4,2025-03-24T01:14:58Z,380000,False,,,0,,I. Zubac REBOUND (Off:2 Def:0),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Above the Break 3,24+ Right Center,,,37.0,2.0,0.0,2.0,,,,,,,,,,,,,,
39,PT08M51.00S,2025-03-24T01:15:00.3Z,1,REGULAR,turnover,traveling,[],1627826,,,1610612746,4,4,2025-03-24T01:15:03Z,390000,False,,,0,,I. Zubac traveling TURNOVER (1 TO),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Mid-Range,8-16 Left,,,,,,,,,202007.0,,,,,,,,,1.0,,
40,PT08M25.00S,2025-03-24T01:15:32.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628983,11.251642575558476,95.58823529411765,1610612760,4,4,2025-03-24T01:15:35Z,400000,False,-228.0,53.0,1,left,MISS S. Gilgeous-Alexander pullup 3PT,[1628983],1610612760.0,OKC,pullup,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Left Corner 3,24+ Left,23.4,Missed,,,,,,,,,,,,,,,,,,
41,PT08M23.00S,2025-03-24T01:15:34.1Z,1,REGULAR,rebound,defensive,[],202695,,,1610612746,4,4,2025-03-24T01:15:34Z,410000,False,,,0,,K. Leonard REBOUND (Off:0 Def:1),[202695],1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,Left Corner 3,24+ Left,,,40.0,1.0,1.0,0.0,,,,,,,,,,,,,,
42,PT08M23.00S,2025-03-24T01:15:35.5Z,1,REGULAR,turnover,out-of-bounds,[],202695,,,1610612746,4,4,2025-03-24T01:15:59Z,420000,False,,,0,,K. Leonard bad pass out-of-bounds TURNOVER (1 TO),[202695],1610612746.0,LAC,bad pass,,,Leonard,K. Leonard,,,,,Above the Break 3,24+ Right Center,,,,,,,,,1830.0,,,,,,,,,1.0,,
43,PT08M10.00S,2025-03-24T01:15:54.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1641717,28.991458607095925,20.588235294117645,1610612760,4,7,2025-03-24T01:16:01Z,430000,False,147.0,220.0,1,left,C. Wallace 26' 3PT  (3 PTS) (I. Hartenstein 1 AST),"[1641717, 1628392]",1610612760.0,OKC,,,,Wallace,C. Wallace,,,,,Above the Break 3,24+ Right Center,26.46,Made,,,,,,,,,,,,3.0,I. Hartenstein,1628392.0,1.0,,,
45,PT07M55.00S,2025-03-24T01:16:09.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627826,87.33574244415243,52.450980392156865,1610612746,6,7,2025-03-24T01:18:13Z,450000,False,12.0,67.0,1,right,I. Zubac 6' driving Hook (6 PTS) (J. Harden 1 AST),"[1627826, 201935]",1610612746.0,LAC,driving,,,Zubac,I. Zubac,,,,,In The Paint (Non-RA),0-8 Center,6.76,Made,,,,,,,,,,,,6.0,J. Harden,201935.0,1.0,,,
47,PT07M41.00S,2025-03-24T01:16:22.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628392,16.507884362680684,40.931372549019606,1610612760,6,9,2025-03-24T01:16:26Z,470000,False,45.0,103.0,1,left,I. Hartenstein 11' floating Jump Shot (6 PTS) (S. Gilgeous-Alexander 3 AST),"[1628392, 1628983]",1610612760.0,OKC,floating,,,Hartenstein,I. Hartenstein,,,,,In The Paint (Non-RA),8-16 Center,11.22,Made,,,,,,,,,,,,6.0,S. Gilgeous-Alexander,1628983.0,3.0,,,
50,PT07M16.00S,2025-03-24T01:17:03.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627739,86.15308804204993,46.32352941176471,1610612746,8,9,2025-03-24T01:17:06Z,500000,False,-18.0,78.0,1,right,K. Dunn 7' driving floating Jump Shot (2 PTS) (J. Harden 2 AST),"[1627739, 201935]",1610612746.0,LAC,driving floating,,,Dunn,K. Dunn,,,,,In The Paint (Non-RA),8-16 Center,7.98,Made,,,,,,,,,,,,2.0,J. Harden,201935.0,2.0,,,
52,PT07M05.00S,2025-03-24T01:17:14.2Z,1,REGULAR,3pt,Jump Shot,[],1629652,14.011169513797633,3.6764705882352944,1610612760,8,12,2025-03-24T01:17:19Z,520000,False,232.0,79.0,1,left,L. Dort 24' 3PT  (3 PTS) (S. Gilgeous-Alexander 4 AST),"[1629652, 1628983]",1610612760.0,OKC,,,,Dort,L. Dort,,,,,Right Corner 3,24+ Right,24.48,Made,,,,,,,,,,,,3.0,S. Gilgeous-Alexander,1628983.0,4.0,,,
54,PT06M57.00S,2025-03-24T01:17:22.1Z,1,REGULAR,turnover,bad pass,[],201935,,,1610612746,8,12,2025-03-24T01:17:24Z,540000,False,,,0,,J. Harden bad pass TURNOVER (1 TO),"[201935, 1641717]",1610612746.0,LAC,,,,Harden,J. Harden,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,,,,1.0,Wallace,1641717.0
55,PT06M57.00S,2025-03-24T01:17:22.1Z,1,REGULAR,steal,,[],1641717,,,1610612760,8,12,2025-03-24T01:17:23Z,550000,False,,,0,,C. Wallace STEAL (1 STL),[1641717],1610612760.0,OKC,,,,Wallace,C. Wallace,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,,,,,,
56,PT06M47.00S,2025-03-24T01:17:31.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628392,16.113666228646515,50.73529411764706,1610612760,8,12,2025-03-24T01:19:47Z,560000,False,-4.0,99.0,1,left,MISS I. Hartenstein 9' driving floating Shot,[1628392],1610612760.0,OKC,driving floating,,,Hartenstein,I. Hartenstein,,,,,In The Paint (Non-RA),8-16 Center,9.91,Missed,,,,,,,,,,,,,,,,,,
57,PT06M44.00S,2025-03-24T01:17:34.7Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,8,12,2025-03-24T01:17:36Z,570000,False,,,0,,I. Zubac REBOUND (Off:2 Def:1),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,In The Paint (Non-RA),8-16 Center,,,56.0,3.0,1.0,2.0,,,,,,,,,,,,,,
58,PT06M26.00S,2025-03-24T01:17:52.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627739,84.70762155059133,40.68627450980392,1610612746,10,12,2025-03-24T01:20:59Z,580000,False,-47.0,91.0,1,right,K. Dunn 10' driving floating Jump Shot (4 PTS) (K. Leonard 1 AST),"[1627739, 202695]",1610612746.0,LAC,driving floating,,,Dunn,K. Dunn,,,,,In The Paint (Non-RA),8-16 Center,10.24,Made,,,,,,,,,,,,4.0,K. Leonard,202695.0,1.0,,,
60,PT06M10.00S,2025-03-24T01:18:09.7Z,1,REGULAR,3pt,Jump Shot,[],1629652,4.07358738501971,95.36611519607843,1610612760,10,12,2025-03-24T01:18:13Z,600000,False,-227.0,-14.0,1,left,MISS L. Dort 3PT,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Left Corner 3,24+ Left,22.72,Missed,,,,,,,,,,,,,,,,,,
61,PT06M08.00S,2025-03-24T01:18:11.7Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,10,12,2025-03-24T01:18:13Z,610000,False,,,0,,I. Zubac REBOUND (Off:2 Def:2),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Left Corner 3,24+ Left,,,60.0,4.0,2.0,2.0,,,,,,,,,,,,,,
62,PT06M03.00S,2025-03-24T01:18:18.1Z,1,REGULAR,foul,personal,['2freethrow'],1641717,,,1610612746,10,12,2025-03-24T01:21:38Z,620000,False,,,0,,C. Wallace shooting personal FOUL (2 PF) (Leonard 2 FT),"[1641717, 202695]",1610612760.0,OKC,shooting,,,Wallace,C. Wallace,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,202007.0,2.0,0.0,Leonard,202695.0,,,,,,,
64,PT06M03.00S,2025-03-24T01:18:34.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612746,10,12,2025-03-24T01:19:24Z,640000,False,,,0,,LAC Timeout,[],1610612746.0,LAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M03.00S,2025-03-24T01:21:16.5Z,1,REGULAR,substitution,out,[],1627936,,,1610612746,10,12,2025-03-24T01:21:20Z,650000,False,,,0,,SUB out: A. Caruso,[1627936],1610612760.0,OKC,,,,Caruso,A. Caruso,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M03.00S,2025-03-24T01:21:16.5Z,1,REGULAR,substitution,in,[],1630598,,,1610612746,10,12,2025-03-24T01:21:20Z,660000,False,,,0,,SUB in: A. Wiggins,[1630598],1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,,,,,,,
