actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,playerName,playerNameI,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-04-09T02:40:28.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-04-09T02:40:28Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-04-09T02:40:34.5Z,1,REGULAR,jumpball,recovered,[],0,,,1610612746,0,0,2025-04-09T02:40:34Z,40000,False,,,0,,Jump Ball I. Zubac vs. B. Biyombo: Tip to Team (LAC),"[1627826, 202687]",1610612746.0,LAC,startperiod,Team (LAC),Zubac,1627826.0,Biyombo,202687.0,,,,,,,,,,,,,,,,,,,,,,,,
8,PT11M36.00S,2025-04-09T02:41:00.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627826,12.434296977660972,47.05882352941176,1610612746,2,0,2025-04-09T02:41:06Z,80000,False,15.0,64.0,1,left,I. Zubac 6' turnaround Hook (2 PTS),[1627826],1610612746.0,LAC,turnaround,,,,,,In The Paint (Non-RA),0-8 Center,6.61,Made,2.0,Zubac,I. Zubac,,,,,,,,,,,,,,,,,
9,PT11M15.00S,2025-04-09T02:41:20.5Z,1,REGULAR,turnover,lost ball,[],1642264,,,1610612759,2,0,2025-04-09T02:41:26Z,90000,False,,,0,,S. Castle lost ball TURNOVER (1 TO),"[1642264, 1627739]",1610612759.0,SAS,,,,,,,Mid-Range,16-24 Center,,,,Castle,S. Castle,1.0,Dunn,1627739.0,,,,,,,,,,,,,,
10,PT11M15.00S,2025-04-09T02:41:20.5Z,1,REGULAR,steal,,[],1627739,,,1610612746,2,0,2025-04-09T02:41:22Z,100000,False,,,0,,K. Dunn STEAL (1 STL),[1627739],1610612746.0,LAC,,,,,,,Mid-Range,16-24 Center,,,,Dunn,K. Dunn,,,,,,,,,,,,,,,,,
11,PT11M12.00S,2025-04-09T02:41:24.3Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1627884,6.783837056504599,47.794117647058826,1610612746,4,0,2025-04-09T02:41:39Z,110000,False,11.0,11.0,1,left,D. Jones Jr. running alley-oop DUNK (2 PTS) (K. Dunn 1 AST),"[1627884, 1627739]",1610612746.0,LAC,running alley-oop,,,,,,Restricted Area,0-8 Center,1.58,Made,2.0,Jones Jr.,D. Jones Jr.,,,,K. Dunn,1627739.0,1.0,,,,,,,,,,,
13,PT10M53.00S,2025-04-09T02:41:42.5Z,1,REGULAR,3pt,Jump Shot,[],1630170,70.90998685939553,25.98039215686275,1610612759,4,0,2025-04-09T02:41:47Z,130000,False,-120.0,221.0,1,right,MISS D. Vassell 25' pullup 3PT,[1630170],1610612759.0,SAS,pullup,,,,,,Above the Break 3,24+ Left Center,25.14,Missed,,Vassell,D. Vassell,,,,,,,,,,,,,,,,,
14,PT10M51.00S,2025-04-09T02:41:44.5Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,4,0,2025-04-09T02:41:47Z,140000,False,,,0,,I. Zubac REBOUND (Off:0 Def:1),[1627826],1610612746.0,LAC,,,,,,,Above the Break 3,24+ Left Center,,,,Zubac,I. Zubac,,,,,,,13.0,1.0,1.0,0.0,,,,,,,
15,PT10M37.00S,2025-04-09T02:41:59.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627826,6.389618922470433,41.911764705882355,1610612746,6,0,2025-04-09T02:42:04Z,150000,False,40.0,8.0,1,left,I. Zubac Layup (4 PTS),[1627826],1610612746.0,LAC,,,,,,,Restricted Area,0-8 Center,4.11,Made,4.0,Zubac,I. Zubac,,,,,,,,,,,,,,,,,
17,PT10M24.00S,2025-04-09T02:42:12.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202687,92.72339027595268,45.09803921568628,1610612759,6,2,2025-04-09T02:42:16Z,170000,False,-25.0,16.0,1,right,B. Biyombo cutting Layup (2 PTS) (C. Paul 1 AST),"[202687, 101108]",1610612759.0,SAS,cutting,,,,,,Restricted Area,0-8 Center,2.92,Made,2.0,Biyombo,B. Biyombo,,,,C. Paul,101108.0,1.0,,,,,,,,,,,
19,PT10M05.00S,2025-04-09T02:42:30.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626181,18.347568988173457,44.36274509803921,1610612746,6,2,2025-04-09T02:42:36Z,190000,False,28.0,120.0,1,left,MISS N. Powell 12' step back Shot,[1626181],1610612746.0,LAC,step back,,,,,,In The Paint (Non-RA),8-16 Center,12.33,Missed,,Powell,N. Powell,,,,,,,,,,,,,,,,,
20,PT10M02.00S,2025-04-09T02:42:33.7Z,1,REGULAR,rebound,defensive,[],202687,,,1610612759,6,2,2025-04-09T02:42:36Z,200000,False,,,0,,B. Biyombo REBOUND (Off:0 Def:1),[202687],1610612759.0,SAS,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Biyombo,B. Biyombo,,,,,,,19.0,1.0,1.0,0.0,,,,,,,
21,PT09M48.00S,2025-04-09T02:42:48.4Z,1,REGULAR,3pt,Jump Shot,[],203084,67.7562417871222,31.862745098039213,1610612759,6,5,2025-04-09T02:42:55Z,210000,False,-91.0,251.0,1,right,H. Barnes 26' 3PT  (3 PTS) (C. Paul 2 AST),"[203084, 101108]",1610612759.0,SAS,,,,,,,Above the Break 3,24+ Left Center,26.65,Made,3.0,Barnes,H. Barnes,,,,C. Paul,101108.0,2.0,,,,,,,,,,,
23,PT09M25.00S,2025-04-09T02:43:10.6Z,1,REGULAR,3pt,Jump Shot,[],1627884,9.017739816031538,3.431372549019608,1610612746,9,5,2025-04-09T02:43:16Z,230000,False,233.0,32.0,1,left,D. Jones Jr. 3PT  (5 PTS) (J. Harden 1 AST),"[1627884, 201935]",1610612746.0,LAC,,,,,,,Right Corner 3,24+ Right,23.5,Made,5.0,Jones Jr.,D. Jones Jr.,,,,J. Harden,201935.0,1.0,,,,,,,,,,,
25,PT09M08.00S,2025-04-09T02:43:27.3Z,1,REGULAR,3pt,Jump Shot,[],203084,75.50919842312747,87.25490196078431,1610612759,9,8,2025-04-09T02:43:45Z,250000,False,186.0,178.0,1,right,H. Barnes 25' 3PT  (6 PTS) (D. Vassell 1 AST),"[203084, 1630170]",1610612759.0,SAS,,,,,,,Above the Break 3,24+ Right Center,25.75,Made,6.0,Barnes,H. Barnes,,,,D. Vassell,1630170.0,1.0,,,,,,,,,,,
27,PT08M48.00S,2025-04-09T02:43:47.7Z,1,REGULAR,3pt,Jump Shot,[],1626181,21.50131406044678,9.068627450980392,1610612746,12,8,2025-04-09T02:43:54Z,270000,False,205.0,150.0,1,left,N. Powell 25' 3PT  (3 PTS) (J. Harden 2 AST),"[1626181, 201935]",1610612746.0,LAC,,,,,,,Above the Break 3,24+ Right Center,25.35,Made,3.0,Powell,N. Powell,,,,J. Harden,201935.0,2.0,,,,,,,,,,,
29,PT08M34.00S,2025-04-09T02:44:02.6Z,1,REGULAR,3pt,Jump Shot,[],1630170,92.19776609724047,2.2058823529411766,1610612759,12,8,2025-04-09T02:44:06Z,290000,False,-239.0,21.0,1,right,MISS D. Vassell 3PT,[1630170],1610612759.0,SAS,,,,,,,Left Corner 3,24+ Left,23.99,Missed,,Vassell,D. Vassell,,,,,,,,,,,,,,,,,
30,PT08M32.00S,2025-04-09T02:44:04.6Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,12,8,2025-04-09T02:44:06Z,300000,False,,,0,,I. Zubac REBOUND (Off:0 Def:2),[1627826],1610612746.0,LAC,,,,,,,Left Corner 3,24+ Left,,,,Zubac,I. Zubac,,,,,,,29.0,2.0,2.0,0.0,,,,,,,
31,PT08M28.00S,2025-04-09T02:44:08.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627739,6.915243101182654,46.32352941176471,1610612746,12,8,2025-04-09T02:44:13Z,310000,False,18.0,13.0,1,left,MISS K. Dunn running Layup,[1627739],1610612746.0,LAC,running,,,,,,Restricted Area,0-8 Center,2.22,Missed,,Dunn,K. Dunn,,,,,,,,,,,,,,,,,
32,PT08M25.00S,2025-04-09T02:44:11.7Z,1,REGULAR,rebound,defensive,[],203084,,,1610612759,12,8,2025-04-09T02:44:13Z,320000,False,,,0,,H. Barnes REBOUND (Off:0 Def:1),[203084],1610612759.0,SAS,,,,,,,Restricted Area,0-8 Center,,,,Barnes,H. Barnes,,,,,,,31.0,1.0,1.0,0.0,,,,,,,
33,PT08M20.00S,2025-04-09T02:44:16.4Z,1,REGULAR,3pt,Jump Shot,[],101108,69.85873850197109,21.07843137254902,1610612759,12,8,2025-04-09T02:44:23Z,330000,False,-145.0,231.0,1,right,MISS C. Paul 27' step back 3PT,[101108],1610612759.0,SAS,step back,,,,,,Above the Break 3,24+ Left Center,27.24,Missed,,Paul,C. Paul,,,,,,,,,,,,,,,,,
34,PT08M16.00S,2025-04-09T02:44:20.4Z,1,REGULAR,rebound,defensive,[],1626181,,,1610612746,12,8,2025-04-09T02:44:23Z,340000,False,,,0,,N. Powell REBOUND (Off:0 Def:1),[1626181],1610612746.0,LAC,,,,,,,Above the Break 3,24+ Left Center,,,,Powell,N. Powell,,,,,,,33.0,1.0,1.0,0.0,,,,,,,
35,PT08M05.00S,2025-04-09T02:44:30.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627826,12.565703022339028,41.911764705882355,1610612746,12,8,2025-04-09T02:44:34Z,350000,False,40.0,66.0,1,left,MISS I. Zubac 7' turnaround Hook,[1627826],1610612746.0,LAC,turnaround,,,,,,In The Paint (Non-RA),0-8 Center,7.7,Missed,,Zubac,I. Zubac,,,,,,,,,,,,,,,,,
36,PT08M03.00S,2025-04-09T02:44:32.5Z,1,REGULAR,rebound,defensive,[],202687,,,1610612759,12,8,2025-04-09T02:44:34Z,360000,False,,,0,,B. Biyombo REBOUND (Off:0 Def:2),[202687],1610612759.0,SAS,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Biyombo,B. Biyombo,,,,,,,35.0,2.0,2.0,0.0,,,,,,,
37,PT07M54.00S,2025-04-09T02:44:41.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202687,84.83902759526939,43.13725490196079,1610612759,12,8,2025-04-09T02:44:47Z,370000,False,-34.0,90.0,1,right,MISS B. Biyombo 9' floating Shot,[202687],1610612759.0,SAS,floating,,,,,,In The Paint (Non-RA),8-16 Center,9.63,Missed,,Biyombo,B. Biyombo,,,,,,,,,,,,,,,,,
38,PT07M51.00S,2025-04-09T02:44:44.7Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,12,8,2025-04-09T02:44:47Z,380000,False,,,0,,I. Zubac REBOUND (Off:0 Def:3),[1627826],1610612746.0,LAC,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Zubac,I. Zubac,,,,,,,37.0,3.0,3.0,0.0,,,,,,,
39,PT07M41.00S,2025-04-09T02:44:55.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201935,9.017739816031538,52.94117647058824,1610612746,14,8,2025-04-09T02:44:59Z,390000,False,-15.0,32.0,1,left,J. Harden driving floating Jump Shot (2 PTS),[201935],1610612746.0,LAC,driving floating,,,,,,Restricted Area,0-8 Center,3.55,Made,2.0,Harden,J. Harden,,,,,,,,,,,,,,,,,
40,PT07M36.00S,2025-04-09T02:45:02.4Z,1,REGULAR,foul,personal,['2freethrow'],1627739,,,1610612759,14,8,2025-04-09T02:45:20Z,400000,False,,,0,,K. Dunn shooting personal FOUL (1 PF) (Castle 2 FT),"[1627739, 1642264]",1610612746.0,LAC,shooting,,,,,,In The Paint (Non-RA),8-16 Center,,,,Dunn,K. Dunn,,,,,,,,,,,202049.0,1.0,0.0,Castle,1642264.0,,
42,PT07M36.00S,2025-04-09T02:45:34.3Z,1,REGULAR,freethrow,1 of 2,[],1642264,,,1610612759,14,9,2025-04-09T02:45:56Z,420000,False,,,0,,S. Castle Free Throw 1 of 2 (1 PTS),[1642264],1610612759.0,SAS,,,,,,,,,,Made,1.0,Castle,S. Castle,,,,,,,,,,,,,,,,,
43,PT07M36.00S,2025-04-09T02:45:34.3Z,1,REGULAR,freethrow,2 of 2,[],1642264,,,1610612759,14,9,2025-04-09T02:45:56Z,430000,False,,,0,,MISS S. Castle Free Throw 2 of 2,[1642264],1610612759.0,SAS,,,,,,,,,,Missed,,Castle,S. Castle,,,,,,,,,,,,,,,,,
