actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,playerName,playerNameI,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-02-05T03:05:47.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-02-05T03:05:47Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2025-02-05T03:05:51.4Z,1,REGULAR,jumpball,recovered,[],0,,,1610612747,0,0,2025-02-05T03:05:51Z,40000,False,,,0,,Jump Ball J. Hayes vs. I. Zubac: Tip to Team (LAL),"[1629637, 1627826]",1610612747.0,LAL,startperiod,Team (LAL),Hayes,1629637.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,,,,,
7,PT12M00.00S,2025-02-05T03:06:13.8Z,1,REGULAR,violation,jumpball,[],1627826,,,1610612747,0,0,2025-02-05T03:09:14Z,70000,False,,,0,,I. Zubac jumpball VIOLATION,[1627826],1610612746.0,LAC,,,,,,,1627519.0,Zubac,I. Zubac,,,,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2025-02-05T03:06:24.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629637,9.543363994743759,47.549019607843135,1610612747,0,2,2025-02-05T03:07:26Z,80000,False,12.0,37.0,1,left,J. Hayes cutting Layup (2 PTS) (L. James 1 AST),"[1629637, 2544]",1610612747.0,LAL,cutting,,,,,,,Hayes,J. Hayes,Restricted Area,0-8 Center,3.92,Made,2.0,L. James,2544.0,1.0,,,,,,,,,,,,,
10,PT11M42.00S,2025-02-05T03:06:29.3Z,1,REGULAR,foul,personal,['1freethrow'],1627884,,,1610612747,0,2,2025-02-05T03:06:36Z,100000,False,,,0,,D. Jones Jr. shooting personal FOUL (1 PF) (Hayes 1 FT),"[1627884, 1629637]",1610612746.0,LAC,shooting,,,,,,1627519.0,Jones Jr.,D. Jones Jr.,Restricted Area,0-8 Center,,,,,,,1.0,0.0,Hayes,1629637.0,,,,,,,,,
12,PT11M42.00S,2025-02-05T03:06:55.9Z,1,REGULAR,freethrow,1 of 1,[],1629637,,,1610612747,0,2,2025-02-05T03:06:58Z,120000,False,,,0,,MISS J. Hayes Free Throw 1 of 1,[1629637],1610612747.0,LAL,,,,,,,,Hayes,J. Hayes,,,,Missed,,,,,,,,,,,,,,,,,
13,PT11M40.00S,2025-02-05T03:06:57.9Z,1,REGULAR,rebound,defensive,[],201935,,,1610612746,0,2,2025-02-05T03:06:58Z,130000,False,,,0,,J. Harden REBOUND (Off:0 Def:1),[201935],1610612746.0,LAC,,,,,,,,Harden,J. Harden,,,,,,,,,,,,,12.0,1.0,1.0,0.0,,,,,
14,PT11M32.00S,2025-02-05T03:07:04.5Z,1,REGULAR,3pt,Jump Shot,[],1626181,75.24638633377135,11.27450980392157,1610612746,3,2,2025-02-05T03:07:09Z,140000,False,-194.0,180.0,1,right,N. Powell 26' 3PT  (3 PTS) (D. Jones Jr. 1 AST),"[1626181, 1627884]",1610612746.0,LAC,,,,,,,,Powell,N. Powell,Above the Break 3,24+ Left Center,26.45,Made,3.0,D. Jones Jr.,1627884.0,1.0,,,,,,,,,,,,,
16,PT11M10.00S,2025-02-05T03:07:26.1Z,1,REGULAR,3pt,Jump Shot,[],1630559,26.49474375821288,79.90196078431373,1610612747,3,5,2025-02-05T03:09:51Z,160000,False,-150.0,197.0,1,left,A. Reaves 24' 3PT pullup (3 PTS) (J. Hayes 1 AST),"[1630559, 1629637]",1610612747.0,LAL,pullup,,,,,,,Reaves,A. Reaves,Above the Break 3,24+ Left Center,24.7,Made,3.0,J. Hayes,1629637.0,1.0,,,,,,,,,,,,,
18,PT10M59.00S,2025-02-05T03:07:37.8Z,1,REGULAR,3pt,Jump Shot,[],1627884,73.14388961892247,84.80392156862744,1610612746,6,5,2025-02-05T03:07:42Z,180000,False,174.0,200.0,1,right,D. Jones Jr. 26' 3PT  (3 PTS) (J. Harden 1 AST),"[1627884, 201935]",1610612746.0,LAC,,,,,,,,Jones Jr.,D. Jones Jr.,Above the Break 3,24+ Right Center,26.5,Made,3.0,J. Harden,201935.0,1.0,,,,,,,,,,,,,
20,PT10M44.00S,2025-02-05T03:07:53.0Z,1,REGULAR,2pt,Jump Shot,[],2544,6.389618922470433,87.25490196078431,1610612747,6,7,2025-02-05T03:19:24Z,200000,False,-186.0,8.0,1,left,L. James 18' Jump Shot (2 PTS) (A. Reaves 1 AST),"[2544, 1630559]",1610612747.0,LAL,,,,,,,,James,L. James,Mid-Range,16-24 Left,18.65,Made,2.0,A. Reaves,1630559.0,1.0,,,,,,,,,,,,,
22,PT10M29.00S,2025-02-05T03:08:08.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626181,90.62089356110381,46.568627450980394,1610612746,8,7,2025-02-05T03:10:57Z,220000,False,-17.0,36.0,1,right,N. Powell driving reverse Layup (5 PTS) (I. Zubac 1 AST),"[1626181, 1627826]",1610612746.0,LAC,driving reverse,,,,,,,Powell,N. Powell,Restricted Area,0-8 Center,3.96,Made,5.0,I. Zubac,1627826.0,1.0,,,,,,,,,,,,,
24,PT10M15.00S,2025-02-05T03:08:21.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629637,9.017739816031538,49.754901960784316,1610612747,8,9,2025-02-05T03:08:25Z,240000,False,1.0,32.0,1,left,J. Hayes cutting DUNK (4 PTS) (A. Reaves 2 AST),"[1629637, 1630559]",1610612747.0,LAL,cutting,,,,,,,Hayes,J. Hayes,Restricted Area,0-8 Center,3.23,Made,4.0,A. Reaves,1630559.0,2.0,,,,,,,,,,,,,
26,PT09M55.00S,2025-02-05T03:08:41.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202695,80.76544021024968,60.78431372549019,1610612746,8,9,2025-02-05T03:08:45Z,260000,False,54.0,128.0,1,right,MISS K. Leonard 13' fadeaway Shot,[202695],1610612746.0,LAC,fadeaway,,,,,,,Leonard,K. Leonard,In The Paint (Non-RA),8-16 Center,13.92,Missed,,,,,,,,,,,,,,,,,
27,PT09M53.00S,2025-02-05T03:08:43.6Z,1,REGULAR,rebound,defensive,[],1630559,,,1610612747,8,9,2025-02-05T03:08:45Z,270000,False,,,0,,A. Reaves REBOUND (Off:0 Def:1),[1630559],1610612747.0,LAL,,,,,,,,Reaves,A. Reaves,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,26.0,1.0,1.0,0.0,,,,,
