actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-11-19T21:10:34.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-11-19T21:10:34Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2023-11-19T21:10:38.2Z,1,REGULAR,jumpball,recovered,[],203471,,,1610612761,0,0,2023-11-19T21:10:38Z,40000,False,,,0,,Jump Ball J. Poeltl vs. I. Stewart: Tip to D. Schroder,"[203471, 1627751, 1630191]",1610612761.0,TOR,startperiod,D. Schroder,203471.0,Schroder,D. Schroder,Poeltl,1627751.0,Stewart,1630191.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2023-11-19T21:10:49.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627751,6.258212877792378,46.32352941176471,1610612761,2,0,2023-11-19T21:10:53Z,70000,False,18.0,6.0,1,left,J. Poeltl cutting Layup (2 PTS) (D. Schroder 1 AST),"[1627751, 203471]",1610612761.0,TOR,cutting,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,1.94,Made,2.0,D. Schroder,203471.0,1.0,,,,,,,,,,,,,,
9,PT11M22.00S,2023-11-19T21:11:13.4Z,1,REGULAR,foul,personal,['2freethrow'],1627751,,,1610612765,2,0,2023-11-19T21:11:32Z,90000,False,,,0,,J. Poeltl shooting personal FOUL (1 PF) (Knox II 2 FT),"[1627751, 1628995]",1610612761.0,TOR,shooting,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,200833.0,1.0,0.0,Knox II,1628995.0,,,,,,,,,
11,PT11M22.00S,2023-11-19T21:11:38.2Z,1,REGULAR,freethrow,1 of 2,[],1628995,,,1610612765,2,1,2023-11-19T21:11:52Z,110000,False,,,0,,K. Knox II Free Throw 1 of 2 (1 PTS),[1628995],1610612765.0,DET,,,,Knox II,K. Knox II,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
12,PT11M22.00S,2023-11-19T21:11:38.2Z,1,REGULAR,freethrow,2 of 2,[],1628995,,,1610612765,2,1,2023-11-19T21:11:52Z,120000,False,,,0,,MISS K. Knox II Free Throw 2 of 2,[1628995],1610612765.0,DET,,,,Knox II,K. Knox II,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
13,PT11M20.00S,2023-11-19T21:11:40.2Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612761,2,1,2023-11-19T21:11:52Z,130000,False,,,0,,J. Poeltl REBOUND (Off:0 Def:1),[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,,,,,,,,,,,,,,12.0,1.0,1.0,0.0,,,,,
14,PT11M07.00S,2023-11-19T21:12:03.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627783,6.915243101182654,52.450980392156865,1610612761,4,1,2023-11-19T21:12:27Z,140000,False,-12.0,13.0,1,left,P. Siakam finger roll Layup (2 PTS) (D. Schroder 2 AST),"[1627783, 203471]",1610612761.0,TOR,finger roll,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,1.75,Made,2.0,D. Schroder,203471.0,2.0,,,,,,,,,,,,,,
17,PT10M48.00S,2023-11-19T21:12:34.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630595,89.70105124835742,53.18627450980392,1610612765,4,3,2023-11-19T21:12:39Z,170000,False,16.0,44.0,1,right,C. Cunningham driving Layup (2 PTS),[1630595],1610612765.0,DET,driving,,,Cunningham,C. Cunningham,,,,,In The Paint (Non-RA),0-8 Center,4.71,Made,2.0,,,,,,,,,,,,,,,,,
18,PT10M29.00S,2023-11-19T21:12:55.7Z,1,REGULAR,foul,personal,['2freethrow'],1631093,,,1610612761,4,3,2023-11-19T21:13:07Z,180000,False,,,0,,J. Ivey shooting personal FOUL (1 PF) (Schroder 2 FT),"[1631093, 203471]",1610612765.0,DET,shooting,,,Ivey,J. Ivey,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,200833.0,1.0,0.0,Schroder,203471.0,,,,,,,,,
20,PT10M29.00S,2023-11-19T21:13:16.8Z,1,REGULAR,freethrow,1 of 2,[],203471,,,1610612761,4,3,2023-11-19T21:13:16Z,200000,False,,,0,,MISS D. Schroder Free Throw 1 of 2,[203471],1610612761.0,TOR,,,,Schroder,D. Schroder,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
21,PT10M29.00S,2023-11-19T21:13:16.8Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612761,4,3,2023-11-19T21:13:16Z,210000,False,,,0,,TEAM offensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,
22,PT10M29.00S,2023-11-19T21:13:31.8Z,1,REGULAR,freethrow,2 of 2,[],203471,,,1610612761,5,3,2023-11-19T21:13:31Z,220000,False,,,0,,D. Schroder Free Throw 2 of 2 (1 PTS),[203471],1610612761.0,TOR,,,,Schroder,D. Schroder,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
23,PT10M20.00S,2023-11-19T21:13:42.6Z,1,REGULAR,3pt,Jump Shot,[],1631093,65.91655716162943,32.35294117647059,1610612765,5,3,2023-11-19T21:13:47Z,230000,False,-88.0,268.0,1,right,MISS J. Ivey 28' step back 3PT,[1631093],1610612765.0,DET,step back,,,Ivey,J. Ivey,,,,,Above the Break 3,24+ Left Center,28.2,Missed,,,,,,,,,,,,,,,,,,
