actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-11-01T23:10:53.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-11-01T23:10:53Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-11-01T23:10:55.9Z,1,REGULAR,jumpball,recovered,[],203471,,,1610612761,0,0,2023-11-01T23:10:56Z,40000,False,,,0,,Jump Ball J. Poeltl vs. B. Lopez: Tip to D. Schroder,"[203471, 1627751, 201572]",1610612761.0,TOR,startperiod,D. Schroder,203471.0,Schroder,D. Schroder,Poeltl,1627751.0,Lopez,201572.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2023-11-01T23:11:08.2Z,1,REGULAR,turnover,double dribble,[],1627783,,,1610612761,0,0,2023-11-01T23:11:16Z,70000,False,,,0,,P. Siakam double dribble TURNOVER (1 TO),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Above the Break 3,24+ Center,201639.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M33.00S,2023-11-01T23:11:41.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201572,70.77858081471747,71.81372549019608,1610612749,0,0,2023-11-01T23:11:45Z,80000,False,109.0,222.0,1,right,MISS B. Lopez 24' 3PT,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Above the Break 3,24+ Right Center,,,24.75,Missed,,,,,,,,,,,,,,,,
9,PT11M30.00S,2023-11-01T23:11:44.3Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612761,0,0,2023-11-01T23:11:45Z,90000,False,,,0,,P. Siakam REBOUND (Off:0 Def:1),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Above the Break 3,24+ Right Center,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,
10,PT11M18.00S,2023-11-01T23:11:56.4Z,1,REGULAR,3pt,Jump Shot,[],1627783,32.670827858081466,48.77450980392157,1610612761,3,0,2023-11-01T23:12:01Z,100000,False,6.0,255.0,1,left,P. Siakam 25' 3PT  (3 PTS) (D. Schroder 1 AST),"[1627783, 203471]",1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Above the Break 3,24+ Center,,,25.47,Made,,,,,3.0,D. Schroder,203471.0,1.0,,,,,,,,
12,PT11M05.00S,2023-11-01T23:12:09.7Z,1,REGULAR,2pt,Jump Shot,[],203114,93.51182654402102,73.0392156862745,1610612749,3,0,2023-11-01T23:12:16Z,120000,False,115.0,8.0,1,right,MISS K. Middleton 11' fadeaway Shot - blocked,"[203114, 1627751]",1610612749.0,MIL,fadeaway,,,Middleton,K. Middleton,,,,,Mid-Range,8-16 Right,,,11.55,Missed,,,,,,,,,Poeltl,1627751.0,,,,,,
13,PT11M05.00S,2023-11-01T23:12:09.7Z,1,REGULAR,block,,[],1627751,,,1610612749,3,0,2023-11-01T23:12:12Z,130000,False,,,0,,J. Poeltl BLOCK (1 BLK),[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
14,PT11M01.00S,2023-11-01T23:12:13.7Z,1,REGULAR,rebound,offensive,[],201572,,,1610612749,3,0,2023-11-01T23:12:16Z,140000,False,,,0,,B. Lopez REBOUND (Off:1 Def:0),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Mid-Range,8-16 Right,,,,,12.0,1.0,0.0,1.0,,,,,,,,,,,,
15,PT10M57.00S,2023-11-01T23:12:18.0Z,1,REGULAR,turnover,bad pass,[],203081,,,1610612749,3,0,2023-11-01T23:12:22Z,150000,False,,,0,,D. Lillard bad pass TURNOVER (1 TO),"[203081, 1628384]",1610612749.0,MIL,,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Center,,1.0,,,,,,,,,,,,,Anunoby,1628384.0,,,,
16,PT10M57.00S,2023-11-01T23:12:18.0Z,1,REGULAR,steal,,[],1628384,,,1610612761,3,0,2023-11-01T23:12:19Z,160000,False,,,0,,O. Anunoby STEAL (1 STL),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
17,PT10M45.00S,2023-11-01T23:12:29.8Z,1,REGULAR,turnover,lost ball,[],1627751,,,1610612761,3,0,2023-11-01T23:12:34Z,170000,False,,,0,,J. Poeltl lost ball TURNOVER (1 TO),"[1627751, 203114]",1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),0-8 Center,,1.0,,,,,,,,,,,,,Middleton,203114.0,,,,
18,PT10M45.00S,2023-11-01T23:12:29.8Z,1,REGULAR,steal,,[],203114,,,1610612749,3,0,2023-11-01T23:13:23Z,180000,False,,,0,,K. Middleton STEAL (1 STL),[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
19,PT10M37.00S,2023-11-01T23:12:37.9Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],201572,86.81011826544021,28.186274509803923,1610612749,3,0,2023-11-01T23:12:44Z,190000,False,-109.0,71.0,1,right,MISS B. Lopez 13' driving floating Shot - blocked,"[201572, 1627751]",1610612749.0,MIL,driving floating,,,Lopez,B. Lopez,,,,,Mid-Range,8-16 Left,,,13.04,Missed,,,,,,,,,Poeltl,1627751.0,,,,,,
20,PT10M37.00S,2023-11-01T23:12:37.9Z,1,REGULAR,block,,[],1627751,,,1610612749,3,0,2023-11-01T23:12:40Z,200000,False,,,0,,J. Poeltl BLOCK (2 BLK),[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
21,PT10M34.00S,2023-11-01T23:12:40.9Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612761,3,0,2023-11-01T23:12:44Z,210000,False,,,0,,J. Poeltl REBOUND (Off:0 Def:1),[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,Mid-Range,8-16 Left,,,,,19.0,1.0,1.0,0.0,,,,,,,,,,,,
22,PT10M30.00S,2023-11-01T23:12:45.0Z,1,REGULAR,turnover,bad pass,[],1630567,,,1610612761,3,0,2023-11-01T23:12:51Z,220000,False,,,0,,S. Barnes bad pass TURNOVER (1 TO),"[1630567, 1627736]",1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Right Center,,1.0,,,,,,,,,,,,,Beasley,1627736.0,,,,
23,PT10M30.00S,2023-11-01T23:12:45.0Z,1,REGULAR,steal,,[],1627736,,,1610612749,3,0,2023-11-01T23:16:37Z,230000,False,,,0,,M. Beasley STEAL (1 STL),[1627736],1610612749.0,MIL,,,,Beasley,M. Beasley,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
24,PT10M24.00S,2023-11-01T23:12:51.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",203507,88.51839684625493,50.49019607843137,1610612749,3,0,2023-11-01T23:16:22Z,240000,False,2.0,55.0,1,right,MISS G. Antetokounmpo driving floating Shot,[203507],1610612749.0,MIL,driving floating,,,Antetokounmpo,G. Antetokounmpo,,,,,In The Paint (Non-RA),0-8 Center,,,5.55,Missed,,,,,,,,,,,,,,,,
25,PT10M20.00S,2023-11-01T23:12:55.2Z,1,REGULAR,rebound,offensive,[],203507,,,1610612749,3,0,2023-11-01T23:15:22Z,250000,False,,,0,,G. Antetokounmpo REBOUND (Off:1 Def:0),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,In The Paint (Non-RA),0-8 Center,,,,,24.0,1.0,0.0,1.0,,,,,,,,,,,,
26,PT10M20.00S,2023-11-01T23:12:55.0Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint', 'fromturnover']",203507,91.93495400788436,52.20588235294118,1610612749,3,0,2023-11-01T23:17:03Z,260000,False,11.0,23.0,1,right,MISS G. Antetokounmpo putback Layup,[203507],1610612749.0,MIL,putback,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,,,2.58,Missed,,,,,,,,,,,,,,,,
27,PT10M19.00S,2023-11-01T23:12:56.0Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612761,3,0,2023-11-01T23:15:34Z,270000,False,,,0,,J. Poeltl REBOUND (Off:0 Def:2),[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,,,,,26.0,2.0,2.0,0.0,,,,,,,,,,,,
