actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-12-14T00:40:39.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-12-14T00:40:39Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2023-12-14T00:40:41.1Z,1,REGULAR,jumpball,recovered,[],203471,,,1610612761,0,0,2023-12-14T00:40:41Z,40000,False,,,0,,Jump Ball J. Poeltl vs. C. Capela: Tip to D. Schroder,"[203471, 1627751, 203991]",1610612761.0,TOR,startperiod,D. Schroder,203471.0,Schroder,D. Schroder,Poeltl,1627751.0,Capela,203991.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2023-12-14T00:40:55.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'defensivegoaltending']",1630567,93.9060446780552,54.41176470588235,1610612761,2,0,2023-12-14T00:41:08Z,70000,False,22.0,5.0,1,right,S. Barnes driving Layup (2 PTS),[1630567],1610612761.0,TOR,driving,,,Barnes,S. Barnes,,,,,Restricted Area,0-8 Center,2.26,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2023-12-14T00:41:00.4Z,1,REGULAR,violation,defensive goaltending,[],203991,,,1610612761,2,0,2023-12-14T00:41:08Z,80000,False,,,0,,C. Capela defensive goaltending VIOLATION,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,1204.0,,,,,,,,,,,,,,,,
9,PT11M29.00S,2023-12-14T00:41:22.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629027,16.770696452036795,39.950980392156865,1610612737,2,0,2023-12-14T00:41:28Z,90000,False,50.0,105.0,1,left,MISS T. Young 11' driving floating Shot,[1629027],1610612737.0,ATL,driving floating,,,Young,T. Young,,,,,In The Paint (Non-RA),8-16 Center,11.65,Missed,,,,,,,,,,,,,,,,,,
10,PT11M27.00S,2023-12-14T00:41:24.9Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,2,0,2023-12-14T00:41:28Z,100000,False,,,0,,S. Barnes REBOUND (Off:0 Def:1),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,In The Paint (Non-RA),8-16 Center,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,
11,PT11M23.00S,2023-12-14T00:41:28.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627783,94.95729303547962,44.85294117647059,1610612761,2,0,2023-12-14T00:41:35Z,110000,False,-26.0,-5.0,1,right,MISS P. Siakam running Layup,[1627783],1610612761.0,TOR,running,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,2.62,Missed,,,,,,,,,,,,,,,,,,
12,PT11M22.00S,2023-12-14T00:41:29.9Z,1,REGULAR,rebound,offensive,[],1630567,,,1610612761,2,0,2023-12-14T00:42:07Z,120000,False,,,0,,S. Barnes REBOUND (Off:1 Def:1),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Restricted Area,0-8 Center,,,,,11.0,2.0,1.0,1.0,,,,,,,,,,,,
13,PT11M21.00S,2023-12-14T00:41:32.0Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'fastbreak', 'pointsinthepaint']",1630567,94.40999984741211,50.0,1610612761,4,0,2023-12-14T00:42:13Z,130000,False,0.0,0.0,1,right,S. Barnes putback DUNK (4 PTS),[1630567],1610612761.0,TOR,putback,,,Barnes,S. Barnes,,,,,Restricted Area,0-8 Center,0.0,Made,4.0,,,,,,,,,,,,,,,,,
14,PT11M05.00S,2023-12-14T00:41:46.5Z,1,REGULAR,3pt,Jump Shot,[],1630180,28.07161629434954,18.627450980392158,1610612737,4,0,2023-12-14T00:41:51Z,140000,False,157.0,211.0,1,left,MISS S. Bey 26' step back 3PT,[1630180],1610612737.0,ATL,step back,,,Bey,S. Bey,,,,,Above the Break 3,24+ Right Center,26.33,Missed,,,,,,,,,,,,,,,,,,
