actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2023-10-30T23:40:38.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-10-30T23:40:38Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-10-30T23:40:40.3Z,1,REGULAR,jumpball,recovered,[],1630703,,,1610612757,0,0,2023-10-30T23:40:40Z,40000,False,,,0,,Jump Ball D. Ayton vs. J. Poeltl: Tip to S. Henderson,"[1630703, 1629028, 1627751]",1610612757.0,POR,startperiod,S. Henderson,1630703.0,Henderson,S. Henderson,Ayton,1629028.0,Poeltl,1627751.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2023-10-30T23:40:58.1Z,1,REGULAR,3pt,Jump Shot,[],203924,5.338370565045992,94.11764705882352,1610612757,0,0,2023-10-30T23:41:04Z,70000,False,-221.0,-2.0,1,left,MISS J. Grant 3PT,[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,Left Corner 3,24+ Left,22.06,Missed,,,,,,,,,,,,,,,,,,
8,PT11M36.00S,2023-10-30T23:41:00.1Z,1,REGULAR,rebound,offensive,[],1629028,,,1610612757,0,0,2023-10-30T23:41:04Z,80000,False,,,0,,D. Ayton REBOUND (Off:1 Def:0),[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,Left Corner 3,24+ Left,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M35.00S,2023-10-30T23:41:02.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629028,5.732588699080158,50.0,1610612757,0,0,2023-10-30T23:42:26Z,90000,False,0.0,1.0,1,left,MISS D. Ayton putback Layup - blocked,"[1629028, 1630567]",1610612757.0,POR,putback,,,Ayton,D. Ayton,,,,,Restricted Area,0-8 Center,0.14,Missed,,,,,Barnes,1630567.0,,,,,,,,,,,,
10,PT11M35.00S,2023-10-30T23:41:02.5Z,1,REGULAR,block,,[],1630567,,,1610612757,0,0,2023-10-30T23:41:05Z,100000,False,,,0,,S. Barnes BLOCK (1 BLK),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M35.00S,2023-10-30T23:41:02.5Z,1,REGULAR,rebound,defensive,[],203471,,,1610612761,0,0,2023-10-30T23:41:09Z,110000,False,,,0,,D. Schroder REBOUND (Off:0 Def:1),[203471],1610612761.0,TOR,,,,Schroder,D. Schroder,,,,,Restricted Area,0-8 Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M27.00S,2023-10-30T23:41:09.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627783,91.5407358738502,60.5392156862745,1610612761,2,0,2023-10-30T23:41:18Z,120000,False,53.0,27.0,1,right,P. Siakam turnaround Jump Shot (2 PTS),[1627783],1610612761.0,TOR,turnaround,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),0-8 Center,5.92,Made,,,,,,,2.0,,,,,,,,,,,
13,PT11M07.00S,2023-10-30T23:41:30.1Z,1,REGULAR,turnover,lost ball,[],1631101,,,1610612757,2,0,2023-10-30T23:41:36Z,130000,False,,,0,,S. Sharpe lost ball TURNOVER (1 TO),"[1631101, 1630567]",1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,Above the Break 3,24+ Center,,,,,,,,,,1.0,Barnes,1630567.0,,,,,,,,
14,PT11M07.00S,2023-10-30T23:41:30.1Z,1,REGULAR,steal,,[],1630567,,,1610612761,2,0,2023-10-30T23:41:32Z,140000,False,,,0,,S. Barnes STEAL (1 STL),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
15,PT11M04.00S,2023-10-30T23:41:33.1Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630567,94.03745072273325,49.50980392156863,1610612761,4,0,2023-10-30T23:41:42Z,150000,False,-2.0,4.0,1,right,S. Barnes running DUNK (2 PTS),[1630567],1610612761.0,TOR,running,,,Barnes,S. Barnes,,,,,Restricted Area,0-8 Center,0.43,Made,,,,,,,2.0,,,,,,,,,,,
16,PT11M00.00S,2023-10-30T23:41:39.4Z,1,REGULAR,foul,personal,[],203471,,,1610612757,4,0,2023-10-30T23:44:00Z,160000,False,,,0,,D. Schroder personal FOUL (1 PF),"[203471, 1630703]",1610612761.0,TOR,,,,Schroder,D. Schroder,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,101283.0,1.0,0.0,Henderson,1630703.0,,,
18,PT10M52.00S,2023-10-30T23:42:01.0Z,1,REGULAR,2pt,Jump Shot,[],1630703,18.478975032851512,24.264705882352942,1610612757,4,2,2023-10-30T23:42:07Z,180000,False,129.0,121.0,1,left,S. Henderson 17' pullup Jump Shot (2 PTS),[1630703],1610612757.0,POR,pullup,,,Henderson,S. Henderson,,,,,Mid-Range,16-24 Right Center,17.68,Made,,,,,,,2.0,,,,,,,,,,,
20,PT10M44.00S,2023-10-30T23:42:34.3Z,1,REGULAR,2pt,Jump Shot,[],1628384,91.14651773981603,77.20588235294117,1610612761,6,2,2023-10-30T23:42:41Z,200000,False,136.0,31.0,1,right,O. Anunoby 13' Jump Shot (2 PTS) (D. Schroder 1 AST),"[1628384, 203471]",1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,Mid-Range,8-16 Right,13.94,Made,,,,,,,2.0,,,,,,,,,D. Schroder,203471.0,1.0
22,PT10M26.00S,2023-10-30T23:42:50.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630703,4.5499342969776615,43.872549019607845,1610612757,6,2,2023-10-30T23:42:56Z,220000,False,31.0,-10.0,1,left,MISS S. Henderson driving finger roll Layup - blocked,"[1630703, 1627751]",1610612757.0,POR,driving finger roll,,,Henderson,S. Henderson,,,,,Restricted Area,0-8 Center,3.21,Missed,,,,,Poeltl,1627751.0,,,,,,,,,,,,
23,PT10M26.00S,2023-10-30T23:42:50.9Z,1,REGULAR,block,,[],1627751,,,1610612757,6,2,2023-10-30T23:42:53Z,230000,False,,,0,,J. Poeltl BLOCK (1 BLK),[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
24,PT10M24.00S,2023-10-30T23:42:52.9Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,6,2,2023-10-30T23:42:56Z,240000,False,,,0,,S. Barnes REBOUND (Off:0 Def:1),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Restricted Area,0-8 Center,,,22.0,1.0,1.0,0.0,,,,,,,,,,,,,,
25,PT10M22.00S,2023-10-30T23:42:56.1Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1627783,94.30026281208936,50.0,1610612761,8,2,2023-10-30T23:43:02Z,250000,False,0.0,1.0,1,right,P. Siakam running DUNK (4 PTS) (D. Schroder 2 AST),"[1627783, 203471]",1610612761.0,TOR,running,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,0.11,Made,,,,,,,4.0,,,,,,,,,D. Schroder,203471.0,2.0
