actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-04-07T22:10:43.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-04-07T22:10:43Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-04-07T22:10:46.4Z,1,REGULAR,jumpball,recovered,[],203482,,,1610612761,0,0,2024-04-07T22:10:46Z,40000,False,,,0,,Jump Ball K. Olynyk vs. T. Vukcevic: Tip to K. Olynyk,"[203482, 203482, 1641774]",1610612761.0,TOR,startperiod,K. Olynyk,203482.0,Olynyk,K. Olynyk,Olynyk,203482.0,Vukcevic,1641774.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2024-04-07T22:11:00.2Z,1,REGULAR,2pt,Jump Shot,[],1630193,94.82588699080158,77.45098039215686,1610612761,2,0,2024-04-07T22:11:04Z,70000,False,137.0,-4.0,1,right,I. Quickley 13' step back Jump Shot (2 PTS),[1630193],1610612761.0,TOR,step back,,,Quickley,I. Quickley,,,,,Mid-Range,8-16 Right,13.74,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M26.00S,2024-04-07T22:11:20.0Z,1,REGULAR,foul,personal,[],1630534,,,1610612764,2,0,2024-04-07T22:11:29Z,80000,False,,,0,,O. Agbaji personal FOUL (1 PF),"[1630534, 1631098]",1610612761.0,TOR,,,,Agbaji,O. Agbaji,,,,,In The Paint (Non-RA),8-16 Center,,,,1148.0,1.0,0.0,Davis,1631098.0,,,,,,,,,,,,
10,PT11M21.00S,2024-04-07T22:11:40.5Z,1,REGULAR,turnover,out-of-bounds,[],1630557,,,1610612764,2,0,2024-04-07T22:11:47Z,100000,False,,,0,,C. Kispert lost ball out-of-bounds TURNOVER (1 TO),[1630557],1610612764.0,WAS,lost ball,,,Kispert,C. Kispert,,,,,Restricted Area,0-8 Center,,,,1627519.0,,,,,1.0,,,,,,,,,,,
11,PT11M09.00S,2024-04-07T22:11:53.8Z,1,REGULAR,turnover,bad pass,[],203482,,,1610612761,2,0,2024-04-07T22:11:57Z,110000,False,,,0,,K. Olynyk bad pass TURNOVER (1 TO),"[203482, 1629673]",1610612761.0,TOR,,,,Olynyk,K. Olynyk,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,1.0,Poole,1629673.0,,,,,,,,,
12,PT11M09.00S,2024-04-07T22:11:53.8Z,1,REGULAR,steal,,[],1629673,,,1610612764,2,0,2024-04-07T22:11:56Z,120000,False,,,0,,J. Poole STEAL (1 STL),[1629673],1610612764.0,WAS,,,,Poole,J. Poole,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
13,PT10M53.00S,2024-04-07T22:12:09.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630166,32.802233902759525,47.794117647058826,1610612764,2,3,2024-04-07T22:12:14Z,130000,False,11.0,256.0,1,left,D. Avdija 25' 3PT  (3 PTS) (J. Poole 1 AST),"[1630166, 1629673]",1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,Above the Break 3,24+ Center,25.6,Made,3.0,,,,,,,,,J. Poole,1629673.0,1.0,,,,,,
15,PT10M38.00S,2024-04-07T22:12:24.5Z,1,REGULAR,3pt,Jump Shot,[],1630534,68.67608409986859,73.0392156862745,1610612761,2,3,2024-04-07T22:12:28Z,150000,False,115.0,242.0,1,right,MISS O. Agbaji 26' 3PT,[1630534],1610612761.0,TOR,,,,Agbaji,O. Agbaji,,,,,Above the Break 3,24+ Right Center,26.79,Missed,,,,,,,,,,,,,,,,,,
16,PT10M35.00S,2024-04-07T22:12:27.5Z,1,REGULAR,rebound,defensive,[],1641774,,,1610612764,2,3,2024-04-07T22:12:28Z,160000,False,,,0,,T. Vukcevic REBOUND (Off:0 Def:1),[1641774],1610612764.0,WAS,,,,Vukcevic,T. Vukcevic,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,15.0,1.0,1.0,0.0,,
17,PT10M26.00S,2024-04-07T22:12:36.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630557,18.610381077529567,43.38235294117647,1610612764,2,3,2024-04-07T22:12:40Z,170000,False,33.0,122.0,1,left,MISS C. Kispert 12' driving floating bank Shot,[1630557],1610612764.0,WAS,driving floating bank,,,Kispert,C. Kispert,,,,,In The Paint (Non-RA),8-16 Center,12.68,Missed,,,,,,,,,,,,,,,,,,
18,PT10M23.00S,2024-04-07T22:12:39.4Z,1,REGULAR,rebound,defensive,[],203482,,,1610612761,2,3,2024-04-07T22:12:40Z,180000,False,,,0,,K. Olynyk REBOUND (Off:0 Def:1),[203482],1610612761.0,TOR,,,,Olynyk,K. Olynyk,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,17.0,1.0,1.0,0.0,,
19,PT10M17.00S,2024-04-07T22:12:46.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629018,90.75229960578186,45.09803921568628,1610612761,4,3,2024-04-07T22:12:51Z,190000,False,-25.0,34.0,1,right,G. Trent Jr. running Layup (2 PTS),[1629018],1610612761.0,TOR,running,,,Trent Jr.,G. Trent Jr.,,,,,Restricted Area,0-8 Center,4.22,Made,2.0,,,,,,,,,,,,,,,,,
20,PT10M01.00S,2024-04-07T22:13:02.1Z,1,REGULAR,turnover,bad pass,[],1641774,,,1610612764,4,3,2024-04-07T22:13:07Z,200000,False,,,0,,T. Vukcevic bad pass TURNOVER (1 TO),"[1641774, 1629018]",1610612764.0,WAS,,,,Vukcevic,T. Vukcevic,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,1.0,Trent Jr.,1629018.0,,,,,,,,,
21,PT10M01.00S,2024-04-07T22:13:02.1Z,1,REGULAR,steal,,[],1629018,,,1610612761,4,3,2024-04-07T22:13:04Z,210000,False,,,0,,G. Trent Jr. STEAL (1 STL),[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
22,PT09M57.00S,2024-04-07T22:13:07.1Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630534,94.1688567674113,49.26470588235294,1610612761,6,3,2024-04-07T22:13:12Z,220000,False,-4.0,2.0,1,right,O. Agbaji running DUNK (2 PTS) (G. Trent Jr. 1 AST),"[1630534, 1629018]",1610612761.0,TOR,running,,,Agbaji,O. Agbaji,,,,,Restricted Area,0-8 Center,0.44,Made,2.0,,,,,,,,,G. Trent Jr.,1629018.0,1.0,,,,,,
24,PT09M57.00S,2024-04-07T22:13:11.4Z,1,REGULAR,foul,personal,['1freethrow'],1629673,,,1610612761,6,3,2024-04-07T22:13:23Z,240000,False,,,0,,J. Poole shooting personal FOUL (1 PF) (Agbaji 1 FT),"[1629673, 1630534]",1610612764.0,WAS,shooting,,,Poole,J. Poole,,,,,Restricted Area,0-8 Center,,,,202035.0,1.0,0.0,Agbaji,1630534.0,,,,,,,,,,,,
26,PT09M57.00S,2024-04-07T22:13:33.8Z,1,REGULAR,freethrow,1 of 1,"['fromturnover', 'fastbreak']",1630534,,,1610612761,7,3,2024-04-07T22:13:33Z,260000,False,,,0,,O. Agbaji Free Throw 1 of 1 (3 PTS),[1630534],1610612761.0,TOR,,,,Agbaji,O. Agbaji,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
52,PT09M39.00S,2024-04-07T22:13:43.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630166,13.485545335085414,48.77450980392157,1610612764,7,3,2024-04-07T22:16:46Z,265000,False,6.0,74.0,1,left,MISS D. Avdija 7' driving floating Shot - blocked,"[1630166, 1629628]",1610612764.0,WAS,driving floating,,,Avdija,D. Avdija,,,,,In The Paint (Non-RA),0-8 Center,7.45,Missed,,,,,,,,,,,,,,,,,Barrett,1629628.0
53,PT09M39.00S,2024-04-07T22:13:43.3Z,1,REGULAR,block,,[],1629628,,,1610612764,7,3,2024-04-07T22:16:46Z,267500,False,,,0,,R. Barrett BLOCK (1 BLK),[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
54,PT09M37.00S,2024-04-07T22:13:45.3Z,1,REGULAR,rebound,defensive,[],1630193,,,1610612761,7,3,2024-04-07T22:17:00Z,268750,False,,,0,,I. Quickley REBOUND (Off:0 Def:1),[1630193],1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,52.0,1.0,1.0,0.0,,
