actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-01-16T00:40:43.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-16T00:40:43Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2024-01-16T00:40:45.2Z,1,REGULAR,jumpball,recovered,[],1628401,,,1610612738,0,0,2024-01-16T00:40:45Z,40000,False,,,0,,Jump Ball K. Porzingis vs. S. Barnes: Tip to D. White,"[1628401, 204001, 1630567]",1610612738.0,BOS,startperiod,D. White,1628401.0,White,D. White,Porzingis,204001.0,Barnes,1630567.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2024-01-16T00:40:59.9Z,1,REGULAR,2pt,Jump Shot,[],201950,23.47240473061761,49.50980392156863,1610612738,0,0,2024-01-16T00:41:06Z,70000,False,2.0,168.0,1,left,MISS J. Holiday 16' pullup Shot,[201950],1610612738.0,BOS,pullup,,,Holiday,J. Holiday,,,,,Mid-Range,16-24 Center,16.81,Missed,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2024-01-16T00:41:01.9Z,1,REGULAR,rebound,defensive,[],1629007,,,1610612761,0,0,2024-01-16T00:41:06Z,80000,False,,,0,,J. Porter REBOUND (Off:0 Def:1),[1629007],1610612761.0,TOR,,,,Porter,J. Porter,,,,,Mid-Range,16-24 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M35.00S,2024-01-16T00:41:07.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629628,72.09264126149803,19.607843137254903,1610612761,0,0,2024-01-16T00:41:15Z,90000,False,-152.0,210.0,1,right,MISS R. Barrett 25' running 3PT,[1629628],1610612761.0,TOR,running,,,Barrett,R. Barrett,,,,,Above the Break 3,24+ Left Center,25.91,Missed,,,,,,,,,,,,,,,,,,
10,PT11M32.00S,2024-01-16T00:41:10.6Z,1,REGULAR,rebound,offensive,[],1630567,,,1610612761,0,0,2024-01-16T00:41:10Z,100000,False,,,0,,S. Barnes REBOUND (Off:1 Def:0),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Left Center,,,9.0,1.0,0.0,1.0,,,,,,,,,,,,,,
11,PT11M23.00S,2024-01-16T00:41:19.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1630193,87.72996057818659,48.77450980392157,1610612761,0,0,2024-01-16T00:41:28Z,110000,False,-6.0,63.0,1,right,MISS I. Quickley 6' driving floating Shot - blocked,"[1630193, 201950]",1610612761.0,TOR,driving floating,,,Quickley,I. Quickley,,,,,In The Paint (Non-RA),0-8 Center,6.31,Missed,,,,,Holiday,201950.0,,,,,,,,,,,,
12,PT11M23.00S,2024-01-16T00:41:19.8Z,1,REGULAR,block,,[],201950,,,1610612761,0,0,2024-01-16T00:41:22Z,120000,False,,,0,,J. Holiday BLOCK (1 BLK),[201950],1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
13,PT11M23.00S,2024-01-16T00:41:19.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612761,0,0,2024-01-16T00:41:28Z,130000,False,,,0,,TEAM offensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,11.0,,,,,,,,,,,,,,,,,
15,PT11M18.00S,2024-01-16T00:41:40.5Z,1,REGULAR,turnover,lost ball,[],1630567,,,1610612761,0,0,2024-01-16T00:41:44Z,150000,False,,,0,,S. Barnes lost ball TURNOVER (1 TO),"[1630567, 201950]",1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Mid-Range,16-24 Left Center,,,,,,,,,1.0,Holiday,201950.0,,,,,,,,,
