actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
18,PT10M36.00S,2024-02-29T00:42:21.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629023,26.49474375821288,19.362745098039216,1610612742,6,5,2024-02-29T00:42:27Z,180000,False,153.0,197.0,1,left,P. Washington 24' 3PT running (3 PTS) (L. Doncic 1 AST),"[1629023, 1629029]",1610612742.0,DAL,running,,,Washington,P. Washington,,,,,Above the Break 3,24+ Right Center,,,24.92,Made,3.0,L. Doncic,1629029.0,1.0,,,,,,,,,,,,
20,PT10M26.00S,2024-02-29T00:42:32.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630567,90.3580814717477,52.69607843137255,1610612761,6,5,2024-02-29T00:43:55Z,200000,False,13.0,38.0,1,right,MISS S. Barnes driving floating Shot - blocked,"[1630567, 1641726]",1610612761.0,TOR,driving floating,,,Barnes,S. Barnes,,,,,Restricted Area,0-8 Center,,,4.04,Missed,,,,,,,,,Lively II,1641726.0,,,,,,
21,PT10M26.00S,2024-02-29T00:42:32.5Z,1,REGULAR,block,,[],1641726,,,1610612761,6,5,2024-02-29T00:42:35Z,210000,False,,,0,,D. Lively II BLOCK (1 BLK),[1641726],1610612742.0,DAL,,,,Lively II,D. Lively II,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
22,PT10M25.00S,2024-02-29T00:42:33.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612761,6,5,2024-02-29T00:43:07Z,220000,False,,,0,,TEAM offensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,20.0,,,,,,,,,,,
24,PT10M20.00S,2024-02-29T00:42:55.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629628,94.56307490144546,53.431372549019606,1610612761,8,5,2024-02-29T00:42:59Z,240000,False,17.0,-1.0,1,right,R. Barrett cutting Layup (5 PTS) (S. Barnes 1 AST),"[1629628, 1630567]",1610612761.0,TOR,cutting,,,Barrett,R. Barrett,,,,,Restricted Area,0-8 Center,,,1.73,Made,5.0,S. Barnes,1630567.0,1.0,,,,,,,,,,,,
26,PT10M10.00S,2024-02-29T00:43:06.0Z,1,REGULAR,3pt,Jump Shot,[],1629023,26.10052562417871,85.29411764705883,1610612742,8,8,2024-02-29T00:43:11Z,260000,False,-176.0,193.0,1,left,P. Washington 26' 3PT  (6 PTS) (L. Doncic 2 AST),"[1629023, 1629029]",1610612742.0,DAL,,,,Washington,P. Washington,,,,,Above the Break 3,24+ Left Center,,,26.14,Made,6.0,L. Doncic,1629029.0,2.0,,,,,,,,,,,,
28,PT09M50.00S,2024-02-29T00:43:26.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627751,93.9060446780552,59.80392156862745,1610612761,10,8,2024-02-29T00:43:31Z,280000,False,49.0,5.0,1,right,J. Poeltl turnaround bank Jump Shot (2 PTS),[1627751],1610612761.0,TOR,turnaround bank,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),0-8 Center,,,4.92,Made,2.0,,,,,,,,,,,,,,,
29,PT09M28.00S,2024-02-29T00:43:48.4Z,1,REGULAR,3pt,Jump Shot,[],1629029,23.209592641261498,91.66666666666666,1610612742,10,8,2024-02-29T00:43:52Z,290000,False,-208.0,166.0,1,left,MISS L. Doncic 26' step back 3PT,[1629029],1610612742.0,DAL,step back,,,Doncic,L. Doncic,,,,,Above the Break 3,24+ Left Center,,,26.62,Missed,,,,,,,,,,,,,,,,
30,PT09M26.00S,2024-02-29T00:43:50.4Z,1,REGULAR,rebound,defensive,[],1630193,,,1610612761,10,8,2024-02-29T00:43:52Z,300000,False,,,0,,I. Quickley REBOUND (Off:0 Def:1),[1630193],1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,Above the Break 3,24+ Left Center,,,,,,,,,29.0,1.0,1.0,0.0,,,,,,,,
31,PT09M24.00S,2024-02-29T00:43:54.6Z,1,REGULAR,foul,personal,['2freethrow'],1629023,,,1610612761,10,8,2024-02-29T00:44:10Z,310000,False,,,0,,P. Washington shooting personal FOUL (1 PF) (Barrett 2 FT),"[1629023, 1629628]",1610612742.0,DAL,shooting,,,Washington,P. Washington,,,,,Restricted Area,0-8 Center,202056.0,,,,,,,,,,,,,,1.0,0.0,Barrett,1629628.0,,
