actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-03-31T22:10:26.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-31T22:10:26Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2024-03-31T22:10:28.4Z,1,REGULAR,jumpball,recovered,[],1631241,,,1610612761,0,0,2024-03-31T22:10:28Z,40000,False,,,0,,Jump Ball K. Olynyk vs. M. Bamba: Tip to J. Freeman-Liberty,"[1631241, 203482, 1628964]",1610612761.0,TOR,startperiod,J. Freeman-Liberty,1631241.0,Freeman-Liberty,J. Freeman-Liberty,Olynyk,203482.0,Bamba,1628964.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M33.00S,2024-03-31T22:10:52.5Z,1,REGULAR,2pt,Jump Shot,[],1641711,95.3515111695138,17.15686274509804,1610612761,0,0,2024-03-31T22:10:57Z,70000,False,-164.0,-9.0,1,right,MISS G. Dick 16' pullup Shot,[1641711],1610612761.0,TOR,pullup,,,Dick,G. Dick,,,,,Mid-Range,16-24 Left,16.44,Missed,,,,,,,,,,,,,,,,,,
8,PT11M31.00S,2024-03-31T22:10:55.4Z,1,REGULAR,rebound,defensive,[],202699,,,1610612755,0,0,2024-03-31T22:10:55Z,80000,False,,,0,,T. Harris REBOUND (Off:0 Def:1),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Mid-Range,16-24 Left,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M21.00S,2024-03-31T22:11:05.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628964,7.046649145860711,48.529411764705884,1610612755,0,2,2024-03-31T22:11:09Z,90000,False,7.0,14.0,1,left,M. Bamba alley-oop DUNK (2 PTS) (K. Lowry 1 AST),"[1628964, 200768]",1610612755.0,PHI,alley-oop,,,Bamba,M. Bamba,,,,,Restricted Area,0-8 Center,1.56,Made,,,,,2.0,K. Lowry,200768.0,1.0,,,,,,,,,,
11,PT10M59.00S,2024-03-31T22:11:28.7Z,1,REGULAR,turnover,out-of-bounds,[],1628971,,,1610612761,0,2,2024-03-31T22:11:34Z,110000,False,,,0,,B. Brown bad pass out-of-bounds TURNOVER (1 TO),[1628971],1610612761.0,TOR,bad pass,,,Brown,B. Brown,,,,,Above the Break 3,24+ Center,,,,,,,,,,,1199.0,1.0,,,,,,,,
12,PT10M44.00S,2024-03-31T22:11:47.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626166,23.078186596583443,10.53921568627451,1610612755,0,5,2024-03-31T22:11:52Z,120000,False,197.0,164.0,1,left,C. Payne 25' 3PT pullup (3 PTS),[1626166],1610612755.0,PHI,pullup,,,Payne,C. Payne,,,,,Above the Break 3,24+ Right Center,25.68,Made,,,,,3.0,,,,,,,,,,,,,
13,PT10M28.00S,2024-03-31T22:12:02.9Z,1,REGULAR,2pt,Jump Shot,[],203482,78.79434954007884,30.14705882352941,1610612761,2,5,2024-03-31T22:12:06Z,130000,False,-99.0,147.0,1,right,K. Olynyk 17' step back Jump Shot (2 PTS),[203482],1610612761.0,TOR,step back,,,Olynyk,K. Olynyk,,,,,Mid-Range,16-24 Left Center,17.72,Made,,,,,2.0,,,,,,,,,,,,,
14,PT10M14.00S,2024-03-31T22:12:16.3Z,1,REGULAR,3pt,Jump Shot,[],202699,30.305519053876477,72.30392156862744,1610612755,2,5,2024-03-31T22:12:22Z,140000,False,-112.0,232.0,1,left,MISS T. Harris 25' 3PT,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Above the Break 3,24+ Left Center,25.78,Missed,,,,,,,,,,,,,,,,,,
15,PT10M11.00S,2024-03-31T22:12:19.3Z,1,REGULAR,rebound,defensive,[],1631241,,,1610612761,2,5,2024-03-31T22:12:22Z,150000,False,,,0,,J. Freeman-Liberty REBOUND (Off:0 Def:1),[1631241],1610612761.0,TOR,,,,Freeman-Liberty,J. Freeman-Liberty,,,,,Above the Break 3,24+ Left Center,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,
