actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal
2,PT12M00.00S,2024-03-27T23:40:27.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-27T23:40:27Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-03-27T23:40:29.3Z,1,REGULAR,jumpball,recovered,[],1628973,,,1610612752,0,0,2024-03-27T23:40:29Z,40000,False,,,0,,Jump Ball I. Hartenstein vs. K. Olynyk: Tip to J. Brunson,"[1628973, 1628392, 203482]",1610612752.0,NYK,startperiod,J. Brunson,1628973.0,Brunson,J. Brunson,Hartenstein,1628392.0,Olynyk,203482.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M36.00S,2024-03-27T23:40:50.0Z,1,REGULAR,3pt,Jump Shot,[],1630540,5.601182654402102,95.09803921568627,1610612752,0,3,2024-03-27T23:41:47Z,70000,False,-225.0,0.0,1,left,M. McBride 3PT pullup (3 PTS),[1630540],1610612752.0,NYK,pullup,,,McBride,M. McBride,,,,,Left Corner 3,24+ Left,22.55,Made,3.0,,,,,,,,,,,,,,,,,
8,PT11M22.00S,2024-03-27T23:41:06.6Z,1,REGULAR,foul,personal,[],1628392,,,1610612761,0,3,2024-03-27T23:41:23Z,80000,False,,,0,,I. Hartenstein personal FOUL (1 PF),"[1628392, 203482]",1610612752.0,NYK,,,,Hartenstein,I. Hartenstein,,,,,In The Paint (Non-RA),8-16 Center,,,,2534.0,1.0,0.0,Olynyk,203482.0,,,,,,,,,,,,
10,PT11M16.00S,2024-03-27T23:41:31.9Z,1,REGULAR,turnover,out-of-bounds,[],1630534,,,1610612761,0,3,2024-03-27T23:41:40Z,100000,False,,,0,,O. Agbaji lost ball out-of-bounds TURNOVER (1 TO),[1630534],1610612761.0,TOR,lost ball,,,Agbaji,O. Agbaji,,,,,In The Paint (Non-RA),0-8 Center,,,,1627964.0,,,,,1.0,,,,,,,,,,,
11,PT10M57.00S,2024-03-27T23:41:54.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628392,6.521024967148489,52.450980392156865,1610612752,0,5,2024-03-27T23:42:02Z,110000,False,-12.0,9.0,1,left,I. Hartenstein driving Layup (2 PTS) (J. Brunson 1 AST),"[1628392, 1628973]",1610612752.0,NYK,driving,,,Hartenstein,I. Hartenstein,,,,,Restricted Area,0-8 Center,1.51,Made,2.0,,,,,,,J. Brunson,1628973.0,1.0,,,,,,,,
13,PT10M57.00S,2024-03-27T23:41:57.4Z,1,REGULAR,foul,personal,['1freethrow'],203482,,,1610612752,0,5,2024-03-27T23:42:03Z,130000,False,,,0,,K. Olynyk shooting personal FOUL (1 PF) (Hartenstein 1 FT),"[203482, 1628392]",1610612761.0,TOR,shooting,,,Olynyk,K. Olynyk,,,,,Restricted Area,0-8 Center,,,,2534.0,1.0,0.0,Hartenstein,1628392.0,,,,,,,,,,,,
15,PT10M57.00S,2024-03-27T23:42:17.5Z,1,REGULAR,freethrow,1 of 1,['fromturnover'],1628392,,,1610612752,0,6,2024-03-27T23:42:17Z,150000,False,,,0,,I. Hartenstein Free Throw 1 of 1 (3 PTS),[1628392],1610612752.0,NYK,,,,Hartenstein,I. Hartenstein,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
16,PT10M38.00S,2024-03-27T23:42:37.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629018,88.38699080157687,42.8921568627451,1610612761,2,6,2024-03-27T23:42:45Z,160000,False,-36.0,57.0,1,right,G. Trent Jr. 6' driving floating Jump Shot (2 PTS),[1629018],1610612761.0,TOR,driving floating,,,Trent Jr.,G. Trent Jr.,,,,,In The Paint (Non-RA),0-8 Center,6.69,Made,2.0,,,,,,,,,,,,,,,,,
17,PT10M16.00S,2024-03-27T23:42:59.9Z,1,REGULAR,3pt,Jump Shot,[],1630540,5.732588699080158,3.431372549019608,1610612752,2,9,2024-03-27T23:43:04Z,170000,False,233.0,1.0,1,left,M. McBride 3PT  (6 PTS) (J. Brunson 2 AST),"[1630540, 1628973]",1610612752.0,NYK,,,,McBride,M. McBride,,,,,Right Corner 3,24+ Right,23.28,Made,6.0,,,,,,,J. Brunson,1628973.0,2.0,,,,,,,,
19,PT10M03.00S,2024-03-27T23:43:12.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629018,92.32917214191852,37.99019607843137,1610612761,2,9,2024-03-27T23:43:25Z,190000,False,-60.0,20.0,1,right,MISS G. Trent Jr. 6' turnaround bank Shot,[1629018],1610612761.0,TOR,turnaround bank,,,Trent Jr.,G. Trent Jr.,,,,,In The Paint (Non-RA),0-8 Center,6.31,Missed,,,,,,,,,,,,,,,,,,
20,PT10M02.00S,2024-03-27T23:43:13.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612761,2,9,2024-03-27T23:43:25Z,200000,False,,,0,,TEAM offensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,19.0,,,,,,,
22,PT10M00.00S,2024-03-27T23:43:31.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1641711,94.1688567674113,4.6568627450980395,1610612761,5,9,2024-03-27T23:43:37Z,220000,False,-227.0,2.0,1,right,G. Dick 3PT  (3 PTS) (G. Trent Jr. 1 AST),"[1641711, 1629018]",1610612761.0,TOR,,,,Dick,G. Dick,,,,,Left Corner 3,24+ Left,22.67,Made,3.0,,,,,,,G. Trent Jr.,1629018.0,1.0,,,,,,,,
24,PT09M43.00S,2024-03-27T23:43:48.0Z,1,REGULAR,3pt,Jump Shot,[],1630540,25.969119579500656,82.59803921568627,1610612752,5,12,2024-03-27T23:43:52Z,240000,False,-163.0,192.0,1,left,M. McBride 25' 3PT  (9 PTS) (J. Hart 1 AST),"[1630540, 1628404]",1610612752.0,NYK,,,,McBride,M. McBride,,,,,Above the Break 3,24+ Left Center,25.16,Made,9.0,,,,,,,J. Hart,1628404.0,1.0,,,,,,,,
