actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-03-20T23:40:38.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-20T23:40:39Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-03-20T23:40:41.1Z,1,REGULAR,jumpball,recovered,[],1630534,,,1610612761,0,0,2024-03-20T23:40:41Z,40000,False,,,0,,Jump Ball K. Olynyk vs. D. Sabonis: Tip to O. Agbaji,"[1630534, 203482, 1627734]",1610612761.0,TOR,startperiod,O. Agbaji,1630534.0,Agbaji,O. Agbaji,Olynyk,203482.0,Sabonis,1627734.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2024-03-20T23:40:55.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630534,91.40932982917214,42.15686274509804,1610612761,0,0,2024-03-20T23:41:28Z,70000,False,-39.0,28.0,1,right,MISS O. Agbaji Layup,[1630534],1610612761.0,TOR,,,,Agbaji,O. Agbaji,,,,,In The Paint (Non-RA),0-8 Center,4.83,Missed,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2024-03-20T23:40:57.7Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,0,0,2024-03-20T23:40:59Z,80000,False,,,0,,D. Sabonis REBOUND (Off:0 Def:1),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,In The Paint (Non-RA),0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M28.00S,2024-03-20T23:41:09.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628368,16.90210249671485,36.76470588235294,1610612758,0,2,2024-03-20T23:41:14Z,90000,False,66.0,106.0,1,left,D. Fox 12' fadeaway Jump Shot (2 PTS),[1628368],1610612758.0,SAC,fadeaway,,,Fox,D. Fox,,,,,In The Paint (Non-RA),8-16 Right,12.53,Made,,,,,2.0,,,,,,,,,,,,,
10,PT11M08.00S,2024-03-20T23:41:29.2Z,1,REGULAR,3pt,Jump Shot,[],1628971,95.48291721419186,2.696078431372549,1610612761,0,2,2024-03-20T23:41:33Z,100000,False,-237.0,-10.0,1,right,MISS B. Brown 3PT,[1628971],1610612761.0,TOR,,,,Brown,B. Brown,,,,,Left Corner 3,24+ Left,23.67,Missed,,,,,,,,,,,,,,,,,,
11,PT11M06.00S,2024-03-20T23:41:31.2Z,1,REGULAR,rebound,defensive,[],1628368,,,1610612758,0,2,2024-03-20T23:41:33Z,110000,False,,,0,,D. Fox REBOUND (Off:0 Def:1),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,Left Corner 3,24+ Left,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M02.00S,2024-03-20T23:41:36.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203084,5.995400788436268,47.05882352941176,1610612758,0,4,2024-03-20T23:41:42Z,120000,False,15.0,4.0,1,left,H. Barnes running Layup (2 PTS) (D. Fox 1 AST),"[203084, 1628368]",1610612758.0,SAC,running,,,Barnes,H. Barnes,,,,,Restricted Area,0-8 Center,1.52,Made,,,,,2.0,D. Fox,1628368.0,1.0,,,,,,,,,,
14,PT10M49.00S,2024-03-20T23:41:48.2Z,1,REGULAR,2pt,Jump Shot,[],1629018,85.10183968462549,17.892156862745097,1610612761,0,4,2024-03-20T23:41:55Z,140000,False,-161.0,88.0,1,right,MISS G. Trent Jr. 18' step back Shot,[1629018],1610612761.0,TOR,step back,,,Trent Jr.,G. Trent Jr.,,,,,Mid-Range,16-24 Left,18.28,Missed,,,,,,,,,,,,,,,,,,
15,PT10M47.00S,2024-03-20T23:41:50.2Z,1,REGULAR,rebound,offensive,[],1629018,,,1610612761,0,4,2024-03-20T23:41:55Z,150000,False,,,0,,G. Trent Jr. REBOUND (Off:1 Def:0),[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,Mid-Range,16-24 Left,,,14.0,1.0,0.0,1.0,,,,,,,,,,,,,,
16,PT10M45.00S,2024-03-20T23:41:53.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629018,92.9862023653088,54.65686274509803,1610612761,0,4,2024-03-20T23:42:46Z,160000,False,23.0,13.0,1,right,MISS G. Trent Jr. driving Layup - blocked,"[1629018, 1627734]",1610612761.0,TOR,driving,,,Trent Jr.,G. Trent Jr.,,,,,Restricted Area,0-8 Center,2.69,Missed,,,,,,,,,Sabonis,1627734.0,,,,,,,,
17,PT10M45.00S,2024-03-20T23:41:53.6Z,1,REGULAR,block,,[],1627734,,,1610612761,0,4,2024-03-20T23:41:56Z,170000,False,,,0,,D. Sabonis BLOCK (1 BLK),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
18,PT10M45.00S,2024-03-20T23:41:53.6Z,1,REGULAR,rebound,defensive,[],1628368,,,1610612758,0,4,2024-03-20T23:41:58Z,180000,False,,,0,,D. Fox REBOUND (Off:0 Def:2),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,Restricted Area,0-8 Center,,,16.0,2.0,2.0,0.0,,,,,,,,,,,,,,
19,PT10M31.00S,2024-03-20T23:42:07.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1627734,6.1268068331143235,48.28431372549019,1610612758,0,6,2024-03-20T23:42:12Z,190000,False,9.0,5.0,1,left,D. Sabonis cutting DUNK (2 PTS) (K. Ellis 1 AST),"[1627734, 1631165]",1610612758.0,SAC,cutting,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,1.0,Made,,,,,2.0,K. Ellis,1631165.0,1.0,,,,,,,,,,
21,PT10M12.00S,2024-03-20T23:42:25.5Z,1,REGULAR,3pt,Jump Shot,[],1630534,73.53810775295663,14.950980392156863,1610612761,0,6,2024-03-20T23:42:30Z,210000,False,-175.0,196.0,1,right,MISS O. Agbaji 26' 3PT,[1630534],1610612761.0,TOR,,,,Agbaji,O. Agbaji,,,,,Above the Break 3,24+ Left Center,26.3,Missed,,,,,,,,,,,,,,,,,,
22,PT10M10.00S,2024-03-20T23:42:27.5Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,0,6,2024-03-20T23:47:14Z,220000,False,,,0,,D. Sabonis REBOUND (Off:0 Def:2),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Above the Break 3,24+ Left Center,,,21.0,2.0,2.0,0.0,,,,,,,,,,,,,,
23,PT10M05.00S,2024-03-20T23:42:33.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1631099,30.831143232588698,72.54901960784314,1610612758,0,6,2024-03-20T23:42:44Z,230000,False,-113.0,237.0,1,left,MISS K. Murray 26' running 3PT,[1631099],1610612758.0,SAC,running,,,Murray,K. Murray,,,,,Above the Break 3,24+ Left Center,26.27,Missed,,,,,,,,,,,,,,,,,,
24,PT10M00.00S,2024-03-20T23:42:38.7Z,1,REGULAR,rebound,defensive,[],1628971,,,1610612761,0,6,2024-03-20T23:42:44Z,240000,False,,,0,,B. Brown REBOUND (Off:0 Def:1),[1628971],1610612761.0,TOR,,,,Brown,B. Brown,,,,,Above the Break 3,24+ Left Center,,,23.0,1.0,1.0,0.0,,,,,,,,,,,,,,
25,PT09M55.00S,2024-03-20T23:42:42.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629018,78.26872536136662,91.91176470588235,1610612761,3,6,2024-03-20T23:42:49Z,250000,False,210.0,152.0,1,right,G. Trent Jr. 25' 3PT running (3 PTS) (G. Dick 1 AST),"[1629018, 1641711]",1610612761.0,TOR,running,,,Trent Jr.,G. Trent Jr.,,,,,Above the Break 3,24+ Right Center,25.88,Made,,,,,3.0,G. Dick,1641711.0,1.0,,,,,,,,,,
27,PT09M31.00S,2024-03-20T23:43:06.2Z,1,REGULAR,3pt,Jump Shot,[],1631099,33.196452036793694,25.735294117647058,1610612758,3,6,2024-03-20T23:43:11Z,270000,False,121.0,260.0,1,left,MISS K. Murray 28' 3PT,[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,Above the Break 3,24+ Right Center,28.65,Missed,,,,,,,,,,,,,,,,,,
28,PT09M29.00S,2024-03-20T23:43:08.2Z,1,REGULAR,rebound,offensive,[],1627734,,,1610612758,3,6,2024-03-20T23:43:11Z,280000,False,,,0,,D. Sabonis REBOUND (Off:1 Def:2),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Above the Break 3,24+ Right Center,,,27.0,3.0,2.0,1.0,,,,,,,,,,,,,,
29,PT09M21.00S,2024-03-20T23:43:16.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1631165,14.4053876478318,95.58823529411765,1610612758,3,9,2024-03-20T23:43:21Z,290000,False,-228.0,83.0,1,left,K. Ellis 24' 3PT pullup (3 PTS) (D. Sabonis 1 AST),"[1631165, 1627734]",1610612758.0,SAC,pullup,,,Ellis,K. Ellis,,,,,Left Corner 3,24+ Left,24.25,Made,,,,,3.0,D. Sabonis,1627734.0,1.0,,,,,,,,,,
31,PT09M09.00S,2024-03-20T23:43:29.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630534,92.9862023653088,52.69607843137255,1610612761,5,9,2024-03-20T23:43:38Z,310000,False,13.0,13.0,1,right,O. Agbaji driving reverse Layup (2 PTS) (B. Brown 1 AST),"[1630534, 1628971]",1610612761.0,TOR,driving reverse,,,Agbaji,O. Agbaji,,,,,Restricted Area,0-8 Center,1.9,Made,,,,,2.0,B. Brown,1628971.0,1.0,,,,,,,,,,
33,PT08M51.00S,2024-03-20T23:43:47.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631099,13.354139290407357,57.107843137254896,1610612758,5,11,2024-03-20T23:43:52Z,330000,False,-36.0,73.0,1,left,K. Murray 8' driving floating Jump Shot (2 PTS) (H. Barnes 1 AST),"[1631099, 203084]",1610612758.0,SAC,driving floating,,,Murray,K. Murray,,,,,In The Paint (Non-RA),8-16 Center,8.12,Made,,,,,2.0,H. Barnes,203084.0,1.0,,,,,,,,,,
35,PT08M36.00S,2024-03-20T23:44:01.2Z,1,REGULAR,3pt,Jump Shot,[],203482,69.99014454664915,76.22549019607843,1610612761,8,11,2024-03-20T23:44:05Z,350000,False,131.0,230.0,1,right,K. Olynyk 26' 3PT  (3 PTS) (B. Brown 2 AST),"[203482, 1628971]",1610612761.0,TOR,,,,Olynyk,K. Olynyk,,,,,Above the Break 3,24+ Right Center,26.44,Made,,,,,3.0,B. Brown,1628971.0,2.0,,,,,,,,,,
37,PT08M35.00S,2024-03-20T23:44:08.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612758,8,11,2024-03-20T23:44:08Z,370000,False,,,0,,SAC Timeout,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,PT08M25.00S,2024-03-20T23:47:23.6Z,1,REGULAR,violation,kicked ball,[],1630534,,,1610612758,8,11,2024-03-20T23:47:30Z,380000,False,,,0,,O. Agbaji kicked ball VIOLATION,[1630534],1610612761.0,TOR,,,,Agbaji,O. Agbaji,,,,,,,,,,,,,,,,,,,1155.0,,,,,,,
