actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-10-25T23:43:49.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-10-25T23:43:49Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2023-10-25T23:43:51.4Z,1,REGULAR,jumpball,recovered,[],203471,,,1610612761,0,0,2023-10-25T23:43:51Z,40000,False,,,0,,Jump Ball J. Poeltl vs. R. Gobert: Tip to D. Schroder,"[203471, 1627751, 203497]",1610612761.0,TOR,startperiod,D. Schroder,203471.0,Schroder,D. Schroder,Poeltl,1627751.0,Gobert,203497.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2023-10-25T23:44:07.8Z,1,REGULAR,3pt,Jump Shot,[],1630567,86.15308804204993,97.05882352941177,1610612761,0,0,2023-10-25T23:44:12Z,70000,False,235.0,78.0,1,right,MISS S. Barnes 24' 3PT,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Right Corner 3,24+ Right,24.78,Missed,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2023-10-25T23:44:09.8Z,1,REGULAR,rebound,offensive,[],1627751,,,1610612761,0,0,2023-10-25T23:44:12Z,80000,False,,,0,,J. Poeltl REBOUND (Off:1 Def:0),[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,Right Corner 3,24+ Right,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M35.00S,2023-10-25T23:44:12.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203471,69.46452036793693,61.76470588235294,1610612761,0,0,2023-10-25T23:44:17Z,90000,False,59.0,235.0,1,right,MISS D. Schroder 24' 3PT,[203471],1610612761.0,TOR,,,,Schroder,D. Schroder,,,,,Above the Break 3,24+ Center,24.18,Missed,,,,,,,,,,,,,,,,,,
10,PT11M33.00S,2023-10-25T23:44:14.7Z,1,REGULAR,rebound,offensive,[],1630567,,,1610612761,0,0,2023-10-25T23:44:17Z,100000,False,,,0,,S. Barnes REBOUND (Off:1 Def:0),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Center,,,9.0,1.0,0.0,1.0,,,,,,,,,,,,,,
11,PT11M30.00S,2023-10-25T23:44:18.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1627783,68.67608409986859,26.715686274509803,1610612761,3,0,2023-10-25T23:44:23Z,110000,False,-116.0,242.0,1,right,P. Siakam 26' 3PT  (3 PTS) (D. Schroder 1 AST),"[1627783, 203471]",1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Above the Break 3,24+ Left Center,26.84,Made,,,,,3.0,D. Schroder,203471.0,1.0,,,,,,,,,,
13,PT11M17.00S,2023-10-25T23:44:33.9Z,1,REGULAR,turnover,out-of-bounds,[],201144,,,1610612750,3,0,2023-10-25T23:44:40Z,130000,False,,,0,,M. Conley bad pass out-of-bounds TURNOVER (1 TO),[201144],1610612750.0,MIN,bad pass,,,Conley,M. Conley,,,,,Above the Break 3,24+ Center,,,,,,,,,,,202035.0,1.0,,,,,,,,
14,PT11M01.00S,2023-10-25T23:44:54.8Z,1,REGULAR,turnover,lost ball,[],203471,,,1610612761,3,0,2023-10-25T23:45:00Z,140000,False,,,0,,D. Schroder lost ball TURNOVER (1 TO),"[203471, 201144]",1610612761.0,TOR,,,,Schroder,D. Schroder,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,1.0,Conley,201144.0,,,,,,
15,PT11M01.00S,2023-10-25T23:44:54.8Z,1,REGULAR,steal,,[],201144,,,1610612750,3,0,2023-10-25T23:44:56Z,150000,False,,,0,,M. Conley STEAL (1 STL),[201144],1610612750.0,MIN,,,,Conley,M. Conley,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,,,,,,
16,PT10M47.00S,2023-10-25T23:45:09.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1626157,18.084756898817346,60.78431372549019,1610612750,3,0,2023-10-25T23:45:22Z,160000,False,-54.0,117.0,1,left,MISS K. Towns 12' floating Shot,[1626157],1610612750.0,MIN,floating,,,Towns,K. Towns,,,,,In The Paint (Non-RA),8-16 Center,12.93,Missed,,,,,,,,,,,,,,,,,,
17,PT10M44.00S,2023-10-25T23:45:12.0Z,1,REGULAR,rebound,offensive,[],203497,,,1610612750,3,0,2023-10-25T23:45:14Z,170000,False,,,0,,R. Gobert REBOUND (Off:1 Def:0),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,In The Paint (Non-RA),8-16 Center,,,16.0,1.0,0.0,1.0,,,,,,,,,,,,,,
18,PT10M44.00S,2023-10-25T23:45:13.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",203497,5.590000152587891,50.0,1610612750,3,0,2023-10-25T23:45:13Z,180000,False,0.0,0.0,1,left,MISS R. Gobert tip Layup,[203497],1610612750.0,MIN,tip,,,Gobert,R. Gobert,,,,,Mid-Range,8-16 Left,0.0,Missed,,,,,,,,,,,,,,,,,,
