actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-11-30T00:40:44.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-11-30T00:40:44Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2023-11-30T00:40:47.6Z,1,REGULAR,jumpball,recovered,[],1626164,,,1610612756,0,0,2023-11-30T00:40:47Z,40000,False,,,0,,Jump Ball J. Nurkic vs. J. Poeltl: Tip to D. Booker,"[1626164, 203994, 1627751]",1610612756.0,PHX,startperiod,D. Booker,1626164.0,Booker,D. Booker,Nurkic,203994.0,Poeltl,1627751.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2023-11-30T00:41:02.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203994,11.908672798948752,44.6078431372549,1610612756,0,0,2023-11-30T00:41:06Z,70000,False,27.0,59.0,1,left,MISS J. Nurkic 6' Hook,[203994],1610612756.0,PHX,,,,Nurkic,J. Nurkic,,,,,In The Paint (Non-RA),0-8 Center,6.52,Missed,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2023-11-30T00:41:05.2Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612761,0,0,2023-11-30T00:41:06Z,80000,False,,,0,,J. Poeltl REBOUND (Off:0 Def:1),[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M33.00S,2023-11-30T00:41:09.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627783,90.62089356110381,55.88235294117647,1610612761,0,0,2023-11-30T00:41:17Z,90000,False,29.0,36.0,1,right,MISS P. Siakam running Layup,[1627783],1610612761.0,TOR,running,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),0-8 Center,4.62,Missed,,,,,,,,,,,,,,,,,,
10,PT11M31.00S,2023-11-30T00:41:11.7Z,1,REGULAR,rebound,defensive,[],203994,,,1610612756,0,0,2023-11-30T00:41:17Z,100000,False,,,0,,J. Nurkic REBOUND (Off:0 Def:1),[203994],1610612756.0,PHX,,,,Nurkic,J. Nurkic,,,,,In The Paint (Non-RA),0-8 Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M20.00S,2023-11-30T00:41:23.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626164,12.171484888304862,49.754901960784316,1610612756,0,0,2023-11-30T00:41:29Z,110000,False,1.0,62.0,1,left,MISS D. Booker 6' cutting Layup,[1626164],1610612756.0,PHX,cutting,,,Booker,D. Booker,,,,,In The Paint (Non-RA),0-8 Center,6.19,Missed,,,,,,,,,,,,,,,,,,
12,PT11M17.00S,2023-11-30T00:41:26.5Z,1,REGULAR,rebound,offensive,[],1629006,,,1610612756,0,0,2023-11-30T00:41:29Z,120000,False,,,0,,J. Okogie REBOUND (Off:1 Def:0),[1629006],1610612756.0,PHX,,,,Okogie,J. Okogie,,,,,In The Paint (Non-RA),0-8 Center,,,11.0,1.0,0.0,1.0,,,,,,,,,,,,,,
13,PT11M16.00S,2023-11-30T00:41:28.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629006,6.258212877792378,50.73529411764706,1610612756,0,2,2023-11-30T00:42:17Z,130000,False,-4.0,6.0,1,left,J. Okogie putback Layup (2 PTS),[1629006],1610612756.0,PHX,putback,,,Okogie,J. Okogie,,,,,Restricted Area,0-8 Center,0.73,Made,,,,,2.0,,,,,,,,,,,,,
14,PT10M59.00S,2023-11-30T00:41:45.8Z,1,REGULAR,foul,personal,['2freethrow'],1626164,,,1610612761,0,2,2023-11-30T00:41:53Z,140000,False,,,0,,D. Booker shooting personal FOUL (1 PF) (Barnes 2 FT),"[1626164, 1630567]",1610612756.0,PHX,shooting,,,Booker,D. Booker,,,,,Restricted Area,0-8 Center,,,,,,,,202007.0,1.0,0.0,Barnes,1630567.0,,,,,,,,
16,PT10M59.00S,2023-11-30T00:42:09.9Z,1,REGULAR,freethrow,1 of 2,[],1630567,,,1610612761,1,2,2023-11-30T00:42:09Z,160000,False,,,0,,S. Barnes Free Throw 1 of 2 (1 PTS),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
17,PT10M59.00S,2023-11-30T00:42:25.5Z,1,REGULAR,freethrow,2 of 2,[],1630567,,,1610612761,2,2,2023-11-30T00:42:25Z,170000,False,,,0,,S. Barnes Free Throw 2 of 2 (2 PTS),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,Made,,,,,2.0,,,,,,,,,,,,,
18,PT10M42.00S,2023-11-30T00:42:46.4Z,1,REGULAR,3pt,Jump Shot,[],201142,28.991458607095925,24.264705882352942,1610612756,2,5,2023-11-30T00:42:51Z,180000,False,129.0,220.0,1,left,K. Durant 25' 3PT  (3 PTS) (J. Nurkic 1 AST),"[201142, 203994]",1610612756.0,PHX,,,,Durant,K. Durant,,,,,Above the Break 3,24+ Right Center,25.49,Made,,,,,3.0,,,,,,J. Nurkic,203994.0,1.0,,,,,
20,PT10M23.00S,2023-11-30T00:43:05.3Z,1,REGULAR,3pt,Jump Shot,[],1630567,84.83902759526939,3.1862745098039214,1610612761,2,5,2023-11-30T00:43:15Z,200000,False,-234.0,90.0,1,right,MISS S. Barnes 25' 3PT,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Left,25.08,Missed,,,,,,,,,,,,,,,,,,
