actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-12-07T00:40:44.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-12-07T00:40:44Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2023-12-07T00:40:46.2Z,1,REGULAR,jumpball,recovered,[],1630567,,,1610612761,0,0,2023-12-07T00:40:46Z,40000,False,,,0,,Jump Ball J. Poeltl vs. O. Robinson: Tip to S. Barnes,"[1630567, 1627751, 1631115]",1610612761.0,TOR,startperiod,S. Barnes,1630567.0,Barnes,S. Barnes,Poeltl,1627751.0,Robinson,1631115.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2023-12-07T00:41:00.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630567,87.46714848883047,52.69607843137255,1610612761,2,0,2023-12-07T00:41:15Z,70000,False,13.0,65.0,1,right,S. Barnes 6' floating Jump Shot (2 PTS) (J. Poeltl 1 AST),"[1630567, 1627751]",1610612761.0,TOR,floating,,,Barnes,S. Barnes,,,,,In The Paint (Non-RA),0-8 Center,6.67,Made,2.0,J. Poeltl,1627751.0,1.0,,,,,,,,,,,,,,
9,PT11M20.00S,2023-12-07T00:41:23.0Z,1,REGULAR,3pt,Jump Shot,[],1628997,30.436925098554536,71.56862745098039,1610612748,2,3,2023-12-07T00:41:27Z,90000,False,-108.0,234.0,1,left,C. Martin 25' 3PT  (3 PTS) (D. Robinson 1 AST),"[1628997, 1629130]",1610612748.0,MIA,,,,Martin,C. Martin,,,,,Above the Break 3,24+ Left Center,25.73,Made,3.0,D. Robinson,1629130.0,1.0,,,,,,,,,,,,,,
11,PT11M08.00S,2023-12-07T00:41:34.5Z,1,REGULAR,3pt,Jump Shot,[],203471,67.09921156373193,59.068627450980394,1610612761,2,3,2023-12-07T00:41:39Z,110000,False,45.0,257.0,1,right,MISS D. Schroder 26' 3PT,[203471],1610612761.0,TOR,,,,Schroder,D. Schroder,,,,,Above the Break 3,24+ Center,26.08,Missed,,,,,,,,,,,,,,,,,,
12,PT11M05.00S,2023-12-07T00:41:37.5Z,1,REGULAR,rebound,defensive,[],1628997,,,1610612748,2,3,2023-12-07T00:41:39Z,120000,False,,,0,,C. Martin REBOUND (Off:0 Def:1),[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,Above the Break 3,24+ Center,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,
13,PT10M48.00S,2023-12-07T00:41:55.1Z,1,REGULAR,3pt,Jump Shot,[],200768,7.440867279894875,96.81372549019608,1610612748,2,3,2023-12-07T00:41:59Z,130000,False,-234.0,17.0,1,left,MISS K. Lowry 3PT,[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,Left Corner 3,24+ Left,23.47,Missed,,,,,,,,,,,,,,,,,,
14,PT10M45.00S,2023-12-07T00:41:58.1Z,1,REGULAR,rebound,defensive,[],1628384,,,1610612761,2,3,2023-12-07T00:41:59Z,140000,False,,,0,,O. Anunoby REBOUND (Off:0 Def:1),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,Left Corner 3,24+ Left,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,
15,PT10M42.00S,2023-12-07T00:42:04.0Z,1,REGULAR,foul,offensive,[],1630567,,,1610612761,2,3,2023-12-07T00:42:17Z,150000,False,,,0,,S. Barnes charge offensive FOUL (1 PF),"[1630567, 1628997]",1610612761.0,TOR,charge,,,Barnes,S. Barnes,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1627964.0,1.0,0.0,Martin,1628997.0,,,,,
17,PT10M42.00S,2023-12-07T00:42:04.0Z,1,REGULAR,turnover,offensive foul,[],1630567,,,1610612761,2,3,2023-12-07T00:42:04Z,170000,False,,,0,,S. Barnes offensive foul TURNOVER (1 TO),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1627964.0,,,,,1.0,,,,
