actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-11-16T00:41:00.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-11-16T00:41:00Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2023-11-16T00:41:02.6Z,1,REGULAR,jumpball,recovered,[],1641748,,,1610612749,0,0,2023-11-16T00:41:02Z,40000,False,,,0,,Jump Ball B. Lopez vs. J. Poeltl: Tip to A. Jackson Jr.,"[1641748, 201572, 1627751]",1610612749.0,MIL,startperiod,A. Jackson Jr.,1641748.0,Jackson Jr.,A. Jackson Jr.,Lopez,201572.0,Poeltl,1627751.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2023-11-16T00:41:15.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201572,83.13074901445466,51.9607843137255,1610612749,0,0,2023-11-16T02:34:02Z,70000,False,10.0,106.0,1,right,MISS B. Lopez 10' fadeaway Shot,[201572],1610612749.0,MIL,fadeaway,,,Lopez,B. Lopez,,,,,In The Paint (Non-RA),8-16 Center,10.66,Missed,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2023-11-16T00:41:17.2Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612761,0,0,2023-11-16T02:34:02Z,80000,False,,,0,,P. Siakam REBOUND (Off:0 Def:1),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),8-16 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M43.00S,2023-11-16T00:41:23.1Z,1,REGULAR,turnover,traveling,[],1627783,,,1610612761,0,0,2023-11-16T00:41:37Z,90000,False,,,0,,P. Siakam traveling TURNOVER (1 TO),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Mid-Range,16-24 Right Center,,,,,,,1151.0,1.0,,,,,,,,,,,,
10,PT11M40.00S,2023-11-16T00:41:46.0Z,1,REGULAR,turnover,bad pass,[],203114,,,1610612749,0,0,2023-11-16T00:46:21Z,100000,False,,,0,,K. Middleton bad pass TURNOVER (1 TO),"[203114, 1641711]",1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,Above the Break 3,24+ Left Center,,,,,,,,1.0,Dick,1641711.0,,,,,,,,,,
32,PT11M40.00S,2023-11-16T00:41:46.0Z,1,REGULAR,steal,,[],1641711,,,1610612761,0,0,2023-11-16T00:46:21Z,110000,False,,,0,,G. Dick STEAL (1 STL),[1641711],1610612761.0,TOR,,,,Dick,G. Dick,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
12,PT11M21.00S,2023-11-16T00:42:05.2Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1630567,15.982260183968464,22.058823529411764,1610612761,0,0,2023-11-16T00:42:10Z,120000,False,140.0,98.0,1,left,MISS S. Barnes 17' turnaround fadeaway Shot,[1630567],1610612761.0,TOR,turnaround fadeaway,,,Barnes,S. Barnes,,,,,Mid-Range,16-24 Right,17.05,Missed,,,,,,,,,,,,,,,,,,
13,PT11M18.00S,2023-11-16T00:42:08.2Z,1,REGULAR,rebound,defensive,[],203081,,,1610612749,0,0,2023-11-16T00:42:10Z,130000,False,,,0,,D. Lillard REBOUND (Off:0 Def:1),[203081],1610612749.0,MIL,,,,Lillard,D. Lillard,,,,,Mid-Range,16-24 Right,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT11M11.00S,2023-11-16T00:42:15.6Z,1,REGULAR,foul,personal,['2freethrow'],1627751,,,1610612749,0,0,2023-11-16T00:42:25Z,140000,False,,,0,,J. Poeltl shooting personal FOUL (1 PF) (Lillard 2 FT),"[1627751, 203081]",1610612761.0,TOR,shooting,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,,,,,,,1151.0,,,,1.0,0.0,Lillard,203081.0,,,,,,
16,PT11M11.00S,2023-11-16T00:42:42.9Z,1,REGULAR,freethrow,1 of 2,[],203081,,,1610612749,0,1,2023-11-16T00:42:42Z,160000,False,,,0,,D. Lillard Free Throw 1 of 2 (1 PTS),[203081],1610612749.0,MIL,,,,Lillard,D. Lillard,,,,,,,,Made,,,,,,,,,,,,,1.0,,,,,
17,PT11M11.00S,2023-11-16T00:43:00.4Z,1,REGULAR,freethrow,2 of 2,[],203081,,,1610612749,0,2,2023-11-16T00:43:00Z,170000,False,,,0,,D. Lillard Free Throw 2 of 2 (2 PTS),[203081],1610612749.0,MIL,,,,Lillard,D. Lillard,,,,,,,,Made,,,,,,,,,,,,,2.0,,,,,
18,PT10M52.00S,2023-11-16T00:43:21.4Z,1,REGULAR,3pt,Jump Shot,[],1630567,4.681340341655716,95.34313725490196,1610612761,3,2,2023-11-16T00:43:38Z,180000,False,-227.0,-8.0,1,left,S. Barnes 3PT  (3 PTS) (P. Siakam 1 AST),"[1630567, 1627783]",1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Left Corner 3,24+ Left,22.69,Made,,,,,,,,,,,,,3.0,P. Siakam,1627783.0,1.0,,
20,PT10M39.00S,2023-11-16T00:43:34.5Z,1,REGULAR,3pt,Jump Shot,[],203081,70.38436268068331,18.627450980392158,1610612749,3,2,2023-11-16T00:43:41Z,200000,False,-157.0,226.0,1,right,MISS D. Lillard 27' 3PT,[203081],1610612749.0,MIL,,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Left Center,27.5,Missed,,,,,,,,,,,,,,,,,,
21,PT10M39.00S,2023-11-16T00:43:34.5Z,1,REGULAR,rebound,offensive,[],1641748,,,1610612749,3,2,2023-11-16T00:43:41Z,210000,False,,,0,,A. Jackson Jr. REBOUND (Off:1 Def:0),[1641748],1610612749.0,MIL,,,,Jackson Jr.,A. Jackson Jr.,,,,,Above the Break 3,24+ Left Center,,,20.0,1.0,0.0,1.0,,,,,,,,,,,,,,
22,PT10M36.00S,2023-11-16T00:43:39.8Z,1,REGULAR,turnover,out-of-bounds,[],1641748,,,1610612749,3,2,2023-11-16T00:43:51Z,220000,False,,,0,,A. Jackson Jr. bad pass out-of-bounds TURNOVER (1 TO),[1641748],1610612749.0,MIL,bad pass,,,Jackson Jr.,A. Jackson Jr.,,,,,Mid-Range,16-24 Right,,,,,,,1628480.0,1.0,,,,,,,,,,,,
23,PT10M25.00S,2023-11-16T00:43:58.1Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1630567,21.107095926412615,47.05882352941176,1610612761,3,2,2023-11-16T00:44:03Z,230000,False,15.0,146.0,1,left,MISS S. Barnes 14' pullup Shot,[1630567],1610612761.0,TOR,pullup,,,Barnes,S. Barnes,,,,,Mid-Range,8-16 Center,14.66,Missed,,,,,,,,,,,,,,,,,,
24,PT10M21.00S,2023-11-16T00:44:01.3Z,1,REGULAR,rebound,offensive,[],1630567,,,1610612761,3,2,2023-11-16T00:44:01Z,240000,False,,,0,,S. Barnes REBOUND (Off:1 Def:0),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Mid-Range,8-16 Center,,,23.0,1.0,0.0,1.0,,,,,,,,,,,,,,
25,PT10M19.00S,2023-11-16T00:44:03.3Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",203471,32.276609724047304,39.705882352941174,1610612761,6,2,2023-11-16T00:44:07Z,250000,False,51.0,251.0,1,left,D. Schroder 25' 3PT  (3 PTS) (P. Siakam 2 AST),"[203471, 1627783]",1610612761.0,TOR,,,,Schroder,D. Schroder,,,,,Above the Break 3,24+ Center,25.61,Made,,,,,,,,,,,,,3.0,P. Siakam,1627783.0,2.0,,
27,PT10M05.00S,2023-11-16T00:44:18.1Z,1,REGULAR,turnover,lost ball,[],203081,,,1610612749,6,2,2023-11-16T00:44:21Z,270000,False,,,0,,D. Lillard lost ball TURNOVER (1 TO),"[203081, 203471]",1610612749.0,MIL,,,,Lillard,D. Lillard,,,,,Mid-Range,8-16 Center,,,,,,,,1.0,Schroder,203471.0,,,,,,,,,,
