actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-10-28T23:40:32.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-10-28T23:40:32Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2023-10-28T23:40:34.3Z,1,REGULAR,jumpball,recovered,[],1629018,,,1610612761,0,0,2023-10-28T23:40:34Z,40000,False,,,0,,Jump Ball J. Poeltl vs. J. Embiid: Tip to G. Trent Jr.,"[1629018, 1627751, 203954]",1610612761.0,TOR,startperiod,G. Trent Jr.,1629018.0,Trent Jr.,G. Trent Jr.,Poeltl,1627751.0,Embiid,203954.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2023-10-28T23:40:46.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630567,93.51182654402102,50.0,1610612761,2,0,2023-10-28T23:40:54Z,70000,False,0.0,8.0,1,right,S. Barnes driving Layup (2 PTS) (P. Siakam 1 AST),"[1630567, 1627783]",1610612761.0,TOR,driving,,,Barnes,S. Barnes,,,,,Restricted Area,0-8 Center,0.85,Made,2.0,P. Siakam,1627783.0,1.0,,,,,,,,,,,,,,
8,PT11M28.00S,2023-10-28T23:41:04.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202699,6.258212877792378,45.83333333333333,1610612755,2,2,2023-10-28T23:41:11Z,80000,False,21.0,6.0,1,left,T. Harris cutting Layup (2 PTS) (J. Embiid 1 AST),"[202699, 203954]",1610612755.0,PHI,cutting,,,Harris,T. Harris,,,,,Restricted Area,0-8 Center,2.17,Made,2.0,J. Embiid,203954.0,1.0,,,,,,,,,,,,,,
10,PT11M06.00S,2023-10-28T23:41:25.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627751,93.24901445466492,53.67647058823529,1610612761,2,2,2023-10-28T23:49:30Z,100000,False,18.0,11.0,1,right,MISS J. Poeltl driving Hook - blocked,"[1627751, 203954]",1610612761.0,TOR,driving,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,2.14,Missed,,,,,Embiid,203954.0,,,,,,,,,,,,
11,PT11M06.00S,2023-10-28T23:41:25.6Z,1,REGULAR,block,,[],203954,,,1610612761,2,2,2023-10-28T23:41:28Z,110000,False,,,0,,J. Embiid BLOCK (1 BLK),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
12,PT11M06.00S,2023-10-28T23:41:25.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612761,2,2,2023-10-28T23:41:33Z,120000,False,,,0,,TEAM offensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,10.0,,,,,,,,,,,
14,PT11M06.00S,2023-10-28T23:41:42.2Z,1,REGULAR,foul,personal,[],1630178,,,1610612761,2,2,2023-10-28T23:41:59Z,140000,False,,,0,,T. Maxey personal FOUL (1 PF),"[1630178, 1629018]",1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,2005.0,1.0,0.0,Trent Jr.,1629018.0,,,,,,
16,PT10M57.00S,2023-10-28T23:42:09.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1629018,79.84559789750328,46.07843137254902,1610612761,2,2,2023-10-28T23:42:17Z,160000,False,-20.0,137.0,1,right,MISS G. Trent Jr. 13' pullup Shot,[1629018],1610612761.0,TOR,pullup,,,Trent Jr.,G. Trent Jr.,,,,,In The Paint (Non-RA),8-16 Center,13.84,Missed,,,,,,,,,,,,,,,,,,
17,PT10M53.00S,2023-10-28T23:42:13.1Z,1,REGULAR,rebound,defensive,[],200782,,,1610612755,2,2,2023-10-28T23:42:17Z,170000,False,,,0,,P. Tucker REBOUND (Off:0 Def:1),[200782],1610612755.0,PHI,,,,Tucker,P. Tucker,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,16.0,,,,,,1.0,1.0,0.0,,,
