actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-01-01T00:11:47.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-01T00:11:47Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-01-01T00:11:49.7Z,1,REGULAR,jumpball,recovered,[],203084,,,1610612759,0,0,2025-01-01T00:11:49Z,40000,False,,,0,,Jump Ball V. Wembanyama vs. I. Zubac: Tip to H. Barnes,"[203084, 1641705, 1627826]",1610612759.0,SAS,startperiod,H. Barnes,203084.0,Barnes,H. Barnes,Wembanyama,1641705.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2025-01-01T00:12:10.3Z,1,REGULAR,2pt,Jump Shot,[],203084,4.28712220762155,80.3921568627451,1610612759,0,0,2025-01-01T00:12:16Z,70000,False,-152.0,-12.0,1,left,MISS H. Barnes 15' step back Shot,[203084],1610612759.0,SAS,step back,,,Barnes,H. Barnes,,,,,Mid-Range,8-16 Left,15.25,Missed,,,,,,,,,,,,,,,,,,
8,PT11M34.00S,2025-01-01T00:12:12.6Z,1,REGULAR,rebound,defensive,[],201935,,,1610612746,0,0,2025-01-01T00:12:12Z,80000,False,,,0,,J. Harden REBOUND (Off:0 Def:1),[201935],1610612746.0,LAC,,,,Harden,J. Harden,,,,,Mid-Range,8-16 Left,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M18.00S,2025-01-01T00:12:28.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627826,93.38042049934296,45.83333333333333,1610612746,0,0,2025-01-01T00:12:35Z,90000,False,-21.0,10.0,1,right,MISS I. Zubac Layup,[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,2.3,Missed,,,,,,,,,,,,,,,,,,
10,PT11M17.00S,2025-01-01T00:12:29.1Z,1,REGULAR,rebound,defensive,[],1641705,,,1610612759,0,0,2025-01-01T00:12:35Z,100000,False,,,0,,V. Wembanyama REBOUND (Off:0 Def:1),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Restricted Area,0-8 Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M12.00S,2025-01-01T00:12:34.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1641705,33.98488830486202,51.71568627450981,1610612759,0,0,2025-01-01T00:13:43Z,110000,False,-9.0,267.0,1,left,MISS V. Wembanyama 26' running pullup 3PT,[1641705],1610612759.0,SAS,running pullup,,,Wembanyama,V. Wembanyama,,,,,Above the Break 3,24+ Center,26.71,Missed,,,,,,,,,,,,,,,,,,
12,PT11M12.00S,2025-01-01T00:12:34.8Z,1,REGULAR,rebound,offensive,[],1631110,,,1610612759,0,0,2025-01-01T00:12:44Z,120000,False,,,0,,J. Sochan REBOUND (Off:1 Def:0),[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,Above the Break 3,24+ Center,,,11.0,1.0,0.0,1.0,,,,,,,,,,,,,,
13,PT11M07.00S,2025-01-01T00:12:39.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630170,26.231931668856767,20.588235294117645,1610612759,0,0,2025-01-01T00:12:46Z,130000,False,147.0,194.0,1,left,MISS D. Vassell 24' 3PT,[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Above the Break 3,24+ Right Center,24.35,Missed,,,,,,,,,,,,,,,,,,
14,PT11M02.00S,2025-01-01T00:12:44.9Z,1,REGULAR,rebound,defensive,[],1626181,,,1610612746,0,0,2025-01-01T00:12:46Z,140000,False,,,0,,N. Powell REBOUND (Off:0 Def:1),[1626181],1610612746.0,LAC,,,,Powell,N. Powell,,,,,Above the Break 3,24+ Right Center,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
