actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-03-15T00:10:35.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-15T00:10:35Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2025-03-15T00:10:40.1Z,1,REGULAR,jumpball,recovered,[],1630170,,,1610612759,0,0,2025-03-15T00:10:40Z,40000,False,,,0,,Jump Ball B. Biyombo vs. M. Williams: Tip to D. Vassell,"[1630170, 202687, 1631109]",1610612759.0,SAS,startperiod,D. Vassell,1630170.0,Vassell,D. Vassell,Biyombo,202687.0,Williams,1631109.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2025-03-15T00:10:56.9Z,1,REGULAR,3pt,Jump Shot,[],1630170,29.517082785808146,75.0,1610612759,3,0,2025-03-15T00:11:04Z,70000,False,-125.0,225.0,1,left,D. Vassell 25' 3PT pullup (3 PTS),[1630170],1610612759.0,SAS,pullup,,,Vassell,D. Vassell,,,,,Above the Break 3,24+ Left Center,25.74,Made,3.0,,,,,,,,,,,,,,,,,
8,PT11M25.00S,2025-03-15T00:11:12.1Z,1,REGULAR,foul,personal,['2freethrow'],1642264,,,1610612766,3,0,2025-03-15T00:11:23Z,80000,False,,,0,,S. Castle shooting personal FOUL (1 PF) (Bridges 2 FT),"[1642264, 1628970]",1610612759.0,SAS,shooting,,,Castle,S. Castle,,,,,Restricted Area,0-8 Center,,,,2003.0,1.0,0.0,Bridges,1628970.0,,,,,,,,,,,,
10,PT11M25.00S,2025-03-15T00:11:35.5Z,1,REGULAR,freethrow,1 of 2,[],1628970,,,1610612766,3,1,2025-03-15T00:12:00Z,100000,False,,,0,,M. Bridges Free Throw 1 of 2 (1 PTS),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
11,PT11M25.00S,2025-03-15T00:11:35.5Z,1,REGULAR,freethrow,2 of 2,[],1628970,,,1610612766,3,1,2025-03-15T00:12:00Z,110000,False,,,0,,MISS M. Bridges Free Throw 2 of 2,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
12,PT11M22.00S,2025-03-15T00:11:38.5Z,1,REGULAR,rebound,defensive,[],1642264,,,1610612759,3,1,2025-03-15T00:12:00Z,120000,False,,,0,,S. Castle REBOUND (Off:0 Def:1),[1642264],1610612759.0,SAS,,,,Castle,S. Castle,,,,,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,
13,PT11M13.00S,2025-03-15T00:12:02.6Z,1,REGULAR,3pt,Jump Shot,[],203084,12.171484888304862,5.88235294117647,1610612759,3,1,2025-03-15T00:12:09Z,130000,False,221.0,62.0,1,left,MISS H. Barnes 3PT,[203084],1610612759.0,SAS,,,,Barnes,H. Barnes,,,,,Right Corner 3,24+ Right,22.91,Missed,,,,,,,,,,,,,,,,,,
14,PT11M09.00S,2025-03-15T00:12:06.2Z,1,REGULAR,rebound,defensive,[],1630163,,,1610612766,3,1,2025-03-15T00:12:06Z,140000,False,,,0,,L. Ball REBOUND (Off:0 Def:1),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,Right Corner 3,24+ Right,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,
15,PT11M01.00S,2025-03-15T00:12:14.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630163,82.7365308804205,42.8921568627451,1610612766,3,3,2025-03-15T00:12:42Z,150000,False,-36.0,110.0,1,right,L. Ball 11' driving floating Jump Shot (2 PTS),[1630163],1610612766.0,CHA,driving floating,,,Ball,L. Ball,,,,,In The Paint (Non-RA),8-16 Center,11.54,Made,2.0,,,,,,,,,,,,,,,,,
